,mean,slp,chg,pvalue
0,3.0,0.003,0.14,0.778
1,2.97,-0.002,-0.084,0.745
2,3.37,-0.001,-0.046,0.879
3,3.74,-0.006,-0.236,0.965
4,3.57,0.001,0.046,0.948
5,3.28,0.005,0.22,0.795
6,3.31,0.007,0.308,0.665
7,3.25,-0.001,-0.05,0.68
8,3.11,0.003,0.11,0.618
9,3.11,0.008,0.35,0.68
10,3.23,0.026,1.08,0.201
11,3.25,0.029,1.228,0.633
12,3.23,0.029,1.2,0.298
13,3.23,0.019,0.778,0.386
14,3.2,0.03,1.26,0.269
15,3.2,0.02,0.86,0.251
16,3.23,0.029,1.222,0.119
17,3.37,0.018,0.77,0.516
18,3.65,0.008,0.34,0.931
19,3.45,-0.002,-0.102,0.795
20,3.31,-0.011,-0.446,0.948
21,3.68,-0.015,-0.65,0.665
22,3.99,-0.002,-0.078,0.762
23,3.85,0.002,0.104,0.914
24,3.59,-0.008,-0.332,0.828
25,3.45,0.0,0.0,0.795
26,3.42,0.007,0.302,0.665
27,3.28,0.013,0.56,0.603
28,3.37,0.01,0.435,0.812
29,3.34,0.015,0.646,0.502
30,3.28,0.005,0.21,0.795
31,3.65,0.006,0.264,0.879
32,3.57,-0.003,-0.124,0.778
33,3.42,-0.003,-0.11,0.737
34,3.71,-0.004,-0.158,0.845
35,3.59,0.009,0.368,0.914
36,3.62,0.012,0.526,0.762
37,3.45,0.018,0.776,0.603
38,3.4,0.023,0.98,0.41
39,3.37,0.016,0.672,0.423
40,3.25,0.008,0.34,0.845
41,3.54,-0.002,-0.084,0.845
42,3.42,-0.004,-0.172,0.812
43,3.57,0.001,0.048,0.696
44,3.68,0.007,0.312,0.53
45,3.54,0.008,0.35,0.745
46,3.48,-0.008,-0.356,0.713
47,3.28,-0.01,-0.42,0.488
48,3.82,-0.026,-1.08,0.298
49,3.82,-0.022,-0.924,0.461
50,3.65,-0.019,-0.788,0.34
51,3.91,-0.01,-0.42,0.423
52,3.91,-0.01,-0.42,0.812
53,4.19,-0.028,-1.196,0.516
54,3.79,-0.029,-1.232,0.573
55,3.65,-0.022,-0.924,0.762
56,3.65,-0.015,-0.618,0.931
57,3.59,-0.024,-0.992,0.603
58,3.59,-0.026,-1.11,0.34
59,4.22,-0.004,-0.158,0.762
60,4.27,-0.002,-0.096,0.762
61,3.93,0.0,0.0,0.897
62,3.65,-0.009,-0.392,0.879
63,3.88,-0.016,-0.682,0.845
64,4.67,-0.028,-1.176,0.603
65,4.61,-0.032,-1.342,0.448
66,4.36,-0.023,-0.98,0.649
67,3.85,-0.014,-0.606,0.762
68,3.68,-0.013,-0.56,0.948
69,3.45,-0.011,-0.442,0.991
70,3.57,0.0,0.0,0.762
71,3.57,-0.009,-0.374,0.845
72,3.68,-0.012,-0.498,0.862
73,3.59,-0.007,-0.3,0.812
74,3.68,0.008,0.324,0.588
75,3.85,-0.01,-0.42,0.603
76,3.71,-0.011,-0.46,0.618
77,3.82,-0.012,-0.484,0.778
78,4.02,-0.007,-0.28,0.544
79,3.96,-0.011,-0.476,0.225
80,3.74,-0.017,-0.714,0.26
81,4.05,-0.03,-1.26,0.423
82,4.1,-0.027,-1.15,0.713
83,4.19,-0.021,-0.875,0.502
84,3.74,-0.016,-0.654,0.879
85,3.65,-0.013,-0.564,0.34
86,3.37,-0.011,-0.442,0.965
87,4.08,-0.021,-0.862,0.665
88,4.64,-0.05,-2.1,0.225
89,4.16,-0.022,-0.924,0.558
90,4.02,-0.024,-0.994,0.448
91,3.91,-0.027,-1.116,0.558
92,3.85,-0.015,-0.642,0.665
93,3.99,-0.03,-1.26,0.68
94,3.93,-0.012,-0.524,0.965
95,4.02,-0.01,-0.42,0.914
96,4.13,0.01,0.42,0.603
97,3.68,0.0,0.0,0.828
98,3.42,-0.008,-0.346,0.931
99,3.51,-0.007,-0.306,0.914
100,3.57,-0.006,-0.238,0.845
101,3.88,-0.012,-0.504,0.68
102,3.88,-0.019,-0.798,0.862
103,3.96,-0.013,-0.56,0.845
104,4.78,-0.015,-0.63,0.854
105,4.27,-0.008,-0.326,0.828
106,4.1,-0.015,-0.636,0.897
107,3.99,0.0,0.0,0.845
108,4.27,0.007,0.288,0.665
109,4.27,0.014,0.588,0.516
110,4.16,0.005,0.22,0.68
111,3.79,0.011,0.452,0.696
112,3.82,0.018,0.752,0.374
113,3.65,0.018,0.776,0.502
114,3.62,0.019,0.78,0.435
115,3.96,-0.015,-0.61,0.435
116,3.82,-0.024,-1.008,0.588
117,3.76,-0.024,-1.008,0.948
118,3.65,-0.01,-0.42,0.778
119,3.62,-0.006,-0.245,0.879
120,3.82,0.003,0.12,0.423
121,3.82,-0.005,-0.21,0.502
122,3.48,0.004,0.186,0.53
123,3.45,0.001,0.052,0.603
124,3.48,0.009,0.366,0.544
125,3.48,0.0,0.0,0.762
126,3.54,-0.006,-0.252,0.948
127,3.45,0.003,0.135,0.812
128,3.54,0.0,0.0,0.603
129,3.31,-0.01,-0.44,0.713
130,3.23,-0.014,-0.582,0.812
131,2.971,-0.003,-0.105,0.828
132,2.97,-0.002,-0.064,0.696
133,3.03,-0.0,-0.016,0.713
134,3.23,0.003,0.116,0.795
135,3.17,0.007,0.306,0.544
136,3.2,0.005,0.198,0.603
137,3.37,0.005,0.224,0.488
138,3.28,0.01,0.432,0.423
139,3.06,-0.003,-0.132,0.991
140,3.08,0.006,0.262,0.879
141,2.97,0.013,0.55,0.423
142,3.0,0.007,0.28,0.649
143,2.89,0.004,0.18,0.778
144,3.08,0.008,0.356,0.516
145,3.11,0.012,0.51,0.351
146,3.48,-0.022,-0.91,0.879
147,3.54,-0.032,-1.342,0.53
148,3.08,-0.02,-0.852,0.745
149,3.2,-0.019,-0.794,0.745
150,3.31,-0.027,-1.134,0.488
151,3.48,-0.027,-1.138,0.516
152,3.51,-0.007,-0.29,0.897
153,3.37,-0.008,-0.336,0.845
154,3.28,-0.015,-0.65,0.965
155,3.25,-0.009,-0.392,0.965
156,3.03,-0.013,-0.56,0.948
157,2.77,-0.01,-0.42,0.914
158,3.06,0.0,0.0,0.696
159,3.31,0.001,0.042,0.778
160,3.08,0.0,0.0,0.745
161,3.28,-0.003,-0.14,0.931
162,3.14,-0.008,-0.344,0.879
