,mean,slp,chg,pvalue
0,44.952,0.765,32.137,0.082
1,43.816,0.751,31.535,0.082
2,43.796,0.711,29.88,0.099
3,43.223,0.695,29.208,0.108
4,43.782,0.685,28.756,0.113
5,44.345,0.679,28.532,0.16
6,45.038,0.646,27.15,0.174
7,44.752,0.644,27.067,0.189
8,44.884,0.627,26.34,0.16
9,43.91,0.66,27.72,0.189
10,42.357,0.663,27.86,0.212
11,41.501,0.651,27.342,0.229
12,41.909,0.618,25.944,0.212
13,41.33,0.589,24.735,0.174
14,40.642,0.633,26.6,0.174
15,40.201,0.592,24.856,0.174
16,40.761,0.582,24.43,0.212
17,41.484,0.617,25.925,0.196
18,41.92,0.63,26.479,0.189
19,42.056,0.623,26.157,0.212
20,41.885,0.57,23.94,0.212
21,41.318,0.566,23.776,0.204
22,40.9,0.581,24.382,0.189
23,40.753,0.566,23.782,0.204
24,41.603,0.566,23.78,0.238
25,41.611,0.582,24.448,0.257
26,41.904,0.597,25.095,0.247
27,42.178,0.587,24.675,0.247
28,42.46,0.59,24.762,0.238
29,42.744,0.589,24.745,0.247
30,43.034,0.597,25.091,0.229
31,43.176,0.601,25.253,0.247
32,43.062,0.655,27.503,0.221
33,41.788,0.658,27.621,0.229
34,41.21,0.639,26.831,0.229
35,40.794,0.647,27.18,0.276
36,40.514,0.648,27.23,0.307
37,40.228,0.648,27.203,0.286
38,40.085,0.65,27.3,0.238
39,40.067,0.616,25.867,0.238
40,40.352,0.613,25.76,0.257
41,40.758,0.577,24.229,0.257
42,41.879,0.559,23.458,0.257
43,41.472,0.593,24.925,0.266
44,42.05,0.609,25.581,0.286
45,42.039,0.598,25.106,0.317
46,42.316,0.583,24.471,0.323
47,42.32,0.589,24.745,0.317
48,42.308,0.565,23.73,0.286
49,42.03,0.58,24.36,0.276
50,40.637,0.615,25.812,0.266
51,39.213,0.606,25.44,0.189
52,38.808,0.648,27.195,0.094
53,38.52,0.631,26.482,0.061
54,39.092,0.634,26.611,0.047
55,39.247,0.664,27.902,0.049
56,39.789,0.619,25.978,0.074
57,40.925,0.62,26.026,0.074
58,42.065,0.64,26.88,0.108
59,42.761,0.622,26.138,0.129
60,43.333,0.635,26.686,0.113
61,44.862,0.574,24.09,0.094
62,46.844,0.578,24.272,0.135
63,49.222,0.535,22.47,0.238
64,49.892,0.453,19.04,0.425
65,50.374,0.287,12.033,0.678
66,50.317,0.174,7.29,0.849
67,51.205,0.25,10.5,0.884
68,53.201,0.282,11.844,0.796
69,58.414,0.227,9.513,0.796
70,60.404,0.259,10.865,0.831
71,63.956,0.282,11.854,0.645
72,64.53,0.289,12.137,0.728
73,65.9,0.491,20.608,0.728
74,69.92,0.601,25.253,0.661
75,72.593,0.856,35.97,0.438
76,80.496,0.812,34.093,0.452
77,82.152,1.014,42.595,0.363
78,89.976,1.091,45.819,0.508
79,95.351,1.092,45.86,0.613
80,103.907,0.943,39.62,0.613
81,104.986,0.832,34.926,0.814
82,103.293,0.566,23.79,0.728
83,120.32,0.66,27.72,0.955
84,130.588,0.536,22.5,0.814
85,138.338,0.746,31.328,0.796
86,143.551,0.702,29.494,0.745
87,159.22,0.91,38.22,0.661
88,184.1,0.871,36.573,0.711
89,210.073,0.736,30.9,0.937
90,205.426,1.061,44.573,0.728
91,240.704,1.158,48.644,0.796
92,280.504,0.669,28.101,0.919
93,339.789,0.377,15.848,1.0
94,369.618,0.605,25.391,0.919
95,371.142,0.823,34.573,0.902
96,351.556,1.272,53.445,0.884
97,318.157,2.395,100.574,0.678
98,298.778,3.254,136.689,0.645
99,348.637,3.924,164.808,0.465
100,333.498,4.776,200.576,0.465
101,285.385,4.77,200.36,0.387
102,272.621,4.992,209.664,0.34
103,263.41,4.12,173.04,0.296
104,259.236,3.692,155.08,0.257
105,277.232,3.184,133.718,0.296
106,257.257,3.703,155.505,0.238
107,245.425,3.801,159.63,0.189
108,235.15,3.918,164.575,0.124
109,210.748,3.787,159.035,0.09
110,200.812,3.726,156.485,0.086
111,204.716,3.891,163.433,0.044
112,206.218,4.075,171.159,0.03
113,196.638,4.717,198.1,0.029
114,189.884,4.796,201.453,0.019
115,184.726,4.953,208.015,0.017
116,179.335,5.2,218.4,0.011
117,174.169,5.068,212.872,0.004
118,169.235,5.66,237.72,0.002
119,167.11,5.66,237.72,0.001
120,161.47,5.14,215.88,0.001
121,156.114,4.888,205.304,0.002
122,150.31,4.892,205.455,0.003
123,146.386,4.683,196.675,0.004
124,143.663,4.326,181.68,0.005
125,161.579,4.217,177.114,0.007
126,162.986,4.202,176.465,0.013
127,157.76,4.22,177.24,0.015
128,149.902,4.354,182.862,0.012
129,147.793,4.385,184.17,0.008
130,172.069,4.539,190.647,0.009
131,167.692,4.273,179.48,0.012
132,191.045,4.0,168.0,0.009
133,191.708,3.626,152.298,0.049
134,186.406,3.503,147.131,0.061
135,180.439,3.449,144.838,0.082
