,mean,slp,chg,pvalue
0,0.76,0.014,0.588,0.059
1,0.73,0.01,0.434,0.159
2,0.76,0.01,0.42,0.114
3,0.69,0.014,0.584,0.104
4,0.65,0.008,0.315,0.386
5,0.63,0.007,0.298,0.278
6,0.68,0.007,0.294,0.251
7,0.65,0.004,0.158,0.53
8,0.59,0.002,0.106,0.544
9,0.71,0.002,0.1,0.288
10,0.76,0.0,0.0,0.745
11,0.87,0.016,0.668,0.072
12,0.79,0.008,0.35,0.121
13,0.7,0.006,0.262,0.423
14,0.72,0.005,0.19,0.386
15,0.71,0.008,0.334,0.251
16,0.79,0.008,0.35,0.217
17,0.74,0.012,0.504,0.072
18,0.79,0.006,0.232,0.461
19,0.79,0.005,0.192,0.778
20,0.68,-0.001,-0.05,0.68
21,0.65,-0.002,-0.104,0.948
22,0.74,-0.004,-0.176,0.965
23,0.82,-0.004,-0.186,0.862
24,0.82,-0.002,-0.084,0.812
25,0.68,-0.002,-0.104,0.931
26,0.62,-0.001,-0.022,0.931
27,0.55,0.0,0.0,0.828
28,0.54,0.001,0.04,0.618
29,0.57,-0.002,-0.076,0.862
30,0.61,-0.003,-0.14,0.729
31,0.63,-0.004,-0.16,0.516
32,0.79,-0.003,-0.118,0.573
33,0.77,-0.001,-0.052,0.983
34,0.7,0.0,0.0,0.762
35,0.68,0.003,0.124,0.618
36,0.65,0.006,0.252,0.264
37,0.83,0.014,0.57,0.029
38,0.79,0.016,0.66,0.091
39,0.79,0.01,0.42,0.054
40,0.71,0.008,0.342,0.079
41,0.71,0.007,0.308,0.26
42,0.76,0.005,0.224,0.474
43,0.73,0.007,0.304,0.374
44,0.71,0.014,0.595,0.099
45,0.74,0.009,0.362,0.455
46,0.99,0.014,0.59,0.225
47,0.8,0.016,0.69,0.114
48,0.76,0.011,0.455,0.351
49,1.02,0.006,0.268,0.745
50,1.08,-0.006,-0.256,0.072
51,1.02,-0.01,-0.42,0.124
52,1.08,-0.009,-0.396,0.201
53,1.16,-0.017,-0.7,0.069
54,1.22,-0.018,-0.75,0.351
55,1.1,0.003,0.132,0.558
56,1.06,0.004,0.188,0.762
57,1.13,0.017,0.728,0.135
58,0.93,0.006,0.25,0.495
59,0.82,0.002,0.084,0.737
60,0.85,0.011,0.46,0.165
61,0.93,0.01,0.42,0.165
62,1.02,0.009,0.385,0.618
63,0.85,0.002,0.068,0.278
64,0.96,-0.004,-0.186,0.948
65,1.3,-0.007,-0.3,0.573
66,1.22,-0.005,-0.21,0.845
67,1.33,-0.002,-0.105,0.812
68,1.26,0.005,0.2,0.319
69,1.19,0.0,0.0,0.745
70,1.27,0.008,0.342,0.544
71,1.2,0.001,0.032,0.603
72,1.19,-0.004,-0.158,0.633
73,1.12,-0.004,-0.168,0.649
74,1.04,0.0,0.0,0.914
75,0.92,-0.004,-0.16,0.745
76,1.1,-0.009,-0.382,0.217
77,1.28,0.008,0.326,0.879
