,mean,slp,chg,pvalue
0,0.819,-0.002,-0.092,0.212
1,0.804,-0.002,-0.084,0.369
2,0.759,-0.002,-0.07,0.567
3,0.804,-0.002,-0.089,0.508
4,0.765,-0.001,-0.03,0.686
5,0.74,0.0,0.0,0.605
6,0.82,-0.001,-0.041,0.686
7,0.799,-0.002,-0.084,0.334
8,0.759,-0.002,-0.09,0.432
9,0.759,-0.002,-0.07,0.598
10,0.774,-0.002,-0.07,0.438
11,0.784,-0.003,-0.131,0.328
12,0.789,-0.002,-0.084,0.387
13,0.789,-0.002,-0.084,0.508
14,0.778,-0.003,-0.105,0.486
15,0.784,-0.003,-0.117,0.522
16,0.784,-0.003,-0.122,0.419
17,0.778,-0.003,-0.115,0.479
18,0.774,-0.002,-0.099,0.412
19,0.758,-0.003,-0.109,0.307
20,0.76,-0.001,-0.043,0.508
21,0.739,-0.002,-0.072,0.393
22,0.758,-0.002,-0.101,0.574
23,0.759,-0.002,-0.07,0.438
24,0.744,-0.003,-0.127,0.363
25,0.749,-0.003,-0.12,0.452
26,0.739,-0.002,-0.096,0.387
27,0.749,-0.002,-0.084,0.271
28,0.749,-0.002,-0.094,0.375
29,0.75,0.0,0.0,0.946
30,0.76,0.001,0.047,0.831
31,0.75,0.0,0.0,0.866
32,0.734,-0.0,-0.013,0.866
33,0.74,0.0,0.0,0.814
34,0.74,0.0,0.0,0.991
35,0.715,0.0,0.012,0.937
36,0.735,0.0,0.0,0.866
37,0.76,-0.001,-0.022,0.508
38,0.765,0.0,0.0,0.991
39,0.77,0.001,0.023,0.857
40,0.74,0.0,0.0,0.814
41,0.74,0.0,0.0,0.955
42,0.776,0.001,0.029,0.753
43,0.75,0.0,0.0,0.991
44,0.755,-0.001,-0.042,0.762
45,0.815,0.0,0.0,0.745
46,0.79,0.0,0.0,0.796
47,0.775,0.0,0.0,0.937
48,0.815,0.0,0.0,0.937
49,0.84,0.0,0.0,0.928
50,0.835,-0.0,-0.01,0.991
51,0.845,0.0,0.0,0.753
52,0.85,0.0,0.0,0.937
53,0.85,0.0,0.0,0.991
54,0.85,0.0,0.0,0.893
55,0.879,-0.002,-0.105,0.537
56,0.879,-0.002,-0.084,0.645
57,0.895,-0.001,-0.039,0.866
58,0.894,-0.002,-0.082,0.745
59,0.909,-0.002,-0.066,0.694
60,0.909,-0.001,-0.06,0.661
61,0.945,-0.001,-0.04,0.796
62,0.935,0.0,0.0,0.964
63,0.949,-0.001,-0.06,0.762
64,0.93,-0.001,-0.037,0.982
65,1.045,0.0,0.0,0.973
