,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0034798518518518555,7.251193703703711,0.049799440528030425,-2.0,43.0,-0.147,-0.506,0.365,0.218
01-02,-0.0031483749999999993,6.591069999999998,0.051061895667491974,-1.0,43.0,-0.132,-0.456,0.36,0.228
01-03,-0.0031444444444444436,6.600188888888887,0.014722716110039835,-2.0,43.0,-0.132,-0.455,0.377,0.245
01-04,-0.0031444444444444406,6.600188888888882,0.015160331510561731,-2.0,43.0,-0.132,-0.456,0.377,0.245
01-05,-0.0040428571428571414,8.397014285714283,0.004073485971813895,-3.0,43.0,-0.17,-0.577,0.396,0.226
01-06,-0.00343845,7.1599,0.04155115527553166,-2.0,43.0,-0.144,-0.499,0.355,0.211
01-07,-0.0035266153846153846,7.334815769230769,0.01978241637683742,-2.0,43.0,-0.148,-0.512,0.356,0.208
01-08,-0.004001034482758622,8.302048965517244,0.03643988204684989,-2.0,43.0,-0.168,-0.578,0.384,0.216
01-09,-0.0037733333333333395,7.843816666666679,0.040498550556021584,-2.0,43.0,-0.158,-0.552,0.376,0.218
01-10,-0.0038261600000000008,7.955130000000001,0.07911175133550574,-1.0,43.0,-0.161,-0.558,0.383,0.222
01-11,-0.003951115384615381,8.213530769230761,0.02157337815213367,-2.0,43.0,-0.166,-0.573,0.394,0.228
01-12,-0.004444148148148148,9.199596296296296,0.012294250584543809,-2.0,43.0,-0.187,-0.641,0.405,0.218
01-13,-0.00431331034482759,8.929430689655181,0.016103557002635327,-2.0,43.0,-0.181,-0.621,0.393,0.212
01-14,-0.004322181818181819,8.955663636363637,0.012280630936959858,-2.0,43.0,-0.181,-0.608,0.402,0.221
01-15,-0.004377066666666674,9.065433333333347,0.014273508090020703,-2.0,43.0,-0.184,-0.612,0.403,0.219
01-16,-0.004467357142857147,9.246014285714294,0.010826998776066299,-2.0,43.0,-0.188,-0.625,0.405,0.217
01-17,-0.004811,9.933300000000001,0.01760134178331474,-2.0,43.0,-0.202,-0.667,0.412,0.21
01-18,-0.004716666666666665,9.74463333333333,0.030179046748060046,-2.0,43.0,-0.198,-0.652,0.41,0.212
01-19,-0.005154642857142858,10.620585714285715,0.010210667624081182,-2.0,43.0,-0.217,-0.709,0.42,0.203
01-20,-0.005188333333333332,10.696456666666663,0.017058703784839535,-2.0,43.0,-0.218,-0.711,0.429,0.211
01-21,-0.00566,11.63696,0.04729270429465848,-2.0,43.0,-0.238,-0.77,0.436,0.198
01-22,-0.005046833333333334,10.413456666666667,0.02348187682492986,-2.0,43.0,-0.212,-0.697,0.426,0.214
01-23,-0.005348700000000009,11.025680000000017,0.012294250584543809,-2.0,43.0,-0.225,-0.729,0.441,0.216
01-24,-0.0047209545454545455,9.75886909090909,0.017102081787313317,-2.0,43.0,-0.198,-0.658,0.416,0.218
01-25,-0.005414733333333333,11.140766666666666,0.049799440528030425,-2.0,43.0,-0.227,-0.754,0.425,0.198
01-26,-0.005106863636363642,10.513707272727284,0.04614335216376597,-2.0,43.0,-0.214,-0.701,0.407,0.193
01-27,-0.005306250000000005,10.91531000000001,0.020384123086390593,-2.0,43.0,-0.223,-0.729,0.414,0.191
01-28,-0.004935243902439024,10.190277804878047,0.009589562020522635,-3.0,43.0,-0.207,-0.665,0.423,0.216
01-29,-0.004957379310344828,10.217568620689656,0.015188189119815787,-2.0,43.0,-0.208,-0.671,0.407,0.199
01-30,-0.0053635238095238085,11.035517619047617,0.018149650128641337,-2.0,43.0,-0.225,-0.721,0.421,0.196
01-31,-0.005255714285714296,10.817068571428592,0.017115104092117805,-2.0,43.0,-0.221,-0.704,0.416,0.195
02-01,-0.005490200000000003,11.286040000000005,0.011927761358750288,-2.0,43.0,-0.231,-0.737,0.421,0.19
02-02,-0.005145454545454544,10.590889090909087,0.014315405281054794,-2.0,43.0,-0.216,-0.689,0.408,0.192
02-03,-0.005268153846153847,10.867417692307693,0.012681177779913178,-2.0,43.0,-0.222,-0.71,0.442,0.22
02-04,-0.005231212121212122,10.796364242424245,0.02157337815213367,-2.0,43.0,-0.22,-0.7,0.444,0.224
02-05,-0.005215285714285728,10.758851428571456,0.010539001199870945,-2.0,43.0,-0.219,-0.693,0.438,0.219
02-06,-0.0055511538461538446,11.41360769230769,0.015200134865169801,-2.0,43.0,-0.233,-0.734,0.428,0.195
02-07,-0.00504931578947369,10.40993157894738,0.02097137075715194,-2.0,43.0,-0.212,-0.674,0.417,0.205
02-08,-0.0050195263157894725,10.356012631578944,0.017102081787313317,-2.0,43.0,-0.21,-0.668,0.422,0.212
02-09,-0.004952500000000004,10.216300000000007,0.024168389484297226,-2.0,43.0,-0.208,-0.664,0.415,0.207
02-10,-0.0047961052631579,9.9035105263158,0.03549195787903092,-2.0,43.0,-0.201,-0.644,0.412,0.211
02-11,-0.004770571428571427,9.852442857142853,0.059334618438994235,-1.0,43.0,-0.2,-0.634,0.411,0.211
02-12,-0.004669500000000004,9.650300000000009,0.03188869217908574,-2.0,43.0,-0.196,-0.611,0.409,0.213
02-13,-0.004716666666666665,9.74746333333333,0.03646187142108093,-2.0,43.0,-0.198,-0.619,0.413,0.215
02-14,-0.004669499999999965,9.66727999999993,0.031023812973947074,-2.0,43.0,-0.196,-0.614,0.426,0.23
02-15,-0.004716666666666678,9.758783333333357,0.02350363607565642,-2.0,43.0,-0.199,-0.624,0.425,0.226
02-16,-0.004673128205128205,9.66321641025641,0.04493415457795269,-2.0,43.0,-0.196,-0.615,0.415,0.219
02-17,-0.004622333333333336,9.555966666666672,0.11111762009317694,-0.0,43.0,-0.194,-0.612,0.408,0.214
02-18,-0.004571538461538469,9.45437692307694,0.07373177077452997,-1.0,43.0,-0.192,-0.609,0.407,0.215
02-19,-0.004467357142857147,9.240354285714295,0.1238264440291208,-0.0,43.0,-0.187,-0.595,0.399,0.212
02-20,-0.00473140625,9.7656225,0.06079568621124132,-1.0,43.0,-0.199,-0.629,0.402,0.203
