,mean,slp,chg,pvalue
01-01,0.28,-0.001,-0.03,0.124
01-02,0.28,0.0,0.0,0.672
01-03,0.28,0.0,0.0,0.795
01-04,0.28,0.0,0.0,0.544
01-05,0.3,-0.0,-0.018,0.193
01-06,0.29,-0.001,-0.024,0.126
01-07,0.3,0.0,0.0,0.82
01-08,0.3,0.0,0.0,0.82
01-09,0.31,-0.0,-0.018,0.468
01-10,0.31,-0.001,-0.056,0.217
01-11,0.31,-0.001,-0.03,0.392
01-12,0.31,-0.001,-0.062,0.61
01-13,0.31,-0.001,-0.056,0.081
01-14,0.31,-0.002,-0.066,0.106
01-15,0.31,-0.001,-0.036,0.313
01-16,0.31,-0.001,-0.046,0.255
01-17,0.31,-0.002,-0.068,0.242
01-18,0.29,-0.001,-0.028,0.523
01-19,0.3,-0.001,-0.026,0.346
01-20,0.3,-0.0,-0.012,0.357
01-21,0.3,-0.0,-0.02,0.753
01-22,0.31,-0.001,-0.028,0.233
01-23,0.31,-0.0,-0.02,0.175
01-24,0.33,0.0,0.0,0.641
01-25,0.31,0.001,0.04,0.721
01-26,0.31,0.001,0.044,0.38
01-27,0.31,0.001,0.038,0.991
01-28,0.31,0.001,0.046,0.931
01-29,0.31,0.002,0.063,0.34
01-30,0.33,0.003,0.112,0.05
01-31,0.33,0.002,0.084,0.237
02-01,0.32,0.001,0.054,0.474
02-02,0.31,0.003,0.105,0.175
02-03,0.31,0.002,0.094,0.093
02-04,0.34,0.002,0.105,0.054
02-05,0.34,0.003,0.108,0.076
02-06,0.34,0.002,0.074,0.183
02-07,0.34,0.002,0.08,0.095
02-08,0.34,0.002,0.084,0.072
02-09,0.36,0.002,0.088,0.07
02-10,0.35,0.001,0.044,0.126
02-11,0.34,0.0,0.01,0.193
02-12,0.36,0.001,0.046,0.416
02-13,0.38,0.0,0.0,0.502
02-14,0.41,-0.002,-0.074,0.897
02-15,0.41,-0.002,-0.07,0.948
02-16,0.38,-0.001,-0.052,0.423
02-17,0.38,-0.001,-0.056,0.146
02-18,0.37,-0.002,-0.072,0.069
02-19,0.4,-0.002,-0.084,0.135
02-20,0.42,-0.004,-0.166,0.062
02-21,0.42,-0.003,-0.12,0.159
02-22,0.45,-0.004,-0.162,0.186
02-23,0.42,-0.006,-0.252,0.062
02-24,0.48,-0.008,-0.33,0.011
02-25,0.48,-0.009,-0.385,0.016
02-26,0.48,-0.008,-0.315,0.054
02-27,0.51,-0.005,-0.225,0.062
02-28,0.53,-0.005,-0.189,0.095
03-01,0.51,-0.004,-0.175,0.039
03-02,0.54,-0.006,-0.27,0.135
03-03,0.57,-0.005,-0.21,0.269
03-04,0.59,-0.008,-0.334,0.179
03-05,0.62,-0.008,-0.314,0.114
03-06,0.85,-0.008,-0.326,0.213
03-07,0.95,-0.008,-0.356,0.251
03-08,0.88,-0.009,-0.378,0.217
03-09,0.75,-0.009,-0.382,0.209
03-10,0.76,-0.008,-0.334,0.251
03-11,0.8,-0.007,-0.28,0.649
03-12,0.9,-0.007,-0.3,0.303
03-13,1.0,-0.01,-0.41,0.53
03-14,1.08,-0.013,-0.56,0.474
03-15,0.95,-0.009,-0.388,0.68
03-16,0.99,-0.001,-0.024,0.649
03-17,0.96,0.001,0.046,0.762
03-18,1.01,-0.002,-0.096,0.713
03-19,1.02,0.0,0.0,0.897
03-20,1.1,0.0,0.0,0.762
03-21,1.1,-0.003,-0.116,0.862
03-22,1.28,0.003,0.134,0.778
03-23,1.27,0.004,0.152,0.778
03-24,1.33,0.0,0.0,0.845
03-25,1.44,0.0,0.0,0.914
03-26,1.31,-0.006,-0.236,0.649
03-27,1.22,-0.004,-0.152,0.573
03-28,1.22,-0.003,-0.114,0.618
03-29,1.41,-0.004,-0.184,0.435
03-30,1.14,-0.0,-0.02,0.665
03-31,1.17,-0.001,-0.028,0.558
04-01,1.3,-0.0,-0.018,0.626
04-02,1.37,-0.002,-0.063,0.828
04-03,1.45,-0.001,-0.04,0.729
04-04,1.36,0.001,0.024,0.965
04-05,1.38,-0.001,-0.052,0.879
04-06,1.47,-0.006,-0.262,0.713
04-07,1.47,-0.002,-0.09,0.879
04-08,1.47,0.0,0.0,0.914
04-09,1.44,0.001,0.05,0.931
04-10,1.42,0.002,0.072,0.948
04-11,1.42,-0.0,-0.02,0.778
04-12,1.58,-0.002,-0.088,0.502
04-13,1.75,-0.003,-0.14,0.34
04-14,1.59,-0.006,-0.272,0.319
04-15,1.81,-0.01,-0.42,0.308
04-16,1.88,-0.02,-0.819,0.217
04-17,1.67,-0.024,-1.016,0.165
04-18,1.78,-0.028,-1.186,0.179
04-19,1.67,-0.024,-1.024,0.165
04-20,1.72,-0.022,-0.934,0.209
04-21,1.77,-0.021,-0.882,0.26
04-22,1.69,-0.018,-0.762,0.34
04-23,1.82,-0.023,-0.945,0.516
04-24,1.96,-0.024,-0.992,0.558
04-25,2.01,-0.021,-0.862,0.298
04-26,1.87,-0.023,-0.945,0.225
04-27,1.9,-0.02,-0.84,0.209
04-28,2.08,-0.025,-1.038,0.193
04-29,2.04,-0.027,-1.134,0.153
04-30,2.05,-0.029,-1.22,0.179
05-01,2.11,-0.033,-1.38,0.233
05-02,2.07,-0.035,-1.458,0.225
05-03,2.15,-0.035,-1.47,0.251
05-04,2.21,-0.043,-1.788,0.329
05-05,2.36,-0.04,-1.68,0.179
05-06,2.64,-0.031,-1.295,0.129
05-07,2.72,-0.03,-1.25,0.146
05-08,2.5,-0.031,-1.32,0.193
05-09,2.33,-0.026,-1.108,0.193
05-10,2.18,-0.027,-1.144,0.26
05-11,2.09,-0.026,-1.092,0.26
05-12,2.11,-0.025,-1.062,0.288
05-13,1.94,-0.028,-1.168,0.298
05-14,2.09,-0.029,-1.218,0.269
05-15,2.25,-0.029,-1.228,0.298
05-16,2.35,-0.031,-1.3,0.351
05-17,2.3,-0.037,-1.572,0.269
05-18,2.16,-0.04,-1.68,0.374
05-19,2.09,-0.034,-1.412,0.319
05-20,2.32,-0.044,-1.834,0.269
05-21,2.26,-0.043,-1.82,0.34
05-22,2.12,-0.046,-1.92,0.34
05-23,2.24,-0.049,-2.04,0.319
05-24,2.29,-0.047,-1.96,0.461
05-25,2.21,-0.048,-2.036,0.374
05-26,2.09,-0.05,-2.1,0.308
05-27,1.95,-0.05,-2.088,0.34
05-28,2.12,-0.042,-1.764,0.351
05-29,2.01,-0.04,-1.68,0.329
05-30,2.04,-0.034,-1.448,0.351
05-31,2.04,-0.03,-1.26,0.374
06-01,1.9,-0.028,-1.184,0.308
06-02,1.78,-0.025,-1.036,0.308
06-03,1.72,-0.025,-1.05,0.298
06-04,1.52,-0.025,-1.042,0.34
06-05,1.41,-0.026,-1.074,0.363
06-06,1.36,-0.021,-0.9,0.329
06-07,1.33,-0.019,-0.814,0.298
06-08,1.3,-0.018,-0.756,0.269
06-09,1.19,-0.017,-0.7,0.251
06-10,1.13,-0.015,-0.65,0.313
06-11,1.07,-0.014,-0.588,0.288
06-12,0.97,-0.013,-0.55,0.269
06-13,0.93,-0.013,-0.56,0.225
06-14,0.88,-0.012,-0.504,0.288
06-15,0.84,-0.012,-0.51,0.308
06-16,0.79,-0.012,-0.496,0.374
06-17,0.82,-0.012,-0.488,0.351
06-18,0.81,-0.011,-0.47,0.435
06-19,0.74,-0.009,-0.396,0.448
06-20,0.7,-0.009,-0.37,0.448
06-21,0.71,-0.008,-0.314,0.423
06-22,0.68,-0.007,-0.28,0.461
06-23,0.62,-0.006,-0.27,0.474
06-24,0.57,-0.006,-0.238,0.448
06-25,0.54,-0.006,-0.236,0.423
06-26,0.51,-0.005,-0.21,0.435
06-27,0.48,-0.005,-0.194,0.38
06-28,0.45,-0.005,-0.2,0.324
06-29,0.42,-0.005,-0.21,0.374
06-30,0.4,-0.004,-0.18,0.386
07-01,0.4,-0.004,-0.168,0.363
07-02,0.37,-0.004,-0.165,0.368
07-03,0.361,-0.004,-0.165,0.38
07-04,0.33,-0.003,-0.13,0.392
07-05,0.31,-0.003,-0.105,0.423
07-06,0.29,-0.002,-0.096,0.442
07-07,0.28,-0.002,-0.084,0.346
07-08,0.27,-0.002,-0.084,0.357
07-09,0.27,-0.002,-0.084,0.363
07-10,0.25,-0.002,-0.062,0.398
07-11,0.24,-0.001,-0.06,0.41
07-12,0.23,-0.001,-0.058,0.416
07-13,0.23,-0.001,-0.054,0.461
07-14,0.22,-0.001,-0.045,0.53
07-15,0.21,-0.001,-0.046,0.423
07-16,0.2,-0.001,-0.046,0.319
07-17,0.2,-0.001,-0.046,0.374
07-18,0.2,-0.001,-0.048,0.335
07-19,0.2,-0.001,-0.056,0.246
07-20,0.19,-0.001,-0.046,0.193
07-21,0.19,-0.001,-0.042,0.233
07-22,0.19,-0.001,-0.054,0.237
07-23,0.18,-0.001,-0.056,0.274
07-24,0.17,-0.001,-0.04,0.298
07-25,0.17,-0.001,-0.032,0.324
07-26,0.17,-0.001,-0.026,0.422
07-27,0.18,-0.001,-0.022,0.508
07-28,0.17,-0.0,-0.016,0.53
07-29,0.17,-0.0,-0.02,0.753
07-30,0.17,-0.001,-0.021,0.753
07-31,0.17,-0.001,-0.028,0.712
08-01,0.17,-0.0,-0.018,0.778
08-02,0.16,0.0,0.0,0.905
08-03,0.16,0.0,0.0,0.862
08-04,0.17,-0.0,-0.01,0.745
08-05,0.16,0.0,0.0,0.862
08-06,0.16,0.0,0.0,0.854
08-07,0.16,0.0,0.0,0.957
08-08,0.16,0.0,0.0,0.94
08-09,0.16,0.0,0.0,0.888
08-10,0.16,0.0,0.0,0.957
08-11,0.16,0.0,0.0,0.931
08-12,0.16,0.0,0.0,1.0
08-13,0.16,0.0,0.0,0.837
08-14,0.16,-0.0,-0.014,0.965
08-15,0.16,-0.0,-0.018,0.544
08-16,0.16,-0.0,-0.015,0.712
08-17,0.16,-0.0,-0.016,0.461
08-18,0.16,-0.0,-0.014,0.501
08-19,0.16,-0.0,-0.02,0.657
08-20,0.16,-0.0,-0.012,0.795
08-21,0.16,-0.0,-0.015,0.603
08-22,0.16,-0.0,-0.014,0.573
08-23,0.16,0.0,0.0,0.795
08-24,0.16,0.0,0.0,0.888
08-25,0.16,0.0,0.0,0.871
08-26,0.16,0.0,0.0,0.983
08-27,0.16,0.0,0.0,0.888
08-28,0.16,0.0,0.0,0.965
08-29,0.16,0.0,0.0,0.974
08-30,0.16,0.0,0.0,0.737
08-31,0.16,0.0,0.0,0.565
09-01,0.16,0.0,0.0,0.82
09-02,0.16,0.0,0.0,0.837
09-03,0.16,0.0,0.0,0.837
09-04,0.16,0.0,0.0,0.672
09-05,0.16,0.0,0.0,0.828
09-06,0.16,0.0,0.0,0.649
09-07,0.16,0.0,0.0,0.61
09-08,0.16,0.0,0.0,0.641
09-09,0.17,0.0,0.0,0.522
09-10,0.17,-0.0,-0.012,0.288
09-11,0.17,-0.0,-0.014,0.197
09-12,0.17,-0.0,-0.02,0.084
09-13,0.17,-0.001,-0.024,0.021
09-14,0.18,-0.001,-0.024,0.019
09-15,0.18,-0.0,-0.016,0.059
09-16,0.18,-0.001,-0.024,0.038
09-17,0.18,-0.001,-0.028,0.038
09-18,0.18,-0.001,-0.024,0.081
09-19,0.18,-0.0,-0.02,0.155
09-20,0.18,-0.001,-0.022,0.135
09-21,0.18,-0.0,-0.012,0.264
09-22,0.18,0.0,0.0,0.246
09-23,0.18,0.0,0.0,0.283
09-24,0.18,0.0,0.0,0.323
09-25,0.18,-0.0,-0.012,0.288
09-26,0.18,-0.001,-0.022,0.229
09-27,0.18,-0.001,-0.024,0.126
09-28,0.19,-0.001,-0.024,0.083
09-29,0.19,-0.001,-0.026,0.065
09-30,0.19,-0.001,-0.032,0.124
10-01,0.19,-0.001,-0.026,0.137
10-02,0.2,-0.0,-0.02,0.313
10-03,0.19,-0.001,-0.028,0.246
10-04,0.2,-0.001,-0.032,0.335
10-05,0.2,-0.001,-0.026,0.273
10-06,0.2,-0.001,-0.03,0.197
10-07,0.2,-0.001,-0.032,0.074
10-08,0.2,-0.001,-0.028,0.081
10-09,0.2,-0.001,-0.035,0.095
10-10,0.2,-0.001,-0.038,0.058
10-11,0.21,-0.001,-0.032,0.095
10-12,0.21,-0.001,-0.042,0.015
10-13,0.21,-0.001,-0.04,0.032
10-14,0.21,-0.001,-0.038,0.061
