,mean,slp,chg,pvalue
0,4.81,0.085,3.56,0.012
1,4.53,0.09,3.794,0.01
2,4.841,0.077,3.255,0.007
3,5.94,0.078,3.29,0.042
4,5.38,0.061,2.555,0.083
5,5.09,0.069,2.916,0.029
6,4.53,0.065,2.73,0.023
7,4.16,0.057,2.38,0.012
8,4.24,0.065,2.73,0.007
9,4.39,0.091,3.826,0.002
10,4.53,0.102,4.294,0.0
11,4.53,0.17,7.14,0.02
12,4.53,0.139,5.84,0.03
13,4.53,0.092,3.876,0.102
14,4.24,0.079,3.318,0.162
15,4.53,0.08,3.36,0.01
16,4.24,0.085,3.57,0.072
17,4.53,0.073,3.08,0.022
18,4.24,0.056,2.352,0.037
19,4.13,0.043,1.82,0.047
20,3.79,0.034,1.42,0.059
21,3.96,0.033,1.374,0.087
22,3.82,0.021,0.892,0.386
23,3.96,0.017,0.722,0.455
24,3.96,0.02,0.86,0.283
25,3.68,0.034,1.428,0.072
26,3.82,0.04,1.68,0.024
27,3.68,0.04,1.68,0.024
28,3.68,0.039,1.636,0.037
29,3.68,0.037,1.55,0.054
30,3.96,0.034,1.412,0.159
31,4.24,0.028,1.176,0.329
32,4.24,0.028,1.19,0.209
33,4.24,0.002,0.086,0.516
34,4.24,0.015,0.642,0.386
35,4.24,0.019,0.812,0.179
36,3.96,0.019,0.818,0.288
37,3.79,0.033,1.4,0.172
38,3.68,0.048,2.01,0.095
39,3.68,0.046,1.928,0.076
40,3.4,0.043,1.82,0.042
41,3.4,0.024,0.998,0.423
42,3.4,0.025,1.05,0.329
43,3.4,0.023,0.95,0.649
44,3.68,0.03,1.26,0.588
45,3.68,0.038,1.596,0.293
46,3.96,0.04,1.692,0.351
47,3.68,0.029,1.236,0.696
48,4.24,0.022,0.934,0.649
49,4.53,0.019,0.8,0.828
50,4.24,0.016,0.654,0.905
51,4.81,-0.005,-0.21,0.319
52,4.95,0.006,0.268,0.665
53,4.9,-0.022,-0.928,0.386
54,5.26,-0.014,-0.588,0.588
55,5.66,0.025,1.05,0.278
56,4.81,0.023,0.98,0.264
57,5.09,0.051,2.152,0.076
58,5.38,0.071,2.992,0.036
59,5.69,0.081,3.396,0.056
60,5.66,0.068,2.84,0.051
61,4.75,0.061,2.572,0.026
62,4.47,0.039,1.652,0.059
63,4.81,0.016,0.692,0.448
64,4.67,0.009,0.392,0.502
65,5.409,0.01,0.435,0.53
66,5.58,0.043,1.82,0.502
67,5.89,0.032,1.344,0.461
68,6.65,0.055,2.32,0.278
69,7.07,0.066,2.792,0.165
70,7.61,0.043,1.81,0.34
71,6.37,0.033,1.37,0.329
72,6.23,0.052,2.17,0.329
73,6.45,0.032,1.35,0.329
74,5.97,0.025,1.032,0.448
75,6.51,0.021,0.878,0.649
76,6.03,-0.012,-0.49,0.762
77,6.23,-0.006,-0.246,1.0
78,6.93,-0.029,-1.198,0.41
79,6.23,-0.048,-2.006,0.502
80,7.81,-0.087,-3.64,0.054
81,6.34,-0.064,-2.704,0.186
82,5.72,-0.043,-1.804,0.109
83,6.929,-0.068,-2.835,0.141
84,7.9,-0.08,-3.36,0.242
85,8.63,-0.015,-0.63,0.729
