,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.41080645161290297,-780.8609032258059,0.5879084322109032,0.0,43.0,17.254,0.296,32.125,49.379
01-02,0.3825740740740742,-724.1131481481483,0.5296315348267777,0.0,43.0,16.068,0.291,33.001,49.069
01-03,0.27895714285714285,-522.2562857142857,0.6181176400135011,0.0,43.0,11.716,0.22,29.8,41.516
01-04,0.02021428571428555,-3.9215714285710987,0.7450889812709389,0.0,43.0,0.85,0.016,36.082,36.932
01-05,-0.06658823529411773,171.09847058823544,0.6181176400135011,-0.0,43.0,-2.796,-0.054,39.32,36.524
01-06,0.05660000000000025,-73.0140000000005,1.0,0.0,43.0,2.378,0.046,38.997,41.375
01-07,0.202142857142857,-368.3447142857141,0.8623384168158528,0.0,43.0,8.49,0.154,31.696,40.186
01-08,0.16004137931034476,-285.27375862068953,0.930910680164664,0.0,43.0,6.722,0.114,31.448,38.17
01-09,0.3006875,-560.906,0.6029278873524366,0.0,43.0,12.628,0.214,34.155,46.783
01-10,0.028300000000000124,-13.867000000000253,0.930910680164664,0.0,43.0,1.188,0.019,42.139,43.327
01-11,-0.0994324324324325,248.955864864865,0.7781182480506512,-0.0,43.0,-4.176,-0.067,52.179,48.003
01-12,0.28394333333333327,-521.7576666666665,0.5584004547635599,0.0,43.0,11.926,0.197,40.166,52.092
01-13,0.7975454545454546,-1546.414909090909,0.12920748707657004,0.0,43.0,33.496,0.48,31.928,65.424
01-14,0.4716666666666668,-899.4683333333336,0.3859468605971168,0.0,43.0,19.81,0.303,33.96,53.77
01-15,0.2672777777777778,-494.6525555555555,0.6181176400135011,0.0,43.0,11.226,0.176,34.29,45.516
01-16,0.1886666666666675,-341.109333333335,0.7615493074182684,0.0,43.0,7.924,0.135,32.262,40.186
01-17,0.1061249999999998,-175.1769999999996,0.8965279189482995,0.0,43.0,4.458,0.075,34.844,39.302
01-18,0.6603333333333333,-1269.4436666666666,0.36264285850970546,0.0,43.0,27.734,0.414,37.356,65.09
01-19,0.9743285714285713,-1898.2831428571426,0.0791469808907781,1.0,43.0,40.922,0.515,29.913,70.835
01-20,0.86315,-1676.492,0.10403298714422626,0.0,43.0,36.252,0.534,31.682,67.934
01-21,0.6980666666666667,-1350.8533333333335,0.15256341552303954,0.0,43.0,29.318,0.494,30.621,59.939
01-22,0.5126653846153846,-986.8427692307691,0.10403298714422626,0.0,43.0,21.532,0.402,27.722,49.254
01-23,0.38205,-727.3100000000001,0.3859468605971168,0.0,43.0,16.046,0.311,28.767,44.813
01-24,0.30056551724137937,-563.7750344827588,0.6029278873524366,0.0,43.0,12.624,0.239,31.044,43.668
01-25,0.20163750000000014,-369.5980000000003,0.5584004547635599,0.0,43.0,8.468,0.158,29.443,37.911
01-26,0.14352142857142855,-247.13985714285712,0.7615493074182684,0.0,43.0,6.028,0.119,36.889,42.917
01-27,0.12735000000000007,-217.91000000000017,0.828404904759906,0.0,43.0,5.348,0.116,34.116,39.464
01-28,0.14326875000000006,-248.8985000000001,0.8453357931297272,0.0,43.0,6.018,0.13,34.63,40.648
01-29,0.1454305555555555,-254.07111111111098,0.8115533673850392,0.0,43.0,6.108,0.122,33.736,39.844
01-30,0.28919062500000003,-539.0442500000001,0.42257215707244233,0.0,43.0,12.146,0.226,33.264,45.41
