,mean,slp,chg,pvalue
0,11.94,0.191,8.03,0.072
1,11.89,0.181,7.586,0.065
2,11.32,0.163,6.832,0.034
3,14.32,0.254,10.66,0.039
4,15.79,0.215,9.03,0.037
5,12.71,0.244,10.256,0.034
6,11.38,0.204,8.554,0.069
7,10.39,0.183,7.676,0.017
8,10.1,0.177,7.44,0.014
9,9.99,0.219,9.184,0.011
10,10.56,0.222,9.346,0.007
11,10.87,0.301,12.622,0.008
12,12.11,0.443,18.586,0.015
13,11.32,0.349,14.654,0.0
14,11.26,0.269,11.314,0.076
15,11.09,0.268,11.254,0.023
16,11.29,0.27,11.34,0.018
17,11.6,0.291,12.236,0.039
18,11.32,0.267,11.224,0.002
19,11.74,0.228,9.585,0.017
20,11.55,0.15,6.3,0.114
21,11.29,0.141,5.922,0.051
22,9.93,0.162,6.825,0.042
23,10.67,0.204,8.586,0.027
24,11.21,0.248,10.408,0.011
25,10.7,0.214,8.967,0.022
26,9.96,0.207,8.674,0.014
27,9.2,0.22,9.24,0.004
28,9.62,0.187,7.846,0.005
29,9.62,0.202,8.49,0.005
30,9.62,0.147,6.18,0.015
31,9.51,0.127,5.344,0.044
32,9.62,0.121,5.082,0.091
33,10.41,0.036,1.504,0.983
34,10.61,0.036,1.504,0.573
35,11.04,0.063,2.636,0.448
36,9.9,0.082,3.448,0.319
37,9.62,0.081,3.39,0.374
38,9.06,0.113,4.76,0.398
39,9.34,0.121,5.084,0.329
40,8.49,0.093,3.92,0.264
41,8.21,0.096,4.044,0.298
42,8.21,0.104,4.389,0.233
43,8.49,0.087,3.65,0.308
44,9.2,0.084,3.516,0.53
45,8.77,0.058,2.444,0.516
46,11.77,0.126,5.28,0.351
47,11.83,0.131,5.52,0.386
48,11.77,0.137,5.764,0.329
49,11.01,0.102,4.29,0.745
50,13.53,0.051,2.158,0.879
51,13.36,-0.03,-1.26,0.114
52,13.13,-0.045,-1.89,0.217
53,14.32,-0.05,-2.1,0.374
54,15.56,-0.059,-2.482,0.696
55,16.13,0.017,0.714,0.573
56,13.58,0.024,0.998,0.649
57,12.96,0.101,4.258,0.217
58,14.89,0.202,8.49,0.056
59,14.83,0.181,7.584,0.076
60,15.0,0.121,5.1,0.091
61,15.17,0.155,6.502,0.104
62,14.01,0.162,6.804,0.095
63,13.98,0.112,4.694,0.329
64,13.98,0.056,2.368,0.618
65,13.33,0.065,2.73,0.41
66,13.92,0.028,1.188,0.398
67,16.98,0.053,2.224,0.502
68,14.15,0.074,3.104,0.329
69,18.2,0.115,4.83,0.298
70,17.89,0.151,6.356,0.423
71,18.31,0.139,5.842,0.298
72,22.47,0.103,4.308,0.308
73,21.22,0.123,5.15,0.53
74,20.26,0.146,6.14,0.124
75,17.38,0.079,3.302,0.298
76,16.67,-0.006,-0.24,0.516
77,17.43,0.07,2.96,0.897
78,17.74,0.017,0.735,0.983
79,17.8,0.012,0.49,0.778
80,21.14,0.017,0.714,0.461
81,18.2,0.027,1.14,0.931
82,20.01,0.056,2.36,0.812
83,20.55,-0.03,-1.26,0.845
84,23.91,-0.118,-4.974,0.53
85,23.38,-0.045,-1.89,0.618
86,21.54,0.057,2.404,0.696
87,20.94,0.118,4.952,0.558
88,22.53,0.249,10.458,0.278
89,21.76,0.23,9.66,0.201
90,23.97,0.141,5.932,0.573
91,23.09,0.103,4.346,0.812
92,21.34,0.013,0.55,0.745
93,26.94,-0.058,-2.44,0.278
94,24.99,-0.031,-1.3,0.298
95,22.1,-0.001,-0.038,0.68
96,21.31,0.049,2.05,0.914
97,22.67,0.108,4.544,0.618
98,22.36,-0.08,-3.34,0.812
99,21.39,-0.148,-6.222,0.53
100,19.36,-0.186,-7.818,0.558
101,21.31,-0.111,-4.67,0.729
102,23.89,-0.104,-4.368,0.812
103,22.02,-0.091,-3.804,0.729
104,21.2,-0.185,-7.776,0.386
105,19.3,-0.211,-8.88,0.233
106,19.24,-0.162,-6.812,0.41
107,18.48,-0.174,-7.326,0.251
108,18.31,-0.16,-6.708,0.209
109,18.28,-0.128,-5.38,0.696
110,16.27,-0.015,-0.618,0.696
111,16.27,-0.059,-2.474,0.502
112,15.85,0.042,1.786,0.914
113,19.61,-0.013,-0.552,0.778
114,17.89,0.014,0.58,0.795
115,18.51,0.105,4.43,0.588
116,18.99,0.074,3.104,0.435
117,16.87,0.011,0.464,0.53
118,15.88,-0.029,-1.218,0.795
119,15.4,0.021,0.892,0.828
120,15.59,0.074,3.114,0.474
121,16.58,0.11,4.62,0.298
122,15.48,0.06,2.52,0.633
123,18.0,0.034,1.412,0.618
124,17.01,0.081,3.42,0.374
125,14.55,0.042,1.75,0.544
126,13.9,0.019,0.788,0.762
127,14.21,0.091,3.815,0.386
128,13.701,0.108,4.545,0.278
129,14.69,0.109,4.582,0.386
130,13.36,0.064,2.702,0.41
131,14.631,0.093,3.927,0.53
132,12.42,0.092,3.85,0.398
133,12.71,0.092,3.864,0.516
134,12.59,0.14,5.866,0.159
135,16.58,0.21,8.81,0.044
136,14.43,0.232,9.724,0.044
137,12.74,0.162,6.825,0.135
138,11.94,0.166,6.988,0.141
139,10.87,0.097,4.082,0.351
140,10.1,0.053,2.24,0.862
141,9.2,0.041,1.738,0.665
142,9.45,0.044,1.844,0.461
143,9.14,-0.025,-1.062,0.845
144,8.91,-0.036,-1.508,0.633
145,9.4,-0.009,-0.398,0.948
146,9.0,0.019,0.79,0.461
147,8.63,-0.003,-0.118,0.696
148,8.94,0.048,2.016,0.329
149,9.65,0.027,1.128,0.488
150,8.55,0.022,0.922,0.53
151,7.98,-0.003,-0.14,0.696
152,9.11,-0.019,-0.79,0.897
153,9.34,-0.017,-0.714,1.0
154,9.23,-0.006,-0.252,0.845
155,9.59,0.013,0.564,0.558
156,8.07,0.022,0.92,0.41
157,7.58,0.013,0.532,0.558
158,6.54,0.01,0.42,0.573
159,6.91,0.044,1.862,0.363
160,7.5,0.042,1.778,0.233
161,7.07,0.045,1.872,0.217
162,6.76,0.042,1.77,0.398
163,6.17,0.037,1.568,0.573
164,6.03,0.039,1.65,0.53
165,6.54,0.01,0.42,0.729
166,5.32,0.014,0.595,0.931
167,5.74,0.014,0.59,0.965
168,5.41,0.024,1.008,0.53
169,5.58,0.042,1.76,0.201
170,5.43,0.044,1.86,0.179
171,5.21,0.046,1.952,0.124
172,4.64,0.046,1.932,0.153
173,4.73,0.032,1.334,0.269
174,4.61,0.036,1.53,0.34
175,4.73,0.053,2.21,0.298
176,4.47,0.069,2.898,0.069
177,3.96,0.07,2.958,0.036
178,4.58,0.092,3.864,0.014
179,4.27,0.058,2.418,0.062
180,4.81,0.028,1.158,0.474
181,5.04,0.042,1.764,0.209
182,5.15,0.05,2.1,0.217
183,4.44,0.044,1.828,0.225
184,4.08,0.052,2.182,0.129
185,4.1,0.04,1.68,0.135
186,3.82,0.033,1.4,0.374
187,3.42,0.023,0.954,0.319
188,3.79,0.05,2.1,0.114
189,3.48,0.049,2.044,0.114
190,3.54,0.049,2.054,0.193
191,3.25,0.062,2.604,0.024
192,3.37,0.041,1.72,0.186
193,3.57,0.027,1.12,0.588
194,3.06,0.031,1.298,0.374
195,2.89,0.044,1.86,0.135
196,3.91,0.042,1.772,0.298
197,3.57,0.036,1.532,0.165
198,3.0,0.042,1.75,0.109
199,3.03,0.039,1.628,0.172
200,2.89,0.027,1.136,0.313
201,3.96,0.02,0.826,0.713
202,3.76,0.006,0.252,0.897
203,3.68,0.031,1.32,0.41
204,4.1,0.124,5.196,0.193
205,3.68,0.105,4.41,0.386
206,3.71,0.083,3.5,0.308
207,3.62,0.047,1.96,0.26
208,3.59,0.046,1.914,0.233
209,3.65,0.077,3.25,0.065
210,3.71,0.073,3.087,0.026
211,3.25,0.079,3.314,0.023
212,2.74,0.062,2.608,0.046
213,2.64,0.06,2.52,0.039
214,2.83,0.047,1.99,0.095
215,3.48,0.067,2.808,0.029
216,3.11,0.072,3.024,0.042
217,3.14,0.067,2.828,0.135
218,2.91,0.08,3.36,0.029
219,2.89,0.081,3.42,0.054
220,2.97,0.067,2.808,0.036
221,2.8,0.066,2.778,0.054
222,2.83,0.081,3.386,0.005
223,3.03,0.11,4.62,0.0
224,3.08,0.119,4.98,0.001
225,3.2,0.092,3.85,0.0
226,2.86,0.079,3.314,0.001
227,2.66,0.085,3.558,0.002
228,2.69,0.075,3.16,0.005
229,2.55,0.085,3.56,0.001
230,2.18,0.085,3.57,0.0
231,2.19,0.066,2.754,0.002
232,2.11,0.066,2.756,0.0
233,2.31,0.086,3.608,0.0
234,2.13,0.095,4.004,0.0
235,2.04,0.073,3.066,0.001
236,1.92,0.062,2.604,0.001
237,2.05,0.053,2.212,0.003
238,1.95,0.048,2.02,0.005
239,2.09,0.055,2.322,0.007
240,2.61,0.05,2.09,0.017
241,2.12,0.05,2.088,0.027
242,1.92,0.043,1.792,0.034
243,2.26,0.05,2.1,0.03
244,2.21,0.052,2.172,0.024
245,2.32,0.072,3.016,0.013
246,2.41,0.061,2.548,0.023
247,2.25,0.055,2.294,0.017
248,1.96,0.039,1.656,0.026
249,1.979,0.04,1.695,0.008
250,1.99,0.036,1.53,0.024
251,2.04,0.034,1.436,0.049
252,2.01,0.035,1.486,0.026
253,2.12,0.048,2.002,0.016
254,2.09,0.062,2.598,0.005
255,2.2,0.059,2.498,0.003
256,2.01,0.059,2.488,0.002
257,2.05,0.056,2.34,0.002
258,1.87,0.05,2.1,0.006
259,1.87,0.047,1.988,0.015
260,1.86,0.045,1.89,0.02
261,2.24,0.047,1.96,0.029
262,2.52,0.039,1.632,0.095
263,2.18,0.037,1.548,0.083
264,2.32,0.03,1.245,0.072
265,2.69,0.027,1.126,0.573
266,2.72,0.028,1.176,0.213
267,2.77,0.029,1.2,0.124
268,2.66,0.028,1.176,0.099
269,2.94,0.02,0.84,0.516
270,3.37,0.04,1.7,0.159
271,3.4,0.059,2.492,0.062
272,3.25,0.082,3.438,0.056
273,3.2,0.075,3.15,0.251
274,3.68,0.064,2.688,0.298
275,4.08,0.056,2.368,0.165
276,3.57,0.062,2.604,0.029
277,3.4,0.067,2.81,0.119
278,3.48,0.053,2.222,0.209
279,3.11,0.049,2.062,0.141
280,3.68,0.081,3.402,0.046
