,mean,slp,chg,pvalue
0,5.186,0.058,2.43,0.258
1,5.404,0.072,3.03,0.352
2,4.924,0.052,2.184,0.269
3,5.224,0.057,2.385,0.175
4,5.086,0.018,0.762,0.327
5,5.334,0.022,0.918,0.466
6,4.992,0.021,0.865,0.327
7,4.836,0.043,1.795,0.393
8,4.89,0.04,1.693,0.227
9,4.456,0.043,1.797,0.145
10,4.248,0.034,1.437,0.2
11,4.788,0.089,3.743,0.002
12,5.089,0.145,6.076,0.031
13,4.941,0.121,5.064,0.175
14,4.844,0.102,4.29,0.053
15,4.76,0.09,3.78,0.01
16,4.88,0.06,2.52,0.056
17,4.508,0.039,1.632,0.092
18,4.627,0.059,2.46,0.044
19,4.468,0.049,2.045,0.138
20,4.21,0.04,1.68,0.269
21,4.092,0.041,1.718,0.145
22,3.956,0.023,0.955,0.237
23,3.951,0.041,1.706,0.152
24,3.859,0.044,1.853,0.247
25,3.754,0.037,1.551,0.303
26,3.686,0.033,1.38,0.615
27,3.676,0.038,1.617,0.53
28,3.543,0.032,1.328,0.563
29,3.562,0.036,1.533,0.481
30,3.389,0.044,1.868,0.053
31,3.478,0.039,1.625,0.237
32,3.426,0.038,1.596,0.339
33,3.959,0.004,0.184,0.421
34,3.762,0.016,0.667,0.563
35,3.91,0.015,0.63,0.651
36,3.981,-0.009,-0.394,0.706
37,3.818,-0.011,-0.473,0.725
38,3.566,-0.007,-0.291,0.801
39,3.534,-0.003,-0.131,0.651
40,3.416,-0.002,-0.084,0.669
41,3.298,-0.006,-0.25,0.88
42,3.47,-0.01,-0.42,0.98
43,3.392,-0.009,-0.367,0.94
44,3.213,-0.014,-0.573,1.0
45,3.207,-0.017,-0.7,0.96
46,3.173,-0.008,-0.341,0.86
47,3.199,0.01,0.402,0.687
48,3.237,0.018,0.77,0.436
49,3.246,0.018,0.747,0.466
50,3.314,0.022,0.924,0.481
51,3.728,0.004,0.161,1.0
52,3.52,0.015,0.63,0.96
53,3.872,0.006,0.252,0.92
54,3.952,-0.009,-0.38,0.94
55,3.534,0.002,0.093,0.597
56,3.51,0.0,0.0,0.782
57,4.244,-0.003,-0.111,0.92
58,3.797,-0.007,-0.28,0.98
59,3.84,0.0,0.0,0.801
60,3.739,0.004,0.184,0.94
61,3.609,0.004,0.184,0.94
62,3.88,0.0,0.0,1.0
63,3.806,-0.002,-0.084,0.801
64,3.441,0.005,0.228,1.0
65,3.229,0.005,0.196,0.763
66,3.812,0.026,1.097,0.481
67,4.952,0.041,1.731,0.379
68,6.223,0.051,2.162,0.152
69,7.156,0.028,1.155,0.258
70,7.213,0.007,0.28,0.53
71,8.461,-0.044,-1.866,0.615
72,8.312,-0.059,-2.467,0.725
73,9.683,-0.039,-1.622,0.841
74,9.0,0.015,0.637,0.763
75,8.902,-0.019,-0.802,0.86
76,8.886,-0.107,-4.496,0.615
77,7.112,-0.094,-3.94,0.821
78,7.416,-0.187,-7.849,0.167
79,6.8,-0.17,-7.14,0.258
80,6.215,-0.147,-6.194,0.131
81,7.68,-0.155,-6.523,0.145
82,7.12,-0.175,-7.35,0.315
83,7.764,-0.158,-6.615,0.365
84,9.53,-0.235,-9.861,0.175
85,10.965,-0.567,-23.828,0.303
86,12.129,-0.985,-41.384,0.063
87,20.307,-0.846,-35.55,0.025
88,28.208,-0.596,-25.045,0.481
89,28.088,-0.306,-12.863,0.96
90,27.467,-0.167,-7.0,0.96
91,28.531,-0.135,-5.654,0.92
92,28.292,-0.204,-8.568,0.841
93,27.164,-0.068,-2.845,0.88
94,27.213,-0.193,-8.12,0.86
95,25.7,-0.4,-16.8,0.258
96,22.164,-0.318,-13.341,0.191
97,33.4,-0.1,-4.2,0.9
98,28.619,-0.091,-3.806,0.763
99,31.594,0.147,6.189,0.725
100,24.094,0.147,6.189,0.782
101,25.511,0.356,14.934,0.247
102,25.82,0.66,27.72,0.083
103,26.1,0.6,25.2,0.131
104,32.6,0.4,16.8,0.291
105,42.22,0.41,17.22,0.227
106,40.871,0.436,18.3,0.407
107,38.25,0.275,11.55,0.651
108,29.556,0.378,15.867,0.218
109,29.462,0.431,18.093,0.097
110,30.499,0.299,12.57,0.291
111,29.073,0.387,16.24,0.113
112,26.132,0.616,25.883,0.031
113,28.046,0.323,13.569,0.145
114,26.7,0.05,2.1,0.651
115,27.884,-0.008,-0.323,1.0
116,24.291,0.245,10.306,0.407
117,19.76,0.23,9.679,0.209
118,17.104,0.252,10.588,0.175
119,15.082,0.141,5.913,0.339
120,16.438,0.169,7.087,0.315
121,15.03,0.115,4.815,0.58
122,13.274,0.187,7.863,0.191
123,14.104,0.252,10.584,0.078
124,15.3,0.2,8.4,0.05
125,12.112,0.056,2.36,0.327
126,11.467,-0.067,-2.8,0.327
127,10.642,-0.029,-1.227,0.421
128,10.284,-0.008,-0.336,0.597
129,8.678,0.004,0.185,0.841
130,8.247,0.038,1.61,0.801
131,7.611,0.031,1.29,0.744
132,8.266,-0.012,-0.504,0.513
133,7.648,-0.011,-0.451,0.687
134,8.812,0.096,4.032,0.379
135,8.593,0.112,4.684,0.145
136,9.137,0.118,4.976,0.365
137,8.301,0.056,2.336,0.669
138,9.326,0.093,3.893,0.597
139,10.336,0.118,4.956,0.393
140,8.836,0.108,4.543,0.597
141,6.833,0.072,3.004,0.615
142,7.723,0.062,2.59,0.706
143,6.481,0.056,2.334,0.9
144,5.866,-0.037,-1.554,0.725
145,6.744,-0.043,-1.797,1.0
146,7.76,-0.025,-1.05,0.669
147,7.042,0.011,0.477,0.379
148,8.664,0.002,0.097,0.744
149,7.374,0.032,1.349,0.633
150,8.934,-0.038,-1.575,0.706
151,9.262,-0.074,-3.115,0.9
152,9.178,0.004,0.164,0.615
153,9.26,0.05,2.1,0.393
154,7.705,-0.038,-1.58,1.0
155,6.554,-0.023,-0.969,1.0
