,mean,slp,chg,pvalue
01-01,2.362,-0.016,-0.667,0.558
01-02,2.46,-0.02,-0.84,0.505
01-03,3.278,0.016,0.667,0.754
01-04,2.942,-0.009,-0.392,0.673
01-05,2.66,-0.023,-0.98,0.946
01-06,2.759,-0.024,-0.994,0.522
01-07,3.633,-0.026,-1.073,0.522
01-08,3.28,-0.067,-2.813,0.247
01-09,2.596,-0.078,-3.283,0.048
01-10,3.246,-0.068,-2.861,0.037
01-11,3.149,-0.064,-2.683,0.028
01-12,2.915,-0.065,-2.73,0.258
01-13,2.728,-0.071,-2.971,0.27
01-14,2.653,-0.086,-3.602,0.07
01-15,2.966,-0.078,-3.269,0.045
01-16,2.714,-0.075,-3.164,0.111
01-17,2.968,-0.047,-1.981,0.258
01-18,2.967,-0.068,-2.842,0.131
01-19,3.071,-0.09,-3.768,0.796
01-20,3.212,-0.156,-6.561,0.186
01-21,3.428,-0.177,-7.448,0.006
01-22,3.312,-0.123,-5.154,0.066
01-23,3.644,-0.125,-5.264,0.558
01-24,5.454,-0.079,-3.309,0.47
01-25,4.96,-0.074,-3.091,0.454
01-26,3.95,-0.09,-3.793,0.131
01-27,3.448,-0.067,-2.825,0.178
01-28,3.93,-0.067,-2.798,0.124
01-29,3.672,-0.049,-2.07,0.124
01-30,3.425,-0.055,-2.31,0.062
01-31,3.298,-0.04,-1.701,0.124
02-01,4.055,-0.015,-0.628,0.673
02-02,3.08,-0.03,-1.269,0.595
02-03,3.351,-0.023,-0.959,0.487
02-04,3.571,-0.016,-0.68,0.673
02-05,3.194,-0.019,-0.782,0.634
02-06,3.376,-0.015,-0.61,0.733
02-07,3.474,-0.022,-0.92,0.796
02-08,3.421,-0.056,-2.362,0.634
02-09,2.971,-0.066,-2.786,0.376
02-10,2.915,-0.075,-3.148,0.153
02-11,2.538,-0.097,-4.077,0.505
02-12,3.082,-0.066,-2.77,0.989
02-13,3.152,-0.063,-2.627,0.838
02-14,3.184,-0.052,-2.177,0.361
02-15,3.078,-0.04,-1.699,0.505
02-16,4.002,-0.053,-2.208,0.334
02-17,3.708,-0.057,-2.41,0.094
02-18,3.175,-0.045,-1.892,0.089
