,mean,slp,chg,pvalue
01-01,0.01,0.0,0.0,0.335
01-02,0.01,0.0,0.0,0.324
01-03,0.01,0.0,0.0,0.362
01-04,0.01,0.0,0.0,0.194
01-05,0.01,0.0,0.0,0.161
01-06,0.005,0.0,0.0,0.168
01-07,0.005,0.0,0.0,0.054
01-08,0.0,0.0,0.0,0.078
01-09,0.0,0.0,0.0,0.078
01-10,0.0,0.0,0.0,0.086
01-11,0.0,0.0,0.0,0.226
01-12,0.0,0.0,0.0,0.221
01-13,0.0,0.0,0.0,0.213
01-14,0.0,0.0,0.0,0.44
01-15,0.0,0.0,0.0,0.433
01-16,0.0,0.0,0.0,0.084
01-17,0.0,0.0,0.0,0.094
01-18,0.0,0.0,0.0,0.04
01-19,0.0,0.0,0.0,0.04
01-20,0.0,0.0,0.0,0.033
01-21,0.0,0.0,0.0,0.034
01-22,0.01,0.0,0.0,0.02
01-23,0.005,0.0,0.0,0.02
01-24,0.015,0.0,0.0,0.026
01-25,0.025,0.0,0.0,0.033
01-26,0.025,0.0,0.0,0.028
01-27,0.025,0.0,0.0,0.082
01-28,0.025,0.0,0.0,0.039
01-29,0.02,0.0,0.0,0.047
01-30,0.03,0.0,0.0,0.099
01-31,0.035,0.0,0.0,0.304
02-01,0.05,0.0,0.0,0.572
02-02,0.045,0.0,0.0,0.263
02-03,0.06,0.0,0.0,0.273
02-04,0.06,0.0,0.0,0.283
02-05,0.066,0.0,0.019,0.24
02-06,0.06,0.001,0.026,0.258
02-07,0.066,0.001,0.054,0.331
02-08,0.065,0.0,0.0,0.491
02-09,0.07,0.001,0.045,0.644
02-10,0.076,0.001,0.06,0.269
02-11,0.076,0.001,0.06,0.255
02-12,0.09,0.002,0.073,0.245
02-13,0.106,0.002,0.105,0.349
02-14,0.117,0.004,0.15,0.457
02-15,0.113,0.005,0.21,0.062
02-16,0.212,0.005,0.211,0.028
02-17,0.282,0.005,0.194,0.072
02-18,0.41,0.002,0.067,0.164
02-19,0.421,0.002,0.074,0.719
02-20,0.481,0.003,0.12,0.822
02-21,0.541,0.002,0.078,0.653
02-22,0.626,0.001,0.047,0.703
02-23,0.766,0.001,0.057,0.719
02-24,0.876,0.002,0.099,0.559
02-25,0.942,0.012,0.525,0.486
02-26,0.92,0.001,0.045,0.719
02-27,0.806,0.001,0.035,0.84
02-28,0.78,0.001,0.043,0.911
03-01,0.621,0.003,0.12,0.919
03-02,0.552,0.005,0.211,0.964
03-03,0.497,0.002,0.105,1.0
03-04,0.708,0.007,0.291,0.787
03-05,0.754,0.007,0.294,0.77
03-06,0.78,0.009,0.379,0.902
03-07,0.983,0.015,0.646,0.991
03-08,0.897,0.015,0.63,0.893
03-09,0.897,0.015,0.63,0.296
