,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.00986871794871795,-19.27970153846154,0.11326125914478813,0.0,42.0,0.415,0.778,0.25,0.665
01-02,0.009298571428571434,-18.15384357142858,0.14735992016656674,0.0,42.0,0.391,0.714,0.248,0.639
01-03,0.00943333333333333,-18.403489999999994,0.23825744188756026,0.0,42.0,0.396,0.649,0.265,0.661
01-04,0.009551250000000002,-18.644924375000006,0.2043665291857466,0.0,42.0,0.401,0.494,0.257,0.658
01-05,0.009298571428571442,-18.1538435714286,0.17412614678904337,0.0,42.0,0.391,0.524,0.248,0.639
01-06,0.009360769230769228,-18.31075307692307,0.22084614564234606,0.0,42.0,0.393,0.602,0.214,0.607
01-07,0.009532631578947365,-18.650146842105258,0.22943429057595655,0.0,42.0,0.4,0.656,0.215,0.615
01-08,0.01096625,-21.502516875,0.2043665291857466,0.0,42.0,0.46,0.761,0.2,0.66
01-09,0.011319999999999997,-22.195689999999995,0.1411873266018009,0.0,42.0,0.475,0.789,0.207,0.682
01-10,0.011421071428571425,-22.383632321428564,0.14735992016656674,0.0,42.0,0.479,0.758,0.219,0.698
01-11,0.011685161290322578,-22.925829999999994,0.22084614564234606,0.0,42.0,0.491,0.751,0.199,0.69
01-12,0.01132,-22.20984,0.22943429057595655,0.0,42.0,0.476,0.746,0.192,0.668
01-13,0.011319999999999974,-22.18153999999995,0.18135303115367463,0.0,42.0,0.475,0.77,0.221,0.696
01-14,0.01132000000000002,-22.16597500000004,0.16711655519767832,0.0,42.0,0.476,0.786,0.236,0.712
01-15,0.01215235294117647,-23.82884970588235,0.21249096477133422,0.0,42.0,0.51,0.848,0.221,0.731
01-16,0.011652941176470585,-22.834520882352937,0.2043665291857466,0.0,42.0,0.489,0.794,0.227,0.716
01-17,0.01220942857142857,-23.95853742857143,0.23825744188756026,0.0,42.0,0.513,0.829,0.204,0.717
01-18,0.012128571428571433,-23.798278571428582,0.21249096477133422,0.0,42.0,0.51,0.836,0.204,0.714
01-19,0.011319999999999997,-22.181539999999995,0.22084614564234606,0.0,42.0,0.475,0.775,0.221,0.696
01-20,0.01197307692307692,-23.4873673076923,0.2043665291857466,0.0,42.0,0.503,0.825,0.207,0.71
01-21,0.012381250000000003,-24.286529375000008,0.18880018541004562,0.0,42.0,0.52,0.828,0.216,0.736
01-22,0.014149999999999996,-27.78352499999999,0.19647045178774425,0.0,42.0,0.595,0.887,0.219,0.814
01-23,0.014149999999999996,-27.786354999999993,0.10339115177329683,0.0,42.0,0.595,0.841,0.216,0.811
01-24,0.012735000000000003,-24.96272250000001,0.18880018541004562,0.0,42.0,0.535,0.68,0.24,0.775
01-25,0.013442500000000013,-26.383028750000026,0.41225516799167616,0.0,42.0,0.564,0.724,0.22,0.784
01-26,0.012863636363636365,-25.25106090909091,0.3995666898442778,0.0,42.0,0.54,0.677,0.206,0.746
01-27,0.011673749999999997,-22.861978124999993,0.3067305590248952,0.0,42.0,0.491,0.603,0.24,0.731
01-28,0.011319999999999998,-22.112204999999996,0.3512068945263751,0.0,42.0,0.476,0.582,0.29,0.766
01-29,0.011319999999999997,-22.110789999999994,0.33972197352938505,0.0,42.0,0.476,0.556,0.291,0.767
01-30,0.012128571428571424,-23.713378571428564,0.27098398401278123,0.0,42.0,0.509,0.564,0.289,0.798
01-31,0.013206666666666663,-25.812429999999996,0.27593433728642713,0.0,42.0,0.554,0.596,0.324,0.878
02-01,0.012577777777777799,-24.49836666666671,0.266154543300259,0.0,42.0,0.528,0.499,0.393,0.921
02-02,0.012204375000000003,-23.737597812500006,0.27593433728642713,0.0,42.0,0.512,0.428,0.415,0.927
02-03,0.013265624999999998,-25.902017187499997,0.3120460087639092,0.0,42.0,0.557,0.433,0.351,0.908
02-04,0.010993461538461544,-21.371561346153857,0.41225516799167616,0.0,42.0,0.462,0.338,0.384,0.846
02-05,0.01087315789473684,-21.11827921052631,0.37490496599151024,0.0,42.0,0.456,0.336,0.4,0.856
02-06,0.011073913043478262,-21.477239130434786,0.4251795087510768,0.0,42.0,0.465,0.37,0.438,0.903
02-07,0.00943333333333333,-18.140299999999993,0.5667605869699317,0.0,42.0,0.396,0.309,0.528,0.924
02-08,0.00884374999999999,-16.876528124999982,0.4791861756075628,0.0,42.0,0.372,0.301,0.625,0.997
02-09,0.01020821428571429,-19.618924464285723,0.5367357981091128,0.0,42.0,0.429,0.364,0.583,1.012
02-10,0.011319999999999997,-21.926839999999995,0.4932503912028541,0.0,42.0,0.476,0.371,0.475,0.951
02-11,0.011424814814814816,-22.122267222222224,0.24731745742367428,0.0,42.0,0.48,0.323,0.487,0.967
02-12,0.011963181818181819,-23.212882045454545,0.32848073232961217,0.0,42.0,0.503,0.356,0.462,0.965
02-13,0.014150000000000006,-27.528825000000012,0.3995666898442778,0.0,42.0,0.594,0.434,0.474,1.068
02-14,0.013602258064516133,-26.433615000000007,0.41225516799167616,0.0,42.0,0.572,0.411,0.485,1.057
02-15,0.017263000000000008,-33.809868500000015,0.4791861756075628,0.0,42.0,0.725,0.513,0.354,1.079
02-16,0.014149999999999996,-27.61372499999999,0.507532735474822,0.0,42.0,0.594,0.376,0.389,0.983
02-17,0.01219076923076923,-23.724543076923077,0.5820690716517367,0.0,42.0,0.512,0.321,0.401,0.913
02-18,0.014921818181818182,-29.128675454545455,0.4517264720866896,0.0,42.0,0.626,0.366,0.402,1.028
02-19,0.011577272727272719,-22.4129568181818,0.5441410137967475,0.0,42.0,0.487,0.277,0.498,0.985
02-20,0.012237837837837834,-23.61065175675675,0.6451505807102356,0.0,42.0,0.514,0.301,0.608,1.122
02-21,0.008490000000000001,-15.900355000000003,0.8485702914543127,0.0,42.0,0.357,0.217,0.901,1.258
02-22,0.007984642857142852,-14.705943392857133,0.883909392651155,0.0,42.0,0.335,0.207,1.096,1.431
02-23,0.00943333333333334,-17.673350000000013,0.9910383984121822,0.0,42.0,0.396,0.238,0.995,1.391
02-24,0.011577272727272724,-21.871011818181813,0.9016705385876072,0.0,42.0,0.487,0.254,1.04,1.527
02-25,0.010290909090909088,-19.41071272727272,0.7276974359007813,0.0,42.0,0.432,0.227,0.955,1.387
02-26,0.006152173913043486,-11.07729673913045,0.5820690716517367,0.0,42.0,0.258,0.121,1.098,1.356
02-27,0.002931071428571428,-4.55887732142857,0.6777161122500928,0.0,42.0,0.123,0.055,1.242,1.365
02-28,0.001286363636363636,-1.2943390909090904,0.9731197167307599,0.0,42.0,0.054,0.024,1.251,1.305
03-01,0.00800206896551724,-14.613436896551722,0.8662064065863087,0.0,42.0,0.336,0.14,1.223,1.559
03-02,0.00943333333333333,-17.530434999999994,0.883909392651155,0.0,42.0,0.396,0.145,1.138,1.534
03-03,0.018395000000000005,-35.39410250000001,0.5220292746208863,0.0,42.0,0.772,0.251,1.01,1.782
03-04,0.02214782608695652,-42.827128260869564,0.38711605416916584,0.0,42.0,0.931,0.272,1.003,1.934
03-05,0.030872727272727263,-60.30086818181817,0.18135303115367463,0.0,42.0,1.297,0.367,0.796,2.093
03-06,0.02964761904761904,-57.922014285714276,0.22943429057595655,0.0,42.0,1.245,0.376,0.751,1.996
03-07,0.029200454545454547,-56.98545886363637,0.22084614564234606,0.0,42.0,1.227,0.373,0.802,2.029
03-08,0.026123076923076933,-50.832242307692326,0.28595642810117994,0.0,42.0,1.097,0.329,0.865,1.962
03-09,0.02058181818181818,-39.32799545454545,0.41225516799167616,0.0,42.0,0.865,0.235,1.403,2.268
03-10,0.02146896551724138,-41.04524655172414,0.5975679869340738,0.0,42.0,0.902,0.233,1.442,2.344
03-11,0.028299999999999992,-54.753424999999986,0.3809504285901837,0.0,42.0,1.189,0.309,1.252,2.441
03-12,0.031130000000000012,-60.15023500000002,0.4517264720866896,0.0,42.0,1.307,0.318,1.456,2.763
03-13,0.03483076923076922,-67.48483307692307,0.5220292746208863,0.0,42.0,1.463,0.36,1.445,2.908
03-14,0.029007500000000006,-55.722346250000015,0.4932503912028541,0.0,42.0,1.219,0.299,1.683,2.902
03-15,0.026413333333333327,-50.20561499999999,0.6291146665070553,0.0,42.0,1.11,0.293,2.066,3.176
