,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.07683878787878788,157.80937575757576,0.011927761358750288,-2.0,43.0,-3.227,-0.464,5.745,2.518
01-02,-0.07036756756756755,144.72543513513511,0.00990011513274136,-3.0,43.0,-2.955,-0.489,5.468,2.513
01-03,-0.06829733333333331,140.55666666666662,0.016132660964059964,-2.0,43.0,-2.868,-0.511,5.396,2.528
01-04,-0.06721249999999995,138.6699999999999,0.025581789815397826,-2.0,43.0,-2.822,-0.523,5.656,2.834
01-05,-0.06317783783783783,130.20447567567567,0.030198435580170102,-2.0,43.0,-2.654,-0.498,5.176,2.522
01-06,-0.0687124,141.2736,0.020384123086390593,-2.0,43.0,-2.886,-0.543,5.292,2.406
01-07,-0.06886333333333335,141.5754666666667,0.016132660964059964,-2.0,43.0,-2.892,-0.523,5.295,2.403
01-08,-0.06367499999999993,131.19879999999984,0.006741572299601595,-3.0,43.0,-2.674,-0.512,5.186,2.512
01-09,-0.06716533333333333,138.85866666666664,0.017115104092117805,-2.0,43.0,-2.82,-0.534,5.938,3.118
01-10,-0.05532193548387097,114.97377096774193,0.035513566212784786,-2.0,43.0,-2.324,-0.434,5.492,3.168
01-11,-0.06033045454545454,124.90590909090909,0.030198435580170102,-2.0,43.0,-2.534,-0.486,5.512,2.978
01-12,-0.06643425,136.7456,0.01923855063903157,-2.0,43.0,-2.79,-0.546,5.272,2.482
01-13,-0.06541342857142858,134.53415714285717,0.014315405281054794,-2.0,43.0,-2.747,-0.542,5.081,2.334
01-14,-0.0634096875,130.526675,0.018149650128641337,-2.0,43.0,-2.663,-0.547,5.039,2.376
01-15,-0.0646857142857143,133.3051285714286,0.01923855063903157,-2.0,43.0,-2.717,-0.56,5.292,2.575
01-16,-0.059618666666666646,123.51063333333329,0.0791469808907781,-1.0,43.0,-2.504,-0.476,5.525,3.021
01-17,-0.055467999999999996,115.1527,0.12920748707657004,-0.0,43.0,-2.33,-0.424,5.382,3.052
01-18,-0.06346060606060605,131.1096121212121,0.09949985377978687,-1.0,43.0,-2.665,-0.488,5.521,2.856
01-19,-0.08085714285714284,165.90268571428567,0.0654230661046904,-1.0,43.0,-3.396,-0.652,5.886,2.49
01-20,-0.08207,168.3284,0.028585747200921663,-2.0,43.0,-3.447,-0.689,5.912,2.465
01-21,-0.07409454545454543,152.37749090909085,0.037454161891628646,-2.0,43.0,-3.112,-0.635,5.744,2.632
01-22,-0.07212675675675675,148.4419135135135,0.035513566212784786,-2.0,43.0,-3.029,-0.62,5.703,2.674
01-23,-0.07232222222222223,148.91774444444448,0.03948427930446696,-2.0,43.0,-3.037,-0.627,5.792,2.755
01-24,-0.07499499999999999,154.2633,0.028585747200921663,-2.0,43.0,-3.15,-0.661,5.848,2.698
01-25,-0.07158235294117644,147.2682058823529,0.041607050718883265,-2.0,43.0,-3.007,-0.632,5.607,2.6
01-26,-0.07256119999999999,149.16929999999996,0.021588750927227673,-2.0,43.0,-3.048,-0.6,5.571,2.523
01-27,-0.07672444444444446,157.49578888888894,0.015200134865169801,-2.0,43.0,-3.222,-0.604,5.658,2.436
01-28,-0.07580357142857144,155.56914285714288,0.01923855063903157,-2.0,43.0,-3.184,-0.579,5.554,2.37
01-29,-0.07131599999999998,146.59399999999994,0.037454161891628646,-2.0,43.0,-2.996,-0.522,5.46,2.464
01-30,-0.07681428571428568,157.59057142857137,0.030198435580170102,-2.0,43.0,-3.226,-0.599,5.575,2.349
01-31,-0.07546666666666668,154.95193333333336,0.035513566212784786,-2.0,43.0,-3.169,-0.606,5.603,2.434
02-01,-0.0725509090909091,149.1204181818182,0.033659415886615696,-2.0,43.0,-3.047,-0.59,5.542,2.495
02-02,-0.07914566666666666,162.2250333333333,0.018149650128641337,-2.0,43.0,-3.324,-0.543,5.596,2.272
02-03,-0.07732290322580644,158.4946064516129,0.027047789995794602,-2.0,43.0,-3.248,-0.452,5.473,2.225
02-04,-0.08049777777777778,165.12735555555554,0.028585747200921663,-2.0,43.0,-3.381,-0.39,5.822,2.441
02-05,-0.08989411764705879,183.92003529411758,0.016132660964059964,-2.0,43.0,-3.776,-0.536,6.02,2.244
02-06,-0.0927942105263158,189.7202210526316,0.014315405281054794,-2.0,43.0,-3.897,-0.578,6.08,2.183
02-07,-0.09135820512820512,186.79161025641025,0.018149650128641337,-2.0,43.0,-3.837,-0.611,5.994,2.157
02-08,-0.08856235294117647,181.17160588235294,0.013476416637708821,-2.0,43.0,-3.72,-0.624,5.907,2.187
02-09,-0.08490000000000004,173.76200000000009,0.014315405281054794,-2.0,43.0,-3.566,-0.621,5.745,2.179
02-10,-0.08678666666666661,177.5919333333332,0.008185450517966597,-3.0,43.0,-3.645,-0.643,5.841,2.196
02-11,-0.08489999999999999,174.04499999999996,0.014315405281054794,-2.0,43.0,-3.566,-0.636,6.028,2.462
02-12,-0.07181125,147.8675,0.022854883584979113,-2.0,43.0,-3.016,-0.548,5.753,2.737
02-13,-0.07310833333333333,150.51826666666665,0.014315405281054794,-2.0,43.0,-3.071,-0.567,5.837,2.766
02-14,-0.07026485714285714,144.74641428571428,0.035513566212784786,-2.0,43.0,-2.951,-0.511,5.692,2.741
02-15,-0.07336230769230769,150.94131538461536,0.017115104092117805,-2.0,43.0,-3.081,-0.558,5.757,2.676
02-16,-0.08707692307692305,178.2856461538461,0.015200134865169801,-2.0,43.0,-3.657,-0.643,5.96,2.303
02-17,-0.08440058823529412,172.96127647058825,0.018149650128641337,-2.0,43.0,-3.545,-0.654,5.933,2.388
02-18,-0.07452333333333334,153.3482666666667,0.051089163163599904,-1.0,43.0,-3.13,-0.586,5.867,2.737
02-19,-0.07965925925925924,163.42201851851848,0.024185036295084394,-2.0,43.0,-3.345,-0.645,5.776,2.431
02-20,-0.08148735294117647,167.19140588235294,0.033659415886615696,-2.0,43.0,-3.423,-0.347,5.928,2.505
02-21,-0.0765764705882353,157.25644117647062,0.04856340764759537,-2.0,43.0,-3.217,-0.454,5.712,2.495
02-22,-0.08092031249999998,165.91582499999996,0.03948427930446696,-2.0,43.0,-3.399,-0.537,5.775,2.376
02-23,-0.08581290322580644,175.78590645161287,0.017115104092117805,-2.0,43.0,-3.604,-0.533,5.962,2.358
02-24,-0.08124838709677419,166.6285741935484,0.020384123086390593,-2.0,43.0,-3.412,-0.494,5.838,2.426
02-25,-0.07938894736842105,163.0228947368421,0.028585747200921663,-2.0,43.0,-3.334,-0.486,5.912,2.578
02-26,-0.08867333333333333,181.28036666666665,0.024185036295084394,-2.0,43.0,-3.724,-0.579,5.796,2.072
02-27,-0.09433333333333338,192.71356666666674,0.011927761358750288,-2.0,43.0,-3.962,-0.648,6.028,2.066
02-28,-0.08656470588235297,177.11971176470595,0.012681177779913178,-2.0,43.0,-3.636,-0.623,5.808,2.172
03-01,-0.09150333333333334,187.3082666666667,0.011214303134345682,-2.0,43.0,-3.843,-0.668,6.223,2.38
03-02,-0.0890925925925926,182.2603851851852,0.007676020077773238,-3.0,43.0,-3.742,-0.654,5.946,2.204
03-03,-0.11037,224.702,0.003200752112618721,-3.0,43.0,-4.636,-0.748,6.28,1.644
03-04,-0.11775944444444443,239.79218888888886,0.0013372321080982186,-3.0,43.0,-4.946,-0.453,6.746,1.8
03-05,-0.10376666666666666,211.69343333333333,0.007676020077773238,-3.0,43.0,-4.358,-0.617,6.339,1.981
03-06,-0.10018200000000001,204.35430000000002,0.006741572299601595,-3.0,43.0,-4.208,-0.642,6.094,1.886
03-07,-0.10128421052631575,206.6719210526315,0.005173196502911148,-3.0,43.0,-4.253,-0.686,6.23,1.977
03-08,-0.10187999999999989,208.03329999999977,0.004222127739178072,-3.0,43.0,-4.279,-0.706,6.413,2.134
03-09,-0.09712045454545454,198.34440909090907,0.004836578272780834,-3.0,43.0,-4.079,-0.681,6.143,2.064
03-10,-0.08692142857142857,177.91805714285715,0.006313823530166518,-3.0,43.0,-3.651,-0.626,5.901,2.25
03-11,-0.08148041666666668,167.17753333333334,0.013476416637708821,-2.0,43.0,-3.422,-0.555,5.928,2.506
03-12,-0.06668956521739129,137.48263043478258,0.09512571219316368,-1.0,43.0,-2.801,-0.348,5.504,2.703
03-13,-0.07263666666666667,149.68813333333333,0.07201763206645251,-1.0,43.0,-3.051,-0.427,5.94,2.889
03-14,-0.08357933333333335,171.6300666666667,0.017115104092117805,-2.0,43.0,-3.511,-0.507,6.227,2.716
03-15,-0.08402172413793105,172.5714482758621,0.025581789815397826,-2.0,43.0,-3.528,-0.548,6.292,2.764
03-16,-0.10606347826086956,216.85305652173915,0.030198435580170102,-2.0,43.0,-4.454,-0.493,6.953,2.499
03-17,-0.10744566666666668,219.58913333333336,0.015200134865169801,-2.0,43.0,-4.513,-0.602,6.954,2.441
03-18,-0.10612500000000002,216.94780000000006,0.011214303134345682,-2.0,43.0,-4.457,-0.636,6.926,2.469
03-19,-0.09831173913043478,201.43447826086955,0.030198435580170102,-2.0,43.0,-4.13,-0.615,6.876,2.746
03-20,-0.08714448275862069,179.32636551724138,0.158876387923079,-0.0,43.0,-3.66,-0.426,6.867,3.207
03-21,-0.0849,174.7525,0.027047789995794602,-2.0,43.0,-3.565,-0.444,6.735,3.17
03-22,-0.08877263157894737,182.41286315789475,0.035513566212784786,-2.0,43.0,-3.729,-0.543,6.732,3.003
03-23,-0.09092913043478262,186.55606086956524,0.051089163163599904,-1.0,43.0,-3.819,-0.594,6.607,2.788
03-24,-0.0890565625,182.86752500000003,0.03456526040354779,-2.0,43.0,-3.741,-0.609,6.625,2.884
03-25,-0.0847585,174.15820000000002,0.035513566212784786,-2.0,43.0,-3.56,-0.594,6.421,2.861
03-26,-0.0739196,152.4804,0.10403298714422626,-0.0,43.0,-3.105,-0.343,6.194,3.089
