,mean,slp,chg,pvalue
0,0.165,-0.002,-0.077,0.935
1,0.164,-0.001,-0.047,0.733
2,0.164,-0.001,-0.049,0.871
3,0.164,-0.001,-0.052,0.709
4,0.164,-0.001,-0.059,0.808
5,0.165,-0.002,-0.07,0.783
6,0.165,-0.002,-0.066,0.91
7,0.164,-0.002,-0.067,0.82
8,0.174,-0.002,-0.063,0.987
9,0.175,-0.002,-0.068,0.961
10,0.176,-0.002,-0.084,0.91
11,0.176,-0.002,-0.082,0.961
12,0.174,-0.001,-0.06,0.961
13,0.174,-0.002,-0.067,0.974
14,0.174,-0.002,-0.063,0.91
15,0.174,-0.001,-0.06,0.91
16,0.154,-0.001,-0.06,0.795
17,0.153,-0.001,-0.044,0.527
18,0.154,-0.001,-0.047,0.57
19,0.154,-0.001,-0.047,0.733
20,0.154,-0.001,-0.056,0.758
21,0.154,-0.001,-0.047,0.783
22,0.144,-0.001,-0.055,0.758
23,0.143,-0.001,-0.031,0.604
24,0.155,-0.002,-0.074,0.858
25,0.156,-0.002,-0.091,0.871
26,0.148,-0.003,-0.112,0.897
27,0.157,-0.002,-0.1,0.961
28,0.168,-0.003,-0.114,0.935
29,0.168,-0.003,-0.123,0.808
30,0.166,-0.002,-0.086,0.846
31,0.165,-0.002,-0.077,0.858
32,0.157,-0.002,-0.096,0.961
33,0.154,-0.001,-0.053,0.758
34,0.161,-0.0,-0.02,0.733
35,0.162,-0.001,-0.041,0.82
36,0.163,-0.001,-0.042,0.82
37,0.144,-0.001,-0.052,0.77
38,0.153,-0.001,-0.035,0.661
39,0.153,-0.001,-0.04,0.808
40,0.153,-0.001,-0.042,0.961
41,0.154,-0.001,-0.049,0.858
42,0.154,-0.001,-0.043,0.685
43,0.162,-0.001,-0.033,0.783
44,0.154,-0.001,-0.054,0.746
45,0.162,-0.001,-0.037,0.627
46,0.163,-0.001,-0.044,0.604
47,0.163,-0.001,-0.048,0.709
48,0.161,-0.001,-0.023,0.615
49,0.16,0.0,0.0,0.506
50,0.16,0.0,0.0,0.709
51,0.16,0.0,0.0,0.733
52,0.16,0.0,0.0,0.758
53,0.16,0.0,0.0,0.846
54,0.16,0.0,0.0,0.733
55,0.161,-0.001,-0.023,0.685
56,0.174,-0.001,-0.056,0.858
57,0.163,-0.001,-0.038,0.922
58,0.163,-0.001,-0.038,0.746
59,0.161,-0.001,-0.023,0.758
60,0.163,-0.001,-0.038,0.884
61,0.161,-0.001,-0.025,0.82
62,0.17,0.0,0.0,0.709
63,0.174,-0.001,-0.047,0.833
64,0.181,-0.0,-0.01,0.661
65,0.204,-0.001,-0.056,0.858
66,0.2,0.0,0.0,0.673
67,0.21,0.0,0.0,0.961
68,0.21,0.0,0.0,0.858
69,0.2,0.0,0.0,0.808
70,0.18,0.0,0.0,0.833
71,0.18,0.0,0.0,0.638
72,0.19,0.0,0.0,0.456
73,0.2,0.0,0.0,0.661
74,0.211,-0.0,-0.018,0.91
75,0.202,-0.001,-0.031,0.833
76,0.192,-0.001,-0.023,0.961
77,0.202,-0.001,-0.035,0.884
78,0.222,-0.0,-0.021,0.758
79,0.23,0.0,0.0,1.0
80,0.21,0.0,0.0,0.808
81,0.22,0.0,0.0,0.758
82,0.21,0.0,0.0,1.0
83,0.209,0.0,0.017,0.948
84,0.22,0.0,0.0,0.833
85,0.233,-0.001,-0.042,0.615
86,0.23,0.0,0.0,0.935
87,0.22,0.0,0.0,0.948
88,0.218,0.001,0.031,0.935
89,0.218,0.001,0.035,0.733
90,0.217,0.001,0.038,0.733
91,0.238,0.001,0.032,0.833
92,0.216,0.001,0.049,0.65
93,0.216,0.001,0.047,0.721
94,0.215,0.002,0.07,0.627
95,0.225,0.002,0.072,0.685
96,0.235,0.002,0.072,0.709
97,0.224,0.002,0.084,0.638
98,0.214,0.002,0.082,0.638
99,0.224,0.002,0.093,0.685
100,0.212,0.003,0.116,0.615
101,0.231,0.003,0.124,0.486
102,0.22,0.003,0.14,0.39
103,0.22,0.003,0.129,0.399
104,0.218,0.004,0.163,0.299
105,0.219,0.004,0.152,0.355
106,0.24,0.003,0.129,0.33
107,0.262,0.003,0.105,0.263
108,0.27,0.003,0.143,0.25
109,0.29,0.004,0.147,0.277
110,0.298,0.004,0.168,0.224
111,0.328,0.004,0.164,0.23
112,0.326,0.004,0.187,0.25
