,mean,slp,chg,pvalue
0,37.92,0.354,14.858,0.146
1,36.22,0.35,14.72,0.242
2,36.51,0.354,14.875,0.288
3,35.94,0.364,15.294,0.298
4,37.07,0.424,17.828,0.363
5,38.77,0.425,17.838,0.209
6,44.43,0.46,19.32,0.278
7,44.71,0.444,18.642,0.288
8,41.32,0.409,17.174,0.308
9,40.19,0.359,15.08,0.351
10,39.62,0.355,14.91,0.288
11,38.2,0.338,14.182,0.423
12,39.62,0.364,15.3,0.269
13,39.05,0.392,16.464,0.298
14,38.77,0.442,18.568,0.319
15,38.77,0.399,16.776,0.363
16,39.05,0.408,17.12,0.278
17,38.49,0.4,16.8,0.225
18,39.9,0.357,15.01,0.34
19,38.77,0.31,13.006,0.516
20,38.77,0.255,10.724,0.502
21,38.77,0.212,8.914,0.573
22,39.62,0.233,9.796,0.544
23,42.17,0.124,5.194,0.828
24,40.75,0.136,5.694,0.914
25,39.9,0.086,3.602,0.931
26,40.19,0.107,4.476,1.0
27,40.47,0.154,6.472,0.948
28,40.47,0.209,8.776,0.713
29,43.58,0.236,9.898,0.68
30,47.26,0.208,8.728,0.795
31,46.41,0.284,11.918,0.603
32,46.13,0.322,13.516,0.448
33,45.0,0.322,13.532,0.308
34,41.6,0.309,12.962,0.217
35,41.88,0.363,15.24,0.153
36,40.19,0.36,15.12,0.114
37,40.75,0.354,14.858,0.129
38,40.19,0.332,13.946,0.242
39,40.19,0.309,12.97,0.278
40,40.75,0.283,11.88,0.269
41,39.62,0.282,11.844,0.308
42,39.62,0.254,10.656,0.386
43,39.34,0.246,10.338,0.448
44,39.34,0.241,10.13,0.68
45,39.34,0.23,9.644,0.713
46,39.05,0.307,12.88,0.603
47,39.34,0.299,12.57,0.713
48,38.77,0.264,11.088,0.879
49,38.2,0.245,10.276,0.762
50,37.36,0.214,9.0,0.696
51,36.79,0.183,7.704,0.68
52,43.02,0.224,9.428,0.474
53,44.15,0.204,8.586,0.778
54,45.85,0.148,6.23,1.0
55,45.85,0.104,4.38,0.948
56,45.28,0.047,1.972,0.713
57,44.43,-0.036,-1.53,0.502
58,44.15,-0.226,-9.512,0.363
59,43.299,-0.259,-10.885,0.233
60,41.88,-0.222,-9.314,0.269
61,45.85,-0.266,-11.174,0.201
62,48.11,-0.409,-17.174,0.146
63,46.98,-0.311,-13.062,0.209
64,46.98,-0.285,-11.97,0.329
65,47.83,-0.396,-16.632,0.308
66,49.52,-0.508,-21.334,0.209
67,50.37,-0.506,-21.266,0.186
68,53.2,-0.501,-21.058,0.146
69,51.51,-0.526,-22.08,0.153
70,50.09,-0.474,-19.91,0.186
71,49.81,-0.384,-16.13,0.201
72,58.3,-0.341,-14.324,0.423
73,60.28,-0.186,-7.826,0.68
74,62.83,-0.106,-4.462,0.845
75,62.26,-0.091,-3.834,0.795
76,60.28,-0.141,-5.922,0.745
77,59.15,-0.093,-3.92,0.713
78,62.54,-0.232,-9.756,0.618
79,61.41,-0.239,-10.058,0.544
80,63.11,-0.245,-10.304,0.448
81,62.83,-0.294,-12.364,0.398
82,67.07,-0.223,-9.372,0.386
83,65.37,-0.229,-9.626,0.558
84,67.64,-0.227,-9.513,0.488
85,66.79,-0.237,-9.958,0.474
86,67.35,-0.178,-7.494,0.633
87,66.5,-0.084,-3.508,0.729
88,67.64,0.041,1.71,1.0
89,68.77,0.134,5.608,0.745
90,67.64,0.134,5.614,0.762
91,70.47,0.181,7.62,0.713
92,77.54,0.141,5.932,0.897
93,80.94,0.116,4.878,0.845
94,80.37,0.104,4.354,0.931
95,84.05,0.102,4.264,0.931
96,88.01,0.088,3.714,0.948
97,89.71,0.326,13.671,0.914
98,90.28,0.257,10.806,0.862
99,92.54,0.17,7.128,0.845
100,90.56,0.385,16.19,0.68
