,mean,slp,chg,pvalue
0,76.41,0.45,18.89,0.633
1,76.41,0.31,13.02,0.845
2,73.58,0.44,18.48,0.502
3,68.2,0.492,20.672,0.109
4,76.13,0.34,14.28,0.633
5,74.71,0.344,14.43,0.696
6,73.3,0.284,11.928,0.983
7,73.01,0.396,16.632,0.649
8,70.18,0.431,18.1,0.363
9,70.18,0.412,17.284,0.603
10,70.18,0.328,13.776,0.729
11,67.07,0.418,17.566,0.319
12,69.05,0.22,9.24,0.713
13,66.79,0.227,9.52,0.762
14,65.66,0.063,2.636,0.633
15,67.92,0.124,5.198,0.795
16,65.66,0.328,13.772,0.319
17,69.62,0.189,7.924,0.745
18,65.66,0.108,4.52,0.603
19,66.22,0.0,0.0,0.696
20,64.52,0.059,2.484,0.897
21,69.33,0.062,2.614,0.948
22,67.35,0.113,4.754,0.729
23,66.22,0.12,5.024,0.845
24,65.94,0.152,6.396,0.762
25,67.35,0.216,9.068,0.762
26,68.77,0.255,10.71,0.729
27,66.22,0.205,8.63,0.897
28,67.35,0.188,7.886,0.649
29,67.64,0.183,7.684,0.897
30,66.22,0.202,8.49,0.745
31,67.64,0.094,3.966,0.762
32,67.92,0.272,11.436,0.488
33,67.07,0.173,7.256,0.665
34,67.92,0.127,5.344,0.729
35,68.77,0.128,5.384,0.745
36,66.79,0.283,11.884,0.502
37,67.07,0.24,10.08,0.488
38,67.35,0.212,8.925,0.516
39,66.79,0.182,7.64,0.665
40,67.64,0.18,7.56,0.298
41,68.49,0.227,9.52,0.509
42,67.92,0.252,10.57,0.319
43,68.2,0.248,10.406,0.363
44,70.75,0.249,10.45,0.278
45,67.35,0.204,8.552,0.34
46,67.35,0.147,6.19,0.351
47,67.35,0.189,7.934,0.329
48,67.64,0.148,6.23,0.633
49,67.64,0.113,4.746,0.53
50,69.33,0.043,1.784,0.828
51,66.5,0.174,7.302,0.665
52,64.81,0.108,4.54,0.845
53,69.33,0.0,0.0,0.68
54,68.2,0.121,5.1,0.862
55,71.6,0.035,1.488,0.745
56,70.75,-0.066,-2.792,0.713
57,71.03,0.0,0.0,0.879
58,69.9,-0.077,-3.246,0.897
59,73.3,-0.028,-1.176,0.778
60,72.73,-0.108,-4.54,0.696
61,69.62,-0.035,-1.47,0.931
62,71.88,0.063,2.66,0.914
63,73.86,-0.045,-1.878,0.983
64,74.43,-0.071,-2.992,0.983
65,74.43,0.017,0.716,0.965
66,75.28,0.047,1.978,0.965
67,76.13,0.065,2.746,0.879
68,79.24,0.121,5.1,0.914
69,82.64,0.189,7.934,1.0
70,86.6,0.296,12.428,0.812
71,93.39,0.359,15.088,0.778
72,98.2,0.566,23.772,0.558
73,97.07,0.644,27.038,0.633
74,103.3,0.701,29.454,0.41
75,105.28,0.875,36.73,0.233
76,114.9,1.043,43.79,0.242
77,115.18,0.92,38.64,0.288
78,112.92,0.825,34.668,0.233
79,117.73,0.483,20.284,0.502
80,117.73,0.676,28.396,0.502
81,125.09,0.566,23.76,0.488
82,132.16,0.669,28.102,0.423
83,138.1,0.98,41.16,0.278
84,161.03,0.986,41.424,0.423
85,174.89,0.283,11.884,0.762
86,169.8,0.038,1.612,0.965
87,188.76,0.065,2.712,0.862
88,198.38,0.042,1.754,0.931
89,232.63,-0.547,-22.956,0.897
90,256.12,-0.566,-23.772,0.845
91,246.49,-1.415,-59.43,0.633
92,259.23,-1.759,-73.886,0.488
93,249.32,-2.906,-122.072,0.26
94,251.3,-3.385,-142.17,0.153
95,251.3,-3.441,-144.502,0.114
96,262.62,-2.979,-125.1,0.159
97,251.87,-2.681,-112.604,0.201
98,259.23,-2.664,-111.868,0.179
99,285.83,-1.981,-83.198,0.308
100,285.83,-1.179,-49.524,0.516
101,263.19,-1.413,-59.36,0.633
102,261.21,-1.661,-69.774,0.633
103,266.02,-1.614,-67.79,0.649
104,278.19,-2.021,-84.9,0.516
105,271.4,-2.069,-86.914,0.53
106,268.0,-2.094,-87.948,0.573
107,262.34,-2.177,-91.43,0.633
108,248.76,-1.627,-68.342,0.488
109,244.8,-1.52,-63.824,0.745
110,266.02,-1.111,-46.68,0.897
111,253.0,-0.647,-27.165,0.948
112,238.0,-0.492,-20.672,0.897
113,233.76,-0.725,-30.464,0.879
114,233.19,-0.357,-14.974,0.745
115,230.64,0.23,9.66,0.713
116,235.46,0.124,5.224,0.573
117,261.77,0.046,1.924,0.696
118,252.15,-0.088,-3.714,0.745
119,247.91,0.79,33.18,0.649
120,246.78,0.0,0.0,0.879
121,240.27,-0.161,-6.742,1.0
122,218.48,0.566,23.772,0.795
123,235.46,0.938,39.414,0.633
124,223.29,0.566,23.76,0.696
125,209.99,0.453,19.026,0.778
126,205.74,0.181,7.596,0.914
127,199.23,0.071,2.97,0.879
128,186.5,0.152,6.396,1.0
129,196.97,-0.422,-17.744,1.0
130,211.12,-0.768,-32.25,0.762
131,204.33,-1.097,-46.06,0.488
132,196.97,-0.769,-32.28,0.516
133,204.33,-0.819,-34.396,0.398
134,194.14,-0.93,-39.06,0.386
135,180.55,-0.931,-39.112,0.588
136,170.65,-0.722,-30.326,0.696
137,178.57,-0.283,-11.884,0.845
138,176.03,-0.185,-7.786,0.729
139,169.52,0.68,28.56,0.374
140,163.29,0.546,22.92,0.41
141,165.84,0.99,41.58,0.153
142,151.12,0.9,37.79,0.172
143,158.48,1.148,48.206,0.179
144,168.67,1.565,65.742,0.119
145,166.69,2.084,87.512,0.153
146,161.31,2.278,95.66,0.109
147,155.93,2.222,93.303,0.083
148,167.54,1.966,82.554,0.129
149,162.72,1.793,75.32,0.146
150,160.46,1.792,75.282,0.135
151,152.82,1.931,81.11,0.129
152,149.99,1.671,70.18,0.083
153,140.93,1.406,59.068,0.119
154,140.93,1.262,52.99,0.146
155,137.82,1.009,42.392,0.217
156,139.8,0.917,38.522,0.386
157,142.63,0.903,37.946,0.588
158,139.52,1.016,42.688,0.53
159,135.27,0.731,30.695,0.474
160,130.46,0.755,31.69,0.26
161,123.67,0.548,23.022,0.298
162,129.9,0.599,25.162,0.374
163,119.71,0.35,14.72,0.488
164,129.9,0.201,8.46,0.845
