,mean,slp,chg,pvalue
0,3.62,-0.006,-0.234,0.851
1,3.25,0.009,0.385,0.834
2,3.62,-0.003,-0.14,0.936
3,3.54,-0.012,-0.518,0.699
4,3.23,-0.007,-0.28,0.756
5,3.06,-0.004,-0.158,0.899
6,2.55,0.001,0.06,0.963
7,2.43,0.02,0.84,0.706
8,2.6,0.006,0.24,0.842
9,3.42,0.024,1.002,0.601
10,2.91,0.03,1.26,0.565
11,2.72,0.054,2.256,0.511
12,2.97,0.052,2.19,0.373
13,2.43,0.032,1.342,0.478
14,2.15,0.02,0.84,0.532
15,2.04,0.021,0.9,0.587
16,3.03,0.02,0.84,0.722
17,2.94,-0.009,-0.358,0.794
18,3.03,-0.043,-1.8,0.324
19,3.2,-0.036,-1.506,0.139
20,3.0,-0.029,-1.226,0.31
21,3.08,-0.039,-1.62,0.276
22,4.67,-0.035,-1.49,0.47
23,3.51,-0.028,-1.196,0.565
24,3.96,0.007,0.316,0.884
25,3.59,-0.012,-0.49,0.794
26,3.71,-0.046,-1.928,0.32
27,3.23,-0.026,-1.092,0.608
28,2.97,-0.009,-0.392,0.802
29,3.42,-0.029,-1.202,0.594
30,3.17,-0.025,-1.05,0.49
31,3.17,-0.047,-1.972,0.237
32,3.34,-0.062,-2.6,0.146
33,2.89,-0.061,-2.568,0.149
34,3.4,-0.042,-1.78,0.14
35,3.31,-0.023,-0.984,0.47
36,3.11,-0.019,-0.81,0.66
37,3.51,0.001,0.058,0.992
38,3.48,-0.013,-0.55,0.761
39,3.11,-0.039,-1.62,0.439
40,4.3,-0.067,-2.824,
41,4.24,-0.07,-2.926,
42,4.67,-0.108,-4.536,0.07
43,4.75,-0.094,-3.938,0.143
44,5.38,-0.07,-2.94,0.229
45,6.06,-0.096,-4.025,0.194
46,5.01,-0.095,-3.99,0.053
47,4.19,-0.069,-2.88,0.092
48,4.47,-0.062,-2.614,0.146
49,3.45,-0.075,-3.156,0.116
50,3.79,-0.056,-2.34,0.06
51,3.88,0.006,0.24,0.86
52,4.53,-0.025,-1.05,0.344
53,5.77,-0.052,-2.188,0.29
54,4.9,-0.015,-0.63,0.754
55,5.12,-0.008,-0.344,0.94
56,5.12,-0.03,-1.26,0.635
57,4.33,-0.062,-2.594,0.357
58,4.16,-0.079,-3.308,0.158
59,3.65,-0.1,-4.2,0.136
60,4.27,-0.089,-3.756,0.17
61,6.42,-0.062,-2.602,0.402
62,5.52,-0.143,-6.0,0.098
63,5.29,-0.138,-5.786,0.143
64,4.36,-0.105,-4.43,0.167
65,4.16,-0.067,-2.82,0.3
66,5.72,-0.04,-1.658,0.601
67,5.12,-0.003,-0.112,0.917
68,5.94,0.023,0.952,0.638
69,4.78,0.035,1.454,0.451
70,5.01,-0.004,-0.186,0.868
71,4.36,0.004,0.152,0.892
72,5.21,0.028,1.196,0.623
73,4.95,0.027,1.13,0.586
74,4.87,0.035,1.486,0.572
75,4.19,0.027,1.155,0.746
76,6.081,0.008,0.315,0.95
77,6.62,0.019,0.78,0.758
78,6.74,-0.056,-2.368,0.483
79,5.09,-0.063,-2.634,0.33
80,5.04,-0.071,-3.0,0.286
81,5.38,-0.043,-1.82,0.47
82,4.98,-0.003,-0.116,0.884
83,5.83,0.086,3.626,0.341
84,5.58,0.057,2.4,0.524
85,5.32,0.047,1.995,0.475
86,6.71,0.049,2.056,0.308
87,7.07,0.02,0.84,0.693
88,6.51,-0.034,-1.418,0.601
89,6.31,0.014,0.578,0.742
90,4.92,0.002,0.072,0.956
91,4.58,-0.029,-1.2,0.558
92,4.22,-0.021,-0.864,0.754
93,4.53,-0.041,-1.715,0.562
94,4.41,-0.034,-1.44,0.497
95,4.58,-0.007,-0.28,0.908
96,4.53,0.034,1.41,0.268
97,3.93,0.018,0.75,0.541
98,3.2,0.002,0.098,0.891
99,2.91,0.006,0.244,0.735
100,2.81,0.0,0.0,1.0
101,4.53,-0.001,-0.06,0.917
102,4.19,0.002,0.084,0.896
103,5.24,0.017,0.714,0.836
104,5.46,0.051,2.124,0.439
105,4.39,0.015,0.63,0.777
106,4.08,-0.005,-0.19,0.942
107,4.33,0.017,0.714,0.714
108,4.58,0.002,0.072,0.975
109,3.91,-0.018,-0.75,0.683
110,3.28,-0.014,-0.57,0.714
111,3.85,-0.001,-0.036,0.993
112,4.1,-0.036,-1.5,0.472
113,4.02,-0.007,-0.315,0.854
114,4.16,0.027,1.128,0.73
115,3.62,0.032,1.344,0.129
116,4.61,0.023,0.975,0.413
117,3.88,0.029,1.218,0.29
118,5.09,0.138,5.796,0.06
119,4.61,0.096,4.042,0.119
120,4.33,0.095,3.99,0.205
121,3.93,0.015,0.642,0.854
122,3.93,-0.01,-0.4,0.95
123,7.16,0.026,1.08,0.795
124,6.06,0.004,0.184,0.955
125,4.9,-0.017,-0.728,0.745
126,4.24,-0.027,-1.155,0.516
127,5.15,0.014,0.6,0.818
128,4.73,0.008,0.33,0.917
129,4.47,-0.011,-0.446,0.794
130,4.19,-0.024,-1.002,0.683
131,4.53,0.0,0.0,1.0
132,4.1,-0.028,-1.19,0.653
133,4.24,-0.074,-3.124,0.272
134,4.84,-0.09,-3.78,0.263
135,3.82,-0.073,-3.074,0.276
136,2.86,-0.053,-2.23,0.194
137,2.49,-0.052,-2.17,0.315
138,2.66,-0.032,-1.36,0.496
139,3.74,-0.011,-0.448,0.851
140,4.61,-0.011,-0.472,0.889
141,3.59,-0.027,-1.12,0.497
142,2.91,-0.032,-1.328,0.544
143,2.75,-0.029,-1.208,0.523
144,3.99,-0.021,-0.898,0.738
145,3.11,-0.038,-1.59,0.47
146,4.67,-0.065,-2.73,0.263
147,4.53,-0.066,-2.772,0.25
148,3.96,-0.083,-3.476,0.134
149,3.31,-0.019,-0.794,0.586
150,2.5,-0.022,-0.916,0.51
151,2.09,-0.02,-0.84,0.586
152,2.97,-0.039,-1.646,0.229
153,3.57,-0.06,-2.508,0.149
154,2.69,-0.045,-1.89,0.146
155,2.21,-0.046,-1.932,0.08
156,2.69,-0.043,-1.81,0.129
157,1.98,-0.038,-1.586,0.124
158,1.5,-0.019,-0.778,0.267
159,1.13,-0.018,-0.762,0.191
160,1.67,-0.019,-0.805,0.102
161,2.01,-0.028,-1.19,0.013
162,1.93,-0.041,-1.732,
163,1.56,-0.039,-1.624,
164,1.19,-0.033,-1.406,0.003
165,1.1,-0.025,-1.036,0.0
166,1.11,-0.038,-1.616,0.005
167,0.91,-0.025,-1.05,0.018
168,0.83,-0.028,-1.172,0.025
169,0.8,-0.021,-0.876,0.015
170,0.61,-0.016,-0.66,0.023
171,0.57,-0.006,-0.24,0.17
172,0.74,-0.008,-0.342,0.083
173,0.65,-0.006,-0.268,0.162
174,0.68,-0.005,-0.222,0.476
175,0.48,-0.008,-0.354,0.168
176,0.44,-0.007,-0.28,0.001
177,0.4,-0.003,-0.128,
178,0.37,-0.003,-0.112,0.326
179,0.38,-0.002,-0.078,0.331
180,0.41,-0.005,-0.19,0.131
181,0.38,-0.009,-0.385,0.198
182,0.51,-0.005,-0.21,0.297
183,0.57,-0.003,-0.12,0.703
184,0.54,0.001,0.058,0.859
185,0.48,-0.001,-0.06,0.759
186,0.45,-0.001,-0.028,0.925
187,0.42,-0.001,-0.056,0.698
188,0.29,-0.0,-0.014,0.925
