,mean,slp,chg,pvalue
0,2.77,-0.061,-2.548,0.0
1,2.75,-0.057,-2.388,0.001
2,2.72,-0.06,-2.52,0.001
3,2.74,-0.061,-2.572,0.001
4,2.73,-0.06,-2.52,0.002
5,2.75,-0.059,-2.49,0.003
6,2.77,-0.053,-2.224,0.012
7,2.77,-0.045,-1.91,0.018
8,2.67,-0.045,-1.91,0.013
9,2.64,-0.048,-2.006,0.011
10,2.67,-0.047,-1.96,0.007
11,2.75,-0.044,-1.834,0.008
12,2.86,-0.047,-1.96,0.003
13,2.97,-0.046,-1.928,0.005
14,2.83,-0.048,-2.002,0.025
15,2.82,-0.047,-1.96,0.025
16,3.42,-0.045,-1.89,0.06
17,3.08,-0.055,-2.322,0.01
18,3.06,-0.057,-2.41,0.01
19,3.06,-0.058,-2.426,0.006
20,3.31,-0.051,-2.16,0.018
21,3.23,-0.048,-2.004,0.036
22,3.31,-0.049,-2.04,0.029
23,3.25,-0.044,-1.86,0.065
24,3.4,-0.044,-1.852,0.066
25,3.37,-0.042,-1.78,0.049
26,3.45,-0.038,-1.604,0.103
27,3.54,-0.035,-1.476,0.189
28,3.48,-0.035,-1.47,0.156
29,3.51,-0.043,-1.82,0.137
30,3.34,-0.046,-1.932,0.073
31,3.34,-0.057,-2.412,0.06
32,3.31,-0.06,-2.52,0.034
33,3.2,-0.053,-2.214,0.002
34,3.28,-0.055,-2.29,0.003
35,3.28,-0.067,-2.808,0.044
36,3.54,-0.06,-2.52,0.057
37,3.42,-0.059,-2.46,0.061
38,3.65,-0.069,-2.88,0.1
39,3.68,-0.071,-2.97,0.065
40,3.59,-0.078,-3.268,0.073
41,3.88,-0.086,-3.6,0.035
42,4.56,-0.076,-3.208,0.067
43,4.47,-0.07,-2.954,0.023
44,4.56,-0.089,-3.734,0.009
45,4.5,-0.085,-3.584,0.03
46,4.5,-0.074,-3.088,0.069
47,4.41,-0.078,-3.276,0.098
48,4.39,-0.085,-3.57,0.094
49,4.41,-0.091,-3.826,0.092
50,4.33,-0.098,-4.116,0.084
51,4.24,-0.095,-3.982,0.075
52,4.24,-0.08,-3.36,0.077
53,4.24,-0.07,-2.94,0.116
54,4.58,-0.065,-2.73,0.137
55,4.56,-0.087,-3.64,0.096
56,5.35,-0.112,-4.69,0.039
57,5.09,-0.115,-4.844,0.052
58,5.66,-0.127,-5.33,0.036
59,5.63,-0.133,-5.6,0.024
60,5.63,-0.143,-5.994,0.025
61,5.72,-0.167,-7.026,0.011
62,6.03,-0.17,-7.14,0.006
63,5.83,-0.163,-6.86,0.006
64,5.83,-0.169,-7.088,0.011
65,5.89,-0.16,-6.72,0.016
66,6.25,-0.137,-5.74,0.022
67,6.2,-0.127,-5.346,0.029
68,5.58,-0.123,-5.18,0.015
69,6.2,-0.158,-6.65,0.007
70,6.65,-0.155,-6.51,0.02
71,8.01,-0.214,-8.988,0.02
72,7.92,-0.204,-8.578,0.026
73,7.39,-0.193,-8.12,0.037
74,6.91,-0.17,-7.14,0.043
75,8.01,-0.164,-6.898,0.054
76,8.01,-0.147,-6.16,0.044
77,7.7,-0.128,-5.355,0.075
78,7.5,-0.122,-5.144,0.08
79,7.92,-0.132,-5.554,0.053
80,7.64,-0.126,-5.298,0.064
81,7.73,-0.125,-5.25,0.072
82,7.78,-0.125,-5.25,0.058
83,7.58,-0.107,-4.48,0.15
84,7.24,-0.109,-4.57,0.146
85,6.76,-0.121,-5.1,0.093
86,6.08,-0.125,-5.25,0.05
87,5.83,-0.114,-4.806,0.082
88,6.65,-0.123,-5.145,0.075
89,6.23,-0.118,-4.956,0.083
90,6.03,-0.107,-4.498,0.027
91,5.72,-0.1,-4.182,0.023
92,5.83,-0.116,-4.862,0.064
93,5.55,-0.114,-4.8,0.03
94,5.24,-0.109,-4.585,0.017
95,5.01,-0.112,-4.714,0.021
96,4.98,-0.113,-4.728,0.02
97,4.95,-0.123,-5.186,0.012
98,4.95,-0.138,-5.806,0.007
99,4.73,-0.123,-5.154,0.006
100,4.56,-0.129,-5.402,0.005
101,4.44,-0.13,-5.46,0.007
102,4.27,-0.13,-5.446,0.005
103,4.27,-0.13,-5.46,0.004
104,4.27,-0.135,-5.654,0.003
105,4.22,-0.143,-6.02,0.003
106,3.99,-0.14,-5.88,0.002
107,3.82,-0.142,-5.96,0.002
108,3.62,-0.149,-6.266,0.002
109,3.59,-0.143,-6.0,0.001
110,3.62,-0.154,-6.486,0.001
111,3.59,-0.148,-6.21,0.0
112,3.42,-0.14,-5.896,0.0
113,3.4,-0.138,-5.776,0.0
114,3.31,-0.13,-5.46,0.001
115,3.11,-0.118,-4.976,0.001
116,2.97,-0.114,-4.8,0.001
117,2.91,-0.115,-4.81,0.001
118,3.17,-0.109,-4.582,0.001
119,3.25,-0.112,-4.694,0.001
120,3.14,-0.115,-4.83,0.0
121,3.31,-0.131,-5.52,0.0
122,3.08,-0.134,-5.644,0.0
123,2.94,-0.139,-5.82,0.0
124,2.63,-0.143,-5.985,0.0
125,2.46,-0.135,-5.658,0.0
126,2.41,-0.124,-5.19,0.0
127,2.15,-0.119,-5.01,0.0
128,2.21,-0.114,-4.796,0.0
129,2.35,-0.11,-4.606,0.0
130,2.29,-0.106,-4.472,0.0
131,2.19,-0.106,-4.46,0.0
132,2.18,-0.101,-4.26,0.0
133,2.15,-0.099,-4.146,0.0
134,2.07,-0.09,-3.78,0.0
135,2.01,-0.09,-3.78,0.0
136,1.92,-0.091,-3.824,0.0
137,1.87,-0.088,-3.712,0.0
138,1.86,-0.085,-3.576,0.0
139,1.81,-0.08,-3.376,0.0
140,1.72,-0.084,-3.535,0.0
141,1.71,-0.08,-3.342,0.0
142,1.71,-0.074,-3.12,0.0
143,1.63,-0.074,-3.104,0.0
144,1.56,-0.077,-3.248,0.0
145,1.44,-0.072,-3.024,0.0
146,1.38,-0.07,-2.94,0.0
147,1.39,-0.066,-2.765,0.0
148,1.33,-0.062,-2.622,0.0
149,1.3,-0.059,-2.496,0.0
150,1.36,-0.059,-2.468,0.0
151,1.22,-0.06,-2.52,0.0
152,1.32,-0.056,-2.368,0.0
153,1.21,-0.055,-2.298,0.0
154,1.11,-0.053,-2.22,0.0
155,1.1,-0.051,-2.124,0.0
156,1.12,-0.048,-2.037,0.0
157,1.09,-0.049,-2.062,0.0
158,1.02,-0.05,-2.082,0.0
159,1.0,-0.05,-2.09,0.0
160,1.01,-0.047,-1.98,0.0
161,1.05,-0.048,-2.022,0.0
162,1.15,-0.046,-1.928,0.0
163,1.13,-0.045,-1.89,0.0
164,0.93,-0.044,-1.866,0.0
165,0.9,-0.043,-1.82,0.0
166,0.91,-0.043,-1.792,0.0
167,0.91,-0.042,-1.78,0.0
168,1.03,-0.043,-1.788,0.0
169,0.99,-0.042,-1.782,0.0
170,0.99,-0.042,-1.746,0.0
171,0.94,-0.044,-1.86,0.0
172,0.93,-0.042,-1.758,0.0
173,0.9,-0.042,-1.786,0.0
174,0.9,-0.04,-1.68,0.0
175,0.88,-0.04,-1.66,0.0
176,0.82,-0.038,-1.578,0.0
177,0.85,-0.035,-1.47,0.0
178,0.85,-0.034,-1.436,0.0
179,0.88,-0.036,-1.528,0.0
180,0.88,-0.035,-1.47,0.0
181,0.93,-0.032,-1.326,
182,0.95,-0.028,-1.196,0.0
183,0.96,-0.025,-1.066,0.0
184,1.08,-0.021,-0.88,0.001
185,1.06,-0.019,-0.8,0.016
186,0.99,-0.023,-0.952,0.006
187,1.16,-0.024,-1.02,0.023
188,1.22,-0.025,-1.038,0.009
189,1.33,-0.026,-1.094,0.034
190,1.39,-0.027,-1.156,0.012
191,1.29,-0.03,-1.244,0.004
192,1.44,-0.021,-0.898,0.079
193,1.33,-0.02,-0.84,0.057
194,1.25,-0.023,-0.98,0.029
195,1.3,-0.017,-0.72,0.107
196,1.37,-0.019,-0.788,0.14
197,1.42,-0.015,-0.65,0.267
198,1.44,-0.013,-0.528,0.362
199,1.53,-0.023,-0.964,0.107
200,1.56,-0.023,-0.972,0.075
201,1.42,-0.026,-1.088,0.04
202,1.61,-0.029,-1.226,0.042
203,1.9,-0.021,-0.884,0.315
204,1.92,-0.017,-0.7,0.357
205,1.7,-0.014,-0.57,0.336
206,1.7,-0.012,-0.504,0.351
207,1.84,-0.017,-0.726,0.258
208,2.52,-0.011,-0.446,0.601
209,2.78,-0.001,-0.028,1.0
210,2.41,-0.004,-0.18,0.925
211,2.77,-0.021,-0.866,0.42
212,2.6,-0.022,-0.934,0.295
213,2.8,0.005,0.192,0.942
214,2.48,0.009,0.386,0.722
215,2.22,-0.008,-0.346,0.73
216,3.0,-0.01,-0.432,0.537
217,2.89,-0.03,-1.28,0.207
218,2.89,-0.041,-1.726,0.104
219,2.65,-0.041,-1.706,0.063
220,2.72,-0.051,-2.142,0.009
221,2.78,-0.043,-1.798,0.109
222,2.91,-0.043,-1.79,0.008
223,3.25,-0.028,-1.156,0.412
224,2.83,-0.022,-0.924,0.516
225,3.34,-0.028,-1.166,0.397
226,3.25,-0.035,-1.47,0.254
227,2.91,-0.028,-1.18,0.241
228,2.8,-0.016,-0.672,0.586
229,2.91,-0.011,-0.452,0.746
230,2.86,-0.003,-0.105,0.942
231,2.94,-0.014,-0.594,0.572
232,2.94,-0.031,-1.306,0.167
233,2.49,-0.025,-1.062,0.217
234,2.43,-0.026,-1.112,0.155
235,2.91,-0.023,-0.954,0.124
236,3.0,-0.026,-1.112,0.346
237,2.49,-0.023,-0.952,0.267
238,2.43,-0.028,-1.156,0.325
239,2.97,-0.029,-1.21,0.281
240,2.77,-0.029,-1.222,0.296
241,2.8,-0.03,-1.28,0.35
242,2.72,-0.026,-1.092,0.335
243,2.24,-0.012,-0.494,0.562
244,2.15,-0.002,-0.076,0.938
245,2.45,0.004,0.162,0.867
246,2.6,-0.009,-0.376,0.777
247,2.6,-0.013,-0.534,0.608
248,2.43,-0.028,-1.196,0.184
249,2.38,-0.005,-0.222,0.842
250,2.24,0.006,0.24,0.818
251,2.29,0.002,0.064,0.961
252,2.39,-0.011,-0.482,0.51
253,2.49,-0.024,-1.008,0.325
254,2.37,-0.025,-1.05,0.198
255,2.26,-0.023,-0.95,0.187
256,2.1,-0.025,-1.058,0.124
257,2.04,-0.017,-0.722,0.276
258,2.11,-0.013,-0.56,0.523
259,2.04,-0.015,-0.615,0.402
260,1.98,-0.014,-0.572,0.236
261,1.92,-0.012,-0.514,0.332
262,1.92,-0.014,-0.582,0.25
263,2.04,-0.018,-0.748,0.105
264,1.93,-0.012,-0.508,0.305
265,1.94,-0.026,-1.071,0.069
266,1.85,-0.036,-1.491,0.041
267,1.88,-0.026,-1.074,0.075
268,1.81,-0.02,-0.822,0.04
269,1.78,-0.018,-0.77,0.026
270,1.67,-0.021,-0.886,0.01
271,1.67,-0.016,-0.654,0.229
272,1.6,-0.013,-0.56,0.379
273,1.53,-0.012,-0.5,0.183
274,1.55,-0.016,-0.682,0.267
275,1.53,-0.026,-1.085,0.073
276,1.47,-0.023,-0.966,0.048
277,1.58,-0.023,-0.966,0.121
278,1.66,-0.022,-0.914,0.17
279,1.78,-0.025,-1.05,0.137
280,1.9,-0.02,-0.84,0.202
281,1.78,-0.018,-0.744,0.258
282,1.75,-0.016,-0.69,0.17
283,1.7,-0.019,-0.812,0.01
284,1.67,-0.017,-0.72,0.015
285,1.56,-0.019,-0.818,0.003
286,1.53,-0.021,-0.878,0.002
287,1.66,-0.02,-0.84,0.005
288,1.61,-0.022,-0.934,0.022
289,1.59,-0.021,-0.868,0.017
290,1.53,-0.022,-0.918,0.012
291,1.58,-0.021,-0.9,0.002
292,1.62,-0.021,-0.9,0.001
293,1.62,-0.023,-0.98,0.003
294,1.64,-0.026,-1.102,0.029
295,1.64,-0.027,-1.126,0.028
296,1.7,-0.025,-1.05,0.044
297,1.64,-0.025,-1.05,0.032
298,1.73,-0.028,-1.166,0.022
299,1.75,-0.028,-1.188,0.002
300,1.84,-0.024,-1.012,0.002
301,1.84,-0.022,-0.944,0.003
302,1.78,-0.025,-1.07,0.003
303,1.61,-0.027,-1.14,0.001
304,1.73,-0.03,-1.24,0.001
305,1.79,-0.037,-1.54,0.0
306,1.9,-0.038,-1.576,0.0
307,1.92,-0.036,-1.5,0.0
308,1.81,-0.035,-1.486,0.01
309,1.87,-0.039,-1.618,0.009
310,1.85,-0.041,-1.738,0.006
311,1.88,-0.038,-1.596,0.004
312,1.87,-0.031,-1.312,0.022
313,1.92,-0.04,-1.68,0.011
314,1.98,-0.048,-2.004,0.0
315,1.92,-0.05,-2.084,0.0
316,2.04,-0.045,-1.874,0.0
317,1.95,-0.04,-1.68,0.0
318,1.93,-0.04,-1.68,0.0
319,1.94,-0.041,-1.726,0.001
320,1.95,-0.039,-1.64,0.001
321,1.95,-0.056,-2.336,0.0
322,1.92,-0.052,-2.184,0.0
323,1.98,-0.05,-2.12,0.0
324,1.94,-0.039,-1.656,0.005
325,2.01,-0.039,-1.648,0.004
326,2.15,-0.035,-1.49,0.015
327,2.24,-0.032,-1.36,0.022
328,2.24,-0.037,-1.54,0.017
329,2.21,-0.035,-1.482,0.01
330,2.21,-0.035,-1.47,0.009
331,2.26,-0.032,-1.338,0.032
332,2.29,-0.028,-1.16,0.049
333,2.29,-0.031,-1.288,0.032
334,2.32,-0.038,-1.61,0.001
335,2.26,-0.039,-1.64,0.001
336,2.24,-0.038,-1.575,0.002
337,2.21,-0.039,-1.624,0.002
338,2.24,-0.038,-1.612,0.001
339,2.21,-0.039,-1.652,0.001
340,2.2,-0.039,-1.62,0.002
341,2.2,-0.041,-1.702,0.002
342,2.36,-0.042,-1.746,0.041
343,2.26,-0.038,-1.59,0.02
344,2.29,-0.04,-1.68,0.018
345,2.29,-0.05,-2.1,0.006
346,2.31,-0.047,-1.974,0.014
347,2.55,-0.052,-2.166,0.006
348,2.59,-0.055,-2.31,0.011
349,2.46,-0.052,-2.196,0.001
350,2.46,-0.051,-2.122,0.002
351,2.45,-0.055,-2.324,0.002
352,2.46,-0.058,-2.436,0.002
353,2.41,-0.055,-2.3,0.001
354,2.38,-0.054,-2.28,0.001
355,2.6,-0.05,-2.1,0.016
356,2.59,-0.049,-2.054,0.021
357,2.66,-0.055,-2.31,0.019
358,2.79,-0.046,-1.916,0.054
359,2.63,-0.049,-2.056,0.038
360,2.6,-0.066,-2.772,0.008
361,2.59,-0.061,-2.564,0.019
362,2.54,-0.051,-2.128,0.003
363,2.75,-0.051,-2.134,0.001
364,2.75,-0.051,-2.142,0.0
