,mean,slp,chg,pvalue
01-01,0.081,0.001,0.046,0.057
01-02,0.081,0.001,0.052,0.009
01-03,0.082,0.001,0.057,0.057
01-04,0.082,0.001,0.053,0.065
01-05,0.082,0.002,0.063,0.024
01-06,0.081,0.001,0.06,0.003
01-07,0.082,0.001,0.057,0.013
01-08,0.082,0.001,0.055,0.031
01-09,0.082,0.001,0.053,0.048
01-10,0.081,0.001,0.056,0.041
01-11,0.082,0.001,0.057,0.13
01-12,0.092,0.001,0.055,0.164
01-13,0.081,0.001,0.052,0.169
01-14,0.082,0.001,0.053,0.037
01-15,0.081,0.001,0.05,0.087
01-16,0.082,0.001,0.053,0.022
01-17,0.071,0.001,0.052,0.199
01-18,0.072,0.001,0.057,0.165
01-19,0.072,0.001,0.057,0.13
01-20,0.072,0.002,0.067,0.075
01-21,0.072,0.002,0.065,0.0
01-22,0.062,0.002,0.071,0.02
01-23,0.062,0.002,0.07,0.014
01-24,0.062,0.002,0.07,0.01
01-25,0.062,0.002,0.066,0.021
01-26,0.062,0.002,0.068,0.016
01-27,0.062,0.001,0.063,0.015
01-28,0.062,0.002,0.07,0.011
01-29,0.062,0.002,0.07,0.007
01-30,0.062,0.002,0.07,0.012
01-31,0.062,0.002,0.074,0.01
02-01,0.062,0.002,0.065,0.014
02-02,0.062,0.002,0.07,0.011
02-03,0.062,0.002,0.071,0.009
02-04,0.062,0.001,0.061,0.031
02-05,0.061,0.001,0.062,0.031
02-06,0.061,0.001,0.062,0.026
02-07,0.062,0.002,0.063,0.029
02-08,0.062,0.001,0.063,0.035
02-09,0.061,0.001,0.056,0.039
02-10,0.062,0.001,0.061,0.032
02-11,0.062,0.001,0.057,0.03
02-12,0.062,0.002,0.067,0.04
02-13,0.061,0.001,0.06,0.04
02-14,0.061,0.001,0.06,0.041
02-15,0.062,0.001,0.057,0.048
02-16,0.061,0.001,0.06,0.052
02-17,0.062,0.001,0.053,0.082
02-18,0.061,0.001,0.048,0.072
02-19,0.071,0.001,0.048,0.059
02-20,0.071,0.001,0.05,0.053
02-21,0.061,0.001,0.06,0.05
02-22,0.062,0.001,0.057,0.05
02-23,0.072,0.001,0.053,0.056
02-24,0.071,0.001,0.05,0.078
02-25,0.071,0.001,0.046,0.099
02-26,0.071,0.001,0.038,0.219
02-27,0.07,0.001,0.033,0.279
02-28,0.081,0.001,0.028,0.321
03-01,0.081,0.001,0.034,0.289
03-02,0.08,0.001,0.021,0.404
03-03,0.08,0.0,0.017,0.363
03-04,0.09,0.0,0.0,0.644
03-05,0.09,0.0,0.0,0.737
03-06,0.09,0.0,0.0,0.813
03-07,0.09,0.0,0.0,0.91
03-08,0.09,0.0,0.0,0.919
03-09,0.09,0.0,0.0,0.848
03-10,0.09,0.0,0.0,0.761
03-11,0.09,0.0,0.0,0.745
03-12,0.09,-0.0,-0.007,0.592
03-13,0.09,0.0,0.0,0.698
03-14,0.09,0.0,0.0,0.665
03-15,0.09,0.0,0.0,0.763
03-16,0.09,0.0,0.0,0.843
03-17,0.09,0.0,0.0,0.975
03-18,0.09,0.0,0.0,0.962
03-19,0.1,0.0,0.0,1.0
03-20,0.1,0.0,0.0,0.973
03-21,0.11,0.0,0.0,0.839
03-22,0.11,0.0,0.013,0.77
03-23,0.11,0.001,0.031,0.621
03-24,0.1,0.001,0.041,0.582
03-25,0.101,0.001,0.038,0.605
03-26,0.12,0.001,0.041,0.581
03-27,0.131,0.001,0.032,0.661
03-28,0.141,0.001,0.034,0.536
03-29,0.172,0.001,0.051,0.544
03-30,0.202,0.001,0.061,0.661
