,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0021874906250000103,18.57170001406252,1.0,-0.0,40.0,-0.092,-0.003,14.243,14.151
01-02,0.011739130434782735,-7.160652173913295,0.9074758032398831,0.0,40.0,0.493,0.013,16.071,16.564
01-03,0.09676339084821428,-175.68163661015623,0.5340378212210659,0.0,40.0,4.064,0.097,15.813,19.877
01-04,0.07944444444444448,-140.06972222222228,0.46604337870011414,0.0,40.0,3.337,0.092,17.151,20.488
01-05,0.2867424196969697,-556.354725764394,0.14551243841992356,0.0,40.0,12.043,0.415,11.109,23.152
01-06,0.2995833374999999,-582.9672994937497,0.05066260539682843,1.0,40.0,12.583,0.458,9.908,22.491
01-07,0.33038456538461536,-643.9235544211538,0.0699614001425588,1.0,40.0,13.876,0.404,9.908,23.784
01-08,0.2322727237373738,-445.24703738914155,0.30519305357964566,0.0,40.0,9.755,0.304,14.421,24.176
01-09,0.19027779166666667,-353.1701661458334,0.5140772383676029,0.0,40.0,7.991,0.225,23.39,31.381
01-10,0.0034523607142856964,17.500456612500034,0.9814080595320067,0.0,40.0,0.145,0.003,24.333,24.478
01-11,0.05681852996138997,-95.10183212783785,0.7797507916151756,0.0,40.0,2.386,0.046,17.342,19.728
01-12,-0.13611118055555566,290.11819484027797,0.552322552702899,-0.0,40.0,-5.717,-0.164,20.754,15.037
01-13,-0.11363635727272724,248.05225950954537,0.6495035020381743,-0.0,40.0,-4.773,-0.152,23.166,18.393
01-14,-0.07259523809523807,168.5815833333333,0.7266728653996892,-0.0,40.0,-3.049,-0.091,24.916,21.867
01-15,-0.03877777611111109,95.64738555805552,0.7976613141870854,-0.0,40.0,-1.628,-0.054,18.906,17.278
01-16,0.07403845224358974,-130.26584580881408,0.6919854746185718,0.0,40.0,3.11,0.127,16.256,19.366
01-17,0.2250000625000001,-429.7126249062502,0.33935033795235947,0.0,40.0,9.451,0.302,15.562,25.013
01-18,0.21747473383838384,-413.0232550760101,0.42144237894257297,0.0,40.0,9.134,0.232,17.359,26.493
01-19,0.6000002252747254,-1176.6504507115387,0.04633520099984567,2.0,40.0,25.2,0.622,10.75,35.95
01-20,0.2733333166666666,-527.3566333583332,0.1727703009368755,0.0,40.0,11.48,0.391,13.57,25.05
01-21,0.19259259259259265,-366.59629579629643,0.16915767387539082,0.0,40.0,8.089,0.315,14.544,22.633
01-22,0.13298611111111108,-247.3227430555555,0.5216481488445233,0.0,40.0,5.585,0.185,15.857,21.442
01-23,0.1788690476190476,-339.3197921666666,0.3519632472123342,0.0,40.0,7.513,0.189,14.662,22.175
01-24,0.03405797101449275,-49.01485457246376,0.8248046168337546,0.0,40.0,1.43,0.038,18.386,19.816
01-25,0.023611111111111062,-29.68680555555546,0.9072292807789875,0.0,40.0,0.991,0.031,17.04,18.031
01-26,0.06043488260869584,-104.72911289347863,0.600072292463655,0.0,40.0,2.538,0.078,14.872,17.41
01-27,0.019791666666666687,-24.65364583333337,0.953539073550105,0.0,40.0,0.831,0.024,14.514,15.345
01-28,0.030955894852941198,-43.31535536360299,0.7886914836919623,0.0,40.0,1.301,0.036,17.946,19.247
01-29,0.11035716250000001,-202.44878975625002,0.5679443253847969,0.0,40.0,4.635,0.127,15.948,20.583
01-30,0.17142857142857149,-325.7500005000001,0.33935033795235947,0.0,40.0,7.2,0.182,13.507,20.707
01-31,0.2808333866666667,-544.2455232533333,0.20824816318046757,0.0,40.0,11.795,0.385,11.524,23.319
02-01,0.2510000014285714,-481.5235023549999,0.2125219354050587,0.0,40.0,10.542,0.327,15.206,25.748
02-02,0.17984374687499988,-335.46772812968726,0.1580871575534406,0.0,40.0,7.553,0.231,20.443,27.996
