,mean,slp,chg,pvalue
0,1.354,-0.004,-0.157,0.715
1,1.32,-0.003,-0.14,0.734
2,1.252,-0.003,-0.105,0.811
3,1.204,-0.001,-0.037,0.98
4,1.226,0.001,0.03,0.96
5,1.228,0.002,0.075,0.86
6,1.223,0.002,0.076,0.792
7,1.232,0.001,0.035,0.88
8,1.222,0.001,0.058,0.89
9,1.206,0.001,0.034,0.92
10,1.185,0.0,0.0,1.0
11,1.164,-0.001,-0.026,0.91
12,1.138,-0.001,-0.047,0.85
13,1.12,-0.0,-0.017,0.9
14,1.135,0.0,0.0,0.95
15,1.15,0.0,0.0,0.98
16,1.15,0.0,0.0,0.98
17,1.137,-0.002,-0.07,0.85
18,1.127,-0.002,-0.07,0.801
19,1.1,-0.0,-0.019,0.86
20,1.095,0.0,0.0,0.98
21,1.082,0.001,0.041,0.821
22,1.079,0.003,0.12,0.697
23,1.074,0.003,0.123,0.678
24,1.054,0.002,0.098,0.725
25,1.03,0.003,0.129,0.633
26,1.026,0.004,0.157,0.651
27,1.034,0.002,0.105,0.697
28,1.034,0.003,0.131,0.678
29,1.016,0.004,0.174,0.513
30,1.0,0.003,0.14,0.615
31,1.029,0.003,0.114,0.66
32,1.025,0.003,0.14,0.538
33,1.034,0.002,0.095,0.782
34,1.032,0.002,0.071,0.792
35,1.029,0.003,0.114,0.642
36,1.024,0.002,0.105,0.678
37,1.034,0.003,0.114,0.633
38,1.034,0.003,0.105,0.597
39,1.024,0.003,0.12,0.624
40,0.994,0.002,0.097,0.669
41,0.989,0.003,0.126,0.538
42,0.99,0.003,0.14,0.505
43,0.976,0.004,0.177,0.399
44,0.95,0.003,0.14,0.45
45,0.949,0.003,0.114,0.474
46,0.95,0.003,0.14,0.505
47,0.94,0.004,0.153,0.443
48,0.918,0.002,0.105,0.633
49,0.912,0.001,0.056,0.792
50,0.897,0.001,0.054,0.811
51,0.902,0.001,0.043,0.87
52,0.886,0.0,0.019,0.89
53,0.859,-0.0,-0.015,0.93
54,0.844,-0.001,-0.024,0.9
55,0.833,-0.001,-0.042,0.841
56,0.828,-0.002,-0.067,0.744
57,0.818,-0.001,-0.058,0.772
58,0.813,-0.001,-0.06,0.821
59,0.807,-0.002,-0.076,0.624
60,0.808,-0.002,-0.07,0.571
61,0.823,-0.001,-0.06,0.669
62,0.813,-0.001,-0.056,0.763
63,0.814,-0.001,-0.049,0.763
64,0.811,-0.003,-0.112,0.58
65,0.81,-0.004,-0.157,0.529
66,0.816,-0.003,-0.112,0.429
67,0.806,-0.003,-0.109,0.467
68,0.792,-0.002,-0.101,0.491
69,0.792,-0.002,-0.084,0.613
70,0.798,-0.001,-0.047,0.697
71,0.788,-0.002,-0.079,0.618
72,0.803,-0.001,-0.052,0.792
73,0.83,0.0,0.0,0.92
74,0.81,0.0,0.0,1.0
75,0.8,0.0,0.0,0.96
76,0.79,0.0,0.0,0.92
77,0.786,0.001,0.026,0.831
78,0.776,0.001,0.035,0.9
79,0.8,0.0,0.0,0.98
80,0.79,0.0,0.0,0.93
81,0.81,0.0,0.015,0.91
82,0.831,0.001,0.042,0.782
83,0.831,0.001,0.042,0.725
84,0.828,0.002,0.099,0.669
85,0.82,0.003,0.133,0.513
86,0.82,0.003,0.14,0.489
87,0.836,0.003,0.145,0.443
88,0.861,0.004,0.168,0.291
