,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.00042166999999999997,0.8434843299999999,0.0011645958774118004,-3.0,41.0,-0.018,-0.42,0.009,-0.009
01-02,-0.0004763833333333309,0.9528562833333285,0.007862237525565918,-3.0,41.0,-0.02,-0.402,0.01,-0.01
01-03,-0.00045098698698698694,0.9020889869869869,0.0075413464328852875,-3.0,41.0,-0.019,-0.38,0.01,-0.009
01-04,-0.00048193235294117354,0.9662127735294059,0.001370708392269826,-3.0,41.0,-0.02,-0.404,0.012,-0.008
01-05,-0.000566,1.134547,0.0018403206217896262,-3.0,41.0,-0.023,-0.453,0.014,-0.009
01-06,-0.0006964914611005677,1.396531430740035,0.0016297391233917047,-3.0,41.0,-0.029,-0.358,0.018,-0.011
01-07,-0.0006353350000000001,1.2776756650000003,0.002787880427568279,-3.0,41.0,-0.026,-0.097,0.02,-0.006
01-08,-0.0006375398724082934,1.2823662049441784,0.004796687366557917,-3.0,41.0,-0.027,-0.088,0.021,-0.006
01-09,-0.000648046218487395,1.3019533907563023,0.003060186755966976,-3.0,41.0,-0.027,-0.136,0.019,-0.008
01-10,-0.0006597437499999974,1.3242047562499948,7.760927452338251e-05,-3.0,41.0,-0.028,-0.11,0.019,-0.009
01-11,-0.0006427678160919557,1.2891378643678193,0.0022385725250926303,-3.0,41.0,-0.027,-0.081,0.017,-0.01
01-12,-0.0006311349206349205,1.265317706349206,0.0018065676131509,-3.0,41.0,-0.026,-0.241,0.016,-0.01
01-13,-0.0006769488636363636,1.3574657784090909,0.00017981551107748572,-3.0,41.0,-0.029,-0.309,0.018,-0.011
01-14,-0.0006603333333333291,1.3239683333333248,0.00024681664661407865,-3.0,41.0,-0.028,-0.169,0.017,-0.011
01-15,-0.0006141920289855073,1.235410865942029,0.004428951483827381,-3.0,41.0,-0.026,-0.18,0.02,-0.006
01-16,-0.0005943709273182958,1.1957884837092734,0.007088887498825525,-3.0,41.0,-0.025,-0.051,0.02,-0.005
01-17,-0.00065266875,1.31232583125,0.00028629554643266886,-3.0,41.0,-0.028,-0.112,0.021,-0.007
01-18,-0.0006166978609625623,1.2395710240641622,0.0004066698434626037,-3.0,41.0,-0.026,-0.178,0.019,-0.007
01-19,-0.0006462085561497326,1.2994119037433154,0.000846942200902312,-3.0,41.0,-0.028,-0.299,0.021,-0.007
