,mean,slp,chg,pvalue
01-01,0.16,-0.002,-0.07,0.253
01-02,0.17,-0.002,-0.07,0.314
01-03,0.17,-0.002,-0.072,0.285
01-04,0.17,-0.002,-0.068,0.249
01-05,0.18,-0.002,-0.07,0.314
01-06,0.17,-0.001,-0.058,0.34
01-07,0.2,-0.002,-0.082,0.276
01-08,0.17,-0.002,-0.072,0.304
01-09,0.18,-0.002,-0.064,0.187
01-10,0.2,-0.002,-0.084,0.068
01-11,0.2,-0.004,-0.152,0.086
01-12,0.2,-0.004,-0.174,0.064
01-13,0.2,-0.004,-0.162,0.104
01-14,0.2,-0.003,-0.124,0.123
01-15,0.2,-0.003,-0.144,0.131
01-16,0.24,-0.003,-0.14,0.154
01-17,0.22,-0.003,-0.128,0.224
01-18,0.24,-0.003,-0.118,0.092
01-19,0.26,-0.002,-0.094,0.155
01-20,0.28,-0.002,-0.084,0.185
01-21,0.28,-0.002,-0.076,0.239
01-22,0.28,-0.002,-0.105,0.189
01-23,0.27,-0.002,-0.094,0.331
01-24,0.29,-0.002,-0.102,0.271
01-25,0.28,-0.002,-0.088,0.313
01-26,0.29,-0.002,-0.074,0.454
01-27,0.26,-0.002,-0.09,0.303
01-28,0.25,-0.002,-0.086,0.354
01-29,0.25,-0.001,-0.06,0.672
01-30,0.25,-0.001,-0.046,0.663
01-31,0.25,-0.001,-0.056,0.559
02-01,0.24,-0.001,-0.044,0.66
02-02,0.24,-0.001,-0.022,0.777
02-03,0.24,-0.0,-0.02,0.883
02-04,0.24,-0.001,-0.036,0.78
02-05,0.24,-0.001,-0.024,0.817
02-06,0.24,-0.001,-0.022,0.818
02-07,0.23,0.0,0.0,0.971
02-08,0.26,0.001,0.06,0.487
02-09,0.31,0.002,0.105,0.357
02-10,0.34,0.003,0.116,0.262
02-11,0.34,0.002,0.1,0.379
02-12,0.34,0.002,0.068,0.472
02-13,0.37,0.0,0.0,0.952
02-14,0.38,-0.001,-0.06,0.753
02-15,0.38,-0.001,-0.058,0.66
02-16,0.37,-0.001,-0.024,0.888
02-17,0.37,-0.002,-0.084,0.664
02-18,0.36,-0.002,-0.078,0.694
02-19,0.35,-0.002,-0.064,0.672
02-20,0.37,-0.003,-0.108,0.523
02-21,0.35,-0.002,-0.1,0.572
02-22,0.36,-0.003,-0.132,0.426
02-23,0.44,-0.003,-0.11,0.426
02-24,0.43,-0.002,-0.068,0.527
02-25,0.42,-0.003,-0.114,0.516
02-26,0.4,-0.002,-0.096,0.509
02-27,0.4,-0.002,-0.064,0.572
02-28,0.399,-0.003,-0.105,0.516
03-01,0.42,-0.002,-0.08,0.565
03-02,0.42,-0.002,-0.078,0.488
03-03,0.42,-0.002,-0.106,0.51
03-04,0.42,-0.002,-0.094,0.495
03-05,0.45,-0.003,-0.114,0.451
03-06,0.48,-0.004,-0.152,0.408
03-07,0.45,-0.004,-0.18,0.355
03-08,0.44,-0.005,-0.21,0.134
03-09,0.45,-0.005,-0.226,0.067
03-10,0.46,-0.005,-0.226,0.055
03-11,0.45,-0.005,-0.222,0.098
03-12,0.51,-0.006,-0.234,0.067
03-13,0.59,-0.005,-0.222,0.05
03-14,0.62,-0.006,-0.258,0.162
03-15,0.59,-0.006,-0.234,0.183
03-16,0.65,-0.002,-0.076,0.653
03-17,0.57,0.0,0.0,0.925
03-18,0.57,-0.001,-0.024,0.868
03-19,0.59,0.0,0.0,0.958
03-20,0.68,-0.001,-0.058,0.785
03-21,0.7,0.001,0.044,0.917
03-22,0.69,0.002,0.084,0.698
03-23,0.76,0.001,0.02,0.925
03-24,0.82,-0.002,-0.098,0.73
03-25,0.85,-0.002,-0.088,0.746
03-26,0.79,-0.005,-0.21,0.53
03-27,0.76,-0.004,-0.154,0.593
03-28,0.81,-0.004,-0.184,0.537
03-29,0.82,-0.002,-0.092,0.683
03-30,0.9,-0.001,-0.058,0.908
03-31,1.02,0.0,0.0,0.992
04-01,1.04,0.0,0.0,0.983
04-02,1.16,0.004,0.154,0.558
04-03,1.21,0.006,0.236,0.464
04-04,1.22,0.004,0.172,0.579
04-05,1.19,0.001,0.056,0.867
04-06,1.08,0.003,0.126,0.785
04-07,1.13,0.006,0.236,0.645
04-08,1.22,0.006,0.262,0.544
04-09,1.25,0.006,0.236,0.608
04-10,1.27,0.004,0.188,0.691
04-11,1.3,-0.002,-0.094,0.802
04-12,1.39,-0.0,-0.02,0.95
04-13,1.49,-0.003,-0.14,0.714
04-14,1.61,-0.007,-0.302,0.483
04-15,1.78,-0.014,-0.608,0.194
04-16,1.7,-0.018,-0.752,0.121
04-17,1.75,-0.015,-0.65,0.119
04-18,1.78,-0.009,-0.386,0.352
04-19,1.78,-0.001,-0.054,0.875
04-20,1.77,0.004,0.184,0.699
04-21,1.7,0.003,0.128,0.754
04-22,1.78,0.002,0.086,0.908
04-23,1.87,0.004,0.156,0.753
04-24,2.149,0.005,0.231,0.63
04-25,2.24,0.003,0.108,0.834
04-26,2.18,0.005,0.198,0.777
04-27,2.35,0.004,0.182,0.683
04-28,2.54,0.001,0.036,0.967
04-29,2.66,-0.001,-0.048,0.904
04-30,2.47,-0.003,-0.14,0.874
05-01,2.55,-0.008,-0.33,0.753
05-02,2.5,-0.008,-0.336,0.795
05-03,2.69,-0.009,-0.388,0.673
05-04,2.86,-0.01,-0.42,0.746
05-05,2.91,-0.004,-0.182,0.851
