,mean,slp,chg,pvalue
01-01,0.09,0.0,0.0,0.447
01-02,0.08,0.0,0.0,0.499
01-03,0.08,0.0,0.0,0.529
01-04,0.08,0.0,0.0,0.655
01-05,0.08,0.0,0.0,0.55
01-06,0.08,0.0,0.0,0.704
01-07,0.08,0.0,0.0,0.526
01-08,0.08,0.0,0.0,0.445
01-09,0.08,0.0,0.0,0.572
01-10,0.08,0.0,0.0,0.449
01-11,0.08,-0.0,-0.012,0.255
01-12,0.079,-0.0,-0.015,0.247
01-13,0.079,-0.0,-0.015,0.275
01-14,0.08,-0.0,-0.014,0.255
01-15,0.079,-0.0,-0.015,0.228
01-16,0.08,0.0,0.0,0.473
01-17,0.08,0.0,0.0,0.331
01-18,0.079,-0.0,-0.013,0.23
01-19,0.08,0.0,0.0,0.482
01-20,0.08,0.0,0.0,0.579
01-21,0.08,0.0,0.0,0.618
01-22,0.08,0.0,0.0,0.642
01-23,0.08,0.0,0.0,0.65
01-24,0.08,0.0,0.0,0.658
01-25,0.08,0.0,0.0,0.718
01-26,0.08,0.0,0.0,0.478
01-27,0.08,0.0,0.0,0.342
01-28,0.08,0.0,0.0,0.276
01-29,0.08,0.0,0.0,0.381
01-30,0.08,0.0,0.0,0.386
01-31,0.08,0.0,0.0,0.233
02-01,0.079,-0.0,-0.015,0.144
02-02,0.08,0.0,0.0,0.383
02-03,0.08,0.0,0.0,0.391
02-04,0.08,0.0,0.0,0.275
02-05,0.08,0.0,0.0,0.28
02-06,0.08,0.0,0.0,0.214
02-07,0.08,0.0,0.0,0.225
02-08,0.08,0.0,0.0,0.542
02-09,0.08,0.0,0.0,0.361
02-10,0.08,0.0,0.0,0.449
02-11,0.08,0.0,0.0,0.439
02-12,0.08,0.0,0.0,0.357
02-13,0.08,-0.0,-0.006,0.3
02-14,0.08,-0.0,-0.02,0.22
02-15,0.08,-0.0,-0.021,0.126
02-16,0.08,-0.001,-0.023,0.129
02-17,0.08,-0.001,-0.023,0.133
02-18,0.08,-0.001,-0.023,0.196
