,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.007211286842105268,15.089174971052643,0.4027377029908916,-0.0,37.0,-0.303,-0.159,0.818,0.515
01-02,-0.007492969230769232,15.828281430769234,0.38351450504067897,-0.0,37.0,-0.315,-0.144,1.0,0.685
01-03,-0.01416179166666667,29.217875125000006,0.18742826177034821,-0.0,37.0,-0.595,-0.263,1.192,0.597
01-04,-0.01226590606060606,25.477978027272727,0.2935332547560008,-0.0,37.0,-0.515,-0.268,1.204,0.689
01-05,-0.009827511904761901,20.598751321428566,0.4526454445031294,-0.0,37.0,-0.413,-0.219,1.15,0.737
01-06,-0.006679722826086957,14.203805375,0.3114833825093668,-0.0,37.0,-0.281,-0.175,0.985,0.704
01-07,-0.007550395256916996,16.127140909090908,0.5558026950086443,-0.0,37.0,-0.317,-0.169,1.185,0.868
01-08,-0.009617898550724636,20.425524999999997,0.5646509055221385,-0.0,37.0,-0.404,-0.145,1.392,0.988
01-09,-0.007901488636363639,16.76458876136364,0.5646509055221385,-0.0,37.0,-0.332,-0.13,1.128,0.796
01-10,-0.014041794117647057,28.83909002941176,0.5212299382894914,-0.0,37.0,-0.589,-0.296,1.05,0.461
01-11,-0.022145056277056277,45.13295761038961,0.2335493804901656,-0.0,37.0,-0.93,-0.522,1.308,0.378
01-12,-0.018794102564102563,38.659759230769225,0.07020485878576199,-1.0,37.0,-0.789,-0.304,1.466,0.677
01-13,-0.03040449090909091,61.81856630909091,0.19956517618893743,-0.0,37.0,-1.277,-0.417,1.648,0.371
01-14,-0.023547051282051278,48.289269615384605,0.2335493804901656,-0.0,37.0,-0.989,-0.437,1.69,0.701
01-15,-0.018182749999999984,37.45908274999997,0.3459577079090561,-0.0,37.0,-0.763,-0.377,1.475,0.712
01-16,-0.015286287878787878,31.719862045454544,0.3458474957577664,-0.0,37.0,-0.642,-0.307,1.468,0.826
01-17,-0.020132719298245613,41.41757131578947,0.3392589208914525,-0.0,37.0,-0.846,-0.382,1.575,0.729
01-18,-0.02750461180124224,56.05552821428572,0.1426354047842593,-0.0,37.0,-1.155,-0.581,1.624,0.469
01-19,-0.06501925,131.47606925000002,0.0005218290165567296,-3.0,37.0,-2.731,-1.271,2.803,0.072
01-20,-0.07982643888888889,161.28637421666667,0.021212349073237435,-2.0,37.0,-3.353,-1.217,3.31,-0.043
01-21,-0.06332125,127.97932124999998,0.07504319003360282,-1.0,37.0,-2.66,-0.956,2.667,0.007
01-22,-0.02740907407407408,56.209617222222235,0.29501811998549154,-0.0,37.0,-1.151,-0.352,1.967,0.816
01-23,-0.020779596590909093,42.8251727784091,0.38044015959496846,-0.0,37.0,-0.872,-0.271,1.702,0.83
01-24,-0.04143489130434783,84.35451750000001,0.20415215457903013,-0.0,37.0,-1.74,-0.536,2.355,0.615
01-25,-0.06632812499999996,133.97909812499992,0.06306420994730066,-1.0,37.0,-2.786,-0.776,2.716,-0.07
01-26,-0.06744833333333339,136.1244150000001,0.038690312577993824,-2.0,37.0,-2.833,-0.902,2.644,-0.189
01-27,-0.061679487179487166,124.69415384615381,0.02885809367756864,-2.0,37.0,-2.59,-0.899,2.63,0.04
01-28,-0.06913791071428571,139.6212893392857,0.027926471199350322,-2.0,37.0,-2.903,-1.082,2.797,-0.106
01-29,-0.06935521428571428,140.44948378571428,0.08652547638892782,-1.0,37.0,-2.913,-1.122,3.196,0.283
01-30,-0.06072708333333331,123.04592374999994,0.1427722410524388,-0.0,37.0,-2.551,-0.866,2.867,0.316
01-31,-0.05595007586206897,113.88050179999999,0.1258088841369529,-0.0,37.0,-2.35,-0.798,3.155,0.805
02-01,-0.056600000000000095,114.7904600000002,0.03402237615613757,-2.0,37.0,-2.377,-0.988,2.779,0.402
