,mean,slp,chg,pvalue
01-01,12.776,0.166,6.96,0.218
01-02,16.328,0.193,8.111,0.26
01-03,16.608,0.189,7.933,0.175
01-04,16.462,0.195,8.2,0.45
01-05,17.969,0.136,5.728,0.45
01-06,16.209,0.194,8.16,0.358
01-07,14.851,0.23,9.644,0.321
01-08,14.688,0.123,5.163,0.524
01-09,14.286,0.007,0.311,0.953
01-10,14.396,-0.006,-0.272,0.965
01-11,13.698,-0.067,-2.835,0.625
01-12,15.05,-0.066,-2.772,0.813
01-13,15.742,-0.065,-2.716,0.744
01-14,16.367,-0.067,-2.808,0.744
01-15,15.894,-0.03,-1.242,0.894
01-16,15.018,-0.013,-0.56,0.894
01-17,14.894,-0.066,-2.765,0.678
01-18,15.461,-0.118,-4.974,0.459
01-19,17.274,-0.176,-7.387,0.177
01-20,17.564,-0.216,-9.056,0.26
01-21,17.298,-0.273,-11.48,0.146
01-22,16.628,-0.181,-7.612,0.218
01-23,15.672,-0.105,-4.409,0.534
01-24,15.914,-0.032,-1.328,0.824
01-25,18.412,-0.181,-7.607,0.543
01-26,16.98,-0.08,-3.36,0.756
01-27,18.937,-0.035,-1.458,0.906
01-28,18.944,-0.034,-1.408,0.953
01-29,19.418,-0.07,-2.921,0.836
01-30,18.444,-0.104,-4.357,0.594
01-31,19.044,-0.179,-7.529,0.358
02-01,19.364,-0.168,-7.035,0.328
02-02,19.431,-0.098,-4.136,0.534
02-03,18.489,-0.026,-1.074,0.859
02-04,17.476,0.017,0.735,0.906
02-05,16.86,0.048,2.009,0.836
02-06,20.009,-0.08,-3.34,0.767
02-07,21.002,-0.245,-10.271,0.321
02-08,21.938,-0.229,-9.633,0.512
02-09,20.115,-0.156,-6.552,0.611
02-10,21.097,-0.165,-6.93,0.507
02-11,21.38,-0.18,-7.56,0.35
02-12,21.271,0.021,0.9,0.929
02-13,18.487,0.099,4.158,0.594
02-14,17.88,0.116,4.872,0.594
02-15,17.54,0.076,3.185,0.667
02-16,17.711,0.093,3.926,0.614
02-17,17.474,0.045,1.873,0.767
02-18,17.528,0.007,0.297,0.976
02-19,19.053,-0.099,-4.153,0.495
02-20,20.924,-0.251,-10.562,0.26
02-21,20.262,-0.307,-12.891,0.113
02-22,19.698,-0.327,-13.742,0.091
02-23,20.915,-0.3,-12.6,0.138
02-24,19.938,-0.215,-9.047,0.343
02-25,20.773,-0.141,-5.932,0.553
02-26,21.384,0.038,1.61,0.953
02-27,22.084,0.087,3.645,0.583
02-28,21.33,0.088,3.685,0.544
03-01,20.447,0.011,0.467,0.948
03-02,21.783,-0.077,-3.246,0.711
03-03,21.812,-0.179,-7.503,0.139
03-04,23.498,-0.337,-14.167,0.009
03-05,24.851,-0.364,-15.304,0.042
03-06,24.523,-0.481,-20.216,0.033
03-07,24.097,-0.435,-18.27,0.027
03-08,20.145,-0.382,-16.044,0.073
03-09,18.393,-0.305,-12.81,0.116
03-10,18.804,-0.368,-15.441,0.056
03-11,18.11,-0.294,-12.348,0.066
03-12,18.982,-0.241,-10.11,0.139
03-13,19.356,-0.134,-5.631,0.398
03-14,19.628,-0.171,-7.196,0.177
03-15,20.482,-0.219,-9.199,0.106
03-16,17.88,-0.196,-8.243,0.131
03-17,19.642,-0.255,-10.71,0.116
03-18,19.302,-0.295,-12.384,0.088
03-19,20.97,-0.43,-18.045,0.049
03-20,19.906,-0.396,-16.65,0.052
03-21,18.85,-0.408,-17.136,0.003
03-22,19.486,-0.415,-17.411,0.003
03-23,18.348,-0.435,-18.287,0.0
03-24,18.352,-0.379,-15.908,0.0
03-25,17.669,-0.306,-12.834,0.044
03-26,15.705,-0.272,-11.424,0.025
03-27,17.326,-0.262,-11.013,0.08
03-28,18.295,-0.232,-9.744,0.15
03-29,19.614,-0.165,-6.947,0.406
03-30,18.394,-0.158,-6.62,0.343
03-31,20.432,-0.153,-6.42,0.299
04-01,20.685,-0.18,-7.56,0.236
04-02,21.004,-0.128,-5.355,0.614
04-03,20.328,-0.173,-7.28,0.473
04-04,18.536,-0.202,-8.505,0.423
04-05,17.302,-0.061,-2.567,0.604
04-06,16.628,0.022,0.945,0.917
04-07,16.902,0.103,4.34,0.398
04-08,18.408,0.155,6.491,0.013
04-09,17.874,0.146,6.148,0.058
04-10,18.845,0.09,3.78,0.238
04-11,18.317,-0.009,-0.376,0.929
04-12,17.167,-0.051,-2.136,0.756
04-13,16.627,-0.067,-2.8,0.583
04-14,16.17,-0.09,-3.78,0.534
04-15,16.387,0.005,0.21,0.93
04-16,17.357,0.121,5.092,
04-17,15.228,0.147,6.174,0.008
04-18,14.561,0.148,6.205,0.21
04-19,13.984,0.078,3.292,0.441
04-20,12.705,0.052,2.19,0.573
04-21,12.268,0.023,0.954,0.87
04-22,11.885,0.0,0.0,1.0
04-23,11.802,0.061,2.564,0.635
04-24,11.52,0.074,3.097,0.553
04-25,11.012,0.071,2.982,0.39
04-26,10.686,0.062,2.59,0.675
04-27,10.21,0.06,2.52,0.647
04-28,9.722,0.007,0.3,0.906
04-29,9.836,0.016,0.651,0.976
04-30,9.998,0.041,1.703,0.79
05-01,10.343,0.051,2.135,0.311
05-02,10.388,-0.029,-1.217,0.834
05-03,9.172,-0.037,-1.555,0.753
05-04,8.46,-0.026,-1.092,0.373
05-05,9.802,-0.039,-1.639,0.687
05-06,10.086,-0.049,-2.04,0.722
05-07,8.843,-0.007,-0.289,0.941
05-08,8.29,0.0,0.0,1.0
05-09,7.71,-0.028,-1.167,0.882
05-10,7.066,-0.046,-1.945,0.553
05-11,7.749,-0.061,-2.58,0.237
05-12,7.929,-0.076,-3.174,0.366
05-13,7.587,-0.093,-3.9,0.273
