,mean,slp,chg,pvalue
0,0.08,0.0,0.016,0.575
1,0.07,0.001,0.032,0.104
2,0.07,0.001,0.056,0.068
3,0.07,0.001,0.03,0.269
4,0.07,0.0,0.018,0.351
5,0.07,0.001,0.02,0.204
6,0.07,0.0,0.0,0.614
7,0.07,0.0,0.0,0.393
8,0.07,0.001,0.022,0.194
9,0.07,0.0,0.012,0.582
10,0.07,0.0,0.0,0.911
11,0.06,-0.001,-0.024,0.312
12,0.06,-0.0,-0.016,0.507
13,0.06,-0.0,-0.02,0.245
14,0.06,-0.001,-0.04,0.117
15,0.05,-0.001,-0.024,0.259
16,0.05,-0.001,-0.02,0.281
17,0.06,-0.0,-0.018,0.564
18,0.07,0.0,0.0,0.82
19,0.06,0.0,0.0,0.892
20,0.06,0.0,0.0,0.883
21,0.06,0.0,0.0,0.908
22,0.06,-0.0,-0.018,0.535
23,0.05,0.0,0.0,0.958
24,0.06,0.0,0.0,1.0
25,0.06,0.0,0.0,0.916
26,0.05,0.0,0.0,0.744
27,0.07,0.0,0.0,0.777
28,0.06,0.001,0.024,0.456
29,0.07,0.0,0.0,0.817
30,0.07,0.0,0.0,0.793
31,0.06,0.0,0.0,0.49
32,0.06,0.0,0.016,0.461
33,0.06,0.0,0.012,0.606
34,0.05,0.0,0.0,0.693
35,0.06,0.0,0.0,0.992
36,0.06,0.001,0.028,0.184
37,0.07,0.001,0.034,0.202
38,0.06,0.0,0.0,0.845
39,0.05,0.0,0.0,0.784
40,0.05,0.0,0.0,0.825
41,0.05,0.0,0.02,0.054
42,0.05,0.0,0.014,0.084
43,0.06,0.0,0.0,0.759
44,0.06,0.0,0.0,0.805
45,0.07,0.0,0.0,0.939
46,0.06,0.0,0.0,0.809
47,0.06,0.001,0.03,0.192
48,0.07,0.001,0.042,0.12
49,0.06,0.001,0.04,0.108
50,0.06,0.001,0.03,0.152
51,0.05,0.001,0.028,0.042
52,0.07,0.0,0.0,0.925
53,0.06,0.0,0.0,0.808
54,0.06,0.0,0.0,0.929
