,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0014823809523809572,3.5873619047619143,0.49546040167158445,-0.0,43.0,-0.063,-0.088,0.654,0.591
01-02,-0.0013476190476190471,3.3404780952380944,0.5125671944447745,-0.0,43.0,-0.057,-0.078,0.674,0.617
01-03,-0.001951724137931034,4.526048275862068,0.6480074343807578,-0.0,43.0,-0.082,-0.113,0.664,0.582
01-04,-0.0026123076923076916,5.852875384615382,0.5097638035829264,-0.0,43.0,-0.11,-0.156,0.683,0.573
01-05,-0.002658484848484851,5.939569696969702,0.4452775800505442,-0.0,43.0,-0.111,-0.16,0.678,0.567
01-06,0.0,0.6225999999999999,0.9314559040764878,0.0,43.0,0.0,0.0,0.623,0.623
01-07,0.0,0.5942999999999999,0.8646819482021348,0.0,43.0,0.0,0.0,0.594,0.594
01-08,0.0,0.6056199999999999,0.9075988524195573,0.0,43.0,0.0,0.0,0.606,0.606
01-09,-0.0019326829268292705,4.473815853658541,0.44933192922149146,-0.0,43.0,-0.081,-0.116,0.649,0.568
01-10,-0.0021769230769230806,4.976446153846161,0.31276062428598017,-0.0,43.0,-0.091,-0.131,0.668,0.577
01-11,-0.0019809999999999993,4.5789399999999985,0.2504261273515347,-0.0,43.0,-0.084,-0.122,0.659,0.575
01-12,-0.0019809999999999993,4.5562999999999985,0.3189113839637914,-0.0,43.0,-0.083,-0.125,0.636,0.553
01-13,-0.001886666666666666,4.381783333333332,0.28577334837876434,-0.0,43.0,-0.079,-0.118,0.648,0.569
01-14,-0.001886666666666666,4.395933333333332,0.23404961717075468,-0.0,43.0,-0.079,-0.118,0.662,0.583
01-15,-0.001489473684210526,3.5987173684210516,0.35050164761203995,-0.0,43.0,-0.063,-0.095,0.651,0.588
01-16,-0.00027609756097560695,1.1464951219512138,0.8328542704709996,-0.0,43.0,-0.011,-0.017,0.6,0.589
01-17,-0.0012577777777777713,3.1098555555555425,0.5462822976918587,-0.0,43.0,-0.053,-0.08,0.621,0.568
01-18,-0.0006603333333333332,1.9149666666666663,0.7303284843198363,-0.0,43.0,-0.028,-0.042,0.608,0.58
01-19,-0.0011319999999999998,2.8583,0.647622291506923,-0.0,43.0,-0.047,-0.072,0.618,0.571
01-20,-0.0014149999999999996,3.4073199999999995,0.38965759847761783,-0.0,43.0,-0.059,-0.09,0.607,0.548
01-21,-0.0010612499999999997,2.7309499999999995,0.450813584903786,-0.0,43.0,-0.045,-0.068,0.631,0.586
01-22,-0.001111785714285718,2.789571428571436,0.45778054489150843,-0.0,43.0,-0.046,-0.07,0.589,0.543
01-23,-0.00130027027027027,3.2005005405405402,0.4503412332773249,-0.0,43.0,-0.054,-0.083,0.627,0.573
01-24,-0.0020962962962962958,4.786892592592592,0.31969155348628675,-0.0,43.0,-0.088,-0.135,0.638,0.55
01-25,-0.0014149999999999996,3.4242999999999992,0.2962156436614958,-0.0,43.0,-0.059,-0.091,0.624,0.565
01-26,-0.0018009090909090854,4.1734781818181705,0.33924807792282596,-0.0,43.0,-0.075,-0.117,0.609,0.534
01-27,-0.0015093333333333367,3.612966666666673,0.153605200514769,-0.0,43.0,-0.063,-0.098,0.626,0.563
01-28,-0.0021909677419354795,4.964915483870959,0.24211558342720485,-0.0,43.0,-0.092,-0.143,0.629,0.537
01-29,-0.00022639999999999772,1.0301199999999953,0.782348457153085,-0.0,43.0,-0.009,-0.014,0.582,0.573
01-30,-0.001787368421052631,4.169036842105262,0.344596230791955,-0.0,43.0,-0.075,-0.118,0.632,0.557
01-31,-0.001111785714285714,2.7895714285714277,0.4300515238081706,-0.0,43.0,-0.046,-0.075,0.589,0.543
02-01,-0.0009055999999999998,2.3771999999999993,0.31484131331861565,-0.0,43.0,-0.038,-0.061,0.585,0.547
02-02,0.0,0.5942999999999999,0.6989639167826545,0.0,43.0,0.0,0.0,0.594,0.594
02-03,-0.00032653846153845933,1.2473769230769185,0.7609307883057914,-0.0,43.0,-0.014,-0.023,0.601,0.587
02-04,0.0,0.566,0.9012566903655546,0.0,43.0,0.0,0.0,0.566,0.566
02-05,0.000738260869565222,-0.910521739130444,0.018300345489230763,2.0,43.0,0.032,0.052,0.55,0.582
02-06,0.0,0.566,0.7626925601657149,0.0,43.0,0.0,0.0,0.566,0.566
02-07,0.0,0.566,0.8866439610053596,0.0,43.0,0.0,0.0,0.566,0.566
02-08,0.0,0.566,0.898781885139992,0.0,43.0,0.0,0.0,0.566,0.566
02-09,0.0,0.566,0.6352430237857285,0.0,43.0,0.0,0.0,0.566,0.566
02-10,-0.00015722222222222217,0.8804444444444443,0.6125355317942558,-0.0,43.0,-0.006,-0.01,0.569,0.563
02-11,-0.0007074999999999998,1.9809999999999994,0.1805640403342741,-0.0,43.0,-0.03,-0.049,0.581,0.551
02-12,0.0,0.566,0.9669348433976661,0.0,43.0,0.0,0.0,0.566,0.566
02-13,0.0,0.566,0.9695914918737942,0.0,43.0,0.0,0.0,0.566,0.566
02-14,-0.0010290909090909088,2.6156918181818174,0.38801703743560956,-0.0,43.0,-0.043,-0.069,0.579,0.536
02-15,-0.0013662068965517218,3.2984137931034434,0.3198209038968389,-0.0,43.0,-0.058,-0.094,0.595,0.537
02-16,-0.001629393939393939,3.8247878787878777,0.3147467304996794,-0.0,43.0,-0.068,-0.11,0.6,0.532
02-17,-0.0017687499999999995,4.103499999999999,0.3312666317362263,-0.0,43.0,-0.074,-0.12,0.603,0.529
02-18,-0.0022342105263157917,5.034421052631584,0.2502875136573035,-0.0,43.0,-0.094,-0.154,0.613,0.519
02-19,-0.0010290909090909114,2.5987118181818225,0.5171461310410199,-0.0,43.0,-0.043,-0.071,0.562,0.519
02-20,-0.000744736842105263,2.027173684210526,0.4788791547869464,-0.0,43.0,-0.031,-0.051,0.553,0.522
02-21,-0.0016647058823529473,3.8671117647058946,0.2484454895240431,-0.0,43.0,-0.07,-0.115,0.573,0.503
02-22,-0.00015722222222222217,0.8521444444444443,0.6497366696251221,-0.0,43.0,-0.007,-0.012,0.541,0.534
02-23,-0.00042878787878787865,1.3952757575757573,0.7016259714732969,-0.0,43.0,-0.018,-0.03,0.547,0.529
02-24,-0.0009988235294117645,2.535347058823529,0.40253141811704696,-0.0,43.0,-0.042,-0.07,0.559,0.517
02-25,-0.0010187999999999974,2.5951099999999947,0.34283682702942864,-0.0,43.0,-0.043,-0.071,0.579,0.536
02-26,-0.0005306250000000033,1.5989500000000065,0.5591767440140165,-0.0,43.0,-0.022,-0.037,0.549,0.527
02-27,0.0,0.5377,0.9868025533898899,0.0,43.0,0.0,0.0,0.538,0.538
02-28,0.0,0.52921,0.9910667883213375,0.0,43.0,0.0,0.0,0.529,0.529
03-01,0.0,0.5377,0.9269380339702804,0.0,43.0,0.0,0.0,0.538,0.538
03-02,-0.0014149999999999903,3.3705299999999805,0.38545207808405735,-0.0,43.0,-0.059,-0.099,0.57,0.511
03-03,-0.0012381249999999962,3.030929999999992,0.3096300049183567,-0.0,43.0,-0.052,-0.087,0.581,0.529
03-04,-0.0011319999999999998,2.8016999999999994,0.34143087116870197,-0.0,43.0,-0.047,-0.079,0.561,0.514
03-05,-0.0013583999999999975,3.254499999999995,0.3387420720937122,-0.0,43.0,-0.057,-0.095,0.566,0.509
03-06,0.0,0.5377,1.0,0.0,43.0,0.0,0.0,0.538,0.538
03-07,-0.00028299999999999994,1.1037,0.7472491477385996,-0.0,43.0,-0.012,-0.02,0.544,0.532
03-08,-0.0005442307692307712,1.6261615384615424,0.6502681653041742,-0.0,43.0,-0.023,-0.037,0.549,0.526
03-09,-0.0010481481481481479,2.6339962962962957,0.4173111884423011,-0.0,43.0,-0.044,-0.072,0.56,0.516
03-10,-0.0013317647058823541,3.229529411764708,0.49384274407196305,-0.0,43.0,-0.056,-0.089,0.594,0.538
03-11,-0.0008216129032258026,2.1809258064516053,0.44266902070060343,-0.0,43.0,-0.035,-0.055,0.555,0.52
03-12,-0.0005659999999999999,1.6979999999999997,0.6539232699430815,-0.0,43.0,-0.024,-0.037,0.578,0.554
03-13,-0.00048317073170731556,1.560641463414631,0.46384673654904995,-0.0,43.0,-0.02,-0.031,0.604,0.584
03-14,-0.0005477419354838744,1.6812938709677487,0.600412012651961,-0.0,43.0,-0.023,-0.035,0.597,0.574
03-15,-0.0007718181818181916,2.137936363636383,0.544352791071671,-0.0,43.0,-0.033,-0.049,0.611,0.578
03-16,0.00029789473684210517,-0.001489473684210374,0.756625597654897,0.0,43.0,0.013,0.019,0.588,0.601
03-17,0.0,0.5942999999999999,1.0,0.0,43.0,0.0,0.0,0.594,0.594
03-18,-0.0012381249999999996,3.0705499999999994,,-0.0,43.0,-0.052,-0.076,0.62,0.568
03-19,-0.0016432258064516124,3.8807516129032247,0.2327731597928535,-0.0,43.0,-0.069,-0.099,0.629,0.56
03-20,0.0,0.5942999999999999,1.0,0.0,43.0,0.0,0.0,0.594,0.594
03-21,-0.00034512195121951347,1.3100139024390267,0.7723102444475523,-0.0,43.0,-0.014,-0.019,0.627,0.613
03-22,-0.0004161764705882352,1.4266529411764703,0.49618243110700466,-0.0,43.0,-0.017,-0.022,0.603,0.586
03-23,-0.0008385185185185183,2.2713370370370365,0.5014617438557663,-0.0,43.0,-0.035,-0.045,0.612,0.577
03-24,0.0005659999999999999,-0.5376999999999998,0.7424332450125386,0.0,43.0,0.024,0.031,0.582,0.606
03-25,0.0,0.6508999999999999,0.9873099365472009,0.0,43.0,0.0,0.0,0.651,0.651
03-26,-0.0013061538461538458,3.263207692307691,0.6599722242524291,-0.0,43.0,-0.055,-0.069,0.678,0.623
03-27,-0.0016770370370370324,4.010634074074065,0.578851854064891,-0.0,43.0,-0.071,-0.089,0.692,0.621
03-28,0.0,0.6508999999999999,1.0,0.0,43.0,0.0,0.0,0.651,0.651
03-29,0.0,0.6508999999999999,0.9832831187765796,0.0,43.0,0.0,0.0,0.651,0.651
03-30,0.000943333333333333,-1.2357666666666662,0.6600087211987882,0.0,43.0,0.04,0.048,0.631,0.671
03-31,0.0008085714285714284,-0.9379428571428567,0.7062635343554824,0.0,43.0,0.034,0.039,0.662,0.696
04-01,0.0008323529411764704,-0.9572058823529408,0.7613884703727973,0.0,43.0,0.035,0.039,0.69,0.725
04-02,0.0015093333333333367,-2.3111666666666735,0.6907652962980857,0.0,43.0,0.063,0.07,0.676,0.739
04-03,0.0,0.7641,0.9582459691313638,0.0,43.0,0.0,0.0,0.764,0.764
04-04,0.00028299999999999994,0.22640000000000005,0.949913454773476,0.0,43.0,0.012,0.013,0.786,0.798
04-05,0.001226333333333333,-1.660266666666666,0.721913758509706,0.0,43.0,0.051,0.051,0.767,0.818
04-06,0.0006791999999999998,-0.5659999999999996,0.8896810846567995,0.0,43.0,0.029,0.027,0.778,0.807
04-07,0.00040428571428570626,0.06589857142858746,0.8914012690509914,0.0,43.0,0.017,0.015,0.866,0.883
04-08,0.0020651351351351345,-3.196370270270269,0.647644239252436,0.0,43.0,0.086,0.074,0.891,0.977
04-09,0.0034364285714285703,-5.882357142857141,0.5862068412911843,0.0,43.0,0.145,0.12,0.918,1.063
04-10,0.004581904761904755,-8.139349523809509,0.4894891404950532,0.0,43.0,0.193,0.154,0.928,1.121
04-11,0.0035919230769230802,-6.1084461538461605,0.5718431106005262,0.0,43.0,0.151,0.116,1.0,1.151
04-12,0.0034690322580645115,-5.933414516129023,0.6907974320897194,0.0,43.0,0.145,0.108,0.932,1.077
04-13,0.0010884615384615466,-1.044923076923093,0.7237401863471629,0.0,43.0,0.046,0.032,1.109,1.155
04-14,-0.0015329166666666662,4.336503333333332,0.9083452207398,-0.0,43.0,-0.065,-0.044,1.303,1.238
04-15,-0.0021224999999999994,5.586419999999999,0.8229103296702225,-0.0,43.0,-0.089,-0.058,1.386,1.297
04-16,-0.006333809523809527,14.026019047619055,0.5438105094192973,-0.0,43.0,-0.266,-0.174,1.491,1.225
04-17,-0.011110370370370368,23.607440740740735,0.20532555219922743,-0.0,43.0,-0.467,-0.296,1.62,1.153
04-18,-0.010980400000000001,23.389950000000002,0.1357407270345814,-0.0,43.0,-0.461,-0.28,1.66,1.199
04-19,-0.007460909090909079,16.421718181818157,0.1857785758320245,-0.0,43.0,-0.314,-0.182,1.657,1.343
04-20,-0.007136521739130437,15.843693478260874,0.29931872522013614,-0.0,43.0,-0.3,-0.162,1.721,1.421
04-21,-0.006333809523809527,14.337319047619054,0.6376623618898141,-0.0,43.0,-0.266,-0.125,1.803,1.537
04-22,-0.005660000000000018,13.388730000000036,0.7038574036844194,-0.0,43.0,-0.238,-0.097,2.188,1.95
04-23,-0.009433333333333306,21.045766666666612,0.4765375148963562,-0.0,43.0,-0.396,-0.151,2.377,1.981
04-24,-0.017850769230769243,38.05043846153849,0.39657972785647133,-0.0,43.0,-0.75,-0.279,2.724,1.974
04-25,-0.013923600000000001,29.998,0.37924516665179775,-0.0,43.0,-0.585,-0.217,2.443,1.858
04-26,-0.00943333333333333,20.96086666666666,0.5096661617317191,-0.0,43.0,-0.396,-0.133,2.292,1.896
04-27,-0.010290909090909088,22.732618181818175,0.6007457782223744,-0.0,43.0,-0.432,-0.138,2.367,1.935
04-28,-0.008323529411764704,19.024258823529408,0.67549619466395,-0.0,43.0,-0.35,-0.113,2.552,2.202
04-29,-0.005957894736842104,14.544859473684207,0.6153895461067254,-0.0,43.0,-0.25,-0.078,2.754,2.504
04-30,-0.016171428571428607,35.037017142857216,0.41264272938216306,-0.0,43.0,-0.679,-0.202,3.034,2.355
05-01,-0.021224999999999977,45.47809999999995,0.37316522939590646,-0.0,43.0,-0.892,-0.255,3.474,2.582
05-02,-0.027415625000000027,57.689550000000054,0.40247464775956465,-0.0,43.0,-1.151,-0.312,3.434,2.283
05-03,-0.028299999999999947,59.712999999999894,0.3459372424190428,-0.0,43.0,-1.188,-0.307,3.707,2.519
05-04,-0.036245769230769234,75.83093846153847,0.39541078677812624,-0.0,43.0,-1.523,-0.371,4.101,2.578
05-05,-0.03189192307692308,67.26474615384616,0.4440835490701094,-0.0,43.0,-1.34,-0.314,4.151,2.811
05-06,-0.02330588235294117,50.658664705882344,0.5767436692722621,-0.0,43.0,-0.979,-0.207,4.536,3.557
05-07,-0.022639999999999993,48.98729999999999,0.5438105094192973,-0.0,43.0,-0.951,-0.182,4.183,3.232
05-08,-0.018112000000000007,40.01620000000001,0.4896953730929159,-0.0,43.0,-0.761,-0.141,4.173,3.412
05-09,-0.011319999999999997,26.771799999999992,0.6985458285655686,-0.0,43.0,-0.476,-0.088,4.37,3.894
05-10,-0.011791666666666669,27.601933333333335,0.7063249093869048,-0.0,43.0,-0.495,-0.09,4.266,3.771
05-11,-0.005390476190476168,15.110852380952336,0.9499262424258477,-0.0,43.0,-0.226,-0.04,4.443,4.217
05-12,0.006190625000000005,-7.62685000000001,0.8752528040453418,0.0,43.0,0.26,0.043,4.624,4.884
05-13,0.014765217391304306,-25.11563478260861,0.729810371243607,0.0,43.0,0.62,0.099,4.105,4.725
05-14,0.005659999999999954,-6.876899999999909,0.8917754948870602,0.0,43.0,0.238,0.036,4.324,4.562
05-15,0.0026952380952380943,-0.1266761904761884,0.9175540815221195,0.0,43.0,0.113,0.016,5.207,5.32
05-16,0.012735000000000007,-19.074200000000012,0.8016613352260797,0.0,43.0,0.535,0.068,6.128,6.663
05-17,0.009433333333333339,-12.725566666666678,0.8670041288561943,0.0,43.0,0.396,0.048,5.943,6.339
05-18,0.014149999999999996,-22.243799999999993,0.8178862658389356,0.0,43.0,0.594,0.071,5.759,6.353
05-19,0.014149999999999885,-21.762699999999768,0.785544411956157,0.0,43.0,0.594,0.066,6.24,6.834
05-20,0.006530769230769246,-5.8450384615384925,0.8834888066851561,0.0,43.0,0.275,0.029,7.079,7.354
05-21,-0.02725185185185186,61.60700370370372,0.5417626442873511,-0.0,43.0,-1.145,-0.117,7.676,6.531
05-22,-0.05917272727272727,126.21285454545455,0.14513473959847456,-0.0,43.0,-2.485,-0.258,9.11,6.625
05-23,-0.08707692307692305,182.19104615384612,0.20167946846619778,-0.0,43.0,-3.657,-0.377,9.866,6.209
05-24,-0.08613043478260873,180.35466956521745,0.12652460633655838,-0.0,43.0,-3.618,-0.357,9.903,6.285
