,mean,slp,chg,pvalue
0,1.307,-0.006,-0.24,0.423
1,1.377,-0.005,-0.21,0.361
2,1.384,-0.002,-0.094,0.677
3,1.344,-0.004,-0.147,0.586
4,1.398,-0.004,-0.154,0.552
5,1.418,-0.003,-0.119,0.462
6,1.378,-0.004,-0.154,0.414
7,1.362,-0.004,-0.175,0.421
8,1.404,-0.002,-0.1,0.617
9,1.404,-0.002,-0.078,0.7
10,1.354,-0.001,-0.051,0.735
11,1.349,-0.002,-0.098,0.529
12,1.403,-0.004,-0.156,0.399
13,1.342,-0.006,-0.236,0.351
14,1.312,-0.007,-0.303,0.225
15,1.282,-0.005,-0.218,0.315
16,1.297,-0.005,-0.189,0.269
17,1.319,-0.002,-0.076,0.788
18,1.42,0.0,0.0,0.959
19,1.39,0.0,0.0,0.941
20,1.42,0.0,0.0,0.903
21,1.409,-0.003,-0.114,0.647
22,1.414,-0.002,-0.09,0.724
23,1.374,-0.002,-0.072,0.798
24,1.428,-0.003,-0.115,0.664
25,1.42,-0.001,-0.059,0.735
26,1.384,-0.001,-0.041,0.831
27,1.408,-0.003,-0.129,0.437
28,1.344,-0.002,-0.084,0.726
29,1.375,0.0,0.0,0.898
30,1.408,-0.003,-0.14,0.49
31,1.36,0.0,0.0,0.834
32,1.375,0.0,0.0,0.963
33,1.35,0.0,0.0,0.981
34,1.315,0.0,0.0,1.0
35,1.35,0.0,0.0,0.926
36,1.389,-0.001,-0.058,0.739
37,1.42,0.0,0.0,0.925
38,1.436,0.002,0.067,0.662
39,1.375,0.0,0.0,0.935
40,1.399,-0.002,-0.072,0.657
41,1.42,-0.001,-0.057,0.744
42,1.435,-0.0,-0.008,0.916
43,1.485,-0.001,-0.047,0.827
44,1.47,-0.0,-0.006,0.914
45,1.483,-0.003,-0.126,0.672
46,1.563,-0.004,-0.176,0.544
47,1.467,-0.006,-0.246,0.564
48,1.519,-0.001,-0.051,0.873
49,1.422,-0.007,-0.28,0.261
50,1.492,-0.006,-0.258,0.496
51,1.475,-0.008,-0.353,0.418
52,1.557,-0.006,-0.258,0.538
53,1.457,-0.006,-0.244,0.499
54,1.453,-0.004,-0.178,0.65
55,1.503,-0.002,-0.095,0.759
56,1.483,-0.004,-0.16,0.661
57,1.498,-0.004,-0.18,0.606
58,1.612,-0.007,-0.276,0.278
59,1.56,-0.011,-0.453,0.028
60,1.592,-0.016,-0.661,0.01
61,1.628,-0.013,-0.558,0.172
62,1.65,-0.011,-0.457,0.162
