,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.004353846153846157,-8.237912307692314,0.6028686190309172,0.0,39.0,0.183,0.134,0.378,0.561
01-02,0.002829999999999999,-5.235499999999998,0.6368797172644329,0.0,39.0,0.119,0.139,0.365,0.484
01-03,0.003537499999999999,-6.707099999999999,0.5773042039300049,0.0,39.0,0.148,0.165,0.294,0.442
01-04,0.002572727272727272,-4.749254545454544,0.6559511542198184,0.0,39.0,0.108,0.051,0.342,0.45
01-05,0.0011005555555555551,-1.77661111111111,0.816521114675633,0.0,39.0,0.047,0.021,0.401,0.448
01-06,1.715151515151514e-05,0.3618969696969697,0.9613942552763595,0.0,39.0,0.001,0.001,0.396,0.397
01-07,-0.00025155555555555554,0.8427111111111111,0.9036877523521405,-0.0,39.0,-0.011,-0.014,0.345,0.334
01-08,-0.0007718181818181816,1.9002163636363631,0.8275459897834445,-0.0,39.0,-0.033,-0.04,0.373,0.34
01-09,-0.0012735,2.9149,0.7074198404264769,-0.0,39.0,-0.054,-0.07,0.395,0.341
01-10,-0.001516071428571428,3.4000428571428563,0.7807903967221892,-0.0,39.0,-0.064,-0.098,0.4,0.336
01-11,0.0006946363636363546,-1.0213727272727091,0.8654969645619266,0.0,39.0,0.029,0.048,0.353,0.382
01-12,0.001179166666666671,-1.990433333333342,0.7714701011857241,0.0,39.0,0.05,0.081,0.343,0.393
01-13,0.000943333333333296,-1.4338666666665922,0.7347516582607161,0.0,39.0,0.04,0.032,0.433,0.473
01-14,0.0007337037037037035,-1.014607407407407,0.5566948095471873,0.0,39.0,0.031,0.034,0.437,0.468
01-15,0.0003859090909090908,-0.3473181818181816,,0.0,39.0,0.017,0.014,0.416,0.433
01-16,0.00014894736842105264,0.1549052631578947,,0.0,39.0,0.006,0.007,0.45,0.456
01-17,0.008085714285714288,-15.647878571428576,0.07243843457127142,1.0,39.0,0.339,0.38,0.354,0.693
01-18,0.009390454545454547,-18.271509090909092,0.037182953434270916,2.0,39.0,0.395,0.289,0.312,0.707
01-19,0.005053571428571429,-9.626042857142858,0.1540192132036704,0.0,39.0,0.212,0.187,0.375,0.587
01-20,0.004716666666666662,-9.011663333333326,0.17279271063609292,0.0,39.0,0.198,0.184,0.323,0.521
01-21,0.002058181818181815,-3.7201636363636297,0.5090315770852256,0.0,39.0,0.086,0.066,0.353,0.439
01-22,0.0019809999999999967,-3.5148599999999934,0.6028686190309172,0.0,39.0,0.083,0.046,0.406,0.489
01-23,0.006288888888888887,-12.133467777777774,0.2869499368538726,0.0,39.0,0.264,0.138,0.312,0.576
01-24,0.005836875,-11.235100000000001,0.3705569114007674,0.0,39.0,0.245,0.169,0.316,0.561
01-25,0.005145454545454544,-9.857919090909087,0.3706269592534892,0.0,39.0,0.216,0.195,0.325,0.541
01-26,0.004952500000000004,-9.480500000000008,0.5658593324407952,0.0,39.0,0.209,0.205,0.32,0.529
