,mean,slp,chg,pvalue
0,0.44,0.008,0.353,0.052
1,0.338,0.005,0.203,0.475
2,0.388,0.006,0.244,0.435
3,0.302,0.003,0.127,0.56
4,0.275,0.0,0.0,0.981
5,0.25,-0.001,-0.035,0.834
6,0.294,-0.001,-0.049,0.77
7,0.275,-0.0,-0.02,0.836
8,0.236,0.003,0.105,0.342
9,0.236,0.003,0.145,0.339
10,0.322,0.004,0.164,0.322
11,0.555,0.009,0.386,0.048
12,0.416,0.012,0.496,
13,0.401,0.012,0.502,0.002
14,0.364,0.008,0.344,0.0
15,0.486,0.012,0.519,0.012
16,0.664,0.017,0.732,0.155
17,0.466,0.013,0.535,0.23
18,0.44,0.008,0.343,0.351
19,0.463,0.006,0.232,0.521
20,0.429,0.008,0.34,0.234
21,0.44,0.009,0.361,0.217
22,0.44,0.009,0.398,0.093
23,0.529,0.008,0.318,0.376
24,0.506,0.002,0.092,0.704
25,0.51,0.0,0.0,0.969
26,0.41,0.0,0.016,0.891
27,0.41,0.001,0.053,0.825
28,0.416,0.003,0.127,0.616
29,0.44,0.002,0.067,0.567
30,0.395,0.0,0.0,0.969
31,0.371,0.001,0.056,0.825
32,0.69,-0.01,-0.426,0.248
33,0.68,-0.029,-1.197,0.165
34,0.8,-0.02,-0.84,0.351
35,0.758,-0.005,-0.205,0.605
36,0.596,0.002,0.094,0.572
37,0.464,0.007,0.314,0.401
38,0.58,0.009,0.395,0.316
39,0.509,0.008,0.356,0.297
40,0.649,-0.002,-0.094,0.7
41,0.444,-0.003,-0.137,0.641
42,0.437,-0.005,-0.226,0.47
43,0.516,-0.009,-0.367,0.357
44,0.418,-0.004,-0.162,0.43
45,0.752,-0.017,-0.723,0.024
46,1.004,-0.022,-0.934,0.1
47,0.844,-0.022,-0.914,0.152
48,0.934,-0.011,-0.465,0.388
49,0.968,-0.015,-0.619,0.204
50,0.886,-0.009,-0.397,0.41
51,1.0,-0.001,-0.037,0.963
52,0.808,-0.003,-0.119,0.798
53,0.831,-0.008,-0.332,0.406
54,0.674,0.008,0.348,0.273
55,0.628,0.015,0.611,0.006
56,0.642,0.015,0.629,0.0
57,0.699,0.008,0.32,0.471
58,0.628,0.006,0.233,0.616
59,0.624,0.009,0.397,0.311
60,0.909,0.006,0.263,0.477
61,0.826,0.003,0.145,0.533
62,0.682,0.003,0.131,0.692
63,0.624,-0.002,-0.1,0.834
64,0.782,-0.006,-0.261,0.484
65,0.792,0.004,0.168,0.633
66,0.856,0.013,0.549,0.098
67,1.026,0.022,0.937,0.003
68,0.824,0.02,0.819,0.09
69,0.736,0.02,0.855,0.066
70,0.742,0.013,0.537,0.176
71,0.755,0.01,0.42,0.401
72,0.876,0.013,0.53,0.113
73,0.927,0.014,0.598,0.309
74,0.926,0.013,0.567,0.119
75,1.106,0.003,0.145,0.762
76,0.9,-0.0,-0.019,0.981
77,1.057,-0.006,-0.258,0.692
78,1.111,-0.008,-0.328,0.649
79,1.12,-0.009,-0.392,0.616
80,0.881,0.001,0.031,0.972
81,0.822,0.003,0.113,0.825
82,0.923,0.015,0.617,0.04
83,0.927,0.054,2.262,0.074
84,0.872,0.035,1.471,0.0
85,1.12,0.03,1.272,0.006
86,1.008,0.026,1.081,0.069
87,1.022,0.005,0.219,
88,1.178,0.005,0.205,0.692
89,1.316,0.003,0.143,0.861
90,1.02,0.001,0.051,0.944
91,0.806,0.002,0.064,0.898
92,1.36,0.01,0.42,0.314
93,1.054,0.019,0.791,0.226
94,1.301,0.033,1.385,0.073
95,1.203,0.026,1.077,0.068
96,0.994,0.028,1.172,0.022
97,1.034,0.029,1.229,0.017
98,0.938,0.015,0.645,0.305
99,0.744,0.008,0.318,0.247
100,0.776,0.013,0.559,0.169
101,0.707,0.015,0.63,0.067
102,0.868,0.006,0.244,0.376
103,1.266,0.011,0.462,0.507
104,1.044,0.009,0.389,0.499
105,1.06,0.01,0.408,0.545
106,1.052,0.003,0.133,0.678
107,0.866,0.004,0.149,0.692
108,0.806,0.002,0.066,0.926
109,0.638,-0.003,-0.134,0.754
110,0.568,-0.003,-0.138,0.616
111,0.626,0.002,0.1,0.683
112,0.682,0.003,0.137,0.544
113,0.618,0.007,0.295,0.083
114,0.596,0.021,0.888,0.0
