,mean,slp,chg,pvalue
01-01,1.417,0.015,0.63,0.264
01-02,1.41,0.011,0.453,0.004
01-03,1.385,0.01,0.42,0.008
01-04,1.45,0.009,0.397,0.043
01-05,1.405,0.01,0.42,0.048
01-06,1.34,0.008,0.347,0.27
01-07,1.324,0.007,0.287,0.495
01-08,1.398,0.008,0.321,0.544
01-09,1.418,0.006,0.247,0.712
01-10,1.398,0.006,0.252,0.672
01-11,1.394,0.007,0.291,0.68
01-12,1.379,0.008,0.34,0.588
01-13,1.379,0.007,0.3,0.641
01-14,1.394,0.009,0.36,0.558
01-15,1.434,0.009,0.383,0.435
01-16,1.449,0.008,0.319,0.441
01-17,1.384,0.007,0.315,0.461
01-18,1.35,0.009,0.369,0.404
01-19,1.378,0.007,0.289,0.577
01-20,1.402,0.003,0.115,0.803
01-21,1.412,0.003,0.132,0.786
01-22,1.292,0.004,0.168,0.82
01-23,1.31,0.001,0.039,0.912
01-24,1.35,0.0,0.0,1.0
01-25,1.342,0.003,0.14,0.548
01-26,1.404,0.008,0.32,0.325
01-27,1.363,0.007,0.28,0.603
01-28,1.423,0.006,0.24,0.515
01-29,1.423,0.005,0.21,0.665
01-30,1.405,0.0,0.0,1.0
01-31,1.534,0.006,0.267,0.68
02-01,1.534,0.008,0.35,0.672
02-02,1.557,0.004,0.18,0.733
02-03,1.736,0.014,0.575,0.441
02-04,1.748,0.014,0.605,0.398
02-05,1.682,0.015,0.621,0.319
02-06,1.622,0.015,0.639,0.303
02-07,1.562,0.015,0.63,0.229
02-08,1.648,0.015,0.648,0.264
02-09,1.586,0.012,0.522,0.308
02-10,1.6,0.01,0.42,0.404
02-11,1.575,0.01,0.42,0.468
02-12,1.545,0.01,0.42,0.454
02-13,1.564,0.008,0.324,0.515
02-14,1.642,0.004,0.185,0.696
02-15,1.612,0.005,0.203,0.643
02-16,1.685,0.0,0.016,0.959
02-17,1.728,-0.003,-0.123,0.843
02-18,1.76,0.0,0.0,1.0
02-19,1.754,-0.002,-0.096,0.882
02-20,1.733,-0.003,-0.14,0.849
02-21,1.873,-0.014,-0.588,0.551
02-22,2.09,-0.02,-0.854,0.193
02-23,2.171,-0.047,-1.984,0.119
02-24,2.176,-0.038,-1.596,0.118
02-25,2.11,-0.029,-1.207,0.2
02-26,2.054,-0.022,-0.93,0.248
02-27,1.924,-0.021,-0.873,0.252
02-28,1.876,-0.017,-0.725,0.321
03-01,1.904,-0.013,-0.565,0.477
03-02,1.87,-0.02,-0.826,0.429
03-03,1.842,-0.015,-0.637,0.374
03-04,1.902,-0.018,-0.751,0.278
03-05,1.965,-0.021,-0.893,0.133
03-06,1.842,-0.027,-1.131,0.121
03-07,1.855,-0.03,-1.26,0.074
03-08,2.033,-0.033,-1.4,0.028
03-09,2.066,-0.029,-1.203,0.283
03-10,2.059,-0.023,-0.956,0.374
03-11,2.003,-0.014,-0.576,0.649
03-12,1.846,-0.008,-0.326,0.759
03-13,1.851,-0.008,-0.344,0.711
03-14,1.958,-0.015,-0.649,0.383
03-15,1.954,-0.021,-0.865,0.283
03-16,1.903,-0.024,-1.0,0.23
03-17,1.95,-0.031,-1.299,0.163
03-18,2.076,-0.047,-1.995,0.153
03-19,2.221,-0.047,-1.978,0.008
03-20,2.118,-0.024,-1.012,0.221
03-21,2.63,-0.018,-0.767,0.468
03-22,2.356,-0.016,-0.689,0.515
03-23,2.126,-0.019,-0.805,0.522
03-24,2.242,-0.017,-0.723,0.573
03-25,2.542,-0.014,-0.595,0.657
03-26,2.645,-0.03,-1.276,0.264
03-27,2.587,-0.036,-1.522,0.159
03-28,2.644,-0.041,-1.707,0.124
03-29,2.53,-0.039,-1.649,0.099
03-30,2.378,-0.033,-1.369,0.182
03-31,2.436,-0.026,-1.107,0.246
04-01,2.255,-0.03,-1.26,0.193
04-02,2.35,-0.03,-1.26,0.193
04-03,2.36,-0.03,-1.26,0.162
04-04,2.372,-0.036,-1.527,0.114
04-05,2.3,-0.039,-1.635,0.182
04-06,2.629,-0.042,-1.77,0.182
04-07,2.497,-0.045,-1.89,0.025
04-08,2.487,-0.036,-1.512,0.092
04-09,2.572,-0.028,-1.159,0.329
04-10,2.388,-0.035,-1.463,0.028
04-11,2.6,-0.03,-1.26,0.018
04-12,2.785,-0.03,-1.26,0.191
04-13,2.732,-0.025,-1.051,0.341
04-14,2.524,-0.023,-0.966,0.398
04-15,2.872,-0.025,-1.066,0.331
04-16,2.828,-0.033,-1.383,0.221
04-17,2.746,-0.027,-1.145,0.283
04-18,2.788,-0.025,-1.069,0.221
04-19,3.088,-0.024,-1.008,0.429
04-20,2.976,-0.018,-0.741,0.53
04-21,2.782,-0.006,-0.267,0.871
04-22,2.692,0.004,0.17,0.922
04-23,2.823,0.016,0.656,0.515
04-24,2.816,0.012,0.494,0.665
04-25,2.448,0.005,0.203,0.785
04-26,2.464,0.007,0.308,0.77
04-27,2.405,0.001,0.04,0.948
04-28,2.557,-0.036,-1.508,0.186
04-29,2.897,-0.037,-1.54,0.165
04-30,2.599,-0.023,-0.958,0.362
05-01,2.594,-0.022,-0.939,0.488
05-02,2.72,-0.041,-1.713,0.198
05-03,2.557,-0.026,-1.092,0.338
05-04,2.574,-0.013,-0.551,0.641
05-05,2.684,-0.012,-0.504,0.665
05-06,2.649,-0.021,-0.895,0.344
05-07,2.572,-0.017,-0.731,0.443
05-08,2.499,-0.013,-0.528,0.483
05-09,3.341,-0.018,-0.748,0.519
05-10,3.347,-0.016,-0.672,0.536
05-11,3.256,-0.018,-0.77,0.405
05-12,3.086,0.003,0.145,0.922
05-13,4.345,0.03,1.26,0.53
05-14,3.486,0.012,0.49,0.724
05-15,4.034,0.008,0.328,0.72
05-16,3.737,0.024,1.008,0.595
05-17,4.05,0.001,0.039,0.991
05-18,3.681,-0.029,-1.2,0.61
05-19,3.72,-0.031,-1.307,0.474
05-20,4.176,-0.027,-1.155,0.566
05-21,4.159,-0.022,-0.92,0.696
05-22,4.627,-0.056,-2.37,0.368
05-23,4.987,-0.075,-3.15,0.283
05-24,4.303,-0.025,-1.05,0.626
05-25,3.864,-0.001,-0.041,1.0
05-26,3.738,0.037,1.551,0.58
05-27,3.553,0.057,2.375,0.455
05-28,3.34,0.06,2.52,0.435
05-29,4.091,0.061,2.559,0.448
05-30,4.918,0.076,3.18,0.288
05-31,5.983,0.086,3.622,0.313
06-01,5.993,0.125,5.25,0.201
06-02,4.97,0.09,3.794,0.162
06-03,5.166,0.06,2.531,0.308
06-04,5.985,-0.011,-0.453,0.828
06-05,6.759,-0.031,-1.32,0.588
06-06,6.304,-0.041,-1.727,0.522
06-07,5.304,-0.012,-0.514,0.833
06-08,5.379,-0.053,-2.213,0.435
06-09,5.918,-0.023,-0.985,0.778
06-10,4.432,-0.015,-0.649,0.778
06-11,4.63,-0.05,-2.113,0.38
06-12,4.082,-0.046,-1.942,0.16
06-13,3.942,-0.016,-0.653,0.77
06-14,4.044,-0.032,-1.342,0.558
06-15,3.852,-0.027,-1.114,0.641
06-16,7.38,0.019,0.799,0.803
06-17,5.744,0.057,2.403,0.488
06-18,5.236,0.062,2.614,0.398
06-19,5.012,0.035,1.477,0.495
06-20,5.387,0.025,1.069,0.535
06-21,4.716,0.061,2.563,0.146
06-22,5.736,0.042,1.785,0.423
06-23,4.586,0.031,1.313,0.588
06-24,4.354,0.028,1.176,0.673
06-25,6.121,-0.007,-0.3,0.957
06-26,4.655,0.0,0.0,1.0
06-27,4.586,-0.018,-0.756,0.745
06-28,4.158,-0.005,-0.211,0.931
06-29,3.37,0.009,0.39,0.845
06-30,2.96,0.011,0.459,0.757
07-01,2.87,-0.001,-0.045,0.979
07-02,2.752,0.004,0.168,0.765
07-03,3.335,0.02,0.84,0.679
07-04,4.033,0.005,0.21,0.872
07-05,3.616,-0.019,-0.805,0.543
07-06,3.316,-0.019,-0.78,0.633
07-07,2.922,-0.006,-0.24,0.912
07-08,2.98,-0.021,-0.883,0.697
07-09,3.133,-0.012,-0.525,0.775
07-10,2.816,0.001,0.047,1.0
07-11,2.74,0.002,0.073,0.969
07-12,2.075,0.01,0.42,0.773
07-13,1.9,0.02,0.819,0.599
07-14,1.946,0.022,0.924,0.509
07-15,1.912,0.025,1.043,0.478
07-16,2.11,0.041,1.719,0.146
07-17,2.256,0.023,0.945,0.59
07-18,2.35,0.0,0.0,0.983
07-19,2.3,0.009,0.394,0.747
07-20,2.076,0.012,0.508,0.577
07-21,1.83,0.02,0.84,0.293
07-22,1.978,0.015,0.64,0.588
07-23,1.918,0.016,0.68,0.633
07-24,1.722,0.012,0.525,0.474
07-25,1.4,0.01,0.408,0.588
07-26,1.352,0.005,0.231,0.837
07-27,1.687,0.004,0.168,0.896
07-28,2.29,0.019,0.791,0.58
07-29,2.13,0.02,0.84,0.38
07-30,2.16,0.04,1.68,0.124
07-31,1.86,0.039,1.654,0.156
08-01,1.797,0.026,1.075,0.293
08-02,1.582,0.025,1.031,0.293
08-03,1.364,0.027,1.134,0.162
08-04,1.351,0.022,0.91,0.229
08-05,1.278,0.015,0.65,0.226
08-06,1.542,0.003,0.14,0.837
08-07,1.455,0.001,0.028,0.965
08-08,1.48,0.001,0.022,0.957
08-09,1.482,0.014,0.578,0.464
08-10,1.519,0.027,1.14,0.303
08-11,1.562,0.024,1.027,0.346
08-12,1.749,0.019,0.801,0.294
08-13,1.478,0.015,0.645,0.409
08-14,1.636,0.023,0.963,0.335
08-15,1.534,0.008,0.334,0.416
08-16,1.573,0.006,0.256,0.603
08-17,1.596,0.002,0.099,0.983
08-18,1.543,0.005,0.21,0.786
08-19,1.438,0.017,0.707,0.319
08-20,1.593,0.006,0.238,0.819
08-21,1.898,0.006,0.265,0.795
08-22,1.91,0.011,0.477,0.414
08-23,1.68,0.01,0.42,0.558
08-24,1.56,0.011,0.462,0.483
08-25,1.602,0.014,0.604,0.462
08-26,1.498,0.027,1.115,0.268
08-27,1.346,0.031,1.311,0.096
08-28,1.33,0.02,0.86,0.211
08-29,1.216,0.013,0.551,0.344
08-30,1.19,0.011,0.465,0.326
08-31,1.192,0.003,0.105,0.754
09-01,1.174,-0.002,-0.075,0.606
09-02,1.078,0.005,0.201,0.697
09-03,1.078,0.005,0.227,0.026
09-04,1.166,0.012,0.504,0.46
09-05,1.284,0.018,0.744,0.399
09-06,1.211,0.021,0.885,0.362
09-07,1.299,0.018,0.764,0.354
09-08,1.17,0.02,0.84,0.354
09-09,1.046,0.021,0.871,0.218
09-10,1.112,0.023,0.98,0.187
09-11,1.173,0.026,1.08,0.197
09-12,1.171,0.022,0.924,0.031
09-13,1.213,0.015,0.646,0.12
09-14,1.18,0.01,0.43,0.438
09-15,1.105,0.01,0.42,0.595
09-16,1.135,0.01,0.42,0.474
09-17,1.096,0.011,0.473,0.502
09-18,1.221,0.011,0.476,0.386
09-19,1.284,0.008,0.354,0.526
09-20,1.246,0.012,0.504,0.242
09-21,1.616,0.013,0.543,0.455
09-22,1.697,0.014,0.578,0.509
09-23,1.312,0.014,0.578,0.442
