,mean,slp,chg,pvalue
0,331.11,4.578,192.286,0.045
1,299.98,3.332,139.936,0.267
2,283.0,3.308,138.956,0.341
3,291.49,2.722,114.304,0.379
4,333.94,2.122,89.146,0.402
5,314.13,2.264,95.084,0.439
6,288.66,1.561,65.578,0.572
7,254.13,0.748,31.41,0.754
8,250.74,0.908,38.132,0.749
9,254.13,-0.054,-2.26,0.991
10,269.42,-0.32,-13.422,0.893
11,266.02,-0.084,-3.516,0.975
12,262.34,-0.037,-1.534,0.992
13,271.68,-0.021,-0.872,0.992
14,261.21,-0.221,-9.28,0.884
15,271.11,-0.22,-9.24,0.95
16,257.53,-0.407,-17.088,0.859
17,251.87,-0.93,-39.06,0.601
18,251.87,-2.251,-94.54,0.451
19,261.77,-2.938,-123.38,0.184
20,299.98,-4.898,-205.704,0.022
21,333.94,-6.283,-263.872,0.018
22,336.77,-4.135,-173.67,0.125
23,325.45,-2.522,-105.932,0.408
24,342.43,-2.608,-109.53,0.565
25,376.39,-2.612,-109.716,0.544
26,387.71,-2.142,-89.948,0.516
27,464.12,-2.274,-95.5,0.565
28,478.27,-3.361,-141.146,0.579
29,481.1,-2.264,-95.088,0.63
30,517.89,-3.878,-162.882,0.451
31,486.76,-3.413,-143.348,0.414
32,421.671,-4.622,-194.145,0.179
33,441.48,-7.429,-312.008,0.001
34,421.67,-8.054,-338.258,0.06
35,384.88,-7.26,-304.902,0.006
36,458.46,-7.577,-318.238,0.008
37,498.08,-7.429,-312.008,0.022
38,571.66,-5.494,-230.754,0.1
39,503.74,-5.028,-211.196,0.04
40,554.68,-5.094,-213.944,
41,503.74,-5.477,-230.052,
42,517.89,-4.507,-189.296,
43,605.62,-4.452,-186.98,0.267
44,631.09,-3.358,-141.03,0.402
45,529.21,-2.044,-85.844,0.608
46,574.489,-2.594,-108.955,0.594
47,568.83,-1.998,-83.902,0.623
48,628.26,-2.673,-112.256,0.63
49,699.01,-3.222,-135.32,0.544
50,608.45,-3.821,-160.492,0.432
51,563.17,-5.108,-214.528,0.402
52,560.34,-5.244,-220.24,0.341
53,540.53,-3.846,-161.528,0.49
54,543.36,-2.123,-89.145,0.623
55,489.59,-1.887,-79.24,0.503
56,483.93,0.615,25.84,0.933
57,489.59,0.653,27.43,0.942
58,537.7,0.314,13.206,0.958
