,mean,slp,chg,pvalue
01-01,1.25,0.007,0.308,0.214
01-02,1.25,0.007,0.296,0.199
01-03,1.25,0.007,0.292,0.088
01-04,1.23,0.008,0.336,0.163
01-05,1.27,0.007,0.28,0.121
01-06,1.24,0.008,0.336,0.131
01-07,1.24,0.007,0.304,0.129
01-08,1.24,0.009,0.364,0.104
01-09,1.23,0.008,0.32,0.161
01-10,1.22,0.008,0.334,0.18
01-11,1.25,0.009,0.37,0.133
01-12,1.25,0.008,0.342,0.208
01-13,1.25,0.009,0.384,0.116
01-14,1.25,0.009,0.36,0.118
01-15,1.22,0.01,0.41,0.083
01-16,1.22,0.009,0.36,0.153
01-17,1.2,0.009,0.36,0.192
01-18,1.2,0.008,0.35,0.164
01-19,1.27,0.008,0.326,0.148
01-20,1.2,0.009,0.382,0.137
01-21,1.25,0.007,0.304,0.297
01-22,1.25,0.008,0.336,0.232
01-23,1.25,0.008,0.354,0.174
01-24,1.25,0.007,0.312,0.139
01-25,1.25,0.007,0.312,0.264
01-26,1.25,0.007,0.284,0.309
01-27,1.28,0.008,0.344,0.242
01-28,1.27,0.008,0.322,0.2
01-29,1.25,0.008,0.34,0.201
01-30,1.28,0.007,0.288,0.326
01-31,1.27,0.008,0.315,0.248
02-01,1.3,0.008,0.318,0.272
02-02,1.3,0.007,0.28,0.257
02-03,1.3,0.007,0.315,0.253
02-04,1.3,0.008,0.315,0.262
02-05,1.3,0.009,0.364,0.167
02-06,1.27,0.008,0.336,0.183
02-07,1.27,0.008,0.35,0.188
02-08,1.27,0.008,0.332,0.109
02-09,1.22,0.008,0.318,0.137
02-10,1.22,0.008,0.326,0.147
02-11,1.27,0.01,0.406,0.121
02-12,1.22,0.009,0.36,0.116
02-13,1.25,0.009,0.376,0.128
02-14,1.25,0.008,0.332,0.159
02-15,1.26,0.008,0.332,0.136
02-16,1.27,0.01,0.42,0.094
02-17,1.27,0.009,0.398,0.101
02-18,1.27,0.009,0.376,0.112
02-19,1.27,0.01,0.42,0.114
02-20,1.27,0.008,0.33,0.203
02-21,1.27,0.008,0.324,0.21
02-22,1.25,0.008,0.32,0.161
02-23,1.22,0.01,0.42,0.082
02-24,1.28,0.007,0.288,0.289
02-25,1.3,0.008,0.344,0.231
02-26,1.25,0.009,0.36,0.189
02-27,1.27,0.009,0.368,0.166
02-28,1.25,0.008,0.33,0.08
03-01,1.25,0.008,0.342,0.07
03-02,1.25,0.01,0.42,0.128
03-03,1.25,0.011,0.45,0.034
03-04,1.27,0.01,0.404,0.026
03-05,1.25,0.009,0.364,0.073
03-06,1.27,0.01,0.42,0.193
03-07,1.27,0.01,0.42,0.183
03-08,1.27,0.01,0.42,0.186
03-09,1.28,0.009,0.378,0.181
03-10,1.3,0.008,0.336,0.166
03-11,1.31,0.008,0.326,0.277
03-12,1.35,0.008,0.344,0.343
03-13,1.33,0.008,0.342,0.292
03-14,1.33,0.008,0.33,0.351
03-15,1.33,0.008,0.328,0.321
03-16,1.33,0.007,0.304,0.305
03-17,1.34,0.007,0.286,0.356
03-18,1.34,0.006,0.242,0.514
03-19,1.35,0.007,0.296,0.347
03-20,1.34,0.007,0.312,0.379
03-21,1.36,0.008,0.324,0.331
03-22,1.35,0.008,0.356,0.273
03-23,1.34,0.008,0.315,0.337
03-24,1.33,0.007,0.306,0.346
03-25,1.36,0.007,0.284,0.345
03-26,1.33,0.007,0.288,0.355
03-27,1.33,0.006,0.262,0.202
03-28,1.37,0.007,0.284,0.166
03-29,1.41,0.009,0.36,0.24
03-30,1.38,0.008,0.326,0.155
03-31,1.41,0.008,0.35,0.233
04-01,1.41,0.008,0.318,0.315
04-02,1.41,0.007,0.298,0.332
04-03,1.43,0.008,0.332,0.295
04-04,1.49,0.008,0.336,0.394
04-05,1.47,0.008,0.318,0.407
04-06,1.46,0.007,0.28,0.454
04-07,1.47,0.007,0.315,0.471
04-08,1.43,0.007,0.284,0.311
04-09,1.42,0.007,0.306,0.325
04-10,1.44,0.006,0.266,0.55
04-11,1.43,0.006,0.262,0.555
04-12,1.46,0.007,0.28,0.6
04-13,1.42,0.008,0.334,0.514
04-14,1.42,0.006,0.252,0.602
04-15,1.4,0.006,0.258,0.62
04-16,1.58,0.007,0.304,0.493
04-17,1.47,0.006,0.264,0.474
04-18,1.47,0.007,0.29,0.413
04-19,1.59,0.005,0.202,0.667
04-20,1.59,0.005,0.21,0.653
04-21,1.56,0.006,0.238,0.596
04-22,1.56,0.006,0.236,0.61
04-23,1.67,0.005,0.202,0.642
04-24,1.76,0.006,0.248,0.625
04-25,1.81,0.006,0.244,0.66
04-26,2.03,0.008,0.326,0.548
04-27,2.24,0.007,0.3,0.555
04-28,1.88,0.003,0.14,0.893
04-29,1.83,0.005,0.204,0.674
04-30,1.79,0.005,0.194,0.687
05-01,1.84,0.006,0.252,0.523
05-02,2.01,0.006,0.254,0.492
05-03,2.04,0.006,0.27,0.472
05-04,2.09,0.007,0.3,0.514
05-05,2.18,0.008,0.326,0.516
05-06,2.21,0.007,0.28,0.47
05-07,2.86,0.008,0.315,0.427
05-08,2.8,0.006,0.258,0.58
05-09,2.8,0.006,0.252,0.559
05-10,2.83,0.006,0.252,0.569
05-11,2.8,0.005,0.21,0.471
05-12,2.8,0.005,0.23,0.389
05-13,3.06,0.004,0.16,0.713
05-14,3.23,0.006,0.232,0.421
05-15,2.77,0.007,0.315,0.451
05-16,2.26,0.006,0.266,0.431
05-17,2.21,0.007,0.312,0.243
05-18,2.18,0.01,0.42,0.192
05-19,2.29,0.008,0.352,0.315
05-20,2.21,0.011,0.476,0.247
05-21,2.15,0.008,0.354,0.275
05-22,2.09,0.01,0.406,0.218
05-23,2.09,0.009,0.362,0.366
05-24,2.12,0.006,0.27,0.507
05-25,2.09,0.006,0.234,0.558
05-26,2.07,0.007,0.29,0.476
05-27,2.07,0.006,0.252,0.51
05-28,2.04,0.006,0.242,0.375
05-29,1.9,0.006,0.252,0.506
05-30,1.59,0.006,0.245,0.565
05-31,1.58,0.006,0.26,0.572
06-01,1.54,0.004,0.186,0.601
06-02,1.87,0.006,0.254,0.626
06-03,2.04,0.005,0.23,0.623
06-04,2.04,0.006,0.264,0.33
06-05,2.01,0.007,0.3,0.418
06-06,2.04,0.008,0.334,0.648
06-07,2.01,0.009,0.382,0.516
06-08,2.37,0.007,0.29,0.558
06-09,1.98,0.004,0.168,0.696
06-10,1.95,0.004,0.158,0.784
06-11,1.94,0.007,0.312,0.438
06-12,1.9,0.01,0.42,0.153
06-13,1.81,0.013,0.526,0.201
06-14,2.07,0.015,0.65,0.216
06-15,2.01,0.015,0.622,0.206
06-16,1.95,0.014,0.58,0.259
