,mean,slp,chg,pvalue
01-01,43.504,1.702,71.495,0.014
01-02,42.614,1.709,71.782,0.012
01-03,40.646,1.731,72.7,0.014
01-04,40.108,1.705,71.62,0.013
01-05,39.372,1.682,70.633,0.013
01-06,38.406,1.704,71.555,0.012
01-07,37.507,1.638,68.788,0.012
01-08,36.461,1.641,68.904,0.013
01-09,35.624,1.616,67.882,0.014
01-10,35.447,1.631,68.514,0.014
01-11,35.194,1.63,68.457,0.015
01-12,34.576,1.584,66.528,0.017
01-13,34.257,1.571,65.994,0.017
01-14,33.588,1.559,65.46,0.017
01-15,32.861,1.541,64.708,0.018
01-16,32.61,1.506,63.271,0.019
01-17,32.29,1.493,62.714,0.021
01-18,32.032,1.521,63.891,0.023
01-19,31.518,1.512,63.498,0.026
01-20,30.934,1.523,63.969,0.026
01-21,30.711,1.507,63.314,0.027
01-22,30.522,1.481,62.218,0.027
01-23,30.494,1.496,62.838,0.027
01-24,30.42,1.48,62.147,0.029
01-25,29.888,1.492,62.668,0.026
01-26,29.492,1.495,62.779,0.027
01-27,29.058,1.472,61.841,0.03
01-28,28.668,1.445,60.693,0.033
01-29,28.342,1.428,59.967,0.034
01-30,27.938,1.459,61.259,0.036
01-31,27.651,1.467,61.626,0.038
02-01,27.264,1.476,62.007,0.036
02-02,26.817,1.445,60.688,0.037
02-03,26.713,1.442,60.558,0.035
02-04,26.124,1.416,59.476,0.033
02-05,25.582,1.421,59.679,0.038
02-06,25.433,1.489,62.534,0.031
02-07,24.88,1.487,62.44,0.031
02-08,24.386,1.49,62.595,0.03
02-09,24.06,1.474,61.888,0.03
02-10,23.782,1.488,62.49,0.028
02-11,23.249,1.466,61.577,0.027
02-12,22.732,1.455,61.098,0.025
02-13,22.195,1.43,60.064,0.024
02-14,21.885,1.423,59.778,0.025
02-15,21.445,1.397,58.66,0.024
02-16,21.104,1.369,57.508,0.024
02-17,20.9,1.366,57.392,0.025
02-18,20.516,1.378,57.859,0.026
02-19,20.342,1.361,57.176,0.024
02-20,20.011,1.341,56.316,0.025
02-21,20.046,1.364,57.301,0.029
02-22,20.12,1.347,56.567,0.028
02-23,20.328,1.352,56.778,0.029
02-24,20.31,1.341,56.301,0.032
02-25,20.252,1.335,56.052,0.033
02-26,20.193,1.329,55.806,0.035
02-27,20.33,1.32,55.427,0.033
02-28,20.092,1.294,54.367,0.041
03-01,19.808,1.272,53.413,0.043
03-02,19.576,1.284,53.907,0.042
03-03,19.412,1.275,53.544,0.042
03-04,19.278,1.252,52.593,0.034
03-05,19.18,1.254,52.659,0.034
03-06,18.978,1.252,52.591,0.034
03-07,18.824,1.25,52.487,0.032
03-08,18.366,1.244,52.231,0.032
03-09,18.026,1.217,51.113,0.033
03-10,18.004,1.202,50.505,0.036
03-11,17.694,1.196,50.227,0.037
03-12,17.735,1.157,48.578,0.036
03-13,17.914,1.243,52.199,0.041
03-14,18.072,1.247,52.395,0.043
03-15,18.016,1.344,56.444,0.046
03-16,17.891,1.36,57.131,0.05
03-17,18.137,1.391,58.436,0.042
03-18,18.24,1.393,58.505,0.039
03-19,18.598,1.433,60.165,0.039
03-20,18.824,1.416,59.478,0.041
03-21,19.237,1.492,62.661,0.038
03-22,19.608,1.472,61.824,0.031
03-23,20.562,1.541,64.734,0.03
03-24,21.242,1.628,68.38,0.028
03-25,22.192,1.661,69.774,0.028
03-26,23.15,1.7,71.409,0.026
03-27,23.964,1.743,73.198,0.027
03-28,24.479,1.786,75.006,0.021
03-29,25.322,1.881,79.02,0.021
03-30,26.223,1.982,83.242,0.016
03-31,27.67,2.08,87.367,0.013
04-01,28.809,2.173,91.252,0.012
04-02,29.982,2.288,96.092,0.011
04-03,31.092,2.328,97.784,0.01
04-04,32.992,2.328,97.769,0.008
04-05,35.096,2.431,102.099,0.008
04-06,40.231,2.421,101.664,0.008
04-07,46.341,2.427,101.946,0.01
04-08,53.643,2.463,103.425,0.015
04-09,61.556,2.403,100.945,0.017
04-10,66.401,2.534,106.415,0.02
04-11,68.696,2.631,110.505,0.026
04-12,72.644,2.53,106.245,0.029
04-13,74.322,2.581,108.403,0.026
04-14,80.084,2.623,110.16,0.032
04-15,89.352,2.801,117.66,0.031
04-16,94.562,3.008,126.338,0.029
04-17,97.876,3.018,126.743,0.031
04-18,101.919,3.046,127.94,0.029
04-19,101.878,3.085,129.582,0.023
04-20,106.696,3.13,131.475,0.017
04-21,109.838,3.225,135.449,0.015
04-22,114.908,2.938,123.413,0.022
04-23,116.889,2.926,122.89,0.027
04-24,122.5,3.0,126.0,0.022
04-25,125.538,3.026,127.085,0.022
04-26,128.918,2.946,123.725,0.018
04-27,119.17,3.114,130.781,0.014
04-28,115.061,3.041,127.704,0.014
04-29,119.645,3.096,130.05,0.023
04-30,122.29,2.86,120.11,0.024
05-01,120.936,2.957,124.214,0.018
05-02,125.896,2.931,123.084,0.025
05-03,129.09,2.727,114.522,0.055
05-04,127.657,2.438,102.39,0.053
05-05,135.652,2.768,116.241,0.047
05-06,134.864,2.576,108.175,0.074
05-07,135.07,2.713,113.943,0.043
05-08,133.668,2.779,116.7,0.046
05-09,135.452,2.635,110.664,0.05
05-10,136.558,2.706,113.633,0.04
05-11,132.174,2.783,116.87,0.065
05-12,128.587,2.725,114.44,0.051
05-13,135.392,2.928,122.981,0.057
05-14,134.658,2.772,116.405,0.05
05-15,132.439,2.626,110.29,0.043
05-16,136.022,2.681,112.609,0.035
05-17,134.944,2.629,110.423,0.053
05-18,132.976,2.651,111.345,0.071
05-19,135.67,2.446,102.733,0.05
05-20,136.902,2.602,109.269,0.06
05-21,139.606,2.404,100.955,0.04
05-22,143.063,2.375,99.75,0.057
05-23,134.952,2.301,96.658,0.078
05-24,137.991,2.327,97.75,0.077
05-25,137.875,2.25,94.5,0.083
05-26,137.414,2.276,95.607,0.074
05-27,139.046,2.364,99.273,0.077
05-28,149.012,2.341,98.325,0.047
05-29,150.266,2.51,105.433,0.065
05-30,148.075,2.383,100.092,0.084
05-31,141.951,2.301,96.638,0.085
06-01,146.511,2.341,98.308,0.092
06-02,148.3,2.2,92.4,0.09
06-03,143.625,1.75,73.5,0.172
06-04,144.474,2.316,97.283,0.108
06-05,145.376,2.251,94.547,0.058
06-06,140.939,1.959,82.296,0.078
06-07,141.694,1.795,75.409,0.143
06-08,142.728,2.152,90.397,0.107
06-09,145.975,2.317,97.3,0.07
06-10,145.294,2.196,92.238,0.084
06-11,143.1,2.4,100.8,0.085
06-12,149.966,1.977,83.046,0.148
06-13,148.494,1.996,83.82,0.122
06-14,142.5,2.0,84.0,0.129
06-15,144.989,1.993,83.7,0.092
06-16,140.909,2.273,95.454,0.075
06-17,137.795,2.196,92.25,0.085
06-18,140.624,2.083,87.475,0.081
06-19,135.738,2.159,90.668,0.086
06-20,139.016,2.344,98.457,0.074
06-21,141.337,2.224,93.426,0.091
06-22,138.405,2.27,95.34,0.111
06-23,137.542,2.362,99.185,0.084
06-24,139.8,2.2,92.4,0.106
06-25,142.556,2.037,85.555,0.113
06-26,143.492,2.328,97.785,0.1
06-27,140.842,2.228,93.591,0.147
06-28,142.006,2.337,98.162,0.084
06-29,139.527,2.351,98.762,0.061
06-30,142.676,2.451,102.945,0.052
07-01,142.49,2.327,97.72,0.056
07-02,141.481,2.321,97.47,0.066
07-03,138.814,2.209,92.777,0.082
07-04,137.761,2.174,91.3,0.096
07-05,137.568,2.379,99.9,0.091
07-06,135.784,2.522,105.941,0.066
07-07,136.197,2.131,89.52,0.076
07-08,137.29,2.194,92.137,0.091
07-09,134.177,2.118,88.96,0.105
07-10,137.786,2.191,92.023,0.078
07-11,134.673,2.115,88.83,0.113
07-12,130.77,2.513,105.553,0.064
07-13,132.761,2.507,105.3,0.069
07-14,132.014,2.676,112.405,0.071
07-15,137.888,2.592,108.864,0.053
07-16,137.06,2.374,99.697,0.048
07-17,132.75,2.5,105.0,0.059
07-18,132.755,2.504,105.15,0.078
07-19,130.884,2.256,94.773,0.051
07-20,133.888,2.592,108.868,0.065
07-21,131.95,2.633,110.585,0.053
07-22,130.735,2.49,104.58,0.046
07-23,131.363,2.575,108.16,0.058
07-24,133.39,2.594,108.937,0.061
07-25,123.702,2.467,103.631,0.057
07-26,127.025,2.683,112.7,0.049
07-27,131.96,2.64,110.863,0.049
07-28,130.836,2.557,107.391,0.042
07-29,133.222,2.815,118.222,0.033
07-30,127.003,2.669,112.082,0.045
07-31,129.166,2.778,116.667,0.038
08-01,126.966,2.644,111.057,0.036
08-02,127.092,2.728,114.559,0.043
08-03,129.341,2.56,107.537,0.047
08-04,128.223,2.815,118.234,0.054
08-05,122.99,2.66,111.716,0.048
08-06,120.537,2.691,113.028,0.045
08-07,123.944,2.63,110.445,0.058
08-08,122.925,2.617,109.902,0.059
08-09,118.736,2.824,118.595,0.029
08-10,122.484,2.656,111.537,0.028
08-11,120.28,2.854,119.85,0.032
08-12,123.128,2.752,115.581,0.041
08-13,124.98,2.653,111.421,0.059
08-14,117.714,2.81,118.011,0.034
08-15,119.383,3.255,136.71,0.018
08-16,122.726,3.151,132.343,0.025
08-17,121.338,2.892,121.477,0.015
08-18,117.375,2.917,122.508,0.037
08-19,117.105,2.737,114.951,0.043
08-20,115.866,2.578,108.267,0.029
08-21,114.418,2.612,109.714,0.021
08-22,117.286,2.858,120.025,0.041
08-23,118.51,3.007,126.28,0.021
08-24,114.709,2.806,117.863,0.017
08-25,114.342,2.561,107.567,0.02
08-26,116.015,2.677,112.42,0.032
08-27,118.53,3.02,126.825,0.022
08-28,117.502,3.001,126.035,0.009
08-29,115.556,2.704,113.583,0.025
08-30,113.476,2.651,111.33,0.019
08-31,114.636,2.757,115.808,0.007
09-01,115.764,2.843,119.407,0.005
09-02,114.0,3.0,126.0,0.016
09-03,112.204,2.802,117.704,0.009
09-04,113.5,2.667,112.0,0.026
09-05,113.05,3.033,127.387,0.001
09-06,117.024,3.016,126.676,0.007
09-07,111.938,2.959,124.275,0.001
09-08,111.788,2.859,120.085,0.016
09-09,111.275,2.517,105.7,0.029
09-10,111.71,2.807,117.884,0.027
09-11,110.484,2.656,111.552,0.03
09-12,110.62,2.747,115.383,0.009
09-13,112.646,2.764,116.092,0.009
09-14,107.408,2.939,123.433,0.003
09-15,107.684,2.79,117.163,0.01
09-16,105.83,2.887,121.247,0.008
09-17,108.256,2.838,119.189,0.007
09-18,110.633,2.422,101.715,0.013
09-19,113.728,2.819,118.394,0.014
09-20,108.386,2.591,108.829,0.021
09-21,107.098,2.732,114.75,0.005
09-22,106.073,2.382,100.042,0.034
09-23,104.856,2.571,107.977,0.031
09-24,105.595,2.53,106.256,0.05
09-25,110.372,2.915,122.439,0.028
09-26,107.5,2.667,112.015,0.012
09-27,107.137,2.425,101.842,0.029
