,mean,slp,chg,pvalue
0,1.66,0.01,0.42,0.133
1,1.64,0.012,0.525,0.288
2,1.59,0.016,0.651,0.245
3,1.88,0.016,0.682,0.024
4,1.87,0.011,0.472,0.245
5,1.57,0.014,0.57,0.174
6,1.64,0.011,0.444,0.32
7,1.78,0.009,0.398,0.457
8,1.73,0.009,0.396,0.341
9,1.67,0.013,0.56,0.197
10,1.83,0.012,0.498,0.198
11,1.93,0.019,0.816,0.1
12,1.76,0.019,0.8,0.088
13,1.7,0.014,0.6,0.229
14,1.76,0.013,0.544,0.207
15,1.9,0.013,0.56,0.233
16,1.75,0.015,0.65,0.161
17,1.73,0.011,0.462,0.394
18,1.75,0.005,0.21,0.754
19,1.95,-0.002,-0.07,0.905
20,1.84,0.0,0.0,0.993
21,1.78,-0.001,-0.024,0.967
22,1.84,0.002,0.066,0.925
23,2.12,0.015,0.608,0.267
24,2.12,0.013,0.56,0.357
25,2.04,0.004,0.158,0.875
26,1.91,0.006,0.252,0.608
27,1.92,0.005,0.21,0.714
28,1.95,0.005,0.21,0.544
29,1.84,0.011,0.474,0.402
30,1.84,0.011,0.466,0.335
31,1.93,0.004,0.164,0.714
32,2.13,0.007,0.288,0.59
33,2.04,0.007,0.28,0.615
34,2.15,0.006,0.262,0.561
35,1.95,0.017,0.7,0.098
36,1.98,0.022,0.945,0.006
37,1.95,0.031,1.306,0.0
38,1.84,0.025,1.03,0.002
39,1.81,0.019,0.794,0.012
40,1.81,0.017,0.71,0.107
41,1.81,0.018,0.764,0.119
42,1.98,0.007,0.28,0.351
43,1.98,0.01,0.432,0.272
44,1.92,0.012,0.51,0.124
45,1.98,0.007,0.315,0.426
46,2.1,0.019,0.78,0.094
47,2.06,0.02,0.84,0.06
48,2.12,0.018,0.756,0.022
49,2.0,0.01,0.42,0.312
50,2.2,-0.005,-0.23,0.209
51,2.16,-0.01,-0.41,0.51
52,2.21,-0.004,-0.168,0.738
53,2.37,-0.004,-0.174,0.706
54,2.15,-0.006,-0.24,0.645
55,2.23,0.01,0.42,0.445
56,2.11,0.012,0.5,0.04
57,2.1,0.015,0.64,0.134
58,1.98,0.015,0.646,0.276
59,1.98,0.017,0.714,0.272
60,2.21,0.03,1.26,0.015
61,2.12,0.021,0.9,0.152
62,2.21,0.017,0.714,0.258
63,2.26,0.014,0.584,0.31
64,2.29,0.012,0.516,0.357
65,2.22,0.011,0.48,0.325
66,2.26,0.007,0.306,0.579
67,2.15,0.01,0.402,0.496
