,mean,slp,chg,pvalue
0,23.894,0.438,18.375,0.012
1,23.112,0.435,18.251,0.01
2,22.675,0.43,18.078,0.01
3,22.358,0.426,17.885,0.01
4,21.766,0.373,15.669,0.053
5,21.064,0.307,12.915,0.036
6,21.495,0.261,10.948,0.044
7,21.708,0.266,11.192,0.067
8,21.346,0.272,11.437,0.07
9,20.668,0.278,11.659,0.059
10,20.086,0.272,11.422,0.081
11,19.066,0.291,12.219,0.011
12,18.794,0.348,14.595,0.001
13,19.23,0.4,16.82,0.0
14,19.658,0.467,19.6,0.005
15,18.698,0.486,20.427,0.008
16,18.431,0.471,19.796,0.0
17,17.93,0.449,18.857,0.0
18,17.565,0.44,18.48,0.006
19,20.006,0.393,16.497,0.009
20,19.112,0.364,15.293,0.012
21,18.566,0.341,14.329,0.02
22,20.043,0.315,13.244,0.051
23,20.952,0.304,12.753,0.048
24,20.732,0.293,12.311,0.02
25,20.856,0.283,11.882,0.029
26,22.024,0.268,11.235,0.041
27,21.701,0.272,11.424,0.155
28,21.16,0.271,11.366,0.086
29,20.724,0.248,10.426,0.033
30,20.242,0.235,9.869,0.047
31,19.466,0.213,8.949,0.124
32,19.005,0.201,8.447,0.135
33,18.191,0.211,8.876,0.124
34,17.984,0.198,8.324,0.175
35,17.635,0.18,7.56,0.186
36,17.29,0.19,7.996,0.143
37,16.784,0.177,7.455,0.156
38,16.3,0.169,7.101,0.153
39,15.38,0.171,7.182,0.124
40,15.35,0.19,7.98,0.089
41,14.913,0.196,8.238,0.083
42,15.008,0.165,6.93,0.139
43,15.992,0.145,6.09,0.195
44,16.248,0.147,6.174,0.19
45,17.422,0.144,6.044,0.175
46,16.895,0.14,5.866,0.158
47,16.341,0.141,5.94,0.293
48,15.71,0.151,6.322,0.242
49,15.357,0.154,6.456,0.186
50,15.189,0.189,7.933,0.156
51,15.131,0.184,7.713,0.146
52,15.579,0.178,7.464,0.149
53,15.952,0.183,7.695,0.201
54,15.816,0.213,8.925,0.14
55,15.483,0.227,9.52,0.024
56,14.986,0.251,10.553,0.074
57,14.878,0.267,11.2,0.072
