,mean,slp,chg,pvalue
01-01,0.31,0.0,0.0,0.973
01-02,0.31,0.0,0.0,0.919
01-03,0.28,0.0,0.0,0.919
01-04,0.279,-0.0,-0.019,0.866
01-05,0.279,-0.0,-0.015,0.875
01-06,0.269,-0.001,-0.038,0.813
01-07,0.269,-0.001,-0.034,0.805
01-08,0.26,-0.001,-0.031,0.77
01-09,0.26,-0.001,-0.027,0.779
01-10,0.25,-0.0,-0.02,0.779
01-11,0.25,-0.0,-0.017,0.805
01-12,0.24,-0.0,-0.015,0.796
01-13,0.22,-0.001,-0.029,0.685
01-14,0.219,-0.001,-0.046,0.629
01-15,0.219,-0.001,-0.044,0.605
01-16,0.219,-0.001,-0.044,0.613
01-17,0.219,-0.001,-0.046,0.744
01-18,0.219,-0.001,-0.046,0.711
01-19,0.219,-0.001,-0.031,0.813
01-20,0.22,-0.0,-0.016,0.866
01-21,0.21,0.0,0.0,0.919
01-22,0.2,0.0,0.0,0.964
01-23,0.2,0.0,0.0,0.991
01-24,0.2,0.0,0.0,1.0
01-25,0.21,0.0,0.0,0.964
01-26,0.21,0.0,0.0,0.946
01-27,0.21,0.0,0.0,0.928
01-28,0.2,-0.0,-0.013,0.822
01-29,0.2,-0.001,-0.023,0.761
01-30,0.19,-0.001,-0.025,0.736
01-31,0.179,-0.001,-0.036,0.621
02-01,0.169,-0.001,-0.039,0.597
02-02,0.169,-0.001,-0.038,0.637
02-03,0.169,-0.001,-0.038,0.613
02-04,0.18,-0.001,-0.039,0.605
02-05,0.179,-0.001,-0.042,0.536
02-06,0.189,-0.001,-0.042,0.529
02-07,0.199,-0.001,-0.046,0.529
02-08,0.199,-0.001,-0.058,0.451
02-09,0.198,-0.002,-0.065,0.393
02-10,0.188,-0.002,-0.065,0.418
02-11,0.188,-0.002,-0.063,0.451
02-12,0.198,-0.002,-0.065,0.425
02-13,0.208,-0.002,-0.063,0.444
02-14,0.188,-0.001,-0.061,0.479
02-15,0.178,-0.001,-0.051,0.493
02-16,0.179,-0.001,-0.046,0.621
02-17,0.169,-0.001,-0.044,0.661
02-18,0.169,-0.001,-0.03,0.629
02-19,0.168,-0.001,-0.051,0.335
02-20,0.198,-0.002,-0.07,0.204
02-21,0.198,-0.002,-0.082,0.17
02-22,0.198,-0.002,-0.096,0.083
02-23,0.208,-0.003,-0.105,0.064
02-24,0.227,-0.003,-0.115,0.098
02-25,0.227,-0.003,-0.114,0.276
02-26,0.227,-0.003,-0.113,0.281
02-27,0.227,-0.003,-0.115,0.291
02-28,0.208,-0.003,-0.105,0.218
03-01,0.218,-0.002,-0.103,0.253
03-02,0.228,-0.002,-0.093,0.299
03-03,0.238,-0.002,-0.091,0.369
03-04,0.248,-0.002,-0.078,0.417
03-05,0.248,-0.002,-0.077,0.501
03-06,0.248,-0.002,-0.088,0.544
03-07,0.248,-0.002,-0.082,0.536
03-08,0.268,-0.002,-0.097,0.522
03-09,0.268,-0.002,-0.097,0.321
03-10,0.268,-0.002,-0.074,0.372
03-11,0.3,-0.001,-0.029,0.318
03-12,0.34,-0.0,-0.008,0.91
03-13,0.34,-0.0,-0.007,0.928
03-14,0.37,0.0,0.006,0.919
03-15,0.381,0.002,0.069,0.77
03-16,0.513,0.003,0.132,0.567
03-17,0.516,0.006,0.243,0.362
03-18,0.6,0.01,0.439,0.135
03-19,0.582,0.012,0.487,0.22
03-20,0.651,0.011,0.458,0.345
03-21,0.638,0.008,0.348,0.458
03-22,0.686,0.007,0.283,0.493
03-23,1.139,0.009,0.36,0.465
03-24,1.134,0.004,0.172,0.702
03-25,1.134,0.004,0.174,0.813
03-26,1.419,-0.001,-0.05,0.937
03-27,1.523,-0.007,-0.286,0.779
03-28,1.838,-0.003,-0.115,0.932
03-29,2.758,-0.001,-0.053,0.964
03-30,2.709,-0.011,-0.444,0.568
03-31,3.112,-0.028,-1.165,0.301
04-01,3.061,-0.049,-2.046,0.115
04-02,3.563,-0.057,-2.394,0.033
04-03,4.772,-0.098,-4.101,0.004
04-04,3.866,-0.124,-5.208,0.002
04-05,4.644,-0.167,-7.001,0.0
04-06,7.764,-0.156,-6.536,0.021
04-07,6.958,-0.112,-4.719,0.125
04-08,6.923,-0.147,-6.172,0.127
04-09,7.331,-0.079,-3.32,0.301
04-10,7.526,-0.034,-1.443,0.637
04-11,6.607,-0.043,-1.81,0.507
04-12,5.786,-0.074,-3.091,0.345
04-13,5.946,-0.084,-3.543,0.261
04-14,7.087,-0.133,-5.6,0.157
04-15,7.168,-0.161,-6.783,0.074
04-16,6.775,-0.104,-4.375,0.044
04-17,8.125,-0.085,-3.57,
04-18,7.214,-0.056,-2.364,0.255
04-19,8.102,-0.048,-2.019,0.518
04-20,8.205,0.025,1.048,0.849
04-21,6.079,0.049,2.04,0.653
04-22,5.662,0.002,0.101,0.973
04-23,4.732,-0.048,-1.999,0.559
04-24,7.416,-0.084,-3.514,0.043
04-25,7.678,-0.072,-3.041,0.142
04-26,7.387,-0.053,-2.218,0.419
04-27,8.347,-0.083,-3.48,0.357
04-28,6.985,-0.065,-2.724,0.334
04-29,6.398,-0.052,-2.201,0.323
04-30,5.705,-0.035,-1.486,0.629
05-01,5.41,0.001,0.025,1.0
05-02,5.475,0.015,0.632,0.711
05-03,4.692,0.022,0.929,0.605
05-04,4.0,0.011,0.449,0.719
05-05,3.721,-0.019,-0.792,0.719
05-06,3.268,-0.012,-0.525,0.843
05-07,2.896,-0.014,-0.608,0.735
05-08,3.532,-0.008,-0.338,0.765
05-09,3.3,-0.01,-0.405,0.849
05-10,3.359,-0.012,-0.499,0.773
05-11,3.801,-0.019,-0.786,0.678
05-12,3.294,-0.015,-0.647,0.736
05-13,3.062,-0.018,-0.772,0.621
05-14,2.928,-0.012,-0.498,0.745
05-15,2.515,-0.005,-0.202,0.801
05-16,2.446,0.006,0.246,0.84
05-17,2.82,-0.01,-0.4,0.762
05-18,2.31,0.001,0.031,1.0
05-19,2.29,0.0,0.0,1.0
