,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.0055589285714285714,-10.653939285714285,0.4600261795719851,0.0,39.0,0.234,0.324,0.347,0.581
01-02,0.004386500000000001,-8.319917000000002,0.5405284241274293,0.0,39.0,0.184,0.249,0.361,0.545
01-03,0.0035846666666666657,-6.785773999999998,0.6283536081264183,0.0,39.0,0.151,0.212,0.308,0.459
01-04,0.0029243333333333326,-5.418317999999998,0.6543723973253728,0.0,39.0,0.123,0.18,0.369,0.492
01-05,0.003513103448275862,-6.651280689655172,0.6752267467571187,0.0,39.0,0.148,0.217,0.301,0.449
01-06,0.0046411999999999955,-8.927857599999992,0.5042509222684142,0.0,39.0,0.195,0.285,0.257,0.452
01-07,0.005660000000000001,-10.957760000000002,0.34016769837759275,0.0,39.0,0.238,0.34,0.243,0.481
01-08,0.005659999999999998,-10.937949999999997,0.3670987043986642,0.0,39.0,0.238,0.338,0.263,0.501
01-09,0.004480833333333333,-8.556505,0.5438339122411919,0.0,39.0,0.188,0.273,0.311,0.499
01-10,0.004346071428571426,-8.264610714285707,0.5199612756557057,0.0,39.0,0.183,0.263,0.336,0.519
01-11,0.004630909090909082,-8.912956363636347,0.49981677025784044,0.0,39.0,0.194,0.276,0.252,0.446
01-12,0.002358333333333328,-4.400649999999989,0.6837088121624049,0.0,39.0,0.1,0.15,0.266,0.366
01-13,0.0021769230769230763,-4.009892307692307,0.7205581340690301,0.0,39.0,0.092,0.133,0.298,0.39
01-14,0.003568260869565217,-6.738845217391304,0.4062038893595088,0.0,39.0,0.15,0.219,0.323,0.473
01-15,0.005188333333333333,-9.893679999999998,0.2224049394918015,0.0,39.0,0.218,0.316,0.374,0.592
01-16,0.0037733333333333334,-7.02972,0.3009383302692594,0.0,39.0,0.158,0.231,0.438,0.596
01-17,0.005327058823529412,-10.105763529411766,0.3131368838750892,0.0,39.0,0.224,0.331,0.436,0.66
01-18,0.007310833333333333,-13.998595,0.20874677317166612,0.0,39.0,0.307,0.442,0.47,0.777
01-19,0.007718181818181821,-14.79832727272728,1.4027694561491444e-09,3.0,39.0,0.324,0.445,0.476,0.8
01-20,0.008490000000000001,-16.363060000000004,,0.0,39.0,0.356,0.468,0.439,0.795
01-21,0.008207,-15.692916000000004,0.15562450910845005,0.0,39.0,0.344,0.457,0.549,0.893
01-22,0.0064854166666666645,-12.250362499999996,0.2640637000521153,0.0,39.0,0.273,0.374,0.584,0.857
01-23,0.005886400000000001,-11.053527200000001,0.3061648790941134,0.0,39.0,0.247,0.336,0.596,0.843
01-24,0.005290869565217391,-9.804227391304348,0.3727524707427381,0.0,39.0,0.223,0.302,0.666,0.889
01-25,0.005659999999999998,-10.601179999999998,0.36032878914938027,0.0,39.0,0.238,0.327,0.6,0.838
01-26,0.005659999999999998,-10.601179999999998,0.2750032944044605,0.0,39.0,0.238,0.327,0.6,0.838
01-27,0.006387714285714286,-12.055153142857142,0.3365949292047805,0.0,39.0,0.268,0.356,0.586,0.854
01-28,0.007806896551724136,-14.805779310344823,0.20556124728015934,0.0,39.0,0.328,0.412,0.644,0.972
01-29,0.0103766666666667,-20.02508000000007,2.126760989540344e-10,3.0,39.0,0.436,0.537,0.51,0.946
