,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0010301199999999994,2.1790999999999987,0.12365938028717105,-0.0,43.0,-0.043,-0.298,0.14,0.097
01-02,-0.00102909090909091,2.17704181818182,0.15118203882466252,-0.0,43.0,-0.043,-0.285,0.14,0.097
01-03,-0.0010789375,2.276735,0.10650589295838353,-0.0,43.0,-0.046,-0.308,0.142,0.096
01-04,-0.0009803928571428572,2.0768157142857144,0.1453732676745909,-0.0,43.0,-0.042,-0.275,0.137,0.095
01-05,-0.0009843478260869525,2.084725652173905,0.1317520812845161,-0.0,43.0,-0.042,-0.285,0.137,0.095
01-06,-0.0006857307692307686,1.4846615384615371,0.20987428067844105,-0.0,43.0,-0.029,-0.199,0.128,0.099
01-07,-0.0005660000000000002,1.2423700000000004,,-0.0,43.0,-0.024,-0.164,0.122,0.098
01-08,-0.0007074999999999998,1.5284829999999996,,-0.0,43.0,-0.029,-0.197,0.128,0.099
01-09,-0.0007074999999999998,1.5253699999999997,,-0.0,43.0,-0.029,-0.2,0.125,0.096
01-10,-0.0007718181818181816,1.6568363636363632,,-0.0,43.0,-0.032,-0.221,0.129,0.097
01-11,-0.0014149999999999996,2.943199999999999,0.19633460676432968,-0.0,43.0,-0.06,-0.392,0.143,0.083
01-12,-0.0012532857142857094,2.616941428571419,0.19520802038520957,-0.0,43.0,-0.053,-0.352,0.137,0.084
01-13,-0.0011915789473684207,2.499187894736841,0.08301331847414062,-1.0,43.0,-0.05,-0.335,0.141,0.091
01-14,-0.00134425,2.81019,0.08145771646152378,-1.0,43.0,-0.057,-0.374,0.15,0.093
01-15,-0.0012863636363636367,2.685927272727273,0.10853415241992304,-0.0,43.0,-0.054,-0.36,0.14,0.086
01-16,-0.0010934090909090906,2.3000181818181815,0.33536092304867604,-0.0,43.0,-0.046,-0.302,0.136,0.09
01-17,-0.0012128571428571583,2.544574285714317,0.34508794868905346,-0.0,43.0,-0.051,-0.322,0.144,0.093
01-18,-0.001257777777777778,2.6315855555555556,0.12123326078079333,-0.0,43.0,-0.052,-0.339,0.142,0.09
01-19,-0.0012863636363636272,2.6859272727272545,0.13430273240447232,-0.0,43.0,-0.054,-0.357,0.14,0.086
01-20,-0.0012452000000000001,2.6036,0.12898327153111389,-0.0,43.0,-0.052,-0.348,0.139,0.087
01-21,-0.001054818181818182,2.2228363636363637,0.21849203775867787,-0.0,43.0,-0.044,-0.302,0.135,0.091
01-22,-0.001029090909090909,2.1798718181818177,0.2014818747073932,-0.0,43.0,-0.043,-0.293,0.143,0.1
01-23,-0.0010754000000000002,2.2724900000000003,0.1606224662249316,-0.0,43.0,-0.045,-0.305,0.144,0.099
01-24,-0.0008843749999999945,1.8819499999999891,0.12700382840007407,-0.0,43.0,-0.037,-0.252,0.132,0.095
01-25,-0.0009433333333333493,1.9998666666666984,0.13152327058679436,-0.0,43.0,-0.04,-0.27,0.133,0.093
01-26,-0.0008719459459459459,1.8570918918918917,0.21274793537921877,-0.0,43.0,-0.037,-0.25,0.132,0.095
01-27,-0.0008490000000000145,1.8168600000000288,0.22465044356700736,-0.0,43.0,-0.036,-0.239,0.137,0.101
01-28,-0.0009622000000000001,2.04609,0.23279550680733352,-0.0,43.0,-0.041,-0.274,0.142,0.101
01-29,-0.0009456341463414654,2.0101282926829307,0.20151481523498815,-0.0,43.0,-0.04,-0.271,0.139,0.099
01-30,-0.0008489999999999901,1.8168599999999802,0.23262485570809455,-0.0,43.0,-0.036,-0.242,0.137,0.101
01-31,-0.0008216129032258066,1.764915806451613,0.22454884418352705,-0.0,43.0,-0.035,-0.232,0.139,0.104
02-01,-0.0007517187499999998,1.6251274999999994,0.12541406542258215,-0.0,43.0,-0.031,-0.207,0.137,0.106
02-02,-0.0008489999999999901,1.82393499999998,0.2451229192001425,-0.0,43.0,-0.036,-0.237,0.144,0.108
02-03,-0.0008085714285714284,1.7444928571428568,0.18844022803869231,-0.0,43.0,-0.034,-0.228,0.144,0.11
02-04,-0.0007718181818181728,1.6653263636363453,0.25766846303146895,-0.0,43.0,-0.033,-0.221,0.138,0.105
02-05,-0.0005895833333333338,1.3008566666666674,0.3309308097248538,-0.0,43.0,-0.025,-0.166,0.134,0.109
02-06,-0.0006530769230769229,1.4250138461538457,0.13270847455856694,-0.0,43.0,-0.028,-0.188,0.133,0.105
02-07,-0.0007075000000000003,1.5310300000000006,0.09592728116653504,-1.0,43.0,-0.03,-0.201,0.131,0.101
02-08,-0.000744736842105263,1.6026736842105258,0.10603796498269813,-0.0,43.0,-0.031,-0.205,0.129,0.098
02-09,-0.0006817727272727316,1.4852354545454631,,-0.0,43.0,-0.029,-0.184,0.136,0.107
02-10,-0.0005145454545454456,1.159270909090891,0.6005595001645372,-0.0,43.0,-0.022,-0.132,0.141,0.119
