,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.03891250000000013,-72.78760000000025,0.40228940137653235,0.0,43.0,1.635,0.259,4.22,5.855
01-02,0.05240740740740741,-100.00381481481482,0.2903584350155013,0.0,43.0,2.202,0.319,3.71,5.912
01-03,0.050535714285714316,-96.37362857142863,0.23689363313064682,0.0,43.0,2.122,0.371,3.637,5.759
01-04,0.07510384615384612,-145.28349230769223,0.09396676777862623,1.0,43.0,3.154,0.478,3.347,6.501
01-05,0.060953846153846136,-116.24769230769228,0.03669356624863407,2.0,43.0,2.56,0.362,4.38,6.94
01-06,0.06266428571428564,-120.48927142857129,0.0022469719591304838,3.0,43.0,2.632,0.376,3.523,6.155
01-07,0.05255714285714287,-100.44478571428574,0.0038059411749835625,3.0,43.0,2.207,0.364,3.566,5.773
01-08,0.04502272727272727,-86.36645454545454,0.07690276876479873,1.0,43.0,1.89,0.295,2.734,4.624
01-09,0.04042857142857148,-77.00834285714296,0.04475007038392387,2.0,43.0,1.698,0.296,3.0,4.698
01-10,0.05094000000000002,-97.91800000000005,0.018982115952211664,2.0,43.0,2.14,0.417,2.892,5.032
01-11,0.06530769230769229,-126.73828461538457,0.017979064745401452,2.0,43.0,2.743,0.52,2.506,5.249
01-12,0.15315294117647058,-302.34388235294114,0.0006909360261142528,3.0,43.0,6.432,1.033,0.746,7.178
01-13,0.13179714285714286,-259.4907857142857,0.0009737876992201855,3.0,43.0,5.535,0.767,1.336,6.871
01-14,0.08328285714285714,-162.8867142857143,0.00014550974252558468,3.0,43.0,3.498,0.484,1.93,5.428
01-15,0.05999600000000001,-115.74700000000001,0.00689669561310291,3.0,43.0,2.52,0.411,2.985,5.505
01-16,0.0739451612903226,-143.5604225806452,0.0024466910019711463,3.0,43.0,3.106,0.554,2.777,5.883
01-17,0.060642857142857144,-117.1822142857143,0.04017241303488284,2.0,43.0,2.547,0.498,2.83,5.377
01-18,0.05963214285714286,-115.30228571428572,0.027859129260605187,2.0,43.0,2.504,0.419,2.71,5.214
01-19,0.03918461538461539,-74.32233076923077,0.15157277155727056,0.0,43.0,1.646,0.191,3.224,4.87
01-20,0.03396000000000001,-64.21270000000003,0.173371721650732,0.0,43.0,1.426,0.184,2.994,4.42
01-21,0.016508333333333347,-29.337666666666696,0.5230904371097012,0.0,43.0,0.694,0.121,3.332,4.026
01-22,0.006658823529411763,-9.921647058823526,0.7935177141626202,0.0,43.0,0.28,0.058,3.256,3.536
01-23,0.01286363636363634,-22.33127272727268,0.5160481361463392,0.0,43.0,0.54,0.104,3.126,3.666
01-24,0.022909523809523793,-41.857047619047584,0.3905593391750497,0.0,43.0,0.962,0.143,3.481,4.443
01-25,0.026531250000000006,-49.10050000000002,0.408222946531301,0.0,43.0,1.114,0.148,3.405,4.519
01-26,0.03112999999999999,-58.86399999999998,0.24458770477235414,0.0,43.0,1.308,0.193,2.742,4.05
01-27,0.04306521739130433,-82.73443478260867,0.09801304191427684,1.0,43.0,1.808,0.316,2.492,4.3
01-28,0.03234285714285713,-61.51611428571426,0.10685336588176564,0.0,43.0,1.359,0.27,2.49,3.849
01-29,0.039471052631578955,-75.77250526315791,0.055270069811993006,1.0,43.0,1.657,0.393,2.341,3.998
01-30,0.03183749999999999,-60.56199999999998,0.04665990470737458,2.0,43.0,1.338,0.285,2.444,3.782
01-31,0.02180764705882353,-40.21929411764706,0.19772257991015518,0.0,43.0,0.916,0.179,2.938,3.854
02-01,0.016770370370370366,-30.059840740740732,0.38850068438333585,0.0,43.0,0.704,0.136,3.129,3.833
02-02,0.009433333333333257,-15.187666666666512,0.809732911908436,0.0,43.0,0.396,0.07,3.481,3.877
02-03,0.0002497058823529313,2.8965882352941374,0.9332374619649344,0.0,43.0,0.01,0.002,3.391,3.401
02-04,0.0,3.962,1.0,0.0,43.0,0.0,0.0,3.962,3.962
02-05,0.0,3.8205,1.0,0.0,43.0,0.0,0.0,3.82,3.82
02-06,0.00565999999999999,-7.357999999999979,0.7916596284511397,0.0,43.0,0.238,0.037,3.843,4.081
02-07,0.011791666666666681,-19.62133333333336,0.5426187466212715,0.0,43.0,0.496,0.08,3.714,4.21
02-08,0.031129999999999984,-58.58099999999997,0.09781366969691097,1.0,43.0,1.308,0.236,3.025,4.333
02-09,0.028300000000000065,-53.06250000000013,0.11742675538912972,0.0,43.0,1.189,0.238,2.943,4.132
02-10,0.031444444444444435,-59.40798888888887,0.22864638730626208,0.0,43.0,1.32,0.238,2.821,4.141
02-11,0.02830000000000001,-52.92100000000002,0.3147502504647939,0.0,43.0,1.188,0.223,3.085,4.273
02-12,0.028300000000000002,-52.92100000000001,0.3459505457349956,0.0,43.0,1.188,0.196,3.085,4.273
02-13,0.02830000000000001,-52.92100000000002,0.36241432711321675,0.0,43.0,1.188,0.218,3.085,4.273
02-14,0.028299999999999992,-53.062499999999986,0.3568972579876668,0.0,43.0,1.189,0.227,2.943,4.132
02-15,0.029530434782608687,-55.66486956521738,0.3250089485936365,0.0,43.0,1.24,0.175,2.776,4.016
02-16,0.051605882352941175,-99.24976470588236,0.014268609594999093,2.0,43.0,2.168,0.283,2.878,5.046
02-17,0.04328235294117649,-83.16870588235297,0.03763186578459754,2.0,43.0,1.818,0.269,2.487,4.305
02-18,0.03441891891891891,-65.27203783783783,0.2015312842634831,0.0,43.0,1.446,0.231,2.843,4.289
02-19,0.0036913043478260955,-3.137608695652191,0.883442302561537,0.0,43.0,0.156,0.023,4.167,4.323
02-20,-0.02075333333333333,46.03466666666665,0.5368199580958128,-0.0,43.0,-0.872,-0.111,4.964,4.092
02-21,-0.047166666666666655,98.86133333333332,0.309886148493947,-0.0,43.0,-1.981,-0.248,5.519,3.538
02-22,-0.04744411764705882,99.41623529411764,0.2245827144189343,-0.0,43.0,-1.992,-0.271,5.524,3.532
02-23,-0.06689090909090908,138.98901818181815,0.15751553041070743,-0.0,43.0,-2.81,-0.422,6.612,3.802
02-24,-0.04353846153846156,92.42562307692313,0.4385696647884352,-0.0,43.0,-1.829,-0.224,6.263,4.434
