,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0018602797202797198,4.36959916083916,0.7960899942388227,-0.0,41.0,-0.078,-0.06,0.688,0.61
01-02,-0.0020802465277777763,4.837612809027775,0.8165990478623069,-0.0,41.0,-0.088,-0.085,0.721,0.633
01-03,0.009304844827586208,-17.97778481034483,0.26126492454450645,0.0,41.0,0.39,0.336,0.437,0.827
01-04,0.0051293749999999985,-9.631020624999998,0.5292786184852569,0.0,41.0,0.215,0.123,0.52,0.735
01-05,0.0028704285714285698,-5.171986714285712,0.5352214852858261,0.0,41.0,0.12,0.076,0.509,0.629
01-06,0.002609919960474309,-4.594630000988144,0.3866567566863144,0.0,41.0,0.11,0.078,0.57,0.68
01-07,0.0026852429667519155,-4.767840690537079,0.5820214504999521,0.0,41.0,0.113,0.135,0.546,0.659
01-08,0.0023023229166666643,-4.036343510416662,0.6131622030754689,0.0,41.0,0.097,0.099,0.52,0.617
01-09,0.0034997666666666677,-6.486633566666669,0.3869962350351992,0.0,41.0,0.147,0.186,0.439,0.586
01-10,0.006123412499999999,-11.703001587499998,0.18874439991414915,0.0,41.0,0.257,0.395,0.415,0.672
01-11,0.0140152380952381,-27.44197095238096,0.08771471832342193,1.0,41.0,0.589,0.413,0.294,0.883
01-12,0.015329166666666668,-30.02040416666667,0.04798196859284598,2.0,41.0,0.644,0.357,0.316,0.96
01-13,0.013319719061166427,-26.031818403271686,4.2316569584199826e-05,3.0,41.0,0.559,0.422,0.328,0.887
01-14,0.009578771347248577,-18.596113923149904,0.0062070922523029814,3.0,41.0,0.403,0.349,0.36,0.763
01-15,0.007216500000000002,-13.831483500000004,,0.0,41.0,0.303,0.257,0.45,0.753
01-16,0.007176071428571429,-13.807266785714287,,0.0,41.0,0.302,0.278,0.394,0.696
01-17,0.009285095238095236,-17.99490538095238,0.00940562652742516,3.0,41.0,0.39,0.493,0.38,0.77
01-18,0.008107949999999996,-15.607832049999992,0.1850211775600119,0.0,41.0,0.34,0.377,0.438,0.778
01-19,0.006889028571428571,-13.145738114285715,0.12052754708614755,0.0,41.0,0.289,0.234,0.488,0.777
01-20,0.0035419684210526324,-6.344594873684212,0.5897716003469715,0.0,41.0,0.149,0.13,0.665,0.814
01-21,0.002948741258741259,-5.206843776223777,0.6694954517544436,0.0,41.0,0.124,0.136,0.629,0.753
01-22,0.005659999999999979,-10.58702999999996,0.3628743082906425,0.0,41.0,0.238,0.231,0.614,0.852
01-23,0.005939035560344825,-11.192932085129305,0.4337859223862539,0.0,41.0,0.25,0.168,0.56,0.81
01-24,0.0027555263157894765,-4.772497105263164,0.6776777344343947,0.0,41.0,0.115,0.063,0.681,0.796
01-25,-0.000865015934065934,2.380066852197802,0.9373162565827968,-0.0,41.0,-0.036,-0.031,0.668,0.632
01-26,-0.003807467105263157,8.34975674342105,0.6694562157763073,-0.0,41.0,-0.16,-0.18,0.815,0.655
01-27,-0.005220933823529414,11.101696713235297,0.44348425845185213,-0.0,41.0,-0.219,-0.167,0.769,0.55
01-28,-0.0017079882352941172,4.059508482352941,0.8485325317595347,-0.0,41.0,-0.071,-0.07,0.679,0.608
01-29,0.0,0.566,1.0,0.0,41.0,0.0,0.0,0.566,0.566
01-30,-0.002234538123167153,5.0441617082111385,0.6051061963421887,-0.0,41.0,-0.094,-0.126,0.622,0.528
01-31,-0.0018939230769230786,4.323652230769234,0.7577950419111128,-0.0,41.0,-0.08,-0.077,0.576,0.496
