,mean,slp,chg,pvalue
01-01,13.41,0.251,10.53,0.14
01-02,11.83,0.196,8.246,0.194
01-03,9.25,0.155,6.528,0.191
01-04,10.64,0.273,11.47,0.072
01-05,9.68,0.254,10.66,0.053
01-06,9.96,0.236,9.894,0.007
01-07,8.49,0.113,4.74,0.165
01-08,7.9,0.108,4.514,0.117
01-09,6.74,0.11,4.62,0.103
01-10,5.38,0.105,4.424,0.082
01-11,6.85,0.176,7.394,0.021
01-12,7.07,0.288,12.096,0.01
01-13,6.51,0.318,13.37,0.005
01-14,5.94,0.276,11.592,0.007
01-15,6.31,0.21,8.82,0.02
01-16,6.79,0.186,7.833,0.027
01-17,7.47,0.155,6.51,0.049
01-18,7.58,0.196,8.24,0.024
01-19,9.28,0.17,7.14,0.039
01-20,8.77,0.154,6.46,0.064
01-21,7.64,0.129,5.408,0.015
01-22,8.24,0.117,4.926,0.149
01-23,7.07,0.141,5.908,0.119
01-24,6.42,0.142,5.95,0.09
01-25,6.51,0.131,5.51,0.102
01-26,7.73,0.108,4.526,0.198
01-27,7.07,0.103,4.346,0.3
01-28,7.78,0.077,3.228,0.325
01-29,7.27,0.057,2.388,0.445
01-30,7.7,0.052,2.17,0.414
01-31,7.27,0.063,2.65,0.346
02-01,6.65,0.044,1.844,0.53
02-02,6.4,0.024,1.02,0.738
02-03,7.87,-0.03,-1.26,0.746
02-04,8.77,-0.058,-2.442,0.601
02-05,9.42,0.031,1.302,0.859
02-06,7.1,0.068,2.866,0.49
02-07,7.3,0.072,3.024,0.402
02-08,7.87,0.098,4.106,0.233
02-09,7.64,0.16,6.74,0.154
02-10,8.66,0.187,7.854,0.061
02-11,11.18,0.169,7.09,0.174
02-12,8.49,0.176,7.374,0.103
02-13,8.18,0.14,5.88,0.146
02-14,8.35,0.082,3.434,0.3
02-15,8.49,0.085,3.57,0.318
02-16,7.98,0.108,4.522,0.321
02-17,9.82,0.077,3.252,0.496
02-18,10.47,0.013,0.55,0.868
02-19,9.9,-0.026,-1.088,0.851
02-20,12.68,-0.057,-2.408,0.66
02-21,13.36,-0.147,-6.168,0.29
02-22,21.28,-0.415,-17.418,0.007
02-23,17.74,-0.613,-25.76,0.0
02-24,20.32,-0.57,-23.94,0.052
02-25,17.26,-0.192,-8.064,0.477
02-26,15.17,0.06,2.52,0.769
02-27,12.85,0.2,8.4,0.352
02-28,14.72,0.19,7.98,0.022
03-01,13.81,0.23,9.66,0.058
03-02,13.33,0.312,13.09,0.072
03-03,13.81,0.396,16.644,0.004
03-04,13.02,0.27,11.328,0.086
03-05,11.32,0.17,7.14,0.0
03-06,12.82,0.057,2.38,0.746
03-07,16.41,0.002,0.074,0.991
03-08,17.49,-0.076,-3.19,0.63
03-09,15.62,-0.048,-2.004,0.777
03-10,16.84,0.049,2.04,0.645
03-11,16.16,0.085,3.57,0.572
03-12,19.81,0.154,6.49,0.276
03-13,17.46,0.17,7.14,0.325
03-14,17.66,0.155,6.502,0.29
03-15,15.62,0.172,7.204,0.286
03-16,14.15,0.142,5.954,0.374
03-17,15.79,0.15,6.286,0.254
03-18,16.02,0.115,4.81,0.429
03-19,16.56,0.156,6.562,0.095
03-20,16.33,0.098,4.096,0.261
03-21,14.23,0.04,1.7,0.795
03-22,13.53,-0.055,-2.31,0.769
03-23,12.99,-0.097,-4.068,0.337
03-24,10.5,-0.068,-2.868,0.49
03-25,10.58,0.001,0.046,
03-26,10.33,0.028,1.155,
03-27,10.84,0.037,1.56,0.458
03-28,10.24,0.109,4.574,0.023
03-29,11.57,0.237,9.94,0.0
03-30,12.74,0.226,9.508,0.0
03-31,12.11,0.149,6.272,0.325
