,mean,slp,chg,pvalue
01-01,3.158,0.015,0.609,0.57
01-02,3.325,0.01,0.42,0.704
01-03,3.75,0.019,0.807,0.502
01-04,3.604,0.019,0.787,0.41
01-05,3.646,0.013,0.529,0.673
01-06,3.534,0.009,0.397,0.673
01-07,3.488,0.016,0.668,0.58
01-08,3.377,0.024,1.008,0.429
01-09,3.333,0.027,1.12,0.346
01-10,3.218,0.035,1.457,0.072
01-11,3.486,0.041,1.727,0.064
01-12,3.812,0.064,2.708,0.034
01-13,4.075,0.09,3.78,0.009
01-14,3.64,0.089,3.727,0.009
01-15,3.633,0.085,3.571,0.013
01-16,3.593,0.076,3.183,0.014
01-17,3.406,0.062,2.583,0.01
01-18,3.418,0.046,1.944,0.054
01-19,3.661,0.041,1.74,0.046
01-20,3.516,0.032,1.338,0.109
01-21,3.414,0.029,1.229,0.166
01-22,3.474,0.026,1.107,0.263
01-23,3.304,0.029,1.227,0.193
01-24,3.458,0.027,1.12,0.171
01-25,3.514,0.028,1.195,0.211
01-26,3.452,0.033,1.4,0.143
01-27,3.38,0.039,1.651,0.114
01-28,3.158,0.035,1.486,0.121
01-29,3.058,0.035,1.48,0.07
01-30,3.085,0.04,1.68,0.0
01-31,3.012,0.036,1.507,0.001
02-01,2.957,0.034,1.424,
02-02,2.921,0.032,1.348,
02-03,2.909,0.028,1.19,
02-04,2.92,0.029,1.213,0.004
02-05,2.822,0.032,1.365,0.039
02-06,2.862,0.033,1.365,0.044
02-07,2.681,0.033,1.38,0.001
02-08,2.633,0.037,1.54,0.001
02-09,2.564,0.038,1.575,0.0
02-10,2.518,0.036,1.522,0.0
02-11,2.436,0.032,1.342,0.001
02-12,2.43,0.032,1.333,0.007
02-13,2.582,0.023,0.949,0.012
02-14,2.505,0.019,0.81,0.225
02-15,2.53,0.019,0.787,0.166
02-16,2.486,0.021,0.887,0.056
02-17,2.465,0.021,0.862,0.073
02-18,2.37,0.019,0.813,0.269
02-19,2.873,0.016,0.682,0.386
02-20,3.143,0.016,0.682,0.398
02-21,3.036,0.022,0.903,0.404
02-22,2.971,0.021,0.879,0.392
02-23,2.995,0.02,0.84,0.416
02-24,3.418,0.016,0.66,0.566
02-25,3.511,0.013,0.532,0.697
02-26,3.351,0.022,0.934,0.385
02-27,3.392,0.025,1.049,0.299
02-28,3.13,0.021,0.891,0.379
03-01,3.151,0.032,1.35,0.213
03-02,3.135,0.02,0.84,0.474
03-03,3.206,0.022,0.904,0.442
03-04,3.397,0.013,0.56,0.544
03-05,3.325,0.01,0.404,0.645
03-06,3.239,0.009,0.366,0.694
03-07,3.475,0.01,0.434,0.672
03-08,3.38,0.02,0.852,0.537
03-09,3.922,0.023,0.985,0.583
03-10,4.328,0.027,1.147,0.52
03-11,4.582,0.044,1.838,0.324
03-12,4.869,0.068,2.862,0.193
03-13,4.848,0.067,2.825,0.172
03-14,4.668,0.066,2.772,0.115
03-15,4.943,0.077,3.22,0.072
03-16,4.907,0.073,3.08,0.065
03-17,5.028,0.054,2.287,0.122
03-18,5.205,0.049,2.058,0.188
03-19,5.488,0.035,1.457,0.365
03-20,5.605,0.021,0.87,0.696
03-21,5.62,0.021,0.865,0.778
03-22,5.624,-0.001,-0.06,0.991
03-23,5.184,-0.013,-0.535,0.665
03-24,5.156,-0.067,-2.809,0.04
03-25,5.398,-0.084,-3.535,0.169
03-26,5.93,-0.099,-4.151,0.129
03-27,6.177,-0.106,-4.46,0.114
03-28,6.14,-0.1,-4.2,0.104
03-29,6.576,-0.067,-2.814,0.178
03-30,7.047,-0.086,-3.604,0.192
03-31,7.321,-0.139,-5.818,0.035
04-01,8.197,-0.106,-4.472,0.106
04-02,8.184,-0.081,-3.411,0.186
04-03,8.207,-0.047,-1.96,0.392
04-04,7.918,-0.023,-0.955,0.566
04-05,7.62,-0.041,-1.737,0.566
04-06,7.443,-0.043,-1.816,0.429
04-07,7.188,-0.034,-1.447,0.573
04-08,7.007,-0.025,-1.06,0.713
04-09,7.373,-0.004,-0.168,0.94
04-10,6.652,0.002,0.097,0.974
04-11,6.734,0.018,0.738,0.701
04-12,6.719,0.018,0.764,0.59
04-13,6.752,0.014,0.58,0.795
04-14,6.436,0.022,0.914,0.633
04-15,6.201,0.012,0.504,0.786
04-16,6.086,0.001,0.06,0.982
04-17,5.924,-0.012,-0.518,0.753
04-18,5.524,-0.012,-0.498,0.745
04-19,5.033,-0.004,-0.182,0.862
04-20,4.933,0.006,0.254,0.871
04-21,5.011,0.022,0.924,0.551
04-22,4.861,0.043,1.8,0.293
04-23,4.921,0.041,1.742,0.264
04-24,4.498,0.036,1.508,0.229
04-25,4.42,0.03,1.272,0.274
04-26,4.848,0.045,1.89,0.116
04-27,4.438,0.056,2.356,0.07
04-28,4.07,0.051,2.151,0.079
04-29,3.855,0.04,1.68,0.124
04-30,3.447,0.034,1.422,0.149
05-01,3.512,0.035,1.489,0.091
05-02,3.342,0.043,1.809,0.026
05-03,3.361,0.052,2.164,0.017
05-04,3.189,0.047,1.971,0.008
05-05,3.033,0.046,1.918,0.004
05-06,2.899,0.038,1.59,0.018
05-07,2.739,0.028,1.194,0.033
05-08,2.728,0.026,1.092,0.056
05-09,2.83,0.029,1.209,0.062
05-10,2.81,0.03,1.26,0.051
05-11,2.948,0.026,1.111,0.109
05-12,2.86,0.021,0.879,0.129
05-13,2.728,0.025,1.05,0.079
05-14,2.981,0.033,1.38,0.049
05-15,3.212,0.053,2.236,0.011
05-16,3.191,0.052,2.194,0.001
05-17,3.008,0.046,1.932,0.0
05-18,2.858,0.036,1.5,0.029
05-19,2.794,0.028,1.184,0.088
05-20,2.701,0.021,0.882,0.22
05-21,2.812,0.014,0.592,0.463
05-22,2.688,0.015,0.611,0.392
05-23,2.4,0.01,0.434,0.448
05-24,2.364,0.007,0.315,0.626
05-25,2.364,0.009,0.364,0.474
05-26,2.209,0.008,0.33,0.61
05-27,2.271,0.002,0.084,0.914
05-28,2.206,0.001,0.043,0.862
05-29,2.112,0.004,0.168,0.778
05-30,2.016,0.003,0.108,0.862
05-31,2.235,0.0,0.0,0.983
06-01,2.167,-0.006,-0.258,0.696
06-02,2.126,-0.007,-0.301,0.551
06-03,2.133,-0.003,-0.135,0.739
06-04,2.105,0.0,0.0,0.957
06-05,1.903,0.007,0.294,0.225
06-06,1.785,0.01,0.441,0.169
06-07,1.75,0.01,0.436,0.04
06-08,1.708,0.008,0.323,0.268
06-09,1.623,0.005,0.224,0.355
06-10,1.627,0.005,0.21,0.415
06-11,1.594,0.008,0.336,0.404
06-12,1.685,0.01,0.402,0.38
06-13,1.707,0.013,0.555,0.172
06-14,1.693,0.015,0.63,0.102
06-15,1.642,0.014,0.595,0.143
06-16,1.551,0.011,0.48,0.209
06-17,1.46,0.01,0.42,0.278
06-18,1.424,0.009,0.373,0.274
06-19,1.383,0.006,0.236,0.429
06-20,1.291,0.002,0.084,0.711
06-21,1.249,-0.001,-0.06,0.862
06-22,1.362,-0.006,-0.246,0.468
06-23,1.386,-0.007,-0.297,0.463
06-24,1.36,0.002,0.075,0.875
06-25,1.341,0.002,0.076,0.879
06-26,1.281,0.002,0.084,0.741
06-27,1.301,0.004,0.165,0.618
06-28,1.228,0.006,0.258,0.288
06-29,1.207,0.003,0.14,0.509
06-30,1.37,-0.001,-0.053,0.811
07-01,1.4,0.001,0.028,0.905
07-02,1.346,0.001,0.047,0.871
07-03,1.271,0.002,0.07,0.753
07-04,1.226,0.002,0.07,0.712
07-05,1.16,-0.001,-0.033,0.888
07-06,1.124,-0.003,-0.113,0.544
07-07,1.098,-0.004,-0.18,0.386
07-08,1.084,-0.003,-0.143,0.231
07-09,1.074,-0.003,-0.112,0.515
07-10,1.064,-0.002,-0.084,0.407
07-11,1.034,-0.002,-0.099,0.134
07-12,0.994,-0.001,-0.039,0.762
07-13,0.97,0.001,0.03,0.802
07-14,0.93,0.0,0.0,0.983
07-15,0.934,-0.001,-0.06,0.616
07-16,0.895,-0.001,-0.039,0.854
07-17,0.875,-0.001,-0.026,0.854
07-18,0.864,-0.001,-0.053,0.745
07-19,0.864,-0.001,-0.051,0.812
07-20,0.854,-0.001,-0.033,0.834
07-21,0.91,-0.001,-0.053,0.595
07-22,0.85,-0.002,-0.075,0.724
07-23,0.86,-0.001,-0.026,0.789
07-24,0.829,-0.002,-0.072,0.571
07-25,0.809,-0.002,-0.082,0.515
07-26,0.814,-0.001,-0.047,0.657
07-27,0.82,0.0,0.0,0.948
07-28,0.826,0.002,0.07,0.704
07-29,0.801,0.003,0.108,0.617
07-30,0.815,0.001,0.026,0.902
07-31,0.766,0.001,0.048,0.854
08-01,0.811,0.001,0.054,0.704
08-02,0.821,0.002,0.1,0.595
08-03,0.817,0.004,0.148,0.529
08-04,0.893,0.005,0.23,0.38
08-05,0.827,0.004,0.15,0.323
08-06,0.83,0.001,0.039,0.896
08-07,0.778,-0.003,-0.146,0.362
08-08,0.752,-0.004,-0.173,0.293
08-09,0.718,-0.004,-0.18,0.204
08-10,0.744,-0.003,-0.123,0.345
08-11,0.798,-0.003,-0.105,0.317
08-12,0.79,-0.001,-0.057,0.603
08-13,0.784,-0.002,-0.067,0.601
08-14,0.769,-0.003,-0.126,0.218
08-15,0.723,-0.004,-0.156,
08-16,0.724,-0.002,-0.099,0.467
08-17,0.75,-0.0,-0.02,0.92
08-18,0.74,0.001,0.039,0.762
08-19,0.8,0.001,0.043,0.803
08-20,0.772,0.003,0.14,0.303
08-21,0.768,0.005,0.191,0.246
08-22,0.752,0.005,0.197,0.188
08-23,0.751,0.002,0.076,0.623
08-24,0.705,0.0,0.0,0.968
08-25,0.695,0.0,0.0,0.939
08-26,0.71,0.001,0.03,0.82
08-27,0.72,0.001,0.053,0.696
08-28,0.74,-0.001,-0.051,0.625
08-29,0.729,-0.002,-0.09,0.694
08-30,0.768,-0.003,-0.135,0.528
08-31,0.806,-0.007,-0.295,0.223
09-01,0.742,-0.006,-0.254,0.017
09-02,0.742,-0.006,-0.236,0.159
09-03,0.762,-0.005,-0.21,0.155
09-04,0.772,-0.006,-0.252,0.23
09-05,0.724,-0.003,-0.127,0.511
09-06,0.694,-0.002,-0.082,0.374
09-07,0.744,-0.001,-0.06,0.657
09-08,0.791,0.002,0.084,0.68
09-09,0.771,0.002,0.07,0.747
09-10,0.79,-0.001,-0.03,0.816
09-11,0.799,-0.002,-0.084,0.573
09-12,0.764,-0.001,-0.062,0.719
09-13,0.758,-0.003,-0.105,0.61
09-14,0.784,-0.002,-0.084,0.696
09-15,0.833,-0.004,-0.158,0.41
09-16,0.897,-0.005,-0.21,0.351
09-17,0.846,-0.008,-0.33,0.111
09-18,0.886,-0.009,-0.367,0.189
09-19,0.846,-0.008,-0.315,0.165
09-20,0.802,-0.006,-0.256,0.246
09-21,0.822,-0.005,-0.229,0.293
09-22,0.887,-0.007,-0.28,0.288
09-23,0.972,-0.006,-0.26,0.362
09-24,0.947,-0.005,-0.23,0.441
09-25,0.933,-0.006,-0.247,0.363
09-26,1.012,-0.006,-0.252,0.448
09-27,1.011,-0.008,-0.342,0.288
09-28,1.016,-0.009,-0.387,0.156
09-29,1.012,-0.007,-0.28,0.442
09-30,1.027,-0.006,-0.248,0.461
10-01,1.044,-0.003,-0.109,0.761
10-02,1.104,-0.001,-0.047,0.905
10-03,1.084,-0.001,-0.039,0.931
10-04,1.228,-0.003,-0.14,0.657
10-05,1.094,-0.002,-0.097,0.745
10-06,1.114,-0.003,-0.105,0.61
10-07,1.188,-0.004,-0.162,0.61
10-08,1.202,-0.008,-0.325,0.392
10-09,1.164,-0.012,-0.504,0.175
10-10,1.217,-0.016,-0.682,0.099
10-11,1.212,-0.017,-0.735,0.067
10-12,1.152,-0.016,-0.68,0.051
10-13,1.142,-0.017,-0.709,0.055
10-14,1.203,-0.014,-0.578,0.083
10-15,1.18,-0.01,-0.438,0.274
10-16,1.224,-0.013,-0.553,0.175
10-17,1.251,-0.01,-0.405,0.297
10-18,1.276,-0.007,-0.305,0.48
10-19,1.232,-0.007,-0.305,0.425
10-20,1.276,-0.007,-0.289,0.439
10-21,1.312,-0.008,-0.319,0.321
10-22,1.45,-0.009,-0.381,0.481
10-23,1.435,-0.01,-0.42,0.319
10-24,1.47,-0.009,-0.367,0.374
10-25,1.56,-0.009,-0.367,0.435
10-26,1.608,-0.014,-0.598,0.329
10-27,1.604,-0.013,-0.535,0.357
10-28,1.652,-0.005,-0.226,0.588
10-29,1.84,0.0,0.0,1.0
10-30,1.96,-0.001,-0.022,0.948
10-31,2.01,0.011,0.455,0.508
11-01,2.213,0.025,1.05,0.153
11-02,2.365,0.03,1.26,0.072
11-03,2.599,0.028,1.176,0.104
11-04,2.512,0.023,0.98,0.217
11-05,2.56,0.011,0.445,0.551
11-06,2.643,0.005,0.226,0.697
11-07,2.489,0.007,0.302,0.271
11-08,2.56,0.009,0.373,0.63
11-09,2.487,0.004,0.162,0.897
11-10,2.455,-0.0,-0.018,0.992
11-11,2.328,-0.003,-0.131,0.931
11-12,2.247,-0.006,-0.26,0.778
11-13,2.652,-0.007,-0.309,0.593
11-14,2.682,-0.006,-0.262,0.645
11-15,2.646,-0.006,-0.267,0.374
11-16,2.622,-0.007,-0.315,0.468
11-17,2.67,-0.01,-0.406,
11-18,2.724,-0.001,-0.033,
11-19,2.626,0.003,0.145,
11-20,2.669,-0.002,-0.078,0.95
11-21,2.67,-0.011,-0.442,0.508
11-22,3.104,-0.02,-0.857,0.423
11-23,3.078,-0.025,-1.061,0.343
11-24,2.838,-0.025,-1.033,0.38
11-25,2.936,-0.018,-0.746,0.521
11-26,2.894,-0.011,-0.443,0.76
11-27,3.098,-0.004,-0.164,0.902
11-28,3.326,0.002,0.084,0.957
11-29,3.822,-0.006,-0.252,0.808
11-30,3.684,-0.012,-0.49,0.762
12-01,3.87,-0.011,-0.465,0.729
12-02,3.841,0.002,0.078,0.956
12-03,4.025,0.021,0.868,0.41
12-04,4.095,0.01,0.435,0.704
12-05,3.776,0.011,0.478,0.696
12-06,3.421,0.012,0.504,0.537
12-07,3.305,0.0,0.0,1.0
12-08,3.186,-0.007,-0.273,0.77
12-09,2.943,-0.004,-0.172,0.753
12-10,3.124,-0.002,-0.084,0.914
12-11,2.996,0.0,0.021,0.983
12-12,3.076,0.002,0.07,0.965
12-13,3.05,-0.011,-0.473,0.61
12-14,3.071,-0.008,-0.326,0.762
12-15,3.128,0.005,0.191,0.801
12-16,3.286,0.011,0.471,0.6
