,mean,slp,chg,pvalue
0,1.278,0.002,0.07,0.744
1,1.354,0.001,0.049,0.839
2,1.392,-0.001,-0.05,0.812
3,1.415,-0.003,-0.14,0.703
4,1.407,-0.002,-0.066,0.812
5,1.446,-0.001,-0.029,0.946
6,1.443,-0.002,-0.078,0.827
7,1.43,0.0,0.0,0.947
8,1.43,-0.0,-0.019,0.974
9,1.623,-0.009,-0.368,0.429
10,1.595,-0.01,-0.406,0.333
11,1.694,-0.006,-0.247,0.479
12,1.932,-0.005,-0.207,0.713
13,2.073,-0.012,-0.489,0.421
14,1.981,-0.02,-0.859,0.264
15,2.06,-0.013,-0.552,0.531
16,2.384,-0.006,-0.254,0.518
17,2.258,-0.002,-0.067,0.892
18,2.189,0.011,0.444,0.586
19,2.164,0.011,0.463,0.47
20,2.126,0.006,0.26,0.643
21,2.096,0.003,0.137,0.881
22,2.103,0.001,0.054,0.957
23,2.14,-0.003,-0.146,0.892
24,2.178,-0.008,-0.353,0.683
25,2.412,-0.009,-0.359,0.614
26,2.304,-0.009,-0.386,0.558
27,2.292,-0.008,-0.325,0.605
28,2.462,-0.012,-0.489,0.614
29,2.449,-0.01,-0.404,0.673
30,2.396,-0.017,-0.726,0.531
31,2.564,-0.026,-1.109,0.27
32,2.415,-0.023,-0.98,0.327
33,2.384,-0.02,-0.829,0.313
34,2.28,-0.01,-0.42,0.495
35,2.454,-0.009,-0.397,0.713
36,2.576,-0.007,-0.304,0.838
37,2.352,-0.002,-0.063,0.859
38,2.404,-0.012,-0.517,0.673
39,2.52,-0.003,-0.14,0.827
40,2.533,-0.005,-0.222,0.902
41,2.685,-0.007,-0.28,0.817
42,2.72,-0.013,-0.547,0.633
43,2.732,-0.029,-1.199,0.218
44,2.726,-0.02,-0.853,0.272
45,2.753,-0.039,-1.624,0.056
46,3.292,-0.028,-1.168,0.011
47,2.862,-0.028,-1.189,0.002
48,2.693,-0.025,-1.062,0.001
49,2.748,-0.022,-0.928,0.0
50,2.861,-0.031,-1.286,0.009
51,2.79,-0.037,-1.536,0.247
52,3.735,-0.057,-2.382,0.134
53,4.004,-0.066,-2.751,0.099
54,4.137,-0.051,-2.154,0.044
55,3.888,-0.042,-1.779,0.058
56,3.615,-0.033,-1.402,0.191
57,3.568,-0.028,-1.185,0.131
58,3.444,-0.033,-1.391,0.247
59,3.542,-0.038,-1.594,0.117
60,3.686,-0.024,-1.016,0.182
61,3.569,-0.019,-0.81,0.259
62,3.515,-0.03,-1.27,0.033
63,3.509,-0.039,-1.65,0.068
64,3.58,-0.057,-2.391,0.081
65,3.465,-0.053,-2.23,0.091
66,3.383,-0.045,-1.894,0.137
67,3.636,-0.044,-1.863,0.19
68,3.472,-0.041,-1.723,0.236
69,3.448,-0.046,-1.919,0.307
70,3.609,-0.039,-1.657,0.282
71,3.804,-0.042,-1.78,0.247
72,3.824,-0.039,-1.637,0.383
73,3.902,-0.034,-1.447,0.479
74,3.898,-0.012,-0.491,0.817
75,3.766,-0.011,-0.463,0.601
76,3.692,-0.008,-0.317,0.696
77,3.644,-0.006,-0.273,0.734
78,3.603,-0.005,-0.228,0.935
79,3.842,0.005,0.224,0.913
80,3.904,0.001,0.033,1.0
81,3.909,-0.012,-0.524,0.625
82,3.848,-0.009,-0.377,0.731
83,3.724,-0.003,-0.129,0.861
84,3.79,-0.01,-0.414,0.796
85,3.783,-0.012,-0.506,0.636
86,3.641,-0.011,-0.467,0.632
87,3.712,-0.005,-0.205,0.784
88,3.86,0.003,0.144,0.813
89,3.697,-0.001,-0.062,0.946
90,3.738,-0.002,-0.092,0.913
91,3.54,-0.0,-0.007,0.989
92,3.535,0.0,0.0,1.0
93,3.43,-0.004,-0.149,0.935
94,3.274,0.007,0.293,0.902
95,3.331,0.006,0.248,0.785
96,3.271,0.016,0.682,0.673
97,3.275,0.023,0.978,0.398
98,3.296,0.019,0.808,0.462
99,3.257,0.015,0.638,0.237
100,3.247,0.015,0.629,0.433
101,3.2,0.01,0.437,0.673
102,3.114,0.01,0.431,0.559
103,3.036,0.006,0.271,0.754
104,3.08,0.004,0.157,0.859
105,3.071,-0.001,-0.022,0.957
106,3.036,-0.004,-0.155,0.838
107,3.045,-0.003,-0.144,0.806
108,3.007,-0.005,-0.2,0.902
109,2.942,-0.002,-0.065,0.87
110,2.868,-0.006,-0.236,0.723
111,2.774,-0.002,-0.091,0.754
112,2.754,-0.007,-0.275,0.667
113,2.744,-0.005,-0.229,0.838
114,2.698,-0.006,-0.237,0.827
115,2.601,-0.007,-0.289,0.723
116,2.618,-0.009,-0.362,0.614
117,2.736,-0.011,-0.465,0.54
118,2.735,-0.01,-0.42,0.586
119,2.698,-0.012,-0.498,0.47
120,2.776,-0.014,-0.607,0.406
121,2.931,-0.014,-0.579,0.383
122,2.879,-0.013,-0.534,0.522
123,2.796,-0.007,-0.3,0.754
124,2.758,-0.006,-0.239,0.849
125,2.72,-0.003,-0.136,0.946
126,2.642,-0.001,-0.05,0.957
127,2.55,-0.0,-0.013,0.967
128,2.482,-0.001,-0.039,0.924
129,2.464,0.001,0.032,0.935
130,2.386,-0.001,-0.028,0.946
131,2.384,-0.003,-0.117,0.723
132,2.315,-0.003,-0.138,0.775
133,2.244,-0.003,-0.112,0.859
134,2.188,-0.002,-0.09,0.924
135,2.212,-0.001,-0.058,0.924
136,2.207,-0.002,-0.066,0.946
137,2.144,-0.006,-0.246,0.764
138,2.148,-0.006,-0.237,0.785
139,2.164,-0.003,-0.125,0.775
140,2.087,-0.005,-0.196,0.744
141,2.058,-0.005,-0.218,0.673
142,2.105,-0.007,-0.282,0.479
143,2.078,-0.005,-0.209,0.733
144,1.974,-0.005,-0.225,0.595
145,1.945,-0.007,-0.282,0.479
146,1.904,-0.006,-0.235,0.406
147,1.9,-0.01,-0.413,0.391
148,1.848,-0.009,-0.381,0.354
149,1.818,-0.009,-0.374,0.369
150,1.784,-0.01,-0.407,0.294
151,1.738,-0.009,-0.37,0.282
152,1.737,-0.008,-0.328,0.333
153,1.72,-0.007,-0.28,0.445
154,1.704,-0.006,-0.261,0.487
155,1.681,-0.007,-0.306,0.361
156,1.709,-0.009,-0.392,0.294
157,1.757,-0.011,-0.476,0.165
158,1.742,-0.008,-0.344,0.258
159,1.696,-0.007,-0.31,0.361
160,1.636,-0.007,-0.295,0.383
161,1.61,-0.007,-0.28,0.326
162,1.578,-0.006,-0.239,0.3
163,1.58,-0.006,-0.263,0.368
164,1.59,-0.007,-0.277,0.27
165,1.572,-0.008,-0.315,0.132
166,1.54,-0.006,-0.272,0.195
167,1.507,-0.005,-0.211,0.234
168,1.473,-0.005,-0.215,0.354
169,1.453,-0.005,-0.214,0.307
170,1.438,-0.005,-0.222,0.34
171,1.413,-0.006,-0.236,0.215
172,1.398,-0.006,-0.237,0.172
173,1.403,-0.005,-0.21,0.093
174,1.372,-0.005,-0.203,
175,1.366,-0.004,-0.18,
176,1.336,-0.004,-0.155,0.001
177,1.316,-0.004,-0.168,
178,1.306,-0.004,-0.187,
179,1.298,-0.005,-0.218,
180,1.277,-0.005,-0.206,
181,1.276,-0.004,-0.18,
182,1.261,-0.004,-0.172,
183,1.256,-0.004,-0.168,
184,1.257,-0.005,-0.192,
185,1.256,-0.005,-0.191,
186,1.236,-0.004,-0.18,
187,1.216,-0.004,-0.175,
188,1.196,-0.004,-0.177,0.002
189,1.196,-0.004,-0.18,0.021
190,1.181,-0.004,-0.162,0.0
191,1.181,-0.004,-0.164,
192,1.174,-0.003,-0.122,
193,1.164,-0.002,-0.103,
194,1.164,-0.003,-0.108,0.0
195,1.14,-0.003,-0.14,0.021
196,1.14,-0.003,-0.142,
197,1.136,-0.004,-0.159,0.0
198,1.136,-0.004,-0.176,
199,1.136,-0.003,-0.145,0.001
200,1.13,-0.003,-0.132,0.007
201,1.13,-0.003,-0.14,0.003
202,1.12,-0.003,-0.125,
203,1.104,-0.003,-0.11,
204,1.104,-0.003,-0.122,
205,1.104,-0.003,-0.116,0.033
206,1.104,-0.003,-0.107,0.061
207,1.094,-0.002,-0.101,0.076
208,1.094,-0.002,-0.103,0.07
209,1.068,-0.002,-0.105,0.0
210,1.064,-0.003,-0.105,0.0
211,1.059,-0.003,-0.112,0.0
212,1.054,-0.003,-0.112,0.0
213,1.054,-0.003,-0.109,0.001
214,1.054,-0.003,-0.114,0.0
215,1.054,-0.003,-0.112,0.0
216,1.054,-0.003,-0.11,0.019
217,1.054,-0.003,-0.105,0.023
218,1.053,-0.002,-0.088,0.071
219,1.053,-0.002,-0.09,0.004
220,1.054,-0.003,-0.105,0.0
221,1.063,-0.002,-0.072,0.043
222,1.058,-0.002,-0.086,0.05
223,1.047,-0.002,-0.079,
224,1.053,-0.002,-0.078,0.028
225,1.048,-0.002,-0.09,0.132
226,1.038,-0.002,-0.08,0.255
227,1.043,-0.002,-0.094,0.001
228,1.038,-0.002,-0.105,0.0
229,1.038,-0.002,-0.101,0.018
230,1.028,-0.002,-0.088,0.0
231,1.028,-0.002,-0.094,0.0
232,1.028,-0.002,-0.084,0.001
233,1.044,-0.002,-0.097,0.0
234,1.048,-0.002,-0.093,0.144
235,1.043,-0.002,-0.072,0.0
236,1.038,-0.002,-0.086,0.0
237,1.027,-0.002,-0.067,0.126
238,1.023,-0.002,-0.076,0.069
239,1.022,-0.002,-0.075,0.115
240,1.028,-0.002,-0.088,0.0
241,1.023,-0.002,-0.084,0.014
242,1.023,-0.002,-0.082,0.039
243,1.023,-0.002,-0.084,0.034
244,1.023,-0.002,-0.095,0.0
245,1.022,-0.002,-0.077,0.025
246,1.022,-0.002,-0.073,0.062
247,1.023,-0.002,-0.082,0.061
248,1.023,-0.002,-0.078,0.163
249,1.024,-0.002,-0.093,0.12
250,1.023,-0.002,-0.076,0.07
251,1.022,-0.002,-0.065,0.06
252,1.023,-0.002,-0.088,0.066
253,1.017,-0.002,-0.07,0.066
254,1.002,-0.002,-0.071,0.076
255,1.003,-0.002,-0.084,0.087
256,1.003,-0.002,-0.08,0.055
257,1.002,-0.002,-0.067,0.0
258,1.002,-0.002,-0.073,
259,1.002,-0.002,-0.071,0.0
260,1.022,-0.001,-0.052,0.0
261,1.022,-0.001,-0.047,
262,1.022,-0.001,-0.061,
263,1.022,-0.001,-0.047,0.154
264,1.022,-0.001,-0.045,0.155
265,1.022,-0.001,-0.047,0.127
266,1.022,-0.002,-0.069,0.166
267,1.022,-0.001,-0.052,0.243
268,1.022,-0.002,-0.063,0.043
269,1.023,-0.002,-0.084,0.12
270,1.023,-0.002,-0.074,0.129
271,1.022,-0.001,-0.037,0.312
272,1.022,-0.001,-0.047,0.198
273,1.022,-0.001,-0.043,0.162
274,1.022,-0.001,-0.056,0.137
275,1.022,-0.002,-0.064,0.238
276,1.038,-0.002,-0.067,0.32
277,1.032,-0.002,-0.065,0.159
278,1.027,-0.002,-0.067,0.001
279,1.022,-0.001,-0.06,0.176
280,1.032,-0.001,-0.06,0.101
281,1.022,-0.001,-0.052,0.322
282,1.022,-0.001,-0.057,0.351
283,1.028,-0.002,-0.097,0.192
284,1.034,-0.003,-0.113,0.07
285,1.054,-0.003,-0.112,0.111
286,1.053,-0.002,-0.084,
287,1.052,-0.002,-0.064,0.053
288,1.052,-0.001,-0.054,
289,1.062,-0.002,-0.065,0.211
290,1.042,-0.002,-0.071,0.07
291,1.052,-0.002,-0.071,0.262
292,1.042,-0.001,-0.052,0.305
293,1.052,-0.001,-0.06,0.243
294,1.057,-0.002,-0.07,0.253
295,1.043,-0.002,-0.082,0.315
296,1.052,-0.002,-0.065,0.268
297,1.052,-0.002,-0.071,0.244
298,1.092,-0.002,-0.077,0.214
299,1.104,-0.002,-0.101,
300,1.094,-0.002,-0.105,0.0
301,1.068,-0.002,-0.097,0.085
302,1.064,-0.003,-0.112,0.011
303,1.068,-0.002,-0.089,0.056
304,1.104,-0.002,-0.095,0.146
305,1.064,-0.003,-0.123,0.017
306,1.091,-0.004,-0.182,0.0
307,1.102,-0.005,-0.19,0.002
308,1.106,-0.004,-0.166,0.009
309,1.108,-0.005,-0.225,0.007
310,1.108,-0.005,-0.211,0.01
311,1.102,-0.004,-0.175,0.008
312,1.11,-0.006,-0.261,0.001
313,1.11,-0.007,-0.276,0.002
314,1.109,-0.006,-0.252,0.0
315,1.109,-0.006,-0.24,0.0
316,1.109,-0.006,-0.252,0.012
317,1.124,-0.006,-0.254,0.051
318,1.107,-0.005,-0.206,0.076
319,1.108,-0.005,-0.211,0.008
320,1.134,-0.006,-0.248,0.001
321,1.14,-0.004,-0.157,0.141
322,1.125,-0.004,-0.15,0.109
323,1.135,-0.003,-0.142,
324,1.14,-0.006,-0.261,0.009
325,1.17,-0.007,-0.291,0.094
326,1.139,-0.006,-0.254,0.036
327,1.162,-0.005,-0.219,0.052
328,1.173,-0.009,-0.364,0.035
329,1.172,-0.008,-0.344,0.03
330,1.19,-0.01,-0.42,0.002
331,1.195,-0.01,-0.409,0.003
332,1.172,-0.009,-0.359,0.021
333,1.208,-0.012,-0.485,0.002
334,1.22,-0.01,-0.42,0.0
335,1.264,-0.013,-0.532,0.0
336,1.256,-0.011,-0.445,0.012
337,1.249,-0.009,-0.39,0.032
338,1.264,-0.01,-0.401,0.018
339,1.264,-0.009,-0.38,0.025
340,1.265,-0.01,-0.433,0.015
341,1.268,-0.009,-0.368,0.023
342,1.362,-0.011,-0.47,0.045
343,1.315,-0.01,-0.42,0.053
344,1.314,-0.01,-0.402,0.045
345,1.289,-0.006,-0.26,0.096
346,1.297,-0.005,-0.213,0.283
347,1.244,-0.006,-0.231,0.168
348,1.267,-0.008,-0.336,0.059
349,1.318,-0.006,-0.235,0.22
350,1.274,-0.006,-0.25,0.293
351,1.265,-0.003,-0.146,0.488
352,1.252,-0.002,-0.077,0.742
353,1.265,0.003,0.127,0.595
354,1.297,0.005,0.215,0.391
355,1.247,0.002,0.095,0.383
356,1.288,0.002,0.069,0.604
357,1.286,0.003,0.125,0.567
358,1.268,0.001,0.054,0.723
359,1.252,-0.001,-0.045,0.764
360,1.255,0.0,0.0,0.967
361,1.253,0.001,0.035,0.849
362,1.308,0.005,0.219,0.292
363,1.337,0.005,0.226,0.322
364,1.305,0.003,0.14,0.567
