,mean,slp,chg,pvalue
01-01,6.65,0.094,3.955,0.161
01-02,6.03,0.089,3.724,0.152
01-03,5.69,0.077,3.252,0.155
01-04,5.72,0.08,3.36,0.198
01-05,5.66,0.089,3.736,0.164
01-06,5.18,0.099,4.162,0.029
01-07,5.58,0.085,3.57,0.029
01-08,5.09,0.076,3.204,0.084
01-09,4.9,0.082,3.465,0.088
01-10,5.01,0.103,4.314,0.005
01-11,4.53,0.098,4.112,0.021
01-12,4.53,0.229,9.618,0.0
01-13,4.53,0.198,8.328,0.0
01-14,4.81,0.133,5.584,0.0
01-15,4.81,0.106,4.432,0.042
01-16,5.09,0.127,5.316,0.027
01-17,3.96,0.118,4.94,0.014
01-18,5.12,0.113,4.746,0.022
01-19,4.84,0.108,4.544,0.017
01-20,4.87,0.085,3.57,0.07
01-21,4.24,0.047,1.984,0.141
01-22,4.24,0.031,1.3,0.496
01-23,4.53,0.041,1.722,0.315
01-24,4.841,0.048,1.995,0.263
01-25,5.12,0.078,3.272,0.161
01-26,4.84,0.07,2.952,0.167
01-27,4.92,0.069,2.908,0.105
01-28,4.24,0.066,2.774,0.094
01-29,4.24,0.056,2.352,0.101
01-30,4.24,0.051,2.152,0.123
01-31,4.3,0.044,1.842,0.123
02-01,4.3,0.026,1.098,0.35
02-02,4.13,0.016,0.668,0.394
02-03,4.16,0.028,1.176,0.512
02-04,4.67,0.052,2.205,0.32
02-05,5.04,0.038,1.604,0.451
02-06,4.36,0.041,1.706,0.42
02-07,3.62,0.044,1.866,0.201
02-08,3.74,0.054,2.254,0.092
02-09,4.24,0.056,2.334,0.006
02-10,4.84,0.052,2.17,0.006
02-11,4.81,0.038,1.596,0.087
02-12,4.53,0.038,1.6,0.141
02-13,4.24,0.034,1.42,0.134
02-14,4.24,0.031,1.306,0.197
02-15,4.1,0.034,1.432,0.325
02-16,4.92,0.078,3.266,0.077
02-17,5.01,0.071,2.978,0.161
02-18,4.81,0.081,3.412,0.094
02-19,5.15,0.04,1.7,0.385
02-20,5.26,0.006,0.238,0.933
02-21,5.09,-0.017,-0.7,0.794
02-22,5.6,-0.021,-0.864,0.66
02-23,6.99,-0.076,-3.185,0.245
02-24,6.25,-0.043,-1.82,0.483
02-25,6.99,-0.014,-0.606,0.925
02-26,5.8,0.018,0.744,0.859
02-27,5.66,0.049,2.04,0.368
02-28,5.38,0.079,3.326,0.177
03-01,5.77,0.068,2.848,0.263
03-02,6.25,0.082,3.458,0.245
03-03,6.4,0.067,2.828,0.29
03-04,6.31,0.073,3.076,0.357
03-05,5.49,0.049,2.072,0.402
03-06,5.6,0.037,1.566,0.594
03-07,6.4,0.043,1.82,0.529
03-08,7.24,0.001,0.046,0.95
03-09,9.42,0.025,1.05,0.794
03-10,7.58,0.069,2.88,0.336
03-11,8.63,0.077,3.246,0.353
03-12,11.35,0.105,4.4,0.315
