,mean,slp,chg,pvalue
0,0.236,0.006,0.258,0.012
1,0.247,0.007,0.28,0.003
2,0.246,0.007,0.289,0.0
3,0.237,0.007,0.28,0.0
4,0.227,0.007,0.304,0.0
5,0.218,0.008,0.328,0.0
6,0.217,0.007,0.306,0.0
7,0.208,0.007,0.311,0.0
8,0.217,0.007,0.31,0.0
9,0.197,0.008,0.321,0.0
10,0.207,0.007,0.28,0.0
11,0.196,0.007,0.273,0.001
12,0.207,0.007,0.28,0.0
13,0.207,0.007,0.28,0.0
14,0.207,0.007,0.284,0.001
15,0.197,0.007,0.296,0.001
16,0.177,0.007,0.294,0.001
17,0.207,0.007,0.284,0.0
18,0.217,0.007,0.28,0.0
19,0.217,0.007,0.286,0.0
20,0.227,0.007,0.28,0.0
21,0.238,0.007,0.311,0.0
22,0.237,0.007,0.278,0.0
23,0.236,0.006,0.273,0.0
24,0.236,0.006,0.255,0.003
25,0.236,0.006,0.24,0.015
26,0.236,0.006,0.252,0.011
27,0.235,0.005,0.212,0.029
28,0.245,0.005,0.218,0.046
29,0.256,0.005,0.227,0.039
30,0.255,0.005,0.21,0.129
31,0.274,0.004,0.18,0.153
32,0.254,0.004,0.175,0.068
33,0.254,0.004,0.157,0.134
34,0.265,0.005,0.226,0.031
35,0.286,0.006,0.246,0.002
36,0.286,0.006,0.252,0.04
37,0.286,0.006,0.264,0.058
38,0.276,0.006,0.258,0.04
39,0.266,0.006,0.258,0.038
40,0.256,0.006,0.244,0.003
41,0.275,0.005,0.21,0.007
42,0.285,0.005,0.21,0.047
43,0.315,0.005,0.206,0.087
44,0.346,0.005,0.223,0.064
45,0.346,0.006,0.24,0.077
46,0.376,0.006,0.231,0.008
47,0.376,0.005,0.219,0.138
48,0.425,0.005,0.216,0.088
49,0.475,0.005,0.21,0.416
50,0.455,0.005,0.212,0.352
51,0.576,0.006,0.235,0.042
52,0.626,0.006,0.232,0.068
53,0.596,0.006,0.256,0.041
54,0.576,0.007,0.283,0.037
55,0.576,0.006,0.254,0.0
56,0.597,0.007,0.28,0.246
57,0.685,0.005,0.212,0.471
58,0.685,0.005,0.21,0.517
59,0.715,0.005,0.21,0.511
60,0.742,0.002,0.096,0.638
61,0.742,0.002,0.067,0.675
62,0.714,0.004,0.156,0.518
63,0.743,0.003,0.14,0.497
64,1.053,0.004,0.153,0.444
65,0.979,-0.001,-0.034,0.955
66,0.93,0.0,0.0,0.946
67,1.02,0.0,0.0,0.982
68,1.188,-0.002,-0.09,0.911
69,1.667,-0.003,-0.144,0.849
70,1.748,-0.002,-0.09,0.919
71,1.828,-0.002,-0.08,0.928
72,1.839,-0.001,-0.032,0.911
73,1.701,0.001,0.042,0.866
74,2.262,0.002,0.095,0.845
75,1.66,0.0,0.015,0.925
