,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.05801500000000001,119.23851250000003,0.004670797869465115,-3.0,38.0,-2.437,-0.44,4.427,1.99
01-02,-0.056599999999999984,116.31299999999996,0.0035325376968098343,-3.0,38.0,-2.378,-0.581,4.302,1.924
01-03,-0.054500322580645154,112.0622943548387,0.003257938386173276,-3.0,38.0,-2.289,-0.584,4.206,1.917
01-04,-0.05508392857142857,113.21389732142856,0.0028654024772052367,-3.0,38.0,-2.314,-0.605,4.203,1.889
01-05,-0.05650870967741935,116.03159758064515,0.0020675045248230717,-3.0,38.0,-2.374,-0.633,4.201,1.827
01-06,-0.058486666666666666,119.99671666666667,0.0019759083265047384,-3.0,38.0,-2.457,-0.662,4.252,1.795
01-07,-0.058368750000000004,119.747028125,0.001340000894274107,-3.0,38.0,-2.451,-0.669,4.235,1.784
01-08,-0.056943030303030315,116.96990303030304,0.0010305703181203718,-3.0,38.0,-2.392,-0.657,4.28,1.888
01-09,-0.05724318181818182,117.58360568181818,0.0009822021690037985,-3.0,38.0,-2.404,-0.655,4.299,1.895
01-10,-0.05362105263157896,110.29180263157897,0.0013985628359833857,-3.0,38.0,-2.252,-0.616,4.176,1.924
01-11,-0.05457857142857142,112.14784642857141,0.0012837173054029982,-3.0,38.0,-2.292,-0.633,4.137,1.845
01-12,-0.057421612903225804,117.78437177419354,0.0013455232191748046,-3.0,38.0,-2.412,-0.671,4.147,1.735
01-13,-0.057575862068965526,118.09248448275864,0.001737339964896334,-3.0,38.0,-2.418,-0.677,4.15,1.732
01-14,-0.05855172413793105,120.02761896551728,0.0010765056891886005,-3.0,38.0,-2.459,-0.692,4.154,1.695
01-15,-0.05743235294117646,117.86242499999999,0.001666724248451823,-3.0,38.0,-2.412,-0.679,4.204,1.792
01-16,-0.05573869565217393,114.55009456521744,0.002874245725421387,-3.0,38.0,-2.341,-0.659,4.243,1.902
01-17,-0.05367241379310344,110.42269655172412,0.006123228107190348,-3.0,38.0,-2.254,-0.633,4.205,1.951
01-18,-0.05320400000000003,109.51534000000007,0.0068504478156614645,-3.0,38.0,-2.235,-0.625,4.225,1.99
01-19,-0.05680962962962964,116.67513518518521,0.003251416325016132,-3.0,38.0,-2.386,-0.673,4.249,1.863
01-20,-0.056599999999999984,116.19979999999997,0.002750548612379111,-3.0,38.0,-2.377,-0.675,4.188,1.811
01-21,-0.05572923076923079,114.5170384615385,0.003253046110758273,-3.0,38.0,-2.341,-0.67,4.229,1.888
01-22,-0.05289172413793105,108.80666896551726,0.002339498365758086,-3.0,38.0,-2.222,-0.636,4.134,1.912
01-23,-0.051142142857142865,105.29773035714288,0.0017383173284055697,-3.0,38.0,-2.148,-0.622,4.087,1.939
01-24,-0.05155521739130434,106.10869673913041,0.0015254892311584722,-3.0,38.0,-2.165,-0.632,4.081,1.916
