,mean,slp,chg,pvalue
01-01,0.05,-0.001,-0.044,0.022
01-02,0.04,-0.001,-0.044,0.032
01-03,0.04,-0.001,-0.042,0.034
01-04,0.04,-0.001,-0.046,0.029
01-05,0.04,-0.001,-0.046,0.032
01-06,0.04,-0.001,-0.044,0.027
01-07,0.04,-0.001,-0.044,0.028
01-08,0.04,-0.001,-0.046,0.024
01-09,0.04,-0.001,-0.038,0.041
01-10,0.04,-0.001,-0.042,0.035
01-11,0.04,-0.001,-0.038,0.032
01-12,0.04,-0.001,-0.034,0.052
01-13,0.04,-0.001,-0.036,0.032
01-14,0.04,-0.001,-0.034,0.05
01-15,0.04,-0.001,-0.036,0.034
01-16,0.04,-0.001,-0.042,0.024
01-17,0.04,-0.001,-0.038,0.004
01-18,0.04,-0.001,-0.038,0.011
01-19,0.04,-0.001,-0.038,0.016
01-20,0.04,-0.001,-0.032,0.044
01-21,0.04,-0.001,-0.038,0.03
01-22,0.04,-0.001,-0.03,0.086
01-23,0.04,-0.001,-0.028,0.08
01-24,0.04,-0.001,-0.03,0.063
01-25,0.03,-0.001,-0.034,0.039
01-26,0.03,-0.001,-0.034,0.028
01-27,0.04,-0.001,-0.036,0.039
01-28,0.03,-0.001,-0.034,0.035
01-29,0.03,-0.001,-0.032,0.044
01-30,0.04,-0.001,-0.032,0.055
01-31,0.04,-0.001,-0.036,0.047
02-01,0.04,-0.001,-0.038,0.035
02-02,0.04,-0.001,-0.042,0.034
02-03,0.04,-0.001,-0.042,0.045
02-04,0.04,-0.001,-0.036,0.047
02-05,0.04,-0.001,-0.038,0.013
02-06,0.03,-0.001,-0.04,0.008
02-07,0.03,-0.001,-0.038,0.01
02-08,0.04,-0.001,-0.038,0.013
02-09,0.03,-0.001,-0.038,0.015
02-10,0.04,-0.001,-0.038,0.024
02-11,0.04,-0.001,-0.038,0.018
02-12,0.04,-0.001,-0.038,0.02
02-13,0.04,-0.001,-0.038,0.023
02-14,0.03,-0.001,-0.035,0.031
02-15,0.04,-0.001,-0.036,0.023
02-16,0.04,-0.001,-0.036,0.034
02-17,0.03,-0.001,-0.032,0.027
02-18,0.03,-0.001,-0.032,0.033
02-19,0.03,-0.001,-0.026,0.063
02-20,0.03,-0.001,-0.026,0.104
02-21,0.04,-0.001,-0.026,0.1
02-22,0.03,-0.001,-0.028,0.061
02-23,0.04,-0.001,-0.026,0.092
02-24,0.03,-0.001,-0.028,0.085
02-25,0.03,-0.001,-0.03,0.088
02-26,0.03,-0.001,-0.026,0.071
02-27,0.03,-0.001,-0.026,0.102
02-28,0.03,-0.001,-0.026,0.097
03-01,0.03,-0.001,-0.024,0.091
03-02,0.03,-0.001,-0.024,0.095
03-03,0.03,-0.001,-0.024,0.091
03-04,0.03,-0.001,-0.026,0.071
03-05,0.04,-0.001,-0.028,0.073
03-06,0.04,-0.001,-0.03,0.058
03-07,0.04,-0.001,-0.038,0.034
03-08,0.04,-0.001,-0.032,0.022
03-09,0.04,-0.001,-0.032,0.052
03-10,0.04,-0.001,-0.028,0.031
03-11,0.04,-0.001,-0.03,0.027
03-12,0.04,-0.001,-0.026,0.051
03-13,0.04,-0.001,-0.028,0.132
03-14,0.04,-0.001,-0.026,0.035
03-15,0.04,-0.001,-0.032,0.02
03-16,0.04,-0.001,-0.03,0.029
03-17,0.03,-0.001,-0.028,0.023
03-18,0.03,-0.001,-0.028,0.023
03-19,0.04,-0.001,-0.03,0.025
03-20,0.04,-0.001,-0.024,0.03
03-21,0.03,-0.001,-0.04,0.011
03-22,0.04,-0.001,-0.044,0.005
03-23,0.04,-0.001,-0.06,0.001
03-24,0.04,-0.001,-0.052,0.005
03-25,0.04,-0.001,-0.046,0.006
03-26,0.04,-0.001,-0.05,0.006
03-27,0.04,-0.001,-0.048,0.005
03-28,0.05,-0.001,-0.046,0.015
03-29,0.04,-0.001,-0.054,0.005
03-30,0.05,-0.002,-0.07,0.004
03-31,0.05,-0.001,-0.056,0.01
04-01,0.05,-0.001,-0.06,0.009
04-02,0.05,-0.001,-0.054,0.017
04-03,0.04,-0.001,-0.06,0.008
04-04,0.05,-0.001,-0.06,0.013
04-05,0.05,-0.002,-0.07,0.005
04-06,0.05,-0.001,-0.06,0.017
04-07,0.06,-0.002,-0.07,0.007
04-08,0.05,-0.002,-0.07,0.012
04-09,0.05,-0.002,-0.066,0.011
04-10,0.05,-0.002,-0.068,0.007
04-11,0.05,-0.001,-0.06,0.011
04-12,0.05,-0.001,-0.06,0.01
