,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.0,0.0,0.08264553348041237,0.0,41.0,0.0,0.0,0.0,0.0
01-02,0.0,0.0,0.08522839806164395,0.0,41.0,0.0,0.0,0.0,0.0
01-03,0.0,0.0,0.06684876680050356,0.0,41.0,0.0,0.0,0.0,0.0
01-04,0.0,0.0,0.06303191406916775,0.0,41.0,0.0,0.0,0.0,0.0
01-05,0.0,0.0,0.06074726180282841,0.0,41.0,0.0,0.0,0.0,0.0
01-06,0.0,0.0,0.04315864066431652,0.0,41.0,0.0,0.0,0.0,0.0
01-07,0.0,0.0,0.051952194855745315,0.0,41.0,0.0,0.0,0.0,0.0
01-08,0.0,0.0,0.08633949600571778,0.0,41.0,0.0,0.0,0.0,0.0
01-09,0.0,0.0,0.07292496010502192,0.0,41.0,0.0,0.0,0.0,0.0
01-10,0.0,0.0,0.07381533348067881,0.0,41.0,0.0,0.0,0.0,0.0
01-11,0.0,0.0,0.08548329144676714,0.0,41.0,0.0,0.0,0.0,0.0
01-12,0.0,0.0,0.0797926409964047,0.0,41.0,0.0,0.0,0.0,0.0
01-13,0.0,0.0,0.11923001791053234,0.0,41.0,0.0,0.0,0.0,0.0
01-14,0.0,0.0,0.11061233408969495,0.0,41.0,0.0,0.0,0.0,0.0
01-15,0.0,0.0,0.10214098035435093,0.0,41.0,0.0,0.0,0.0,0.0
01-16,0.0,0.0,0.09407908673131149,0.0,41.0,0.0,0.0,0.0,0.0
01-17,0.0,0.0,0.1057778216557348,0.0,41.0,0.0,0.0,0.0,0.0
01-18,0.0,0.0,0.15603442032984005,0.0,41.0,0.0,0.0,0.0,0.0
01-19,0.0,0.0,0.0912824693918517,0.0,41.0,0.0,0.0,0.0,0.0
01-20,0.0,0.0,0.015063575850317257,0.0,41.0,0.0,0.0,0.0,0.0
01-21,0.0,0.0,0.015388704759133454,0.0,41.0,0.0,0.0,0.0,0.0
01-22,0.0,0.0,0.013189610191111534,0.0,41.0,0.0,0.0,0.0,0.0
01-23,0.0,0.0,0.008228548839287031,0.0,41.0,0.0,0.0,0.0,0.0
01-24,0.0,0.0,0.01653619902467751,0.0,41.0,0.0,0.0,0.0,0.0
01-25,0.0,0.0,0.025283851511887834,0.0,41.0,0.0,0.0,0.0,0.0
01-26,0.0,0.0,0.011007517508833553,0.0,41.0,0.0,0.0,0.0,0.0
01-27,-1.0884615384615385e-05,0.021758346153846152,0.0014352461561695229,-3.0,41.0,-0.0,-0.0,0.0,-0.0
01-28,-8.449643493761142e-06,0.016890837344028523,0.0025516793032174245,-3.0,41.0,-0.0,-0.0,0.0,-0.0
01-29,-1.0683048433048434e-05,0.02135541381766382,0.0016259947261709762,-3.0,41.0,-0.0,-0.0,0.0,-0.0
01-30,-9.129032258064516e-06,0.01824893548387097,0.00227617138398184,-3.0,41.0,-0.0,-0.0,0.0,-0.0
01-31,-8.449643493761142e-06,0.016890837344028523,0.001273044555217151,-3.0,41.0,-0.0,-0.0,0.0,-0.0
02-01,0.0,0.0,0.017049143732269068,0.0,41.0,0.0,0.0,0.0,0.0
02-02,0.0,0.0,0.018408359516326023,0.0,41.0,0.0,0.0,0.0,0.0
02-03,0.0,0.0,0.013986649750800995,0.0,41.0,0.0,0.0,0.0,0.0
02-04,0.0,0.0,0.005328493561289838,0.0,41.0,0.0,0.0,0.0,0.0
02-05,0.0,0.0,0.007510102708526922,0.0,41.0,0.0,0.0,0.0,0.0
02-06,-4.287878787878788e-06,0.008571469696969697,0.0016570921083796097,-3.0,41.0,-0.0,-0.0,0.0,-0.0
02-07,0.0,0.0,0.01822249641735696,0.0,41.0,0.0,0.0,0.0,0.0
02-08,0.0,0.0,0.022695022834556378,0.0,41.0,0.0,0.0,0.0,0.0
02-09,0.0,0.0,0.02483210536842373,0.0,41.0,0.0,0.0,0.0,0.0
02-10,0.0,0.0,0.023837449940723232,0.0,41.0,0.0,0.0,0.0,0.0
02-11,0.0,0.0,0.011625971589409811,0.0,41.0,0.0,0.0,0.0,0.0
02-12,0.0,0.0,0.00945023306709003,0.0,41.0,0.0,0.0,0.0,0.0
02-13,-1.0481481481481482e-05,0.021235481481481484,0.015761729496352128,-2.0,41.0,0.0,0.0,0.0,0.0
02-14,0.0,0.000283,0.025370111778163063,0.0,41.0,0.0,0.0,0.0,0.0
02-15,0.0,0.000283,0.049862896230001175,0.0,41.0,0.0,0.0,0.0,0.0
02-16,0.0,0.000283,0.028756262301019797,0.0,41.0,0.0,0.0,0.0,0.0
02-17,0.0,0.000283,0.03743616814100692,0.0,41.0,0.0,0.0,0.0,0.0
02-18,0.0,0.000283,0.10838406317953586,0.0,41.0,0.0,0.0,0.0,0.0
02-19,0.0,0.000283,0.09680422433984526,0.0,41.0,0.0,0.0,0.0,0.0
02-20,-8.218434343434342e-06,0.01671165025252525,0.0402725933229473,-2.0,41.0,0.0,0.0,0.0,0.0
02-21,0.0,0.000283,0.045022537903554705,0.0,41.0,0.0,0.0,0.0,0.0
02-22,-8.709753787878788e-06,0.017693797821969694,0.03809381251394539,-2.0,41.0,0.0,0.0,0.0,0.0
02-23,-1.2863636363636364e-05,0.02599740909090909,0.03331597173363576,-2.0,41.0,-0.001,-0.147,0.001,-0.0
02-24,-1.572222222222222e-05,0.03171172222222222,0.016468756356907477,-2.0,41.0,-0.001,-0.14,0.001,-0.0
02-25,-1.3813095238095237e-05,0.02789537738095238,0.027573176460221616,-2.0,41.0,-0.001,-0.134,0.001,-0.0
02-26,-1.572222222222222e-05,0.03171172222222222,0.012174118692772185,-2.0,41.0,-0.001,-0.147,0.001,-0.0
02-27,-1.2863636363636364e-05,0.02599740909090909,0.028657226776390488,-2.0,41.0,-0.001,-0.155,0.001,-0.0
02-28,-2.0214285714285713e-05,0.04069135714285714,0.00509313185808824,-3.0,41.0,-0.001,-0.154,0.001,-0.0
03-01,-3.144444444444444e-05,0.06342344444444444,0.0044531762926873775,-3.0,41.0,-0.001,-0.116,0.001,-0.0
03-02,-2.7626190476187973e-05,0.055790754761899757,0.014509721492903527,-2.0,41.0,-0.001,-0.113,0.001,-0.0
03-03,-3.46675e-05,0.0698663325,0.03368295615558803,-2.0,41.0,-0.001,-0.117,0.001,-0.0
