,mean,slp,chg,pvalue
0,3.65,-0.003,-0.12,0.958
1,3.71,-0.011,-0.476,0.769
2,4.33,-0.021,-0.872,0.579
3,4.33,-0.014,-0.604,0.668
4,4.16,-0.011,-0.466,0.683
5,4.02,-0.011,-0.446,0.802
6,3.88,0.003,0.13,0.9
7,3.65,-0.008,-0.342,0.851
8,3.45,0.001,0.034,0.983
9,3.68,0.013,0.566,0.585
10,3.88,0.01,0.404,0.646
11,4.02,0.044,1.852,0.184
12,3.96,0.056,2.358,0.084
13,3.88,0.04,1.68,0.258
14,4.3,0.043,1.814,0.354
15,4.41,0.046,1.932,0.015
16,4.22,0.033,1.386,0.352
17,4.19,0.018,0.744,0.401
18,4.16,-0.003,-0.132,0.962
19,4.19,-0.008,-0.315,0.803
20,4.67,-0.015,-0.65,0.594
21,4.53,-0.028,-1.188,0.346
22,4.67,-0.02,-0.84,0.477
23,4.81,-0.011,-0.483,0.746
24,5.18,0.018,0.766,0.738
25,4.87,0.024,0.994,0.601
26,4.53,0.03,1.26,0.496
27,4.24,0.026,1.102,0.551
28,4.3,0.017,0.724,0.615
29,4.3,0.013,0.525,0.565
30,4.24,0.013,0.554,0.64
31,4.24,0.0,0.0,0.975
32,4.41,-0.002,-0.084,0.925
33,4.47,-0.012,-0.512,0.794
34,4.47,-0.017,-0.724,0.66
35,4.19,0.003,0.124,0.95
36,3.91,0.008,0.324,0.785
37,4.669,0.014,0.595,0.53
38,4.39,0.031,1.298,0.241
39,4.24,0.018,0.742,0.345
40,3.74,0.011,0.448,0.586
41,4.36,0.008,0.33,0.699
42,4.41,0.016,0.66,0.802
43,3.82,0.026,1.112,0.47
44,4.36,0.019,0.78,0.491
45,4.53,0.009,0.368,0.705
46,4.84,0.009,0.358,0.834
47,5.38,-0.013,-0.54,0.818
48,5.04,-0.029,-1.225,0.623
49,4.9,-0.024,-1.028,0.523
50,4.95,-0.036,-1.505,0.402
51,5.01,-0.027,-1.134,0.622
52,5.07,-0.018,-0.766,0.761
53,5.12,-0.045,-1.9,0.445
54,4.81,-0.055,-2.3,0.254
55,4.58,-0.041,-1.706,0.391
56,5.15,-0.053,-2.216,0.281
57,4.95,-0.026,-1.082,0.53
58,4.84,-0.028,-1.186,0.49
59,4.3,0.0,0.0,1.0
60,4.78,0.0,0.0,1.0
61,4.73,-0.003,-0.14,0.925
62,5.04,-0.026,-1.098,0.608
63,4.95,-0.03,-1.26,0.49
64,6.06,-0.03,-1.26,0.645
65,5.77,-0.045,-1.904,0.33
66,5.97,-0.059,-2.484,0.276
67,5.69,-0.05,-2.088,0.237
68,5.58,-0.037,-1.554,0.325
69,5.24,-0.037,-1.57,0.295
70,5.29,-0.017,-0.728,0.53
71,5.46,-0.015,-0.642,0.572
72,5.29,-0.019,-0.812,0.579
73,5.04,-0.022,-0.92,0.628
74,5.43,-0.016,-0.654,0.645
75,5.55,-0.027,-1.12,0.426
76,5.38,-0.039,-1.628,0.352
77,5.46,-0.031,-1.298,0.496
78,5.52,0.014,0.57,0.714
79,6.03,-0.006,-0.254,0.862
80,5.72,-0.018,-0.764,0.723
81,5.72,-0.027,-1.12,0.53
82,5.35,-0.037,-1.576,0.351
83,4.95,-0.024,-1.02,0.638
84,5.24,-0.03,-1.242,0.544
85,5.35,-0.02,-0.84,0.706
86,4.92,-0.004,-0.184,0.917
87,5.77,-0.014,-0.572,0.786
88,5.74,-0.023,-0.958,0.517
89,5.66,-0.028,-1.196,0.574
90,5.58,-0.009,-0.396,0.856
