,mean,slp,chg,pvalue
0,1.572,0.022,0.937,0.102
1,1.957,0.034,1.42,0.102
2,1.806,0.032,1.365,0.132
3,1.934,0.019,0.805,0.197
4,2.224,0.018,0.752,0.381
5,2.34,0.029,1.203,0.247
6,3.283,0.036,1.492,0.288
7,3.158,0.037,1.551,0.349
8,2.889,0.088,3.686,0.099
9,3.258,0.115,4.83,0.071
10,3.149,0.098,4.106,0.093
11,3.919,0.079,3.3,0.067
12,3.809,0.058,2.432,0.264
13,4.632,0.074,3.102,0.072
14,4.635,0.07,2.94,0.205
15,4.48,0.071,2.97,0.077
16,4.617,0.063,2.66,0.09
17,5.342,0.073,3.08,0.156
18,5.522,0.083,3.493,0.217
19,4.54,0.081,3.403,0.014
20,4.632,0.124,5.198,0.003
21,3.996,0.122,5.134,
22,3.648,0.104,4.389,
23,5.686,0.102,4.284,0.175
24,5.932,0.094,3.942,0.242
25,8.592,0.113,4.76,0.104
26,7.139,0.147,6.195,0.031
27,7.623,0.106,4.444,0.097
28,7.373,0.095,3.999,0.201
29,8.289,0.138,5.804,0.02
30,9.72,0.091,3.829,0.308
31,7.308,0.066,2.778,0.442
32,7.048,0.118,4.943,0.169
33,6.874,0.139,5.829,0.068
34,6.848,0.135,5.671,0.037
35,6.411,0.122,5.135,0.04
36,6.795,0.15,6.316,0.01
37,6.383,0.196,8.238,0.001
38,6.868,0.215,9.039,0.012
39,7.425,0.19,7.98,0.021
40,7.294,0.126,5.307,0.156
41,6.651,0.082,3.428,0.335
42,7.678,0.136,5.704,0.095
43,7.666,0.143,6.007,0.129
44,9.264,0.018,0.735,0.911
45,9.481,0.032,1.362,0.805
46,8.23,0.019,0.787,0.875
47,10.74,-0.06,-2.52,0.665
48,12.57,-0.16,-6.72,0.383
49,10.677,-0.126,-5.284,0.427
50,10.203,-0.164,-6.898,0.14
51,10.148,-0.214,-9.0,0.153
52,12.462,-0.175,-7.339,0.188
53,11.932,-0.187,-7.84,0.251
54,12.714,-0.243,-10.185,0.085
55,12.427,-0.246,-10.332,0.072
56,11.686,-0.237,-9.935,0.064
57,9.788,-0.185,-7.759,0.07
58,8.902,-0.165,-6.917,0.143
59,7.653,-0.113,-4.756,0.255
60,7.662,-0.075,-3.131,0.41
61,9.092,-0.125,-5.25,0.146
62,10.425,-0.119,-4.998,0.357
63,11.418,-0.084,-3.538,0.553
64,13.54,-0.089,-3.727,0.474
65,14.652,-0.046,-1.92,0.688
66,16.26,-0.021,-0.883,0.845
67,15.486,-0.068,-2.868,0.287
68,16.643,-0.024,-0.998,0.879
69,17.044,-0.103,-4.305,0.657
70,15.612,-0.104,-4.387,0.534
71,16.39,-0.051,-2.157,0.203
72,16.622,-0.006,-0.238,
73,15.561,-0.088,-3.685,0.673
74,16.296,0.131,5.493,0.537
75,15.15,0.039,1.641,0.854
76,13.7,0.01,0.401,0.965
77,13.018,0.027,1.116,0.812
78,12.012,0.054,2.278,0.786
79,11.606,0.093,3.9,0.355
80,11.57,0.19,7.98,0.278
81,11.407,0.263,11.043,0.116
82,12.514,0.298,12.524,0.109
83,12.666,0.422,17.703,0.027
84,11.825,0.41,17.22,0.026
85,12.377,0.304,12.78,0.052
86,13.226,0.362,15.215,0.02
87,11.876,0.373,15.673,0.008
88,12.183,0.286,12.0,0.052
89,11.441,0.193,8.1,0.055
90,10.447,0.114,4.788,0.132
91,9.86,0.129,5.436,0.089
92,8.777,0.123,5.18,0.093
93,8.849,0.099,4.14,0.246
94,8.442,0.105,4.4,0.213
95,8.28,0.152,6.375,0.121
96,8.446,0.141,5.921,0.126
97,7.933,0.136,5.722,0.061
98,8.396,0.132,5.554,0.121
99,7.339,0.099,4.149,0.132
100,7.628,0.086,3.612,0.319
101,8.304,0.088,3.675,0.274
102,7.301,0.063,2.64,0.351
103,7.301,0.113,4.732,0.237
104,6.81,0.099,4.165,0.293
105,6.288,0.096,4.032,0.105
