,mean,slp,chg,pvalue
0,0.71,0.01,0.42,0.234
1,0.676,0.011,0.459,0.237
2,0.645,0.01,0.412,0.226
3,0.635,0.01,0.42,0.203
4,0.682,0.012,0.489,0.215
5,0.683,0.012,0.492,0.17
6,0.678,0.012,0.494,0.142
7,0.641,0.014,0.571,0.039
8,0.676,0.014,0.569,0.098
9,0.719,0.016,0.676,0.022
10,0.748,0.019,0.809,0.013
11,0.75,0.02,0.855,0.015
12,0.764,0.019,0.797,0.015
13,0.791,0.017,0.724,0.015
14,0.768,0.016,0.657,0.019
15,0.75,0.013,0.56,0.036
16,0.682,0.012,0.489,0.037
17,0.71,0.01,0.42,0.05
18,0.662,0.008,0.349,0.129
19,0.69,0.007,0.295,0.289
20,0.705,0.007,0.278,0.273
21,0.661,0.007,0.31,0.234
22,0.708,0.008,0.353,0.169
23,0.71,0.01,0.414,0.091
24,0.712,0.011,0.47,0.073
25,0.682,0.011,0.47,0.074
26,0.699,0.013,0.54,0.045
27,0.715,0.013,0.56,0.029
28,0.822,0.015,0.637,0.021
29,0.814,0.016,0.68,0.016
30,0.875,0.017,0.7,0.029
31,0.812,0.015,0.627,0.028
32,0.796,0.014,0.582,0.024
33,0.785,0.013,0.564,0.019
34,0.766,0.014,0.573,0.024
35,0.745,0.013,0.554,0.025
36,0.769,0.013,0.53,0.051
37,0.716,0.014,0.58,0.057
38,0.678,0.012,0.498,0.002
39,0.737,0.011,0.466,0.042
40,0.8,0.013,0.55,0.031
41,0.77,0.013,0.543,0.007
42,0.833,0.012,0.511,0.056
43,0.836,0.011,0.444,0.076
44,0.821,0.011,0.446,0.074
45,0.812,0.012,0.486,0.044
46,0.852,0.012,0.49,0.108
47,0.985,0.01,0.42,0.289
48,1.002,0.008,0.315,0.225
49,1.062,0.008,0.353,0.305
50,1.064,0.009,0.396,0.156
51,1.118,0.009,0.368,0.267
52,1.142,0.008,0.34,0.377
53,1.168,0.005,0.211,0.533
54,1.166,0.004,0.168,0.714
55,1.154,0.006,0.241,0.661
56,1.15,0.003,0.146,0.668
57,1.124,0.003,0.11,0.872
58,1.2,-0.004,-0.157,0.789
59,1.3,0.0,0.0,0.934
60,1.34,0.003,0.125,0.804
61,1.408,0.002,0.084,0.866
62,1.497,-0.002,-0.099,0.898
63,1.448,0.002,0.09,0.907
64,1.394,0.002,0.103,0.907
65,1.542,0.008,0.355,0.727
66,1.581,0.011,0.444,0.552
67,1.644,0.016,0.655,0.435
68,2.203,0.019,0.79,0.529
69,2.462,0.018,0.747,0.506
70,2.754,0.026,1.077,0.388
71,3.034,0.033,1.37,0.24
72,3.196,0.058,2.429,0.091
73,3.896,0.044,1.827,0.188
74,4.144,0.036,1.515,0.193
75,4.377,0.025,1.034,0.608
76,4.216,0.011,0.459,0.771
77,3.87,0.014,0.567,0.735
78,4.094,0.013,0.532,0.843
79,3.732,-0.002,-0.075,0.935
80,3.555,-0.007,-0.276,0.834
81,3.251,-0.009,-0.398,0.817
82,3.624,-0.028,-1.163,0.552
83,4.06,-0.037,-1.534,0.345
84,4.43,-0.047,-1.96,0.344
85,4.598,-0.028,-1.172,0.698
86,3.939,-0.004,-0.17,0.932
87,3.984,0.016,0.68,0.805
88,4.017,-0.002,-0.086,0.964
89,4.149,-0.001,-0.034,0.977
90,4.183,0.015,0.642,0.729
91,3.815,0.013,0.564,0.82
92,3.5,-0.007,-0.282,0.872
93,3.672,-0.052,-2.203,0.403
94,3.748,-0.058,-2.434,0.342
95,3.542,-0.066,-2.755,0.31
96,3.343,-0.038,-1.613,0.536
97,3.291,-0.049,-2.064,0.478
98,3.451,-0.049,-2.07,0.413
99,3.265,-0.023,-0.97,0.522
100,3.1,-0.01,-0.441,0.636
101,3.112,0.012,0.486,0.702
102,3.65,0.01,0.42,0.88
103,3.346,-0.003,-0.114,0.963
104,3.651,-0.019,-0.816,0.633
105,3.937,-0.009,-0.368,0.754
106,3.538,-0.008,-0.33,0.816
107,3.072,-0.006,-0.237,0.916
108,2.81,-0.0,-0.01,1.0
109,2.875,0.02,0.84,0.339
110,3.125,0.037,1.551,0.226
111,2.842,0.034,1.449,0.2
112,2.792,0.031,1.305,0.205
113,2.495,0.023,0.959,0.363
114,2.458,0.026,1.077,0.197
115,2.264,0.022,0.935,0.21
116,2.351,0.037,1.57,0.29
117,2.506,0.03,1.267,0.004
118,2.344,0.03,1.247,0.145
119,2.327,0.031,1.297,0.23
120,2.232,0.042,1.744,0.118
121,2.412,0.042,1.744,0.045
122,2.188,0.045,1.906,0.042
123,2.053,0.039,1.634,0.129
124,1.95,0.033,1.4,0.2
125,2.128,0.029,1.202,0.078
126,2.114,0.022,0.927,0.176
127,2.002,0.021,0.894,0.184
128,1.894,0.023,0.975,0.078
129,1.983,0.022,0.932,
130,1.995,0.027,1.141,0.005
131,1.937,0.028,1.184,0.045
132,1.803,0.025,1.066,0.098
133,1.753,0.025,1.068,0.07
134,1.745,0.023,0.98,0.034
135,1.672,0.021,0.875,0.089
136,1.772,0.022,0.913,0.11
137,1.748,0.018,0.775,0.215
138,1.666,0.017,0.718,0.248
139,1.61,0.02,0.84,0.152
140,1.389,0.019,0.81,0.13
141,1.368,0.019,0.801,0.071
142,1.308,0.019,0.805,0.073
143,1.276,0.017,0.73,0.082
144,1.485,0.019,0.817,0.118
145,1.548,0.019,0.786,0.085
146,1.652,0.021,0.871,0.062
147,1.594,0.029,1.213,0.01
148,1.547,0.031,1.304,0.0
149,1.486,0.03,1.273,0.001
150,1.457,0.025,1.032,0.0
151,1.46,0.023,0.984,0.0
152,1.333,0.022,0.926,0.044
153,1.386,0.024,0.995,0.032
154,1.294,0.023,0.964,0.022
155,1.206,0.02,0.857,0.03
156,1.309,0.016,0.664,0.08
157,1.3,0.016,0.691,0.005
158,1.225,0.014,0.575,0.132
159,1.225,0.017,0.7,0.016
160,1.322,0.018,0.767,0.036
161,1.168,0.018,0.771,0.087
162,1.476,0.031,1.294,0.056
163,1.39,0.03,1.26,0.013
164,1.33,0.024,0.999,0.056
165,1.284,0.029,1.217,0.002
166,1.348,0.032,1.329,0.046
167,1.242,0.025,1.055,0.069
168,1.136,0.03,1.271,0.065
169,1.068,0.025,1.047,0.013
170,1.036,0.021,0.877,0.034
171,0.937,0.018,0.76,0.057
172,0.94,0.016,0.685,0.181
173,0.896,0.017,0.722,0.124
174,0.871,0.018,0.741,0.079
175,0.9,0.016,0.683,0.018
176,0.886,0.017,0.716,0.084
177,0.942,0.015,0.622,0.063
178,0.889,0.013,0.532,0.036
179,0.82,0.01,0.435,0.065
180,0.852,0.008,0.33,0.268
181,0.792,0.009,0.361,0.324
182,0.77,0.01,0.42,0.107
183,0.766,0.008,0.321,0.239
184,0.788,0.005,0.23,0.406
185,0.818,0.005,0.205,0.408
186,0.72,0.007,0.28,0.11
187,0.637,0.005,0.196,0.133
188,0.644,0.006,0.254,0.097
189,0.673,0.009,0.36,0.063
190,0.688,0.009,0.364,0.103
191,0.688,0.005,0.229,0.167
192,0.746,0.004,0.174,0.363
193,0.686,0.004,0.168,0.529
194,0.643,0.005,0.211,0.333
195,0.669,0.006,0.235,0.095
196,0.667,0.005,0.194,0.386
197,0.611,0.004,0.176,0.414
198,0.626,0.004,0.175,0.393
199,0.612,0.005,0.219,0.345
200,0.611,0.004,0.183,0.357
201,0.666,0.004,0.153,0.393
202,0.631,0.004,0.166,0.452
203,0.611,0.004,0.175,0.408
204,0.557,0.004,0.184,0.388
205,0.594,0.002,0.101,0.658
206,0.543,0.002,0.078,0.753
207,0.57,0.003,0.14,0.534
208,0.584,0.003,0.108,0.442
209,0.538,0.002,0.105,0.506
210,0.543,0.002,0.092,0.649
211,0.554,0.003,0.124,0.603
212,0.55,0.003,0.142,0.547
213,0.526,0.004,0.18,0.322
214,0.518,0.005,0.228,0.401
215,0.58,0.004,0.161,0.544
216,0.586,0.001,0.03,0.935
217,0.568,-0.001,-0.06,0.889
218,0.554,-0.0,-0.007,0.972
219,0.526,0.001,0.043,0.87
220,0.552,0.002,0.071,0.771
221,0.538,-0.001,-0.061,0.675
222,0.548,-0.001,-0.054,0.789
223,0.53,0.0,0.0,0.968
224,0.5,0.0,0.0,0.963
225,0.464,-0.001,-0.043,0.788
226,0.472,-0.002,-0.089,0.583
227,0.522,-0.002,-0.095,0.649
228,0.588,-0.001,-0.054,0.78
229,0.618,-0.001,-0.046,0.67
230,0.588,-0.001,-0.049,0.675
231,0.595,0.0,0.0,0.948
232,0.586,0.001,0.049,0.597
233,0.585,0.0,0.0,0.887
234,0.571,-0.003,-0.116,0.139
