,mean,slp,chg,pvalue
01-01,29.15,0.107,4.5,0.738
01-02,27.45,0.075,3.144,0.71
01-03,32.83,0.141,5.936,0.385
01-04,30.28,0.166,6.951,0.343
01-05,28.3,-0.015,-0.642,0.933
01-06,28.02,0.088,3.714,0.778
01-07,29.72,0.114,4.788,0.524
01-08,30.0,-0.008,-0.356,0.983
01-09,28.27,-0.066,-2.772,0.794
01-10,29.72,-0.14,-5.88,0.533
01-11,30.56,0.046,1.918,0.884
01-12,30.56,0.34,14.28,0.149
01-13,32.54,0.459,19.27,0.058
01-14,32.26,0.495,20.79,0.056
01-15,36.51,0.453,19.026,0.17
01-16,36.22,0.423,17.78,0.233
01-17,31.7,0.344,14.43,0.209
01-18,30.56,0.258,10.82,0.254
01-19,28.05,0.217,9.116,0.351
01-20,28.22,0.089,3.756,0.746
01-21,25.78,-0.085,-3.57,0.683
01-22,26.01,-0.239,-10.059,0.379
01-23,30.56,-0.322,-13.528,0.3
01-24,29.15,-0.408,-17.128,0.25
01-25,33.96,-0.068,-2.84,0.802
01-26,32.83,0.018,0.752,0.958
01-27,30.85,0.043,1.785,0.867
01-28,29.72,0.182,7.644,0.445
01-29,28.87,0.146,6.111,0.53
01-30,29.15,0.18,7.56,0.439
01-31,28.13,0.103,4.34,0.653
02-01,27.82,0.052,2.164,0.851
02-02,26.8,0.04,1.68,0.852
02-03,29.72,0.035,1.478,0.798
02-04,35.94,-0.028,-1.18,0.9
02-05,31.41,-0.109,-4.57,0.68
02-06,32.26,-0.018,-0.738,0.967
02-07,30.0,0.169,7.082,0.586
02-08,34.24,0.322,13.545,0.233
02-09,33.39,0.358,15.022,0.112
02-10,31.98,0.314,13.178,0.127
02-11,31.41,0.348,14.62,0.131
02-12,30.85,0.337,14.14,0.281
02-13,33.11,0.344,14.45,0.187
02-14,30.56,0.28,11.76,0.346
02-15,30.0,0.223,9.352,0.414
02-16,33.96,0.109,4.584,0.714
02-17,36.79,0.12,5.04,0.802
02-18,37.36,-0.044,-1.855,0.884
02-19,37.64,0.0,0.0,1.0
02-20,37.64,-0.068,-2.856,0.842
02-21,35.38,-0.152,-6.378,0.565
02-22,36.79,-0.165,-6.93,0.615
02-23,45.56,-0.451,-18.932,0.286
02-24,53.2,-0.682,-28.658,0.091
02-25,56.88,-0.601,-25.252,0.336
02-26,55.18,-0.445,-18.708,0.426
02-27,50.66,-0.368,-15.444,0.445
02-28,43.02,-0.143,-5.984,0.761
03-01,48.96,0.201,8.44,0.706
03-02,47.54,0.226,9.506,0.668
03-03,46.7,0.271,11.386,0.47
03-04,47.83,0.13,5.476,0.738
03-05,47.83,0.177,7.438,0.683
03-06,51.51,-0.186,-7.794,0.746
03-07,53.49,-0.283,-11.89,0.331
03-08,60.28,-0.367,-15.4,0.066
03-09,63.39,-0.65,-27.312,0.294
03-10,58.02,-0.504,-21.186,0.33
03-11,69.9,-0.219,-9.182,0.66
03-12,64.24,-0.11,-4.62,0.859
03-13,56.6,-0.081,-3.42,0.883
03-14,51.51,-0.071,-2.984,0.9
03-15,47.83,-0.118,-4.952,0.769
03-16,49.52,-0.143,-6.02,0.63
03-17,49.52,-0.206,-8.668,0.594
03-18,52.64,-0.414,-17.382,0.33
03-19,51.22,-1.118,-46.95,0.127
03-20,68.2,-0.894,-37.552,0.276
03-21,74.43,-0.434,-18.218,0.468
03-22,71.32,-1.205,-50.61,0.213
03-23,75.28,-1.611,-67.656,0.096
03-24,76.13,-1.31,-55.02,0.123
03-25,67.64,-1.36,-57.136,0.067
03-26,65.09,-1.029,-43.222,0.057
03-27,60.28,-0.787,-33.048,0.054
03-28,55.75,-0.583,-24.504,0.082
03-29,56.32,-0.526,-22.08,0.074
03-30,50.66,-0.323,-13.575,0.206
03-31,50.37,-0.45,-18.9,0.221
04-01,51.79,-0.453,-19.026,
04-02,57.45,-0.409,-17.174,0.361
04-03,54.05,-0.353,-14.84,0.477
04-04,50.37,-0.545,-22.874,0.213
04-05,46.98,-0.529,-22.224,0.237
04-06,46.41,-0.37,-15.54,0.276
04-07,47.54,-0.425,-17.85,0.028
04-08,45.0,-0.39,-16.394,0.06
04-09,43.3,-0.339,-14.258,0.281
04-10,46.41,-0.277,-11.636,0.385
04-11,43.02,-0.202,-8.49,0.61
04-12,42.73,-0.093,-3.894,0.695
04-13,41.6,-0.112,-4.718,0.788
04-14,41.6,-0.164,-6.874,0.689
04-15,41.6,-0.12,-5.024,0.532
04-16,53.77,0.144,6.06,0.802
04-17,60.84,0.153,6.44,0.714
04-18,52.36,0.126,5.274,0.73
04-19,51.79,0.019,0.812,0.92
04-20,49.24,0.209,8.768,0.53
04-21,50.09,0.508,21.336,0.281
04-22,45.0,0.269,11.31,0.382
04-23,43.02,0.119,5.006,0.738
04-24,41.32,0.082,3.444,0.81
04-25,39.9,0.206,8.648,0.593
04-26,40.19,0.463,19.454,0.315
04-27,44.15,0.482,20.258,0.272
04-28,42.17,0.109,4.566,0.769
04-29,44.43,0.047,1.96,0.763
04-30,41.88,0.175,7.36,0.581
05-01,44.15,0.233,9.776,0.367
05-02,47.26,0.172,7.232,0.653
05-03,43.58,0.0,0.0,1.0
05-04,45.28,0.019,0.794,0.967
05-05,48.11,0.08,3.36,0.632
05-06,58.02,0.455,19.11,0.065
05-07,50.37,0.435,18.255,0.277
05-08,46.13,0.503,21.126,0.0
05-09,40.75,0.348,14.62,
05-10,38.77,0.308,12.922,0.0
05-11,38.49,0.236,9.894,0.013
05-12,35.09,0.185,7.77,0.004
05-13,33.11,0.237,9.96,0.029
05-14,36.51,0.501,21.032,0.113
05-15,38.49,0.63,26.44,0.019
05-16,41.04,0.556,23.36,0.083
05-17,44.15,0.536,22.5,0.241
05-18,41.32,0.363,15.254,0.295
05-19,38.77,0.375,15.742,0.207
05-20,41.04,0.189,7.928,0.628
05-21,42.45,-0.18,-7.54,0.425
05-22,39.05,-0.095,-3.984,0.658
05-23,36.51,0.071,2.976,0.805
05-24,43.3,-0.329,-13.816,0.388
05-25,37.36,-0.229,-9.62,0.446
05-26,34.24,-0.18,-7.56,0.351
05-27,31.7,-0.17,-7.14,0.503
05-28,32.54,-0.107,-4.496,0.761
05-29,33.11,-0.052,-2.175,0.704
05-30,31.41,-0.019,-0.784,0.894
05-31,33.68,-0.065,-2.75,0.761
06-01,29.43,-0.001,-0.046,1.0
06-02,27.28,-0.022,-0.94,0.878
06-03,25.41,0.046,1.932,0.728
06-04,23.89,0.007,0.296,0.929
06-05,23.89,-0.054,-2.248,0.834
06-06,24.76,-0.05,-2.088,0.771
06-07,22.53,-0.014,-0.588,0.917
06-08,21.9,-0.012,-0.512,0.917
06-09,24.2,-0.153,-6.416,0.502
06-10,22.41,-0.158,-6.636,0.378
06-11,21.9,-0.075,-3.16,0.818
06-12,21.39,-0.007,-0.31,0.983
06-13,20.55,0.011,0.452,0.967
06-14,19.56,-0.005,-0.21,0.958
06-15,17.66,-0.012,-0.524,0.875
06-16,19.5,-0.002,-0.092,0.992
06-17,19.95,-0.052,-2.194,0.9
06-18,18.85,-0.022,-0.932,0.9
06-19,18.79,0.053,2.22,0.63
06-20,16.9,0.044,1.848,0.687
06-21,15.71,0.055,2.298,0.687
06-22,15.03,0.087,3.64,0.449
06-23,15.11,0.101,4.224,0.439
06-24,16.58,0.145,6.1,0.214
06-25,15.17,0.096,4.032,0.325
06-26,14.01,0.174,7.298,0.096
06-27,12.17,0.122,5.134,0.131
06-28,11.21,0.106,4.432,0.14
06-29,11.55,0.095,3.974,0.192
06-30,11.89,0.089,3.748,0.354
07-01,12.79,0.076,3.21,0.483
07-02,13.16,0.036,1.502,0.588
07-03,12.34,-0.018,-0.776,0.865
07-04,11.83,-0.016,-0.688,0.646
07-05,12.99,-0.028,-1.184,0.769
07-06,12.42,0.016,0.654,0.892
07-07,12.28,-0.028,-1.162,0.138
07-08,11.77,0.022,0.934,0.756
07-09,12.34,0.023,0.952,0.814
07-10,12.48,-0.011,-0.456,0.958
07-11,10.84,-0.037,-1.568,0.683
07-12,12.37,-0.035,-1.47,0.714
07-13,11.74,-0.018,-0.766,0.802
07-14,11.4,-0.028,-1.19,0.706
07-15,10.78,-0.049,-2.04,0.551
07-16,9.99,-0.047,-1.96,0.558
07-17,9.42,-0.036,-1.518,0.645
07-18,8.55,-0.038,-1.584,0.668
07-19,9.48,-0.04,-1.659,0.623
07-20,9.85,-0.025,-1.064,0.675
07-21,9.17,-0.035,-1.47,0.623
07-22,9.14,-0.034,-1.442,0.594
07-23,9.4,-0.028,-1.192,0.575
07-24,8.6,-0.026,-1.102,0.464
07-25,9.59,-0.041,-1.706,0.579
07-26,8.86,-0.055,-2.31,0.439
07-27,9.37,-0.072,-3.036,0.254
07-28,9.34,-0.086,-3.632,0.237
07-29,10.67,-0.019,-0.782,0.741
07-30,9.34,0.014,0.588,0.845
07-31,9.25,0.007,0.298,0.883
08-01,9.709,0.03,1.275,0.65
08-02,8.77,0.063,2.644,0.49
08-03,8.12,0.056,2.352,0.445
08-04,8.24,0.051,2.158,0.565
08-05,7.75,0.043,1.792,0.544
08-06,8.09,0.013,0.564,0.859
08-07,7.64,0.01,0.404,0.867
08-08,8.15,0.04,1.665,0.544
08-09,7.58,0.048,2.004,0.426
08-10,7.47,0.024,1.022,0.777
08-11,7.53,0.002,0.07,0.937
08-12,8.26,-0.008,-0.324,0.924
08-13,7.19,0.013,0.566,0.87
08-14,7.24,0.018,0.764,0.637
08-15,6.88,0.027,1.128,0.709
08-16,6.88,0.028,1.166,0.445
08-17,6.51,0.026,1.092,0.496
08-18,6.4,0.01,0.4,0.875
08-19,6.51,0.003,0.146,0.9
08-20,6.82,0.0,0.0,1.0
08-21,7.7,0.017,0.694,0.67
08-22,7.27,0.008,0.356,0.786
08-23,6.76,0.006,0.27,0.942
08-24,6.85,-0.013,-0.526,0.834
08-25,6.0,-0.02,-0.84,0.679
08-26,6.25,-0.035,-1.482,0.323
08-27,5.77,-0.041,-1.716,0.0
08-28,5.6,-0.039,-1.636,0.0
08-29,6.06,-0.022,-0.904,0.417
08-30,6.11,-0.017,-0.71,0.754
08-31,5.58,-0.015,-0.646,0.668
09-01,5.41,0.002,0.076,0.958
09-02,5.24,-0.009,-0.36,0.826
09-03,5.15,-0.018,-0.77,0.706
09-04,5.32,-0.019,-0.794,0.691
09-05,6.14,-0.002,-0.078,0.992
09-06,5.83,-0.014,-0.588,0.722
09-07,6.37,-0.017,-0.7,0.723
09-08,6.45,-0.014,-0.59,0.751
09-09,5.86,-0.024,-1.018,0.692
09-10,5.41,-0.003,-0.136,0.89
09-11,5.409,-0.007,-0.315,0.835
09-12,5.09,-0.001,-0.046,0.95
09-13,5.43,-0.005,-0.216,0.95
09-14,5.46,-0.012,-0.504,0.843
09-15,5.35,-0.01,-0.435,0.892
09-16,5.09,-0.028,-1.176,0.53
09-17,4.81,-0.029,-1.234,0.445
09-18,4.58,-0.029,-1.204,0.408
09-19,4.58,-0.02,-0.826,0.551
09-20,4.5,-0.016,-0.682,0.668
09-21,4.95,-0.02,-0.84,0.551
09-22,5.01,-0.032,-1.334,0.225
09-23,4.92,-0.024,-1.02,0.264
09-24,5.07,-0.031,-1.298,0.265
09-25,5.21,-0.023,-0.98,0.297
09-26,5.12,-0.032,-1.36,0.253
09-27,5.26,-0.043,-1.785,0.368
09-28,5.32,-0.039,-1.636,0.445
09-29,5.74,-0.012,-0.525,0.746
09-30,6.54,0.036,1.528,0.601
10-01,6.42,0.055,2.31,0.346
10-02,5.6,0.052,2.176,0.374
10-03,5.58,0.027,1.12,0.572
10-04,5.83,0.021,0.892,0.691
10-05,5.32,0.014,0.576,0.892
10-06,4.95,0.01,0.42,0.81
10-07,4.95,0.02,0.84,0.722
10-08,4.9,0.025,1.036,0.426
10-09,5.26,0.048,2.012,0.276
10-10,5.38,0.065,2.73,0.158
10-11,5.8,0.083,3.465,0.084
10-12,6.28,0.09,3.762,0.061
10-13,6.11,0.067,2.826,0.1
10-14,6.08,0.058,2.45,0.164
10-15,6.48,0.05,2.1,0.276
10-16,6.23,0.036,1.53,0.379
10-17,5.77,0.032,1.344,0.385
10-18,6.08,0.039,1.634,0.336
10-19,6.23,0.025,1.07,0.558
10-20,5.94,0.022,0.934,0.51
10-21,6.42,-0.005,-0.21,0.875
10-22,6.25,-0.006,-0.254,0.875
10-23,6.03,-0.014,-0.595,0.769
10-24,5.94,-0.016,-0.688,0.754
10-25,5.97,-0.018,-0.766,0.714
10-26,7.64,-0.012,-0.486,0.818
10-27,8.57,-0.039,-1.64,0.537
10-28,8.35,-0.07,-2.94,0.397
10-29,8.26,-0.021,-0.89,0.746
10-30,10.33,0.126,5.312,0.245
10-31,10.5,0.22,9.24,0.129
11-01,11.09,0.291,12.224,0.074
11-02,10.98,0.218,9.144,0.068
11-03,11.04,0.118,4.944,0.346
11-04,12.14,0.081,3.406,0.338
11-05,11.83,0.065,2.72,0.441
11-06,12.17,0.034,1.428,0.774
11-07,12.08,-0.012,-0.504,0.951
11-08,11.49,-0.015,-0.65,0.95
11-09,11.15,-0.011,-0.464,0.943
11-10,10.7,-0.008,-0.33,0.933
11-11,10.33,-0.02,-0.84,0.725
11-12,12.31,-0.006,-0.24,0.955
11-13,13.64,0.03,1.276,0.778
11-14,13.5,0.03,1.26,0.761
11-15,13.13,0.0,0.0,0.988
11-16,13.19,-0.01,-0.42,0.896
11-17,13.81,-0.023,-0.948,0.888
11-18,12.99,-0.031,-1.29,0.802
11-19,13.53,-0.057,-2.374,0.515
11-20,13.67,-0.084,-3.518,0.413
11-21,13.87,-0.114,-4.788,0.503
11-22,12.31,-0.101,-4.238,0.385
11-23,11.57,-0.106,-4.434,0.363
11-24,14.49,-0.168,-7.048,0.164
11-25,15.14,-0.248,-10.414,0.094
11-26,14.01,-0.259,-10.886,0.062
11-27,14.4,-0.222,-9.31,0.145
11-28,15.23,-0.25,-10.48,0.062
11-29,18.51,-0.433,-18.192,0.002
11-30,21.0,-0.53,-22.26,0.001
12-01,22.58,-0.354,-14.85,0.112
12-02,24.73,-0.152,-6.396,0.503
12-03,26.77,-0.209,-8.772,0.218
12-04,26.26,-0.259,-10.872,0.1
12-05,24.99,-0.294,-12.342,0.221
12-06,24.76,-0.261,-10.964,0.276
12-07,24.06,-0.085,-3.57,0.746
12-08,21.93,-0.093,-3.92,0.683
12-09,19.41,-0.018,-0.766,0.851
12-10,20.06,-0.005,-0.22,0.946
12-11,20.09,-0.026,-1.074,0.851
12-12,21.17,0.052,2.182,0.769
12-13,20.09,-0.012,-0.52,0.925
12-14,19.5,-0.04,-1.698,0.834
12-15,19.36,0.063,2.636,0.738
12-16,22.27,0.104,4.352,0.691
