,mean,slp,chg,pvalue
01-01,0.155,0.0,0.0,0.739
01-02,0.16,0.0,0.0,0.885
01-03,0.16,0.0,0.0,0.823
01-04,0.155,0.0,0.0,0.662
01-05,0.15,0.0,0.0,0.653
01-06,0.155,0.0,0.0,0.747
01-07,0.155,0.0,0.0,0.601
01-08,0.155,0.0,0.0,0.694
01-09,0.15,0.0,0.0,0.808
01-10,0.15,0.0,0.0,0.846
01-11,0.155,0.0,0.0,0.734
01-12,0.15,0.0,0.0,0.932
01-13,0.15,0.0,0.0,0.916
01-14,0.15,0.0,0.0,1.0
01-15,0.15,0.0,0.0,0.957
01-16,0.15,0.0,0.0,0.978
01-17,0.15,0.0,0.0,0.969
01-18,0.15,0.0,0.0,0.781
01-19,0.15,0.0,0.0,0.784
01-20,0.15,0.0,0.0,0.942
01-21,0.15,0.0,0.0,0.926
01-22,0.15,0.0,0.0,0.712
01-23,0.15,0.0,0.0,0.706
01-24,0.15,0.0,0.0,0.83
01-25,0.155,0.0,0.0,0.704
01-26,0.155,0.0,0.0,0.672
01-27,0.15,0.0,0.013,0.445
01-28,0.15,0.0,0.015,0.367
01-29,0.15,0.0,0.015,0.3
01-30,0.15,0.0,0.013,0.173
01-31,0.14,0.0,0.0,0.355
02-01,0.14,0.0,0.0,0.41
02-02,0.14,0.0,0.0,0.437
02-03,0.14,0.0,0.0,0.58
02-04,0.14,0.0,0.0,0.475
02-05,0.14,0.0,0.0,0.503
02-06,0.14,0.0,0.0,0.384
02-07,0.14,0.0,0.0,0.377
02-08,0.14,0.0,0.0,0.526
02-09,0.14,0.0,0.0,0.441
02-10,0.146,0.0,0.021,0.077
02-11,0.151,0.001,0.026,0.1
02-12,0.14,0.0,0.0,0.369
02-13,0.14,0.0,0.0,0.555
02-14,0.141,0.001,0.024,0.19
02-15,0.146,0.0,0.013,0.316
02-16,0.15,0.0,0.011,0.365
02-17,0.15,0.0,0.013,0.296
02-18,0.145,0.0,0.0,0.558
02-19,0.15,0.0,0.0,0.397
02-20,0.15,0.0,0.0,0.828
02-21,0.15,0.0,0.0,0.733
02-22,0.15,0.0,0.0,0.406
02-23,0.15,0.0,0.0,0.619
02-24,0.15,0.0,0.0,0.841
02-25,0.15,0.0,0.0,0.63
02-26,0.15,0.0,0.0,0.806
02-27,0.15,0.0,0.0,0.658
02-28,0.15,0.0,0.0,0.606
03-01,0.15,0.0,0.0,0.534
03-02,0.15,0.0,0.0,0.953
03-03,0.15,0.0,0.0,0.725
03-04,0.15,0.0,0.0,0.645
03-05,0.15,0.0,0.013,0.511
03-06,0.15,0.0,0.0,0.644
03-07,0.15,0.0,0.0,0.639
03-08,0.15,0.0,0.0,0.991
03-09,0.15,0.0,0.0,0.631
03-10,0.15,-0.0,-0.019,0.413
03-11,0.159,-0.001,-0.028,0.381
03-12,0.159,-0.001,-0.025,0.38
03-13,0.16,-0.0,-0.019,0.461
03-14,0.16,0.0,0.0,0.247
03-15,0.165,0.0,0.013,0.55
03-16,0.165,0.0,0.015,0.599
03-17,0.172,0.001,0.031,0.381
03-18,0.161,0.001,0.029,0.368
03-19,0.161,0.001,0.024,0.239
03-20,0.161,0.001,0.041,0.42
03-21,0.166,0.001,0.031,0.394
03-22,0.167,0.001,0.062,0.21
03-23,0.192,0.001,0.058,0.356
03-24,0.201,0.001,0.04,0.42
03-25,0.207,0.001,0.051,0.421
03-26,0.212,0.001,0.058,0.315
03-27,0.2,0.0,0.019,0.674
03-28,0.217,0.001,0.035,0.552
03-29,0.2,0.0,0.015,0.649
03-30,0.2,0.0,0.0,0.935
03-31,0.201,0.001,0.024,0.616
04-01,0.211,0.001,0.026,0.632
04-02,0.231,0.001,0.028,0.674
04-03,0.241,0.0,0.016,0.806
04-04,0.262,0.002,0.071,0.388
04-05,0.277,0.002,0.077,0.407
04-06,0.287,0.001,0.058,0.56
04-07,0.329,0.003,0.114,0.345
04-08,0.314,0.003,0.107,0.243
04-09,0.329,0.003,0.116,0.31
04-10,0.344,0.003,0.135,0.258
04-11,0.377,0.005,0.21,0.08
04-12,0.444,0.007,0.273,0.057
04-13,0.487,0.008,0.334,0.069
04-14,0.568,0.008,0.349,0.108
04-15,0.647,0.005,0.202,0.351
04-16,0.673,0.005,0.22,0.552
04-17,0.639,0.002,0.097,0.753
04-18,0.806,0.001,0.034,0.889
04-19,0.85,0.0,0.0,0.963
04-20,0.89,0.0,0.0,0.976
04-21,0.98,0.003,0.131,0.744
04-22,1.128,0.005,0.207,0.633
04-23,1.186,0.007,0.312,0.616
04-24,1.448,-0.005,-0.209,0.709
04-25,1.44,-0.007,-0.301,0.709
04-26,1.374,-0.0,-0.009,0.972
04-27,1.503,0.002,0.082,0.898
04-28,1.568,0.003,0.107,0.775
04-29,1.812,0.005,0.195,0.679
04-30,1.678,-0.004,-0.175,0.675
05-01,1.742,-0.008,-0.356,0.408
05-02,1.753,-0.011,-0.472,0.349
05-03,1.972,-0.008,-0.349,0.341
05-04,2.377,-0.012,-0.502,0.593
05-05,2.939,-0.001,-0.022,0.941
05-06,2.993,0.005,0.224,0.727
05-07,2.875,0.03,1.268,0.217
05-08,2.948,0.032,1.355,0.18
05-09,2.878,0.032,1.337,0.236
05-10,2.888,0.019,0.777,0.449
05-11,2.892,0.022,0.907,0.442
05-12,2.898,0.016,0.657,0.609
05-13,2.494,0.012,0.515,0.511
05-14,2.718,0.009,0.372,0.666
05-15,3.036,0.007,0.297,0.807
05-16,3.338,-0.001,-0.06,0.928
05-17,3.828,-0.014,-0.597,0.771
05-18,4.114,-0.001,-0.041,1.0
05-19,4.205,0.023,0.972,0.514
05-20,4.237,0.025,1.044,0.492
05-21,3.976,0.031,1.297,0.382
05-22,4.138,0.022,0.928,0.492
05-23,4.146,0.021,0.866,0.408
05-24,3.872,0.031,1.309,0.333
05-25,3.552,0.031,1.318,0.402
05-26,3.404,0.023,0.959,0.499
05-27,3.267,0.018,0.754,0.6
05-28,2.92,0.013,0.562,0.552
05-29,2.657,0.014,0.595,0.658
05-30,2.442,0.008,0.325,0.834
05-31,2.364,0.013,0.541,0.56
06-01,2.176,0.017,0.728,0.449
06-02,1.989,0.016,0.657,0.492
06-03,1.862,0.015,0.612,0.474
06-04,1.716,0.011,0.444,0.431
06-05,1.62,0.007,0.288,0.585
06-06,1.624,0.006,0.239,0.745
06-07,1.559,0.009,0.394,0.6
06-08,1.504,0.003,0.108,0.791
06-09,1.342,-0.002,-0.088,0.822
06-10,1.252,-0.002,-0.067,0.845
06-11,1.16,0.0,0.006,0.978
06-12,1.184,-0.001,-0.029,0.991
06-13,1.094,-0.001,-0.041,0.916
06-14,1.188,-0.002,-0.075,0.898
06-15,1.086,-0.002,-0.093,0.852
06-16,1.058,-0.005,-0.198,0.727
06-17,1.026,-0.003,-0.11,0.798
06-18,0.998,-0.001,-0.045,0.824
06-19,0.922,-0.002,-0.067,0.755
06-20,0.922,-0.002,-0.073,0.783
06-21,0.825,-0.003,-0.132,0.649
06-22,0.763,-0.001,-0.054,0.889
06-23,0.704,-0.001,-0.03,0.926
06-24,0.67,0.0,0.0,0.981
06-25,0.603,-0.001,-0.056,0.898
06-26,0.612,-0.002,-0.084,0.675
06-27,0.654,-0.001,-0.043,0.834
06-28,0.557,-0.002,-0.084,0.789
06-29,0.514,-0.001,-0.049,0.843
06-30,0.5,0.0,0.0,0.991
07-01,0.52,0.0,0.0,0.916
07-02,0.48,0.0,0.0,0.989
07-03,0.435,0.0,0.0,0.988
07-04,0.436,0.0,0.009,0.884
07-05,0.436,0.001,0.032,0.862
07-06,0.412,0.001,0.031,0.794
07-07,0.42,0.0,0.0,0.984
07-08,0.4,0.0,0.0,1.0
07-09,0.42,0.0,0.0,1.0
07-10,0.4,-0.0,-0.009,0.773
07-11,0.4,-0.0,-0.007,0.77
07-12,0.37,0.0,0.0,0.916
07-13,0.34,0.0,0.0,1.0
07-14,0.335,0.0,0.0,0.953
07-15,0.33,0.0,0.0,0.972
07-16,0.34,0.0,0.0,0.879
07-17,0.318,-0.001,-0.043,0.641
07-18,0.309,-0.001,-0.04,0.67
07-19,0.304,-0.001,-0.032,0.592
07-20,0.294,-0.001,-0.041,0.616
07-21,0.284,-0.001,-0.04,0.498
07-22,0.273,-0.001,-0.052,0.506
07-23,0.277,-0.001,-0.059,0.414
07-24,0.263,-0.001,-0.046,0.434
07-25,0.263,-0.001,-0.054,0.513
07-26,0.263,-0.001,-0.052,0.327
07-27,0.258,-0.002,-0.069,0.171
07-28,0.254,-0.001,-0.037,0.513
07-29,0.26,0.0,0.0,0.915
07-30,0.259,-0.001,-0.028,0.761
07-31,0.25,0.0,0.0,0.852
08-01,0.24,0.0,0.0,0.889
08-02,0.23,0.0,0.0,0.992
08-03,0.235,0.0,0.0,0.972
08-04,0.25,-0.0,-0.013,0.89
08-05,0.235,0.0,0.0,0.971
08-06,0.225,0.0,0.0,0.893
08-07,0.22,0.0,0.0,0.87
08-08,0.22,0.0,0.0,0.978
08-09,0.214,-0.0,-0.015,0.716
08-10,0.22,0.0,0.0,1.0
08-11,0.216,0.0,0.017,0.709
08-12,0.205,0.0,0.0,0.889
08-13,0.2,0.0,0.0,0.879
08-14,0.21,0.0,0.0,0.991
08-15,0.21,0.0,0.0,0.953
08-16,0.2,0.0,0.0,0.898
08-17,0.2,-0.001,-0.023,0.639
08-18,0.195,0.0,0.0,0.879
08-19,0.206,0.0,0.015,0.697
08-20,0.205,0.0,0.0,1.0
08-21,0.195,0.0,0.0,0.743
08-22,0.185,0.0,0.0,0.833
08-23,0.18,0.0,0.0,0.972
08-24,0.185,0.0,0.0,0.779
08-25,0.2,0.0,0.0,0.972
08-26,0.195,0.0,0.0,1.0
08-27,0.2,0.0,0.0,0.815
08-28,0.19,0.0,0.0,0.845
08-29,0.185,0.0,0.0,0.883
08-30,0.19,0.0,0.0,1.0
08-31,0.19,0.0,0.0,0.935
09-01,0.19,0.0,0.0,0.866
09-02,0.18,0.0,0.0,1.0
09-03,0.175,0.0,0.0,0.915
09-04,0.185,0.0,0.0,0.949
09-05,0.18,0.0,0.0,0.789
09-06,0.185,0.0,0.0,1.0
09-07,0.185,0.0,0.0,0.871
09-08,0.175,0.0,0.0,0.819
09-09,0.19,0.0,0.0,0.885
09-10,0.179,-0.0,-0.02,0.615
09-11,0.179,-0.001,-0.026,0.386
09-12,0.19,-0.0,-0.017,0.483
09-13,0.19,0.0,0.0,0.761
09-14,0.19,-0.0,-0.017,0.551
09-15,0.19,0.0,0.0,0.747
09-16,0.19,0.0,0.0,0.976
09-17,0.19,0.0,0.0,0.879
09-18,0.19,0.0,0.0,0.761
09-19,0.19,-0.001,-0.023,0.36
09-20,0.199,-0.0,-0.018,0.335
09-21,0.19,0.0,0.0,0.471
09-22,0.185,0.0,0.0,
09-23,0.186,0.0,0.017,0.508
09-24,0.19,0.0,0.0,0.661
09-25,0.19,0.0,0.0,0.554
09-26,0.185,0.0,0.0,0.96
09-27,0.19,0.0,0.0,0.577
09-28,0.191,0.0,0.018,0.409
09-29,0.186,0.001,0.024,0.264
09-30,0.19,0.0,0.015,0.01
