,mean,slp,chg,pvalue
0,279.908,-0.524,-22.012,0.452
1,273.996,-1.029,-43.221,0.229
2,268.271,-1.158,-48.624,0.124
3,270.973,-1.415,-59.43,0.058
4,265.312,-1.415,-59.431,0.044
5,258.379,-1.132,-47.544,0.09
6,255.742,-0.745,-31.279,0.103
7,257.1,-0.861,-36.175,0.103
8,259.979,-0.762,-32.0,0.071
9,254.328,-0.745,-31.279,0.074
10,254.374,-0.653,-27.429,0.064
11,251.677,-0.386,-16.208,0.09
12,248.922,-0.236,-9.905,0.141
13,256.037,-0.157,-6.603,0.247
14,247.625,0.0,0.0,0.296
15,248.983,-0.113,-4.76,0.296
16,243.324,-0.113,-4.755,0.167
17,244.714,-0.162,-6.795,0.154
18,243.38,0.0,0.0,0.212
19,246.495,0.0,0.0,0.16
20,249.128,0.177,7.429,0.276
21,249.922,0.354,14.858,0.363
22,251.998,0.257,10.805,0.582
23,257.981,0.333,13.983,0.762
24,256.948,0.246,10.336,0.779
25,253.0,0.0,0.0,0.728
26,250.74,0.0,0.0,0.645
27,248.188,-0.283,-11.885,0.493
28,259.758,-0.354,-14.858,0.425
29,260.109,-0.502,-21.094,0.212
30,254.301,-0.797,-33.485,0.257
31,256.88,-1.3,-54.612,0.196
32,250.356,-1.617,-67.92,0.147
33,245.366,-1.687,-70.867,0.167
34,242.015,-1.321,-55.468,0.189
35,241.42,-1.088,-45.715,0.266
36,242.215,-0.92,-38.63,0.307
37,242.293,-0.755,-31.696,0.238
38,242.976,-0.809,-33.96,0.238
39,240.196,-0.708,-29.75,0.247
40,238.102,-0.656,-27.569,0.387
41,230.488,-0.314,-13.207,0.493
42,226.212,-0.377,-15.82,0.567
43,230.584,-0.123,-5.167,0.678
44,229.196,-0.067,-2.82,0.902
45,225.906,0.141,5.943,0.937
46,222.296,0.282,11.844,0.678
47,220.925,0.37,15.522,0.613
48,218.052,0.284,11.928,0.814
49,216.07,0.0,0.0,0.728
50,216.436,-0.118,-4.952,0.582
51,217.721,-0.377,-15.848,0.317
52,217.758,-0.303,-12.735,0.286
53,214.87,-0.419,-17.609,0.296
54,212.073,-0.354,-14.858,0.286
55,209.258,-0.325,-13.671,0.247
56,218.397,-0.435,-18.286,0.286
57,221.183,-0.524,-22.012,0.257
58,216.193,-0.604,-25.382,0.276
59,207.683,-0.643,-27.013,0.276
60,211.981,-0.537,-22.551,0.221
61,213.354,-0.623,-26.157,0.257
62,214.806,-0.548,-23.005,0.229
63,217.596,-0.629,-26.413,0.247
64,210.481,-0.708,-29.715,0.221
65,201.745,-0.63,-26.479,0.266
66,198.94,-0.579,-24.321,0.351
67,200.222,-0.567,-23.8,0.34
68,198.496,-0.629,-26.413,0.317
69,200.771,-0.888,-37.294,0.257
70,203.51,-0.778,-32.685,0.229
71,204.072,-0.796,-33.43,0.286
72,208.971,-0.9,-37.785,0.204
73,206.166,-0.849,-35.657,0.196
74,206.118,-0.943,-39.62,0.174
75,211.543,-1.415,-59.43,0.074
76,214.271,-1.617,-67.92,0.038
77,215.594,-1.801,-75.639,0.044
78,219.876,-1.729,-72.637,0.021
79,216.213,-1.415,-59.43,0.025
80,224.348,-1.273,-53.487,0.032
81,220.096,-1.286,-54.027,0.055
82,227.267,-1.096,-46.042,0.135
83,228.735,-0.99,-41.58,0.141
84,232.983,-0.984,-41.342,0.204
85,232.909,-1.132,-47.544,0.221
86,248.332,-1.415,-59.43,0.257
87,261.303,-0.943,-39.62,0.238
88,275.453,-0.943,-39.62,0.307
89,279.798,-0.745,-31.279,0.307
90,282.62,-0.76,-31.92,0.363
91,274.106,-0.809,-33.96,0.375
92,277.04,-0.6,-25.213,0.412
93,284.179,-0.472,-19.81,0.493
94,285.384,-0.894,-37.535,0.425
95,300.81,-1.171,-49.183,0.212
96,332.33,-0.39,-16.394,0.694
97,334.104,0.327,13.715,0.661
98,334.379,0.878,36.888,0.598
99,322.234,2.058,86.444,0.307
100,322.266,2.123,89.145,0.238
101,354.576,1.651,69.335,0.425
102,372.751,1.213,50.94,0.613
103,375.329,0.708,29.736,0.779
104,381.107,0.943,39.62,0.598
105,394.106,1.472,61.807,0.552
106,408.463,1.887,79.24,0.375
107,448.334,2.388,100.288,0.286
108,486.996,3.302,138.67,0.238
109,523.969,3.669,154.078,0.129
110,558.671,2.322,97.526,0.238
111,582.037,3.773,158.48,0.221
112,592.0,3.891,163.433,0.204
113,623.072,3.773,158.48,0.181
114,650.091,4.043,169.8,0.189
115,712.621,4.582,192.44,0.147
116,783.58,5.0,209.986,0.147
117,825.76,4.459,187.295,0.196
118,822.681,3.962,166.404,0.167
119,808.142,3.184,133.718,0.286
120,804.428,1.415,59.43,0.598
121,856.547,0.943,39.62,0.629
122,995.971,2.453,103.012,0.351
123,963.668,2.935,123.263,0.375
124,985.009,3.17,133.123,0.317
125,1034.236,2.573,108.055,0.425
126,1164.545,2.83,118.86,0.493
127,1247.472,4.545,190.897,0.317
128,1292.8,4.641,194.931,0.351
129,1277.568,8.136,341.722,0.238
130,1369.162,10.205,428.617,0.189
131,1439.206,11.623,488.175,0.196
132,1585.181,14.912,626.3,0.174
133,1665.756,17.58,738.373,0.124
134,1777.24,16.98,713.16,0.174
135,1786.396,15.482,650.234,0.286
136,1828.102,16.823,706.557,0.204
137,1920.821,18.312,769.094,0.135
138,2007.284,21.437,900.365,0.103
139,2316.67,20.439,858.433,0.113
140,2318.713,27.357,1148.98,0.036
141,2401.006,33.461,1405.345,0.012
142,2430.835,33.69,1415.0,0.006
143,2675.058,32.545,1366.891,0.003
144,2888.172,31.444,1320.667,0.004
145,3126.442,26.885,1129.171,0.01
146,3096.303,23.206,974.652,0.049
147,3223.005,21.91,920.206,0.147
148,3419.583,18.867,792.4,0.247
149,3331.326,12.152,510.399,0.522
150,3499.212,8.324,349.588,0.884
151,3651.124,0.849,35.658,0.955
152,3563.961,-3.679,-154.518,0.973
153,3462.202,-9.096,-382.05,0.728
154,3386.802,-18.395,-772.59,0.465
155,3484.438,-21.225,-891.449,0.247
156,3383.77,-24.459,-1027.29,0.124
157,3681.234,-23.832,-1000.926,0.099
158,3671.797,-14.407,-605.105,0.212
159,3689.613,-7.075,-297.15,0.508
160,3634.373,-4.354,-182.862,0.425
161,3564.228,-3.144,-132.067,0.212
162,3578.737,-2.426,-101.88,0.438
163,3706.357,-1.887,-79.24,0.479
164,3660.605,-8.49,-356.58,0.328
165,3602.186,-12.129,-509.4,0.286
166,3586.52,-15.161,-636.75,0.189
167,3659.962,-9.776,-410.607,0.351
168,3733.832,-3.538,-148.575,0.779
169,3763.9,0.0,0.0,0.937
170,3620.985,-2.83,-118.86,0.745
171,3703.763,-7.075,-297.15,0.375
172,3689.042,-8.216,-345.078,0.479
173,3744.308,-10.885,-457.154,0.412
174,3900.01,-10.781,-452.8,0.508
175,3773.333,-9.433,-396.2,0.328
176,3814.31,-12.381,-520.013,0.212
177,3770.975,-14.15,-594.3,0.189
178,3671.139,-15.722,-660.334,0.094
179,3758.398,-11.006,-462.233,0.4
180,3813.425,-14.15,-594.3,0.286
181,3742.675,-14.15,-594.3,0.167
182,3758.112,-11.577,-486.245,0.204
183,3771.618,-12.864,-540.273,0.34
184,3811.067,-18.867,-792.4,0.108
185,3910.546,-18.009,-756.381,0.189
186,3966.162,-19.976,-839.012,0.064
187,3881.439,-19.621,-824.096,0.082
188,3868.805,-16.59,-696.766,0.103
189,3758.594,-10.613,-445.725,0.363
190,3716.396,-10.107,-424.5,0.266
191,3712.446,-18.009,-756.381,0.154
192,3655.417,-18.867,-792.4,0.086
193,3766.258,-23.583,-990.5,0.021
194,3597.013,-22.474,-943.888,0.036
195,3598.817,-18.867,-792.4,0.064
196,3543.274,-16.754,-703.651,0.147
197,3514.917,-16.867,-708.405,0.124
198,3527.312,-20.376,-855.792,0.086
199,3527.393,-20.214,-849.0,0.154
200,3553.065,-25.47,-1069.74,0.071
201,3522.242,-30.515,-1281.621,0.03
202,3453.105,-27.289,-1146.15,0.044
203,3470.474,-20.853,-875.811,0.038
204,3599.865,-16.77,-704.356,0.212
205,3526.719,-21.562,-905.6,0.019
206,3438.722,-27.756,-1165.742,0.005
207,3414.009,-20.582,-864.436,0.013
208,3389.633,-12.735,-534.87,0.103
209,3475.24,-11.32,-475.44,0.16
210,3416.68,-15.238,-640.015,0.055
211,3387.837,-16.327,-685.731,0.044
212,3259.554,-18.193,-764.1,0.09
213,3218.482,-15.436,-648.327,0.154
214,3048.264,-16.272,-683.445,0.113
215,3131.762,-19.076,-801.204,0.038
216,3134.578,-13.442,-564.585,0.174
217,3095.949,-5.801,-243.663,0.4
218,3182.941,-1.617,-67.92,0.694
219,3098.85,0.0,0.0,0.884
220,3082.813,-3.773,-158.48,0.257
221,3097.152,-3.396,-142.632,0.296
222,2928.431,-1.238,-52.002,0.493
223,2840.613,-7.075,-297.15,0.296
224,2780.828,-7.782,-326.865,0.257
225,2910.53,-8.74,-367.068,0.34
226,3151.591,-7.718,-324.164,0.637
227,2929.836,1.572,66.034,0.582
228,2902.518,3.537,148.575,0.661
229,2977.16,11.32,475.44,0.167
230,2920.31,10.821,454.465,0.307
231,2750.107,1.524,64.002,0.973
232,2722.725,3.361,141.146,0.452
233,2723.046,6.831,286.903,0.286
234,2686.283,12.546,526.946,0.113
235,2468.939,8.018,336.77,0.276
236,2442.207,2.664,111.868,0.479
237,2611.854,-0.472,-19.81,0.884
238,2590.269,-1.192,-50.046,0.991
239,2603.018,1.665,69.917,0.598
240,2623.934,6.708,281.742,0.508
241,2430.566,4.851,203.76,0.582
242,2460.851,5.993,251.703,0.613
243,2500.418,3.056,128.369,0.694
244,2254.691,1.192,50.046,0.973
245,2308.548,-4.294,-180.34,0.796
246,2371.855,-7.861,-330.167,0.479
247,2330.152,-6.368,-267.435,0.328
248,2213.178,-8.254,-346.675,0.189
249,2189.712,-1.415,-59.429,0.567
250,2175.057,3.234,135.84,0.762
251,2183.642,9.086,381.603,0.34
252,2117.864,10.539,442.651,0.247
253,2087.042,11.154,468.448,0.425
254,2000.468,7.807,327.889,0.745
255,2068.23,4.661,195.769,0.598
256,1997.814,2.497,104.877,0.479
257,1849.008,-3.622,-152.141,0.849
258,1976.68,-8.639,-362.835,0.522
259,1879.474,-13.443,-564.585,0.4
260,1967.557,-9.905,-416.01,0.493
261,1968.737,-7.547,-316.96,0.629
262,1937.135,-2.83,-118.86,0.762
263,2116.638,8.086,339.6,0.425
264,2195.254,6.839,287.245,0.522
