,mean,slp,chg,pvalue
0,8.72,0.082,3.454,0.725
1,9.37,0.15,6.28,0.497
2,9.96,0.13,5.46,0.546
3,8.83,0.048,2.008,0.9
4,8.32,0.065,2.712,0.801
5,8.6,0.076,3.192,0.687
6,9.54,0.032,1.338,0.96
7,9.42,0.015,0.644,0.88
8,8.74,0.04,1.68,0.88
9,9.061,0.039,1.617,0.88
10,8.49,0.053,2.224,0.9
11,8.46,0.058,2.436,0.725
12,8.74,0.029,1.214,1.0
13,8.09,0.052,2.196,0.841
14,9.65,0.043,1.82,1.0
15,8.49,0.02,0.856,0.98
16,8.09,0.007,0.308,0.782
17,10.05,-0.063,-2.65,0.167
18,9.82,-0.072,-3.004,0.066
19,10.33,-0.079,-3.298,0.53
20,10.22,-0.013,-0.532,0.481
21,11.63,0.079,3.3,0.687
22,12.71,0.145,6.09,0.421
23,15.88,0.07,2.952,0.86
24,11.21,-0.038,-1.596,0.481
25,9.88,0.023,0.95,0.436
26,9.4,0.048,2.0,0.86
27,9.65,0.055,2.296,0.821
28,10.22,0.056,2.332,0.782
29,12.71,0.037,1.566,0.94
30,11.72,-0.04,-1.68,0.466
31,11.21,-0.039,-1.652,0.269
32,12.93,-0.115,-4.85,0.841
33,13.02,-0.137,-5.762,0.451
34,12.08,-0.034,-1.428,0.481
35,13.16,-0.041,-1.74,0.436
36,13.61,-0.106,-4.434,0.152
37,14.23,-0.054,-2.26,0.421
38,14.07,0.019,0.808,0.563
39,11.69,-0.011,-0.472,0.651
40,12.34,-0.107,-4.5,0.481
41,12.48,-0.133,-5.574,0.563
42,15.42,-0.016,-0.666,1.0
43,13.47,0.013,0.536,0.9
44,13.84,0.015,0.645,0.725
45,14.01,-0.049,-2.074,0.633
46,13.3,-0.136,-5.712,0.092
47,14.12,-0.045,-1.89,0.131
48,13.22,-0.078,-3.29,0.327
49,14.55,-0.058,-2.454,0.379
50,12.9,-0.124,-5.198,0.706
51,12.25,-0.076,-3.192,0.466
52,15.0,0.033,1.39,0.782
53,16.41,0.128,5.394,0.497
54,15.14,0.178,7.49,0.315
55,15.9,0.113,4.746,0.546
56,17.69,0.307,12.88,0.365
57,18.79,0.035,1.46,0.53
58,18.71,-0.014,-0.58,0.481
59,17.8,-0.079,-3.298,0.303
60,17.38,-0.027,-1.144,0.597
61,16.07,0.014,0.596,0.801
62,15.08,0.074,3.114,0.497
63,15.68,-0.119,-5.006,0.339
64,18.54,-0.177,-7.42,0.291
65,16.7,-0.13,-5.46,0.421
66,17.49,-0.011,-0.468,0.801
67,17.06,-0.024,-1.012,0.597
68,16.36,-0.015,-0.63,0.436
69,15.76,0.072,3.03,0.98
70,15.79,0.229,9.632,0.152
71,16.19,0.071,2.966,0.763
72,15.93,0.027,1.134,0.763
73,14.72,0.144,6.044,0.513
74,13.5,0.126,5.302,0.563
75,13.19,0.094,3.952,0.88
76,12.74,0.015,0.65,0.744
77,13.75,-0.049,-2.076,0.497
78,14.55,-0.135,-5.67,0.269
79,15.51,-0.209,-8.768,0.083
80,14.46,-0.168,-7.035,0.145
81,13.19,-0.11,-4.62,0.352
82,13.5,-0.121,-5.1,0.407
83,13.13,-0.134,-5.624,0.159
84,13.56,-0.086,-3.612,0.247
85,13.02,-0.045,-1.89,0.327
