,mean,slp,chg,pvalue
01-01,20.486,-0.029,-1.2,0.508
01-02,20.287,-0.025,-1.05,0.582
01-03,19.992,-0.017,-0.7,0.728
01-04,19.846,-0.009,-0.381,0.849
01-05,19.802,0.005,0.21,1.0
01-06,19.454,0.008,0.35,0.902
01-07,19.107,0.014,0.6,0.796
01-08,18.559,0.018,0.75,0.661
01-09,18.363,0.025,1.05,0.678
01-10,18.309,0.018,0.75,0.661
01-11,18.212,0.023,0.955,0.678
01-12,18.109,0.018,0.75,0.629
01-13,18.01,0.019,0.807,0.613
01-14,18.01,0.019,0.787,0.779
01-15,17.908,0.017,0.7,0.711
01-16,17.908,0.017,0.7,0.796
01-17,17.906,0.014,0.573,0.779
01-18,17.756,0.012,0.509,0.814
01-19,17.657,0.015,0.63,0.711
01-20,17.508,0.017,0.7,0.745
01-21,17.31,0.021,0.875,0.728
01-22,17.11,0.021,0.875,0.613
01-23,17.162,0.023,0.955,0.661
01-24,17.21,0.019,0.807,0.745
01-25,17.162,0.023,0.98,0.661
01-26,17.114,0.027,1.145,0.661
01-27,16.966,0.032,1.355,0.567
01-28,16.818,0.036,1.527,0.387
01-29,16.524,0.047,1.989,0.351
01-30,16.422,0.045,1.909,0.375
01-31,16.322,0.044,1.838,0.351
02-01,16.169,0.037,1.547,0.363
02-02,16.069,0.038,1.615,0.286
02-03,15.971,0.041,1.711,0.317
02-04,16.221,0.041,1.703,0.363
02-05,16.319,0.038,1.615,0.351
02-06,16.27,0.038,1.615,0.34
02-07,16.221,0.041,1.729,0.328
02-08,16.021,0.043,1.8,0.34
02-09,15.821,0.043,1.8,0.328
02-10,15.621,0.043,1.8,0.351
02-11,15.521,0.043,1.8,0.351
02-12,15.369,0.038,1.6,0.4
02-13,15.318,0.036,1.5,0.4
02-14,15.218,0.036,1.512,0.328
02-15,15.17,0.039,1.633,0.328
02-16,15.02,0.038,1.615,0.276
02-17,14.822,0.044,1.848,0.317
02-18,14.723,0.045,1.89,0.323
02-19,14.67,0.04,1.68,0.266
02-20,14.621,0.043,1.8,0.247
02-21,14.472,0.046,1.925,0.296
02-22,14.322,0.045,1.89,0.212
02-23,14.222,0.044,1.867,0.276
02-24,14.318,0.037,1.575,0.317
02-25,14.268,0.038,1.575,0.375
02-26,14.268,0.037,1.575,0.438
02-27,14.218,0.038,1.575,0.412
02-28,14.119,0.037,1.555,0.479
03-01,14.063,0.026,1.112,0.375
03-02,14.062,0.025,1.049,0.286
03-03,14.014,0.027,1.145,0.4
03-04,13.963,0.026,1.112,0.465
03-05,13.962,0.025,1.049,0.508
03-06,13.862,0.024,1.014,0.645
03-07,13.812,0.024,1.014,0.678
03-08,13.76,0.021,0.869,0.762
03-09,13.711,0.023,0.96,0.745
03-10,13.562,0.025,1.049,0.849
03-11,13.311,0.022,0.934,0.779
03-12,13.262,0.024,1.018,0.919
03-13,13.212,0.024,0.988,0.955
03-14,13.262,0.024,0.988,0.991
03-15,13.463,0.025,1.05,0.919
03-16,13.512,0.024,0.988,0.831
03-17,13.46,0.021,0.885,0.762
03-18,13.413,0.025,1.05,0.629
03-19,13.413,0.025,1.051,0.645
03-20,13.314,0.029,1.2,0.582
03-21,13.414,0.026,1.105,0.582
03-22,13.563,0.026,1.088,0.678
03-23,13.663,0.026,1.096,0.613
03-24,13.86,0.021,0.885,0.582
03-25,13.708,0.018,0.741,0.598
03-26,13.657,0.015,0.623,0.728
03-27,13.706,0.012,0.525,0.745
03-28,13.802,0.005,0.221,0.902
03-29,13.605,0.009,0.394,0.814
03-30,13.404,0.008,0.336,0.831
03-31,13.303,0.005,0.21,0.849
04-01,13.353,0.006,0.254,0.796
04-02,13.504,0.009,0.381,0.762
04-03,13.908,0.016,0.672,0.728
04-04,14.211,0.022,0.934,0.779
04-05,14.312,0.025,1.049,0.831
04-06,14.258,0.017,0.7,0.937
04-07,14.305,0.01,0.434,0.991
04-08,14.402,0.006,0.233,0.728
04-09,14.656,0.011,0.467,0.728
04-10,15.161,0.022,0.934,0.849
04-11,15.664,0.027,1.145,0.991
04-12,16.262,0.026,1.077,0.955
04-13,16.718,0.037,1.575,0.902
04-14,17.067,0.033,1.4,0.955
04-15,17.521,0.043,1.8,0.991
04-16,17.967,0.034,1.448,0.884
04-17,18.472,0.044,1.867,0.991
04-18,19.312,0.025,1.049,0.973
04-19,20.918,0.038,1.575,0.973
04-20,23.544,0.086,3.627,0.831
04-21,25.156,0.112,4.725,0.814
04-22,25.869,0.138,5.8,0.814
04-23,26.848,0.196,8.218,0.779
04-24,29.957,0.214,9.0,0.661
04-25,34.661,0.223,9.348,0.694
04-26,38.35,0.2,8.4,0.711
04-27,41.585,0.271,11.365,0.629
04-28,42.958,0.318,13.341,0.465
04-29,47.75,0.3,12.6,0.598
04-30,57.096,0.194,8.129,0.796
05-01,67.458,0.118,4.941,0.849
05-02,76.488,0.076,3.2,0.831
05-03,87.998,0.294,12.353,0.661
05-04,93.337,0.275,11.55,0.598
05-05,98.9,0.3,12.6,0.567
05-06,98.667,0.433,18.2,0.537
05-07,99.167,0.533,22.4,0.522
05-08,119.868,0.737,30.975,0.522
05-09,130.496,0.992,41.65,0.406
05-10,148.14,1.28,53.76,0.266
05-11,159.389,1.778,74.666,0.154
05-12,170.971,1.941,81.529,0.135
05-13,187.607,2.214,93.0,0.141
05-14,196.833,2.667,112.0,0.154
05-15,202.75,2.5,105.0,0.221
05-16,215.621,2.242,94.182,0.247
05-17,233.625,2.25,94.5,0.238
05-18,253.176,2.353,98.823,0.189
05-19,266.5,3.0,126.0,0.167
05-20,281.14,3.28,137.76,0.141
05-21,294.238,3.476,146.0,0.118
05-22,294.412,3.824,160.588,0.074
05-23,308.267,4.533,190.4,0.029
05-24,315.667,4.333,182.0,0.019
05-25,343.87,4.741,199.111,0.015
05-26,381.311,4.622,194.108,0.009
05-27,386.667,3.333,140.0,0.017
05-28,403.583,2.167,91.0,0.042
05-29,420.97,1.941,81.529,0.221
05-30,432.917,1.833,77.0,0.493
