,mean,slp,chg,pvalue
0,1.716,-0.003,-0.121,0.529
1,1.59,-0.0,-0.017,0.735
2,1.626,-0.003,-0.114,0.425
3,1.887,-0.005,-0.21,0.226
4,2.278,0.016,0.663,0.468
5,2.51,0.05,2.091,0.077
6,2.122,0.045,1.895,0.056
7,2.116,0.068,2.841,0.018
8,2.57,0.077,3.241,0.033
9,3.179,0.036,1.504,0.578
10,2.848,0.026,1.081,0.514
11,2.965,0.023,0.986,0.885
12,2.682,0.058,2.438,0.11
13,2.454,0.026,1.075,0.529
14,2.18,0.007,0.274,0.923
15,2.141,0.0,0.018,0.663
16,2.314,0.023,0.951,0.681
17,2.282,0.038,1.603,0.498
18,2.376,0.034,1.416,0.333
19,1.86,0.026,1.105,0.168
20,2.122,0.035,1.45,0.056
21,2.096,0.027,1.146,0.31
22,2.518,0.023,0.945,0.545
23,2.406,0.034,1.417,0.483
24,2.134,0.03,1.24,0.397
25,2.085,0.026,1.103,0.287
26,2.393,0.009,0.372,0.942
27,2.088,0.009,0.366,0.866
28,2.32,0.021,0.863,0.681
29,2.725,0.023,0.976,0.595
30,2.346,0.021,0.87,0.699
31,2.306,0.01,0.437,0.885
32,2.092,0.008,0.336,0.961
33,1.943,0.009,0.373,0.981
34,1.971,0.041,1.702,0.14
35,2.021,0.047,1.981,0.082
36,2.133,0.035,1.467,0.053
37,2.003,0.029,1.198,0.026
38,1.632,0.024,1.019,0.07
39,2.027,0.025,1.051,0.147
40,1.808,0.015,0.64,0.236
41,1.432,0.004,0.183,0.681
42,2.131,0.004,0.166,0.663
43,2.158,-0.011,-0.463,0.942
44,1.998,-0.011,-0.481,0.772
45,1.888,-0.002,-0.069,0.904
46,2.092,0.008,0.315,0.578
47,1.992,-0.006,-0.231,0.772
48,2.819,-0.017,-0.72,0.498
49,2.471,-0.043,-1.79,0.175
50,2.182,-0.039,-1.635,0.183
51,2.037,-0.042,-1.767,0.077
52,1.998,-0.031,-1.314,0.217
53,1.798,-0.025,-1.039,0.09
54,1.67,-0.034,-1.421,0.073
55,1.58,-0.033,-1.395,0.077
56,1.79,-0.04,-1.686,0.127
57,1.594,-0.041,-1.727,0.04
58,1.44,-0.03,-1.253,0.059
59,1.437,-0.009,-0.368,0.828
60,1.586,-0.006,-0.233,0.904
61,1.677,0.011,0.476,0.611
62,1.95,-0.007,-0.29,0.942
63,1.612,-0.002,-0.095,0.663
64,1.485,-0.013,-0.563,0.942
65,1.492,-0.012,-0.513,0.772
66,1.596,0.001,0.03,0.809
67,1.886,0.014,0.592,0.371
68,2.625,0.01,0.411,0.663
69,2.201,0.011,0.458,0.772
70,2.606,0.034,1.447,0.175
71,2.43,0.036,1.527,0.1
72,2.606,0.074,3.089,0.01
73,2.383,0.066,2.752,0.01
74,2.298,0.059,2.46,0.003
75,2.165,0.037,1.559,0.012
76,1.942,0.028,1.187,0.208
77,1.774,0.022,0.935,0.073
78,2.11,0.03,1.26,0.226
79,2.264,0.033,1.367,0.2
80,2.392,0.028,1.157,0.425
81,2.027,0.015,0.623,0.514
82,2.01,0.013,0.563,0.371
83,1.892,0.014,0.589,0.266
84,1.998,0.032,1.348,0.077
85,1.983,0.042,1.749,0.031
86,1.93,0.046,1.949,0.024
87,2.155,0.05,2.1,0.045
88,2.204,0.062,2.615,0.059
89,2.294,0.05,2.089,0.09
90,2.371,0.028,1.156,0.545
91,1.872,0.008,0.323,0.772
92,1.688,-0.008,-0.325,0.191
93,1.916,-0.006,-0.26,0.529
94,1.828,0.009,0.383,0.611
95,2.053,0.019,0.79,0.529
96,2.27,0.033,1.39,0.217
97,2.8,0.017,0.721,0.578
98,2.523,0.005,0.218,0.699
99,2.108,0.009,0.362,0.561
100,2.114,-0.001,-0.037,1.0
101,2.138,-0.011,-0.482,0.595
102,2.253,-0.018,-0.766,0.753
103,2.296,-0.016,-0.674,0.646
104,2.146,-0.019,-0.795,0.321
105,2.278,-0.018,-0.76,0.226
106,2.466,0.001,0.045,0.772
107,2.289,-0.011,-0.448,0.961
108,2.018,-0.012,-0.485,0.578
109,1.998,-0.008,-0.342,0.578
110,2.052,-0.005,-0.228,0.529
111,1.793,-0.004,-0.187,0.611
112,1.771,-0.016,-0.686,0.183
113,2.119,-0.004,-0.176,0.699
114,2.038,0.009,0.377,0.545
115,1.99,0.001,0.023,0.961
116,2.106,-0.003,-0.123,0.885
117,2.553,-0.011,-0.48,0.498
118,2.276,-0.016,-0.691,0.384
119,1.922,-0.012,-0.494,0.345
120,1.918,-0.025,-1.038,0.122
121,1.994,-0.024,-0.997,0.053
122,2.046,-0.012,-0.509,0.333
123,2.074,-0.005,-0.189,0.809
124,2.019,0.013,0.538,0.14
125,1.98,0.014,0.573,0.191
126,1.958,0.008,0.349,0.226
127,1.975,0.003,0.142,0.942
128,1.674,-0.004,-0.185,0.809
129,1.654,-0.011,-0.459,0.453
130,1.604,-0.008,-0.327,0.79
131,1.754,-0.007,-0.306,0.961
132,1.695,0.0,0.0,0.611
133,1.874,-0.008,-0.315,0.79
134,1.914,0.006,0.252,0.595
135,1.779,0.012,0.513,0.371
136,1.608,0.005,0.205,0.828
137,1.472,-0.005,-0.229,0.439
138,1.695,-0.01,-0.439,0.255
139,1.602,-0.019,-0.784,0.255
140,1.542,-0.012,-0.494,0.397
141,1.928,-0.008,-0.333,0.514
142,1.788,-0.005,-0.217,0.717
143,1.775,-0.01,-0.42,0.425
144,1.628,-0.018,-0.771,0.1
145,1.813,-0.001,-0.056,0.904
146,1.762,0.001,0.054,0.809
147,1.789,0.006,0.265,0.628
148,2.19,0.016,0.691,0.371
149,1.912,0.001,0.056,0.79
150,1.705,0.0,0.0,0.717
151,2.27,-0.004,-0.155,0.717
152,1.76,0.01,0.407,0.663
153,1.595,-0.007,-0.28,0.514
154,1.466,-0.013,-0.557,0.246
155,1.713,-0.024,-1.027,0.2
156,1.591,-0.013,-0.538,0.439
157,1.44,-0.009,-0.395,0.384
158,1.396,-0.006,-0.273,0.371
159,1.558,-0.005,-0.192,0.411
160,1.342,-0.019,-0.79,0.147
161,1.322,-0.016,-0.663,0.14
162,1.313,-0.014,-0.606,0.2
163,1.44,-0.013,-0.554,0.147
164,1.52,-0.013,-0.539,0.105
165,1.422,-0.012,-0.521,0.153
166,1.236,-0.006,-0.269,0.514
167,1.128,-0.018,-0.745,0.07
168,1.118,-0.015,-0.637,0.086
169,1.093,-0.021,-0.9,0.053
170,1.312,-0.016,-0.655,0.095
171,1.192,-0.016,-0.663,0.026
172,1.089,-0.014,-0.58,0.047
173,1.035,-0.013,-0.543,0.066
174,0.916,-0.002,-0.091,0.611
175,0.966,-0.002,-0.1,0.397
176,0.964,-0.011,-0.459,0.168
177,0.794,-0.014,-0.586,0.14
178,0.928,-0.008,-0.347,0.287
179,0.838,-0.011,-0.476,0.105
180,0.782,-0.012,-0.487,0.033
181,0.74,-0.02,-0.832,0.017
182,0.872,-0.032,-1.346,0.022
183,0.926,-0.026,-1.083,0.003
184,0.726,-0.023,-0.958,0.001
185,0.754,-0.02,-0.859,0.004
186,0.902,-0.015,-0.646,0.042
187,0.796,-0.009,-0.39,0.246
188,0.8,-0.006,-0.259,0.663
189,0.751,-0.006,-0.24,0.942
190,0.74,-0.01,-0.42,0.39
191,0.71,-0.017,-0.704,0.018
192,0.624,-0.017,-0.723,0.007
193,0.642,-0.015,-0.629,0.006
194,0.544,-0.014,-0.594,0.003
195,0.534,-0.014,-0.599,0.019
196,0.502,-0.015,-0.648,0.01
197,0.418,-0.014,-0.603,0.0
198,0.398,-0.011,-0.472,0.001
199,0.38,-0.01,-0.42,0.009
200,0.446,-0.009,-0.383,0.015
201,0.409,-0.011,-0.448,0.007
202,0.368,-0.008,-0.34,0.023
203,0.402,-0.005,-0.211,0.077
204,0.339,-0.004,-0.172,0.266
205,0.351,-0.003,-0.11,0.255
206,0.367,-0.002,-0.082,0.397
207,0.337,-0.002,-0.092,0.371
208,0.322,-0.002,-0.084,0.298
209,0.296,-0.003,-0.108,0.2
210,0.296,-0.003,-0.107,0.122
211,0.27,-0.003,-0.127,0.082
212,0.256,-0.003,-0.124,0.127
213,0.27,-0.003,-0.132,0.059
214,0.26,-0.003,-0.117,0.082
215,0.256,-0.002,-0.103,0.105
216,0.242,-0.002,-0.091,0.11
217,0.232,-0.002,-0.086,0.082
218,0.226,-0.002,-0.101,0.082
219,0.237,-0.002,-0.076,0.134
220,0.217,-0.002,-0.08,0.116
221,0.222,-0.002,-0.071,0.134
222,0.213,-0.002,-0.064,0.153
223,0.213,-0.001,-0.054,0.183
224,0.22,0.0,0.0,0.446
225,0.204,-0.001,-0.026,0.266
226,0.189,-0.001,-0.032,0.191
227,0.179,-0.001,-0.038,0.2
228,0.182,-0.002,-0.069,0.013
229,0.187,-0.002,-0.076,0.012
230,0.177,-0.002,-0.076,0.037
231,0.168,-0.002,-0.067,0.105
232,0.167,-0.002,-0.077,0.086
233,0.177,-0.002,-0.078,0.276
234,0.182,-0.002,-0.097,0.147
235,0.162,-0.002,-0.076,0.191
236,0.158,-0.001,-0.052,0.425
237,0.138,-0.001,-0.047,0.397
238,0.138,-0.002,-0.065,0.073
239,0.152,-0.001,-0.059,0.134
240,0.198,-0.001,-0.056,0.411
241,0.232,-0.002,-0.065,0.483
242,0.232,-0.002,-0.071,0.561
243,0.27,-0.003,-0.137,0.161
244,0.272,-0.005,-0.21,0.31
245,0.275,-0.004,-0.148,0.772
246,0.24,-0.003,-0.14,0.772
247,0.236,-0.006,-0.24,0.468
248,0.236,-0.006,-0.25,0.208
249,0.25,-0.003,-0.14,0.498
250,0.244,-0.005,-0.191,0.529
251,0.293,-0.005,-0.21,0.425
252,0.328,-0.001,-0.052,1.0
253,0.312,-0.002,-0.069,0.828
254,0.258,-0.002,-0.071,0.79
255,0.24,-0.003,-0.131,0.468
256,0.23,-0.003,-0.137,0.371
257,0.235,-0.004,-0.148,0.287
258,0.324,-0.001,-0.032,0.809
259,0.317,0.001,0.048,0.717
260,0.329,0.003,0.124,0.453
261,0.447,0.012,0.487,0.191
262,0.402,0.008,0.332,0.191
263,0.358,0.005,0.211,0.217
264,0.358,0.008,0.357,0.11
265,0.389,0.003,0.112,1.0
266,0.363,0.005,0.222,0.646
267,0.345,0.007,0.28,0.468
268,0.375,0.003,0.144,0.828
269,0.498,-0.002,-0.063,0.772
270,0.401,-0.002,-0.087,1.0
271,0.434,-0.001,-0.038,1.0
272,0.418,0.002,0.084,0.529
273,0.384,0.003,0.108,0.735
274,0.431,0.001,0.028,0.628
275,0.44,0.0,0.0,0.961
276,0.468,-0.001,-0.029,0.79
277,0.428,-0.001,-0.039,0.646
278,0.429,-0.001,-0.03,0.735
279,0.435,0.003,0.146,0.735
280,0.422,0.005,0.204,0.514
281,0.404,0.003,0.108,0.904
282,0.738,0.005,0.21,0.772
283,0.904,0.006,0.246,0.717
284,0.776,0.007,0.306,0.545
285,1.605,0.01,0.42,0.717
286,1.256,0.01,0.439,0.411
287,1.015,0.007,0.293,0.498
288,1.27,0.023,0.98,0.439
289,1.317,0.031,1.312,0.04
290,1.492,0.078,3.255,0.035
291,1.49,0.05,2.094,0.004
292,1.438,0.036,1.499,0.011
293,1.691,0.027,1.134,0.062
294,1.836,0.004,0.185,0.31
295,1.432,-0.002,-0.101,0.439
296,1.29,-0.003,-0.121,0.866
297,1.352,-0.015,-0.644,0.578
298,1.26,-0.017,-0.707,0.578
299,1.805,-0.04,-1.688,0.168
300,1.878,-0.025,-1.038,0.595
301,2.398,0.025,1.055,0.147
302,2.662,0.024,1.021,0.246
303,2.779,0.023,0.959,0.753
304,2.995,0.02,0.85,0.904
305,2.342,0.048,2.009,0.321
306,2.782,0.032,1.328,0.717
307,3.46,0.007,0.288,0.923
308,2.722,0.004,0.177,0.923
309,3.542,-0.002,-0.067,0.809
310,3.657,0.001,0.056,0.753
311,3.049,-0.008,-0.318,0.699
312,2.94,0.0,0.0,0.772
313,2.043,0.002,0.09,0.611
314,2.523,-0.025,-1.034,0.333
315,3.549,0.02,0.82,0.961
316,3.588,0.032,1.344,0.333
317,3.218,0.049,2.038,0.217
318,3.306,0.051,2.135,0.663
319,3.77,0.05,2.101,0.735
320,2.85,0.03,1.266,0.397
321,3.414,-0.011,-0.444,0.735
322,3.102,-0.029,-1.206,0.276
323,2.71,-0.047,-1.958,0.062
324,2.548,-0.031,-1.293,0.236
325,3.818,-0.004,-0.179,0.847
326,3.472,-0.002,-0.087,0.942
327,3.816,0.0,0.013,0.981
328,2.868,0.019,0.799,0.453
329,2.336,0.028,1.155,0.2
330,2.534,0.006,0.26,0.699
331,2.865,0.003,0.128,0.735
332,2.513,-0.005,-0.194,0.866
333,3.748,0.015,0.64,0.628
334,3.933,0.042,1.775,0.735
335,3.051,0.003,0.145,0.847
336,2.518,-0.015,-0.626,0.595
337,1.99,-0.016,-0.688,0.772
338,2.343,-0.012,-0.491,0.681
339,2.119,-0.004,-0.172,0.79
340,2.403,-0.011,-0.48,0.681
341,2.732,-0.028,-1.195,0.483
342,2.684,-0.024,-1.017,0.646
343,2.794,-0.027,-1.129,0.646
344,3.069,-0.001,-0.023,0.468
345,2.383,-0.005,-0.195,0.483
346,2.286,-0.01,-0.403,0.681
347,2.91,-0.05,-2.117,0.681
348,2.686,-0.04,-1.662,0.255
349,2.668,-0.005,-0.213,0.942
350,2.212,0.008,0.344,0.371
351,2.28,0.02,0.849,0.122
352,2.017,0.031,1.297,0.07
353,2.275,0.04,1.68,0.018
354,1.893,0.019,0.784,0.14
355,1.527,0.008,0.33,0.498
356,1.656,0.021,0.865,0.2
357,1.69,0.034,1.419,0.095
358,1.669,0.029,1.237,0.062
359,1.699,0.009,0.39,0.514
360,1.618,0.012,0.506,0.425
361,1.828,0.039,1.637,0.035
362,1.722,0.034,1.443,0.11
363,1.554,0.016,0.685,0.236
364,1.474,0.003,0.108,0.498
