,mean,slp,chg,pvalue
0,4.128,0.028,1.178,0.029
1,4.029,0.029,1.22,0.02
2,3.978,0.029,1.207,0.028
3,3.899,0.029,1.226,0.019
4,3.781,0.031,1.294,0.023
5,3.71,0.031,1.297,0.012
6,3.661,0.031,1.319,0.007
7,3.641,0.031,1.295,0.004
8,3.619,0.029,1.236,0.008
9,3.518,0.028,1.184,0.008
10,3.508,0.027,1.155,0.011
11,3.558,0.028,1.186,0.009
12,3.529,0.029,1.2,0.009
13,3.507,0.027,1.144,0.008
14,3.496,0.027,1.125,0.005
15,3.475,0.025,1.05,0.005
16,3.454,0.024,0.996,0.004
17,3.424,0.024,1.016,0.007
18,3.325,0.025,1.054,0.005
19,3.354,0.025,1.035,0.008
20,3.324,0.025,1.039,0.011
21,3.284,0.024,1.023,0.013
22,3.264,0.024,1.006,0.017
23,3.22,0.021,0.873,0.02
24,3.122,0.022,0.916,0.019
25,3.07,0.02,0.861,0.023
26,3.12,0.02,0.828,0.041
27,3.129,0.019,0.804,0.044
28,3.109,0.018,0.771,0.071
29,3.079,0.019,0.78,0.075
30,3.119,0.019,0.798,0.067
31,3.068,0.017,0.731,0.091
32,3.018,0.019,0.777,0.083
33,3.019,0.019,0.794,0.079
34,3.019,0.019,0.788,0.075
35,2.988,0.018,0.771,0.071
36,2.989,0.019,0.798,0.071
37,2.958,0.018,0.768,0.105
38,2.94,0.02,0.828,0.067
39,2.872,0.022,0.93,0.046
40,2.851,0.02,0.861,0.039
41,2.829,0.019,0.812,0.055
42,2.808,0.019,0.785,0.071
43,2.817,0.017,0.7,0.098
44,2.826,0.015,0.643,0.133
45,2.845,0.015,0.62,0.133
46,2.835,0.015,0.645,0.096
47,2.846,0.016,0.655,0.116
48,2.843,0.014,0.571,0.121
49,2.813,0.013,0.548,0.127
50,2.812,0.012,0.496,0.159
51,2.761,0.011,0.466,0.173
52,2.71,0.01,0.42,0.152
53,2.662,0.012,0.494,0.159
54,2.632,0.011,0.483,0.18
55,2.592,0.012,0.502,0.18
56,2.701,0.011,0.462,0.159
57,2.69,0.01,0.404,0.166
58,2.638,0.007,0.311,0.279
59,2.608,0.008,0.346,0.334
60,2.508,0.008,0.338,0.311
61,2.497,0.007,0.292,0.334
62,2.527,0.007,0.298,0.249
63,2.556,0.007,0.275,0.3
64,2.506,0.006,0.26,0.357
65,2.415,0.005,0.214,0.463
66,2.415,0.005,0.195,0.522
67,2.414,0.003,0.145,0.584
68,2.403,0.003,0.118,0.6
69,2.404,0.004,0.187,0.507
70,2.405,0.005,0.206,0.568
71,2.436,0.006,0.233,0.421
72,2.406,0.006,0.25,0.421
73,2.456,0.006,0.254,0.449
74,2.456,0.006,0.266,0.421
75,2.456,0.006,0.248,0.37
76,2.425,0.005,0.21,0.463
77,2.424,0.004,0.168,0.507
78,2.484,0.004,0.164,0.552
79,2.476,0.005,0.215,0.463
80,2.465,0.005,0.2,0.37
81,2.504,0.004,0.174,0.463
82,2.504,0.004,0.158,0.477
83,2.485,0.005,0.21,0.382
84,2.456,0.006,0.25,0.395
85,2.447,0.007,0.298,0.37
86,2.436,0.007,0.287,0.421
87,2.456,0.006,0.254,0.522
88,2.506,0.005,0.231,0.492
89,2.456,0.006,0.271,0.421
90,2.508,0.007,0.315,0.449
91,2.506,0.006,0.265,0.463
92,2.557,0.007,0.282,0.477
93,2.605,0.005,0.2,0.552
94,2.596,0.006,0.233,0.492
95,2.586,0.006,0.231,0.552
96,2.587,0.007,0.286,0.463
97,2.608,0.007,0.301,0.463
98,2.608,0.007,0.315,0.463
99,2.606,0.007,0.283,0.522
100,2.63,0.009,0.385,0.395
101,2.64,0.01,0.42,0.357
102,2.66,0.01,0.42,0.357
103,2.67,0.01,0.42,0.382
104,2.69,0.01,0.42,0.357
105,2.71,0.01,0.42,0.322
106,2.77,0.01,0.437,0.334
107,2.811,0.011,0.468,0.3
108,2.823,0.013,0.54,0.289
109,2.822,0.012,0.516,0.289
110,2.883,0.013,0.548,0.289
111,3.004,0.013,0.565,0.289
112,3.112,0.012,0.513,0.289
113,3.164,0.014,0.567,0.258
114,3.196,0.016,0.655,0.249
115,3.217,0.017,0.714,0.279
116,3.416,0.016,0.676,0.345
117,3.613,0.013,0.558,0.507
118,3.914,0.013,0.563,0.701
