,mean,slp,chg,pvalue
0,5.699,-0.001,-0.042,0.65
1,5.68,-0.0,-0.009,0.718
2,5.652,0.001,0.055,0.861
3,5.552,0.002,0.08,0.861
4,5.503,0.003,0.136,0.861
5,5.503,0.003,0.122,0.753
6,5.384,0.004,0.181,0.898
7,5.397,0.007,0.28,0.954
8,5.388,0.008,0.344,0.991
9,5.409,0.009,0.386,0.972
10,5.31,0.01,0.412,0.972
11,5.255,0.005,0.21,0.916
12,5.244,0.004,0.168,0.861
13,5.223,0.003,0.14,0.898
14,5.225,0.005,0.214,0.807
15,5.205,0.005,0.216,0.935
16,5.206,0.006,0.233,0.935
17,5.157,0.007,0.286,0.954
18,5.127,0.007,0.3,0.825
19,5.118,0.008,0.321,0.789
20,5.106,0.006,0.235,0.972
21,5.056,0.006,0.245,1.0
22,4.988,0.008,0.343,0.807
23,4.996,0.005,0.227,0.935
24,5.008,0.008,0.334,0.935
25,5.008,0.008,0.347,0.972
26,4.962,0.011,0.475,0.88
27,4.932,0.012,0.502,0.735
28,4.861,0.011,0.479,0.753
29,4.861,0.012,0.485,0.753
30,4.791,0.011,0.473,0.6
31,4.812,0.012,0.508,0.718
32,4.791,0.011,0.473,0.701
33,4.79,0.01,0.403,0.735
34,4.707,0.007,0.3,0.789
35,4.677,0.007,0.294,0.735
36,4.656,0.007,0.285,0.843
37,4.637,0.007,0.296,0.861
38,4.618,0.008,0.322,0.771
39,4.609,0.009,0.392,0.584
40,4.601,0.011,0.454,0.568
41,4.633,0.013,0.552,0.382
42,4.614,0.014,0.593,0.382
43,4.574,0.014,0.601,0.408
44,4.616,0.016,0.655,0.213
45,4.555,0.015,0.638,0.268
46,4.473,0.013,0.56,0.249
47,4.452,0.012,0.514,0.289
48,4.509,0.009,0.38,0.537
49,4.508,0.008,0.328,0.568
50,4.406,0.006,0.248,0.666
51,4.356,0.006,0.246,0.771
52,4.326,0.006,0.245,0.666
53,4.406,0.006,0.239,0.65
54,4.405,0.005,0.21,0.771
55,4.422,0.003,0.115,0.735
56,4.422,0.001,0.057,0.861
57,4.382,0.003,0.117,0.666
58,4.383,0.003,0.13,0.65
59,4.224,0.004,0.187,0.507
60,4.284,0.005,0.195,0.616
61,4.343,0.003,0.12,0.666
62,4.303,0.003,0.122,0.753
63,4.284,0.004,0.166,0.65
64,4.364,0.004,0.168,0.65
65,4.302,0.001,0.059,0.753
66,4.31,-0.0,-0.013,0.972
67,4.278,-0.002,-0.078,0.616
68,4.375,-0.005,-0.21,0.345
69,4.296,-0.004,-0.155,0.395
70,4.398,-0.003,-0.107,0.507
71,4.188,-0.001,-0.053,0.701
72,4.198,-0.002,-0.09,0.552
73,4.217,-0.003,-0.111,0.449
74,4.246,-0.004,-0.17,0.382
75,4.195,-0.005,-0.21,0.289
76,4.194,-0.006,-0.235,0.196
77,4.223,-0.007,-0.282,0.196
78,4.246,-0.005,-0.201,0.23
79,4.256,-0.005,-0.193,0.345
80,4.246,-0.004,-0.16,0.435
81,4.257,-0.003,-0.133,0.492
82,4.308,-0.002,-0.073,0.633
83,4.35,-0.0,-0.015,0.916
84,4.379,-0.001,-0.042,0.825
85,4.4,-0.001,-0.031,0.898
86,4.388,-0.002,-0.076,0.807
87,4.378,-0.002,-0.102,0.825
88,4.38,0.0,0.0,0.991
89,4.45,0.0,0.0,0.991
90,4.48,0.0,0.0,0.991
91,4.512,0.002,0.063,0.916
92,4.552,0.002,0.092,0.771
93,4.563,0.003,0.14,0.753
