,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.00225584335839599,4.590651873433584,0.011462469375363327,-2.0,41.0,-0.094,-0.32,0.126,0.032
01-02,-0.0019350745614035063,3.951699048245609,0.23011737495822127,-0.0,41.0,-0.081,-0.054,0.122,0.041
01-03,-0.0016979999999999999,3.470712,0.06068047266543353,-1.0,41.0,-0.071,-0.052,0.11,0.039
01-04,-0.002052873015873009,4.188593158730145,0.031127310111324746,-2.0,41.0,-0.086,-0.243,0.126,0.04
01-05,-0.0022385191570881207,4.5795097950191535,0.06736779165897167,-1.0,41.0,-0.094,-0.239,0.149,0.055
01-06,-0.002733645238095238,5.56247483095238,0.010723675801034949,-2.0,41.0,-0.115,-0.391,0.153,0.038
01-07,-0.002795911363636366,5.696566815909096,0.026057912231692626,-2.0,41.0,-0.117,-0.319,0.163,0.046
01-08,-0.002650766666666667,5.414912566666667,0.09569390835163927,-1.0,41.0,-0.111,-0.195,0.169,0.058
01-09,-0.0025625649999999954,5.230107434999991,0.1879838381386536,-0.0,41.0,-0.108,-0.168,0.159,0.051
01-10,-0.002466483164983163,5.018229846801343,0.06068047266543353,-1.0,41.0,-0.104,-0.149,0.137,0.033
01-11,-0.0022511363636363597,4.591430590909083,0.15860607706086882,-0.0,41.0,-0.094,-0.104,0.136,0.042
01-12,-0.0020313111111111047,4.142094911111099,0.11574436842983582,-0.0,41.0,-0.085,-0.16,0.122,0.037
01-13,-0.0020478194444444415,4.167171069444438,0.043838787162109094,-2.0,41.0,-0.086,-0.131,0.115,0.029
01-14,-0.002496930769230769,5.073434607692307,0.006633762413644773,-3.0,41.0,-0.105,-0.051,0.132,0.027
01-15,-0.0028992284946236643,5.877627760752705,0.05168804975531471,-1.0,41.0,-0.122,-0.091,0.14,0.018
01-16,-0.0026659648148148127,5.41133366481481,0.02453479362632094,-2.0,41.0,-0.112,-0.155,0.135,0.023
01-17,-0.00283566,5.76442134,0.013956996067475913,-2.0,41.0,-0.119,-0.137,0.153,0.034
