,mean,slp,chg,pvalue
01-01,0.22,0.0,0.0,0.666
01-02,0.25,0.0,0.0,0.807
01-03,0.25,-0.0,-0.006,0.616
01-04,0.27,0.0,0.0,0.633
01-05,0.26,0.001,0.029,1.0
01-06,0.283,0.002,0.099,0.584
01-07,0.312,0.002,0.07,1.0
01-08,0.312,0.002,0.063,0.825
01-09,0.342,0.002,0.08,0.825
01-10,0.341,0.001,0.034,0.88
01-11,0.398,-0.002,-0.086,0.88
01-12,0.279,-0.001,-0.037,0.861
01-13,0.338,-0.001,-0.045,0.666
01-14,0.349,-0.001,-0.057,0.37
01-15,0.339,-0.001,-0.038,0.683
01-16,0.448,-0.002,-0.086,0.735
01-17,0.418,-0.002,-0.063,0.789
01-18,0.45,0.001,0.035,0.701
01-19,0.401,0.001,0.061,0.395
01-20,0.403,0.003,0.122,0.463
01-21,0.744,0.005,0.193,0.522
01-22,0.422,0.002,0.105,0.807
01-23,0.595,0.005,0.222,0.522
01-24,0.544,0.003,0.143,0.807
01-25,0.595,0.005,0.222,0.683
01-26,0.546,0.005,0.223,0.65
01-27,0.712,0.002,0.086,0.789
01-28,0.59,0.0,0.0,0.88
01-29,0.511,0.001,0.046,0.701
01-30,0.514,0.004,0.151,0.522
01-31,0.484,0.003,0.137,0.568
02-01,0.482,0.002,0.086,0.701
02-02,0.454,0.004,0.168,0.311
02-03,0.454,0.004,0.155,0.463
02-04,0.424,0.004,0.158,0.477
02-05,0.452,0.003,0.111,0.807
02-06,0.423,0.003,0.114,0.701
02-07,0.405,0.005,0.21,0.435
02-08,0.688,0.007,0.313,0.196
02-09,0.661,0.011,0.466,0.116
02-10,0.66,0.01,0.42,0.116
02-11,0.627,0.007,0.3,0.18
02-12,0.626,0.006,0.246,0.279
02-13,0.62,0.0,0.0,0.991
02-14,0.613,-0.007,-0.294,0.718
02-15,0.64,-0.01,-0.42,0.382
02-16,0.612,-0.008,-0.343,0.289
02-17,0.612,-0.008,-0.356,0.145
02-18,0.583,-0.007,-0.298,0.173
02-19,0.84,-0.01,-0.42,0.091
02-20,0.862,-0.018,-0.758,0.067
